title,company,location,job description
b'Data Analytics Analyst',b'Ocean Spray Cranberries',"b'North Lakeville, MA, US'","b'Ocean Spray believes that our employees are our best asset and we offer an environment where you can work with exceptionally smart, innovative, passionate teams that are motivated to deliver Ocean Spray products around the world.\n\nPosition Summary\n\nOcean Spray is looking for a Data Analytics Analyst, someone who is an outstanding data storyteller, that can be a catalyst in our ongoing effort to become a data driven organization. Someone who can help us explore beyond rear view mirror reporting and tackle predictive/preventative analytics at scale. This role will work across all our business functions, platforms, and operations to perform analytics that supports decisions, and instills a data-first culture.\n\nA Day in the Life of a Data Analytics Analyst:\nDelivering insight to key business function leads throughout the co-operative through a virtual data hub team\nPutting forth cohesive business architecture story across various functions through design thinking. Show the art of the possible with rapid analytical prototyping, storytelling.\nBuilding models and designing experiments that seek to uncover truth\nAnalyzing complex data made of unstructured, semi-structured and structured datasets to drive insights\nActive participant in defining data strategy, its execution path, and help build our digital data fabric collaborating with our product partners\nWorking in a data factory model and work with vendors to scale up and maintain our environment that supports our business functions\n\nWhat We Are Looking For\nBA/BS in computer science or related field or equivalent relevant experience, with a focus on data analytics/ data science\nMinimum 5 years of related experience.\nExperience working in cloud environment (Azure preferred, AWS and GCP experience is acceptable)\nStrong understanding of SQL and NoSQL databases, ability to query data from disparate data sources.\nExpertise in R, Python and SQL.\nDemonstrate ability to lead initiatives and work effectively with others within a complex, cross-functional and fast paced organization\nExcellent communication. Ability to present ideas and insights to business stakeholders\nExtensive experience with Data Visualization, preferably in PowerBI\nCPG industry knowledge\n\nAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.'"
b'Data Analyst',"b'firstPro, Inc'","b'Quincy, Massachusetts, United States'","b'Overview\n  As data analyst within the organization, you will be supporting the project manager in cross-organizational lifecycle initiatives migrating multiple application stacks from legacy infrastructure to current technology and managing application code remediation activity. The role will be key in the collection of data from multiple sources and turn project driven requirements in to custom formatted data reports. The ideal candidate for this position will be able to perform complete lifecycle data generation / collection and outline critical information for multiple project managers.\n\nRole and Skills\n  Responsibilities\nAct as pooled Program Office resource that performs CMDB data analysis and reporting\nManage data initiatives within the projects and the program\nUse statistical methods to analyze data and generate useful project reports\nSupport development of performance metrics\nIdentify improvement opportunities from data\n  Skills /Qualifications Required\n\nBachelor\xe2\x80\x99s degree in Mathematics, Computer Science, Economics, or Statistics\n3+ years\xe2\x80\x99 experience mining data as a data analyst\nProven analytic skills, including mining, evaluation, analysis, and visualization\nTechnical writing experience in relevant areas, including queries, reports, and presentations\nStrong SQL or Excel skills with the ability to learn other analytic tools\n\nGeneric Personal Qualities\n\xe2\x80\xa2 Quick technical comprehension\n\xe2\x80\xa2 Strong attention to detail\n\xe2\x80\xa2 Ability to work to strict deadlines\n\xe2\x80\xa2 Able to effectively prioritize multiple tasks\n\xe2\x80\xa2 Effective working individually and within team environments'"
b'Data Analyst',b'Brooksource',"b'Boston, Massachusetts'","b""Data Analyst\n\n\nBoston, MA\n\n\nAs the Data Analyst for this Management Consulting firm, you will be responsible for utilizing tools such as SQL and Tableau to turn abstract information from data analyses into appealing, understandable visualizations. You will be supporting both marketing and leadership teams with insights surfaced from data and metrics to make business decisions and measure progress on enterprise-level initiatives.\n\n\nMinimum Qualifications:\n Bachelor\xe2\x80\x99s Degree in Computer Science, Information Technology\n 3+ years\xe2\x80\x99 experience with data aggregation, data visualization, business intelligence\n1+ years experience with Tableau, commensurate experience with Qlikview or Spotfire or PowerBI is acceptable\n3+ years\xe2\x80\x99 experience running complex SQL queries\nData visualization experience within a Marketing group is preferred\n\n\nResponsibilities:\nUtilize SQL, Tableau to turn abstract information from data into understandable visualization\n Supervise complex substantive analysis on large data sets\nTransform data sets into simple visuals and dashboards that answer business questions\nUncover new knowledge and discover new insight that supports better-informed business decisions\nPresent outcomes and conclusions to both technical and non-technical audiences\n\n\nWhat\xe2\x80\x99s in it for you:\nOpportunity to work in the up and coming Seaport district of Boston\nBe a part of a new, dynamic team less than a year old\n\n\n\nABOUT EIGHT ELEVEN:\n   At Eight Eleven, our business is people. Relationships are at the center of what we do. A successful partnership is only as strong as the relationship built. We\xe2\x80\x99re your trusted partner for IT hiring, recruiting and staffing needs.\n\n   For over 16 years, Eight Eleven has established and maintained relationships that are designed to meet your IT staffing needs. Whether it\xe2\x80\x99s contract, contract-to-hire, or permanent placement work, we customize our search based upon your company's unique initiatives, culture and technologies. With our national team of recruiters placed at 21 major hubs around the nation, Eight Eleven finds the people best-suited for your business. When you work with us, we work with you. That\xe2\x80\x99s the Eight Eleven promise.\n\n   Eight Eleven Group provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, national origin, age, sex, citizenship, disability, genetic information, gender, sexual orientation, gender identity, marital status, amnesty or status as a covered veteran in accordance with applicable federal, state, and local laws."""
b'People Data Analyst',b'InVision',"b'Boston, MA, US'","b""InVision is the digital product design platform used to make the world's best customer experiences. We provide design tools and educational resources for teams to navigate every stage of the product design process, from ideation to development. Today, more than 5 million people use InVision to create a repeatable and streamlined design workflow; rapidly design and prototype products before writing code, and collaborate across their entire organization. That includes 100% of the Fortune 100, and organizations like Airbnb, Amazon, HBO, Netflix, Slack, Starbucks and Uber, who are now able to design better products, faster.\n\nWe are seeking an experienced People Data Analyst who is passionate about elevating the employee experience and helping leaders make data-driven decisions about our global workforce. You will own many key areas for our team while also having the flexibility in your role to work on many career building projects. Come join a fabulous people team as we reimagine work at a growing, dynamic company.\n\nWhat You'll Do\nDevelop recommendations for driving strong hiring practices, evaluating performance, and promoting high levels of engagement, retention and belonging\nDevelop and maintain effective business partnerships and consult with the business on people data insights\nManage monthly people analytics data aggregation and reporting process, incorporating data from disparate sources such as engagement, offboarding and new hire surveys\nDevelop predictive models to inform the business of future challenges and drive data-driven decision making\nOwn data integrity of main people data source (Paylocity) and other supporting people systems, aggregating disparate data sources using SQL, imports and vlookups\nSupport all areas of the People Team in reporting & analysis of data including talent attraction, employee development, benefits, compensation etc.\nFacilitate people data request for other partner teams such as Finance, Sales Compensation, and Business Operations\nSupport ongoing ad hoc report requests\n\n\nWhat You'll Bring\n3+ years direct analytics experience in the human resources field\nExperience in a range of statistical and analytical tools\nAnalytical thinker with the ability to understand, interpret and tell stories through data presented to stakeholders at all levels\nOutstanding project management, communication, problem solving, and critical thinking skills\nDemonstrated ability to manage through ambiguity in a distributed environment\nHigh level of discretion in dealing with confidential and sensitive information\nAdvanced proficiency with Excel and Google Apps\nCollaborative work style - low-ego, humble and team-oriented\nBA or BS in Finance or HR or a similar discipline or equivalent experience\n\n\nAbout InVision\n\nInVision offers an incredibly unique work environment. The company employs a diverse team all over the world. Each InVision team member is given the freedom and tools to do their best work from wherever they choose.\n\nThe benefits we offer in the United States and Canada include competitive health plans and retirement plans. Some InVision-wide benefits offered to all employees across the globe include a flexible vacation policy, monthly coffee shop stipends, annual allowances for books related to your profession, and home office setup & wellness reimbursements. InVision is an international employer so some benefit offerings will vary from country to country.\n\nInVision is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. If you have a disability or special need that requires accommodation, please let us know."""
b'Data Solutions Analyst',b'ZoomInfo',"b'Waltham, MA, US'","b'Position Overview\n\nThe Data Solutions Team is responsible for supporting the Sales Team, clients, and prospects to demonstrate the value of ZoomInfo data through problem solving, knowledge sharing and data deliverables. We are looking for an intelligent person who can effectively communicate, solve complex data problems, and possess a strong understanding of the value of our data.\n\nResponsibilities\nUnderstand all aspects of ZoomInfo data including all of our applications and tools\nWork with clients to find creative solutions to their unique business and data problems\nHelp clients understand their market and how to get the most out of our tools and data\nUse technical skills, problem solving and business knowledge to deliver custom datasets to clients that meet or exceed their expectations\n\n\nQualifications And Experience\nProblem solver who can quickly and easily notice trends and patterns\nExcellent communication skills\nComfortable in a customer facing role\nStrong multitasking, organizational and time management skills\nStrong knowledge of Excel including pivot tables, advanced formulas and vlookups\nExperience in Python, SQL or other programming language preferred'"
"b'Data Analyst, IoT'",b'Keurig Dr Pepper Inc.',"b'Burlington, Massachusetts, United States'","b'Are you interested in being an integral part of a team responsible for shaping the future of IoT at a leading consumer beverage and appliance company? At Keurig Dr Pepper (KDP), we\xe2\x80\x99re building a team that is charged with developing and executing our overall IoT strategy, including defining the connected product roadmap, implementing the enabling technology platforms to bring them to market, and pursuing the data monetization opportunities that connected products can deliver.\n  As a Data Analyst, you be responsible for collecting, cleansing and visualizing telemetry data from our connected devices and mobile app, leading to actionable product roadmap, consumer experience, business and engineering insights. Working with various groups across KDP as your stakeholders, you will apply machine learning principles, predictive modeling techniques and statistical analyses to provide insights about our consumers like never before, directly driving key product and business decisions. You thrive in fast-paced, constantly-changing environments and are super comfortable blazing your own trail, all while driving convergence in a highly ambiguous environment. Your incessant need to ask \xe2\x80\x9cwhy\xe2\x80\x9d will foster a culture of data literacy within the company.\n  Responsibilities\n  Evangelize a culture of data literacy, curiosity and creativity by constantly producing valuable insights using advanced analytics techniques in partnership with product management, data science and engineering teams around consumer behavior and engagement\nWork with adjacent organizations to identify their reporting/dashboarding requirements in order to articulate and guide development requirements\nDefine and design an analytics infrastructure, inclusive of clickstream and visualization platforms, to clearly represent captured data and insights to stakeholders across the broader organization\nUpdate reports and dashboards regularly as new data sources become available or evolve\nWork with the data engineering team to ensure maximum data integrity through application of persistent cleansing/quality assurance practices\nDesign and execute experiments in partnership with product management that drive step-change improvements to consumer experience and engagement\nPartner with advanced engineering to tune and improve robustness of machine learning models for maximum accuracy and efficiency by maintaining master-image databases and visualizing performance\n\n\nQualifications\nBS degree or equivalent practical experience, MS degree or MBA preferred\nMinimum 4+ years of data analytics, dashboarding, reporting and insight generation experience in industry (post graduation)\nProven history of finding valuable insights from complex sets of data\nAbility to successfully work with cross range of teams including UX, marketing, product management, software and hardware engineering, etc.\nProficiency in following:\nClickstream analytics tools such as Adobe Analytics and Google Analytics\nVisualization and BI platforms including PowerBI, Tableau, Looker, etc.\nA/B testing\nStructured programming languages such as SQL, Python, R, etc.\nExperience working with JIRA and Confluence in an Agile environment preferred\n\n\n\n#CB\n#IND1'"
b'Product Data Analyst',b'Workhuman',"b'Framingham, MA, US'","b""As a Product Data Analyst, you'll be expected to quickly build technical and content expertise while working across a variety of high-impact projects. We are in rapid expansion mode and are building the analytics capabilities needed to shape and execute on our vision and plan for taking our user experience and offering to the next level, further differentiating us in the space and supporting our overall business growth. This role is embedded with Product Management and is responsible for delivering product insights that drive optimization, iteration, and growth for the Workhuman Cloud product suite. You will work alongside the entire Product organization and will learn every side of our business as we execute on our cross-functional goals. In addition to direct responsibility for product analytics, this role is expected to contribute to our broader analytics team and company data culture by sharing learnings, partnering with others and building new capabilities for transformational data driven decision-making.\n\nThis is an excellent opportunity for an entrepreneurial, analytical leader and problem-solver who enjoys building and is excited by the dynamics of an early-stage environment which requires balancing high-level strategy and long-term planning with agile and creative real-time problem solving.\n\nThe position will report to the Director of Digital Analytics & Optimization.\n\nThis role is not offered as a remote option. Applicants must be able to work in our Framingham, MA location.\n\nResponsibilities, Skills & Qualifications\n\nResponsibilities:\n\nPartner with product, growth, marketing, analytics, UX, and operations teams to conduct in-depth quantitative analyses that guide strategic decisions based on user data and experimentation\nDevelop Product reporting foundation:\n\nCoordinate with senior Product leaders to identify and define key reporting metrics\nWrangle data from multiple sources including customer, sales, product, Google Analytics, Heap, finance, and operations\nDevelop integrated executive dashboards that can be used to measure KPI progress, inform roadmap prioritization, and drive business and technology decision making\nCreate standard and evolving reporting capabilities to support Product team and broader organization by providing access and transparency to critical data\nDeliver data and analyses to stakeholders across the Product department that lead to actionable insights to support and drive both strategic and tactical decision making\nSupport the development of site analytics reporting using Google Analytics and Heap to measure and understand consumer behavior on site, ranging from pathing and funnel analysis to product interaction; perform deep dive analyses to identify pain points within the online experience and partner with product team to share results and implement related business solutions\nParticipate in the design, execution, and analysis of product A/B/n and Multivariate experiments with a specific focus on deriving actionable insights from experimental activities\nAssist in prioritization and project management of cross-functional data needs and projects while proactively identifying additional areas in which analytics efforts can produce a strong value add to the business\nContribute to our team and company data culture through peer collaboration, training, coaching and more\n\nRequirements & Qualifications:\n\nBA/BS with strong academic record, preferably in Economics, Mathematics, Statistics, or other quantitative discipline preferred\n3-5 years of experience in analytical roles, preferably in a product analytics, strategy and/or optimization-focused role in a technology environment\nProficiency querying and analyzing large datasets, including relational and non-relational datastores; Excel and SQL/PostgreSQL is a must, R/Python a plus\nExperience in clickstream tracking and pathing analysis; experience with tools like Google Analytics/Adobe Analytics/Heap/Mixpanel a plus\nUnderstanding of statistical methods for experimentation (A/B/n, MVT, regression modeling); experience with tools like Optimizely/Google Optimize/VWO/Adobe Target/a plus\nDemonstrated capability of designing, developing, and managing operational KPI dashboards; experience with tools like Tableau/PowerBI/Looker/Grafana a plus\nDesire to make an impact on business decisions with data; possess a balance of strong quantitative and analytical skills with an interest in business and leadership\nAppreciate the power of a data-driven environment and serve as a data evangelist to help grow and build a highly analytical culture around our e-Commerce business and evolving needs\nResourceful and creative problem solver \xe2\x80\x93 proven ability to tackle complex challenges with limited resources\nEntrepreneurial, ability to hit the ground running with limited structure and existing foundation\nExcellent communication and team-building skills; ability to package, translate, and present data to a variety of audiences and stakeholders\n\n\nThe Company\n\nWho We are:\n\nCulture creators. Visionaries. Innovators. Game changers and changemakers. A Unicorn or two \xe2\x80\xa6 That\xe2\x80\x99s who we are at Workhuman\xc2\xae. We love what we do because we\xe2\x80\x99re shaping the future of work \xe2\x80\x93 and the world \xe2\x80\x93 through our people and global technology. We\xe2\x80\x99re building cultures of gratitude and human connections for leading global brands \xe2\x80\x93 and that starts with our own. Here you can be yourself, learn and grow with some of the best people you\xe2\x80\x99ll ever meet. Be inspired to do your best work, celebrate life\xe2\x80\x99s most meaningful moments and truly experience the benefits of an award-winning workplace and caring culture rooted in respect and gratitude. This is the place where you can make a positive difference to colleagues, customers and the world every day. You might just be the next human we\xe2\x80\x99re looking for \xe2\x80\x93 because all the things that make you human and unique are the very reasons you belong here!\n\nThe Company:\n\nWorkhuman\xc2\xae is the world\xe2\x80\x99s fastest-growing integrated Social Recognition\xc2\xae and continuous performance management platform. Our human applications are shaping the future of work by helping organizations connect culture to shared purpose. With a consistent stream of gratitude fueling unparalleled, provocative workplace data and human insights, Workhuman\xc2\xae Cloud is a critical software engine for global companies seeking to motivate and empower their people to do the best work of their lives. Workhuman\xc2\xae (formerly known as Globoforce) was founded in 1999 and is co-headquartered in Framingham, Mass., and Dublin, Ireland.\n\nDid you know:\n\nWe are #1 Great Place to Work in Ireland for the 2019 medium-sized workplace category and have been named one of the 2018 Top Places to Work in Massachusetts by the Boston Globe\nWorkhuman\xc2\xae is used by 4.5 million employees across 160 countries.\nOur core values are; Respect, Determination, Innovation and Imagination.\n\nPerks & Benefits for our Happy Healthy Humans:\n\nComprehensive Health Plans\nFully paid parental leave (12-week maternity/4-week paternity) effective day 1\nPeer-to-peer recognition program\n401(k)\nTuition Reimbursement\nCommuter bus from downtown Boston\nOn-site fitness center\nWellness rewards and reimbursements\nFully stocked kitchen (cold brew on tap - snacks and coffee machines as far as the eye can see\xe2\x80\xa6)\nRegular celebrations for employees, families and special guests"""
b'Data Governance Analyst',b'Chase International Partners',"b'Boston, Massachusetts, United States'","b'My client, a leading fund manager are seeking a Data Governance professional to act as a facilitator and coordinator of data governance, data acquisition, and data strategy across the organization.\n\nThe Data Governance Analyst is responsible for measuring data quality, performing root cause analysis, building data remediation plans, implementing data controls, reviewing and maintaining data quality standards, as well as other activities oriented towards improving data management across the organization.\n\nJob Skills and Abilities\n- Experience doing data analysis is required\n- Strong analytical capabilities\n- Comfortable working with large datasets and multiple data sources\n- Good communication and persuasion skills\n- Demonstrated understanding of data quality principles and measurement\n- Project team experience is a plus\n- Highly proactive and self-motivated with the ability to meet objectives under minimal supervision\n- Strong presentation abilities\n- Experience working in an enterprise or cross-functional role is a plus\n- Private Equity industry knowledge is a plus\n- Excellent organization skills\n- Good time management capabilities\n- Strong affinity for data and attention to detail\n- Experience using data management tools is a plus\n\nResponsibilities\nData Quality Monitoring and Reporting: 75%\n\nMonitor and report on data quality across the organization, particularly for designated Critical Data Elements\nCreate and update data quality dashboards for respective data domains on a regular (monthly) basis\nDesign and develop data quality monitoring, including the development of data quality rules, thresholds and metrics for key investment management data concepts\nPrepare materials for regular routines with business and IT stakeholders\nParticipate in data quality issue root cause analysis and assist in designing action plans for remediation\nPartner with domain data stewards to deep dive into data quality issues\nStay current with industry trends on data quality evaluation strategies, automation techniques and data visualization tools\nData Strategy and Standards: 25%\n\nMaintain Enterprise Data Office SharePoint site, including the business glossary\nAssist in creating data policies and procedures and ensure teams adhere to these standards\nDefine and measure cross-domain performance against data quality standards'"
b'Data Analyst',b'Suffolk Construction',"b'Boston, Massachusetts, United States'","b'Our National Operations group is seeking a qualified individual who is passionate about data and data-driven insights to join our team. The ideal candidate will be a generalist, excited about performing the roles of a data steward, data visualization, and data engineer, and supporting the enterprise with data quality and transparency initiatives. Significant opportunity to grow in the role, as we progress on our data analytics journey, with the overall objective of transforming Suffolk into a leader in data analytics within the construction industry. The ideal candidate would be excited to work in a dynamic environment, and committed to our vision as Suffolk continues its \xe2\x80\x9cBuild Smart\xe2\x80\x9d journey. This is the perfect opportunity to become a part of an innovative and energetic team that will help Suffolk transform its construction operations through sophisticated application of data analytics.\n Responsibilities\nData steward: Assess, improve and maintain critical data assets for construction operations\nMonitor the state of data quality within scope of responsibility\nEstablish goals for data quality improvement\nIdentify the best approaches for resolving data quality issues\nFormulate business rules governing use of the data, perhaps including security and data life cycle management\nWork with data stewards in other units to develop policies and best practices\nData engineer: Extract, transport, and transform data\nMaintain records of data sources for enterprise-critical data\nCollaborate with IT to understand best data sources for new business applications\nBuild and maintain simple, low-code applications for collecting and distributing governed data\nData visualization: Build and maintain dashboards\nSupport manager and business units in the design, development and maintenance of dashboards to drive data transparency\nMonitor operations of dashboards in production, ensuring timeliness and accuracy of data displayed\n\nQualifications:\nBachelors Degree\nPassion for construction required; experience / background preferred\nAn understanding of how data is used within business processes and its impact\nExposure to data quality concepts, best practices and tools\nRelentless focus on data precision and vigilance around appropriate conclusions\nCommunication and conflict resolution skills to help reconcile the different points of view and requirements that clash during cross-team and cross-organization efforts\nExperience in translating business requirements to technical requirements and documentation\nExperience in scripting / data science languages, ideally SQL, Python and / or R\nExperience with building low-code applications in Microsoft PowerApps, Flow, and / or other applications a plus\nExperience with building data visualizations in Microsoft PowerBI, Tableau, and / or other applications\nExperience with business applications, e.g., Microsoft Excel, Access and Office Suite\nExperience with ETL tools, e.g., Alteryx a plus\nExperience with software development or programming a plus\n\nNecessary Attributes:\nDemonstrates Suffolk\xe2\x80\x99s core values of hard work, professionalism, integrity, passion and caring\nProactive self-starter with the ability to work with minimal oversight\nMeticulous and organized\nA team player with excellent collaboration skills'"
b'Data Analyst',b'Comlinkdata',"b'Boston, Massachusetts'","b'Reports to: VP of Data Operations\nLocation: Boston, MA\n\nComlinkdata is seeking a quantitative, critical thinker with an insatiable curiosity to join the\nData Operations team as a Data Analyst. The Data Operations team is a critical component of\nComlinkdata. They ensure our data is validated, the platform is working correctly and they\nexplore opportunities to leverage new data sets to improve and create new products.\nThe Data Analyst will support the Data Operations team by gathering data, analyzing ad hoc\nreports, providing quality assurance and working jointly with the Client Services team to\ninvestigate data abnormalities. This candidate should be interested in working with large data\nsets in an \xe2\x80\x9cR&D skunkworks,\xe2\x80\x9d product development environment.\n\nResponsibilities\n\nIncluding, but not limited to:\nAnalyze and interpret data using statistical and business models\nIdentify correlations and trends in data, in addition to internal and external factors that could affect the results of our information\nProvide input on how to integrate additional data sets from independent sources we can use to leverage our existing data\nCollaborate with colleagues on ad hoc projects within the data science teams (Data ops and R&D)\nValidate data daily using external data and research (quantitative and qualitative)\nTroubleshoot data issues\n\nCandidate Profile\nRequired Skills\n3\xe2\x80\x93 5 years of work experience (or comparable educational experience) in quantitative\nanalysis\nProficient in Excel and SQL\nExperience with business and statistical modeling\nStrong critical thinking and problem solving skills\nCreative and independent thinker with a desire to learn new technical skills\nSuccess at working on cross-functional teams to meet a common goal \nSelf-starter with a high sense of urgency\nAbility to prioritize in a multitask environment\n\nDesired Skills\nKnowledge of PYTHON and VB a plus (or willing to learn)\nKnowledge of R, S-Plus, SAS, Stata, Gauss or Matlab a plus (or willing to learn)\n\nAt this time, Comlinkdata will not sponsor a new applicant for employment sponsorship for this\nposition.\n\nCandidates must upload a resume and cover letter to be considered.'"
