title,company,location,job description
b'Marketing Data Analyst',b'VelvetJobs',"b'Santa Ana, CA, US'","b'Job Company has partnered with a leading automotive manufacturer in Fountain Valley to help identify an experienced Marketing Data Analyst for immediate hire.\nIn this role you will manage the daily operations of the Lead Management program. This will entail:\nCreation of ad hoc, as well as standard reports on lead, sales, process and lead conversion\nInteract with our Field and Dealerships to resolve issues and questions around the lead program\nWork directly with the Lead System vendor, reporting and tracking tickets regarding data concerns or system issues\nShare and present data findings and reports with regional offices as well the Executive team\nManage budget accruals and invoice submissions\n\nWe Are Looking For Someone With\n\nPrevious data analysis experience\nMust have superior communication skills\nAdvance knowledge of MS Excel skills (pivot tables and v look ups)\nPay is based on experience. Hours are full time, M-F from 8am 5pm.Position is long term temp, 6 months to 1 year with possibility of being extended. It also offers a foot in the door of a top company always hiring on our top talent.\n** Please note only local candidates to Orange County and some areas of Los Angeles County will be considered **'"
b'Data Analyst',b'NCSOFT',"b'Aliso Viejo, California, United States'","b""NCSOFT is focused on making high-quality, cutting-edge, and conceptually innovative Massively Multiplayer Games. NCSOFT is a great place to work, fostering creativity and collaboration. Because of this, it has attracted top talent from the best of the best in the MMO industry. A casual, friendly work environment, a comprehensive benefits package, a competitive salary, and more are all part of what makes NCSOFT a great place to work. If you love making great games and have the skills to make it happen, then NCSOFT is the place for you.\n\nWe are seeking a talented Data Analyst to work across multiple released and unreleased titles. This individual is responsible for collecting data, generating reports, and analyzing player behavior. \n\nResponsibilities:\nAnalyze game systems, economies, and player behavior to drive game development and business practices that maximize player enjoyment and profitability\nUnderstand, analyze, and predict trends in player data.\nCollect and help to elaborate on data reporting requirements, primarily from game design, customer service, and business departments.\nGenerate reports from accumulated data using SQL, Excel, R, Python, and Tableau, as well as defining automated procedures related to data collection.\nCommunicate findings, actionable recommendations, and data limitations to stakeholders to facilitate data-driven decisions.\nFormulate process improvement suggestions through ad hoc analyses and data mining.\nTake ownership of data integrity to ensure that the data are correctly supporting the analyses and recommendations being proposed.\nDevelop new insights and analyses that inform decisions and help us continue to improve gameplay\nAnalyze game-specific data and pro-actively make recommendations to Product Managers, Game Producers, Game Designers, and UX Designers\nDevise and run game-specific A/B tests to directly and indirectly drive KPI improvements\nWork collaboratively with the Business Intelligence team to share best practices, problem-solve and deliver large projects on time.\n\nRequirements:\nBachelor's degree in Computer Science, Statistics, Mathematics, Economics or related field, or equivalent experience with data analytics\nExperience using SQL to query for and to aggregate data\nUnderstanding of game design and in-game economies\nStrong communications skills and ability to work on a team\n3+ years of prior data analysis experience\nAbility to change directions quickly based on the business, project, and team needs\nAbility to effectively communicate complex findings and ideas simply\nDrive quality improvements of the team's code through reviews and feedback\nExperience using descriptive and inferential statistics to analyze and present findings\nExperience using visualization techniques for presenting data and analysis\nExperience working with business teams to identify and define problems\n\nPluses:\nPrevious mobile game analytics experience\nExperience with big data software like Hadoop\nExperience with other Business Intelligence backend and analytics applications"""
b'Data Analyst',b'TikTok',"b'Los Angeles, California, United States'","b""Job Title: Data Analyst\nJob Type: Full-Time\nLocation: Culver City, California\n\nAbout TikTok\nTikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy.\n TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul, and Tokyo.\n\nJob Description\nWe are looking for a passionate Data Analyst who will turn data into understandable information, able to deliver clear goal-drive data reports to each Manager, leading to good insight that will help with accurate and effective business decisions. Come and help us grow out TikTok community!\n\nRESPONSIBILITIES\nFind actionable strategic insights through funnels, cohort analyses, user segmentation, retention analyses and regression models to help us grow our products\nPartner with the product, data and marketing teams to answer high-priority strategic questions\nDefine KPIs, build automated dashboards, reports, and models to help teams make faster better decisions\nWork with engineering and product to implement, qa, and monitor our logging and metrics\nRegularly report findings and ongoing KPI's to marketing to provide visibility into campaign performance and assist in campaign optimization\n\nREQUIREMENTS\nBA/BS in Computer Science, Math, Economics, Statistics, or other quantitative fields\n4+ years work experience doing quantitative analysis\nAbility to synthesize and communicate complex concepts and analyses in easy to understand ways\nA solid grasp of common statistical methods and applications (A/B testing, probability, regression)\nExpert experience pulling large and complex data using SQL\nExperience with a data visualization tool (e.g. Mode Analytics/Chartio/Tableau)\nFamiliarity with web analytics tools (e.g. Google Analytics/Adobe Analytics/Amplitude)\nExcellent verbal and written communication skills\nSelf-motivated, detail-oriented, learn autonomously, and highly organized\n\n\nPreferred Qualifications\nExperience with marketing analytics (e.g. Attribution/Forecasting)\nExperience working with very large data sets and distributed computing (Hive/Hadoop/MapReduce)\nFamiliarity with R or Python is a plus\nAbility to approach problems creatively and build structure out of ambiguous requests\nBilingual English-Chinese (Mandarin) a plus"""
b'Data Analyst',b'Live Nation Entertainment',"b'Los Angeles, California, United States'","b'Job Responsibilities:                          \nTier 1 & 2 Business Intelligence (BI)/Analytics support\nField support calls, email requests and manage support queue\nResolve issues within technical capability\nFrequently communicate issue status with customer and verify fix when complete\nTriage and track escalated issues with other technical resources\nProvide training and technical guidance\nAddress performance and access issues\nDevelop reports and prepare summary analyses to validate system accuracy\nUse strong analytical skills to interpret a wide variety of data from multiple sources\nLead/participate in meetings with peers/business stakeholders to discuss open issues and analyze requirements to create or adjust reports/dashboards\nDesign, develop, and test report deliverables based on specifications\nParticipate in QA/Regression testing to support new releases\nProvide root cause analysis for incidents\nWork with peers/business to develop and implement corrective and preventative strategies\nCreate and utilize existing SQL statements to investigate issues and correct data in databases\nMaintain ETL Job scheduling applications, troubleshoot and rerun failed jobs\nMonitor Live Nation (LNE)/Ticketmaster (TM) Data Delivery SLA Dashboards, escalate as appropriate\n**SLA dashboard discussions and tracking WIP.\nAutomated Reports\nMonitor performance of reports and reconcile discrepancies\nCreate new and adjust current reports\nMaintain report schedules, troubleshoot, and escalate issues\nAdd/remove users to/from report schedules\nSAP Business Objects User / Application Management\nPrepare ad-hoc queries\nNew User set up and training\nFolder and access management\nRemove inactive users\nMonitor server performance, review audit reports and make recommendations for improvements\nSkills:\nSQL  \nExcel\nPreferred Experience with:\nRelational and multi-dimensional database concepts\nAny BI reporting tool (SAP Business Objects, Tableau, Salesforce Analytics, Databricks, Cognos, Crystal Reports, etc.)\nProblem solving / critical thinking skills\nExcellent communication skills\nAbility to collaborate effectively in a matrix environment\nDemonstrated ability to learn new systems and the inner workings within\nAbility to work in a rapidly evolving, fast paced culture and meet time-critical deadlines'"
b'Data Analyst',b'9thWonder Agency',"b'West Hollywood, California, United States'","b'The 9thWonder LA team is looking for a Data Analyst that will share our passion for building brands that captivate. At 9thWonder, we love to unearth the compelling difference in brands. We then bring these differences to life in a way that elevates our clients\xe2\x80\x99 product/service to something truly wonderful.\n\nAs a Data Analyst, you will:\nAnalyze data from qualitative and quantitative sources and deliver actionable insights\nReport on marketing KPIs like leads, conversion rates, website traffic, and social media engagement\nPredict and understand consumer patterns through various mathematical instruments (e.g. regression and statistical analysis)\nCompose a story from data and analyses conducted\nPrepare and clean large data sets for analysis\nResearch and identify ways to build our brand and acquire new clients\nBuild requirements, definition, tracking specs, and results documentation\nTurn web analytics data into a story about user behavior\nTrack advertising costs, research consumer behavior and explore market trends and opportunities\nMeasure ROI of online and offline advertising campaigns\nConduct competitive research and analyze benchmarking data\nRecommend website and campaign optimizations\n The Data Analyst has:\n5+ years of experience as a marketing analyst or similar role\nVery strong attention to detail (our calculations can be quite complex)\nAdvanced experience in Microsoft Excel and PowerPoint\nExperience in Tableau, Google Data Studio, Datorama, Cognos or other BI tool\nExpertise in Google Analytics - Certification a plus\nSuperior verbal and written communication skills with the ability to translate rigorous mathematical concepts and considerations to non-experts\nWorking knowledge of SQL, SPSS, Python or other data-extraction and modeling tools a plus\nKnowledge of DCM, Bing Ads, Google Ads, Google Search Center, Google Tag Manager, Crazy Egg, Facebook Reporting, Twitter Reporting, and other relevant tools a plus\nExpertise in site tagging with the ability to write light JavaScript to capture the right data a big plus\nETL capability, and experience working with DMPs a plus\n\nDoes this sound like you?\nThen what are you waiting for?! For consideration, please send your resume to resume@9thwonder.com with DALA in the subject line. No phone calls, please.\n\nThe Legal Stuff\n9thWonder offers a fun and rewarding environment, where every Assistant is valued. That\xe2\x80\x99s not just a legal HR statement, we appreciate all members of the team and thrive to create a culture of best idea is boss. While we thank you in advance for your interest, please know we will only respond to those candidates whose experience and skills most closely match the requirements of the position. We are an Equal Opportunity Employer.'"
b'Data Analyst',b'WebMD',"b'El Segundo, California, United States'","b""Medscape, a division of WebMD, develops and hosts physician portals and related mobile applications that make it easier for physicians and healthcare professionals to access clinical reference sources, stay abreast of the latest clinical information, learn about new treatment options, earn continuing medical education credits and communicate with peers.\n\nAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.\n\nWebMD is currently seeking a Data Analyst. This position will work within the BI team and has responsibility for deriving insights, analyzing trends, developing and delivering reporting including dashboards, and contributing to a data driven strategy and leading data projects. We are searching for someone with strong analytic capabilities and success in deriving insight from data. Your background should include dashboard design, data visualization, automated reporting applications, coding, testing, debugging, file maintenance routines and documentation of both database design and Tableau reporting platforms. To be successful, you will need technical knowledge of all phases of enterprise reporting systems applications.\n\nIn this role you will:\n\nAnalyze different aspects of the business based on requirements and the intended audience. This can include root-cause analysis, making recommendations and delivering key metrics;\nBuild data models and define KPIs that allow the business to better understand trends, growth, and opportunities;\nEmpower stakeholders in a self-serve manner by conceptualizing, building, and delivering dashboards based on a set of requirements or needs;\nCommunicate effectively with internal stakeholders and support them to better understand user activity on the site;  \nManage projects and ad-hoc tasks from inception to delivery;\nPresent findings from data analysis to peers, management, and leadership;\nDevelop implementation plans and timelines;\nDevelop Data Warehouse structures and reports;\nManage, run, and refresh schedules for dashboards and reports;\nPerform bug fixing, maintenance and upgrades to code;\nMaintain documentation for design, development and reporting work;\nTranslate business requirements into technical designs.\nQualifications:\n\n3+ years\xe2\x80\x99 experience in a data intensive role including providing data analysis and developing reports using enterprise reporting tools\nBachelor's degree in information technology, computer science, or a related quantitative field or an additional 4+ years of business/data analysis experience\n1+ years\xe2\x80\x99 experience creating dashboards using Tableau or other similar data visualization tools and data warehousing applications\n3+ years\xe2\x80\x99 experience coding complex SQL queries and logic. \n1+ years\xe2\x80\x99 manipulating data in a Unix environment, preferably Linux\nPreferably 1+ years\xe2\x80\x99 of web analytic experience, Omniture experience is a Plus\nDemonstrable experience in RDBMS or MPP databases and related tools such as DB Visualizer or Toad\nAdvanced experience with Excel\nExperience following established internal guidelines dealing with database objects, dashboard looks, and coding practices while meeting tight deadlines"""
b'Data Analyst',b'Honey',"b'Los Angeles, CA, US'","b""Honey is a fast-growing startup based in Los Angeles. Our online shopping platform offers users a smarter way to shop. Through a simple browser extension, we open up instant access to exclusive savings, deals, rewards and discovery, all powered by the collective knowledge of Honey\xe2\x80\x99s community of online shoppers. We are helping millions save when they shop online, and we're hiring! We are actively seeking a Data Analyst to join the Engineering Team in our Los Angeles office.\n\nAbout The Team\n\nWe work closely with the Product and Engineering teams to dig into data and try to predict and quantify user behavior, map out certain consumer journeys, and decide on what features to push to production. We work closely with one another but also have autonomy in getting to work on projects that interest us as it relates to business needs.\n\nWhat You'll Do\n\nAs a Data Analyst at Honey, you will:\nCreate, measure, and analyze various KPIs to inform decisions and support recommendations across the company\nInnovate! Implement innovative quantitative analyses, try new data wrangling techniques, and experiment with new visualization tools\nWork with other analysts to build tools and set processes to automate data analyses\nWork closely with the product and engineering departments to understand, solve, and anticipate their analytics needs\nFoster a culture of transparency: act as the main liaison between other departments to ensure data accuracy and uniform understanding of key metrics\nPossess excellent communication and presentation skills\n\n\nAbout You\nAt least 2 years of experience with dashboarding tools like Tableau or similar (Periscope Data is a plus)\nAt least 2 years of experience with SQL (BigQuery and MySQL is a plus)\nAbility to take vague requirements and transform them into concise deliverables\nAbility to manage multiple priorities and a fast-paced environment\nStrong working knowledge of Python, R, and/or D3 is a plus\nBachelor's Degree in Statistics, Mathematics or similar\nPrior experience at a tech company is a plus\n\n\nAt Honey, we are committed to building a diverse and inclusive company. We seek to create a culture where everyone can belong because we believe that people do their best work when they can show up every day as their authentic selves. We welcome people of different backgrounds, experiences, abilities, and perspectives.\n\nHoney is an equal opportunity employer. We do not make hiring or employment decisions on the basis of race, religion, color, national origin, gender, gender identity, sexual orientation, age, marital status, veteran status, disability status or genetic information, in compliance with applicable federal, state and local law."""
b'Data Analyst',b'818',"b'Glendale, CA, US'","b'Job Description\n\nSenior Data Analyst\n\nA prominent financial affiliate network is seeking a Senior Data Analyst to monitor and support its data processes. The ideal candidate would be able to develop new reports, frameworks, dashboards, and other tools for the company.\n\nData Analyst Job Responsibilities\nTrack ROI\nClose interaction with IT Team to design/improve data architecture\nIdentify optimization opportunities using predictive modeling\nDevelop and implement advanced custom models and algorithms\nDevelop tools to monitor and analyze model performance and data accuracy\n\nData Analyst Required Qualifications\nBachelor\xe2\x80\x99s in mathematics or computer science\nKnowledge of R, Python, SQL\nRigorous statistical intuition, deep understanding of core statistical principles, and extensive experience with core methods\nKnowledge of advanced statistical techniques and concepts\nExperience creating and using advanced machine learning algorithms\n\nData Analyst Current Skills Should Include\nYou are highly organized with the ability to multi-task and prioritize in a fast-paced culture\nYou are a critical thinker and able to problem solve\nYou have strong verbal communication skills\nRussian fluency is preferred but not required'"
b'Investment Data Analyst',b'AssetMark',"b'Encino, CA, US'","b'Job Description\n\nSavos Investments, a division of AssetMark, Inc., provides advisors and their clients with risk managed, multi-asset portfolios and strategies to meet a wide variety of investment goals.\n\nPosition Summary\n\nThe Investment Data Analyst role is responsible for data preparation and analysis related to research and reporting within the Investments Team at Savos. The Data Analyst will work closely with the CIO and Director of Quantitative Investing to understand the goals of each analysis, manage the analytics process, and document results.\n\nResponsibilities\nTranslate desired research or reporting output into the required input data for analysis\nSource, validate and organize required data for reporting or research study\nDocument data processes and procedures for recurring tasks\nPerform data transformation and statistical analysis per the study outline\nDevelop appropriate data visualizations to illustrate key findings of analysis\nAssist with development of research best practices for robust and efficient analysis\n\nRequired Qualifications\nAttention to detail and ability to quality check your own work; sense check plausibility of results\nData cleansing and validation\nProficiency with data manipulation and one or more relevant scripting languages\nFundamentals of statistical analysis and ability to find new techniques as necessary\nAbility to prioritize and manage multiple requests and escalate tradeoffs needed to meet deadlines\nReliability, flexibility and constructive attitude toward change\nA team player who will thrive in a small company environment\nBachelor\xe2\x80\x99s degree from a fully accredited 4-year college or university\n\nPreferred Qualifications\nDegree in a quantitative field of study\nCFA Charterholder or progress towards CFA\nExperience with pandas, R, excel/VBA or equivalent\nFactSet or Bloomberg proficiency\nAt Savos, we come to work every day driven to develop purpose-built, outcome-oriented investment solutions. It takes a certain mix of talent, passion, and dedication to join our team. When you do, you\xe2\x80\x99ll find a friendly, supportive environment where everyone is encouraged to grow professionally by developing in their roles and learning new skills. If you want an exciting, challenging, and fulfilling career, Savos might be the place for you.\n\nAssetMark, Inc. is a leading strategic provider of groundbreaking investment and consulting solutions created to serve independent financial advisors and help them create great outcomes for their clients. Through a consistent program of engagement, education and community-building, AssetMark brings like-minded advisors together to share their ideas, experiences and solutions. This collaboration guides our development of investment, client relationship and practice management tools that advisors can tap to help clients achieve their investment objectives and life goals.\n\nWe are always seeking bright, creative, energetic individuals who want to learn and grow with the company. AssetMark is an innovative organization, delivering the best services in the industry. We offer a rewarding work environment, competitive salaries, full benefits, and excellent opportunities for career growth. We are headquartered in the San Francisco Bay Area. We also have regional offices in Phoenix, AZ, Encino, CA, Atlanta, GA, Chicago, IL, and State College, PA. Become a part of our growing team today!'"
b'Research and Data Analytics/ Strategy Lead',b'Seven Bucks Creative',b'Greater Los Angeles Area',"b'Research and Data Analytics/ Strategy Lead\n\nSeven Bucks\xe2\x80\x99 is seeking a motivated individual to join our marketing team and lead data analytics efforts across films, TV, and brands, and cross-reference with business sales/ box office revenue. This role will work to expand our research offerings, and will apply quantitative methods to projects covering branding, segmentation, targeting strategy, and social listening application. The position requires a comprehensive understanding of business development, market research methods, tracking measures, social media landscape, marketing data metrics and analytics, and experience applying these techniques to topline marketing strategy development. This individual will be expected to ingest data and sales revenue, and regularly share findings with the team and recommend steps forward to best impact conversion. \n\nQualifications:\n\nBA Required, MBA Preferred\n5-10 years of research marketing experience and/or business development\nBackground in quantitative research and broadcast and digital media, ideally from a major studio, entertainment company, and/or research agency.\nComprehensive understanding in business development, market research methodology, tracking measures, social media landscape, marketing data metrics, and experience applying these findings to topline marketing strategy development\nAbility to communicate findings and recommended strategic action items in a fast-paced creative environment.\nConfident and engaging in presenting skills.'"
