title,company,location,job description
b'Logistics Support Data Analyst',b'Syncroness',"b'Trenton, NJ, US'","b""Job Title: Logistics Support Data Analyst\n\n\n\nWho we are\n\nSyncroness provides inspired solutions to highly complex business and technical problems. We focus on accelerating time-to-market and ensuring a profitable outcome for our clients.\n\n\n\nBy providing a full complement of engineering services aligned to the entire product lifecycle, Syncroness enables companies to accelerate product development and drive more predictability and productivity into their businesses. Working with Syncroness, companies gain the critical insights necessary to develop products that make a difference and create a better world.\n\n\n\nWe provide proven value and predictable results in demanding and regulated markets by employing our core competencies in:\n\nProject management\nProduct and System Engineering\nCore Engineering disciplines\nKnowledge integration\nNPD and Sustaining Engineering\n\n\nWhat we are looking for: Logistics Support Data Analyst\n\n\n\nEssential Duties and Responsibilities include the following. Other duties may be assigned. To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.\n\n\n\nThe primary responsibility of this role is Logistics Dashboard, ScoreCard creation, and distribution. The position is located in Trevose, Pennsylvania.\n\n\n\nRaw data to be pulled from SAP\nManipulation of data based on specific requirements from leadership (spend, contracts, lanes, etc.)\nCreation of Dashboards using a blank canvas\nAbility to handle multiple requests, simultaneously, from different resources, while maintaining the quality of data\nStrong understanding of the data being reported, and the ability to respond to questions regarding the data\nSupport Invoice Analysts as the need arises\n\n\n\n\nExperience/Qualifications\n\nThe requirements listed below are representative of the knowledge, skill, and/or ability required.\n\nAdvanced knowledge of SAP, AP processes, Excel, PowerPoint\nTableau exposure\nAdvanced dashboard/scorecard building\n\n\n\n\nThis job description doesn't constitute a contract of employment and Syncroness may exercise its employment-at-will rights at any time.\n\n\n\nSyncroness is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status as a protected veteran, among other things, or status as a qualified individual with disability."""
b'Business Data Analyst',b'VNSNY CHOICE',"b'New York, New York, United States'","b'Provides analytical, planning, coordination, and implementation support to performance improvement activities and projects across VNSNY CHOICE Health Plans. Assists department leadership with tracking implementation and monitoring organizational change effectiveness, providing insights using analytical tools for data collections and analysis as well as designing analytical approaches. \n\n-Develops a strong understanding of all VNSNY CHOICE Health Plans strategic business objectives and business unit operations. Assists department with designing and evaluating data and reports. Provides data collection, analytical support to team and monitors assigned projects.\n-Defines core processes and maps current states for redesign projects; assists with solution design.\n-Collects and analyzes performance and outcome data. Summarizes, creates, and distributes reports as needed.  Ensures deliverables are completed on time; responds to changing project circumstances and communicates issues to project leadership. \n-Supports Clinical Operations by generating daily, weekly, monthly and quarterly reports from data cubes using MicroStrategy; creates FLASH reports to monitor and evaluate performance.\n-Performs cost-impact analysis on UM medical appeals on a monthly basis by generating attributed values using complex Excel formulas.\n-Utilizes SAS and SQL skills to extract Claims data from data warehouse and ensure data quality; analyzes data to provide recommendations and insights.\n-Creates interactive dashboards to analyze Key Performance Indicators trends and presents data visually using Tableau. Generates reports for ODAG and CMS from Oracle OBIEE and evaluates the timeliness of standard and expedited org determinations.\n\nEducation: Bachelor\xe2\x80\x99s Degree in Computer Science, Management Information Systems, Electronics/Communication Engineering, or a related field required. Master\xe2\x80\x99s Degree in one of the above-described disciplines preferred.\n\nExperience: Minimum three years progressive data analyst work experience in various PC database applications, preferably in the healthcare industry, required. Experience with MicroStrategy, SAS, Tableau, MS Excel, Word, Access and PowerPoint preferred.  Proficient with personal computers, including Microsoft Windows Excel, Word, Access, Power Point required. Project management and facilitation skills required.'"
b'Data Analyst',b'MailOnline',"b'New York, New York'","b'Overview: Data Analyst is an integral member of the global commercial data and analytics team driving commercial insights and opportunities for the world\xe2\x80\x99s largest English language newspaper website, DailyMail.com. This is a unique opportunity to work in a fast-paced entrepreneurial environment, with wide exposure to ad-tech and big data platforms. The Data Analyst will be responsible for maintaining and optimizing the global commercial data systems, identifying methods to maximize commercial performance and providing business insights to internal stakeholders. This individual will have a genuine passion for digital media and data technology.\nDailyMail.com is a division of UK-based DMGT, an international portfolio of digital, information, media and events businesses, which employs over 12,000 people and is listed on the London Stock Exchange (LSE:DMGT.L).\nSpecific Responsibilities\n\xc2\xb7         Participate in cross-functional projects using advanced data modeling and analysis techniques to discover insights that will guide strategic decisions and uncover optimization opportunities.\n\xc2\xb7         Develop and maintain big data infrastructure, reporting systems and data models that support key business decisions.\n\xc2\xb7         Develop and maintain data visualization dashboards to allow data access to necessary stakeholders.\n\xc2\xb7         Evaluate the configuration and performance of commercial practices against key indicators.\n\xc2\xb7         Continuously monitor yield across platforms and offer innovative recommendations to internal teams to boost performance and generate new revenue.\n\xc2\xb7         Work cross-functionally with teams including Operations, Sales, Marketing, Finance and Analytics to provide excellent customer service in support of DailyMail.com clients and revenue goals.\nExperience and Skills\nRequired:\n\xc2\xb7         B.A. or B.S. in a quantitative or technical field (e.g., math, engineering, statistics, computer science).\n\xc2\xb7         High proficiency in Excel, SQL, Python\n\xc2\xb7         Possess quantitative skills with a creative problem-solving mindset.\n\xc2\xb7         Ability to work collaboratively in a team environment.\n\xc2\xb7         Strong project management skills and ability to meet deadlines.\n  Preferred:\n\xc2\xb7         Digital media and ad-tech experience is a plus\n\xc2\xb7         Familiarity with R, Scala, Spark, Airflow\n\xc2\xb7         Google Cloud (Storage, BigQuery, Compute Engine, Kubernetes Engine)'"
b'Data Analyst',b'Revolut',"b'New York City, NY, US'","b'About The Team\n\nData sits at the heart of Revolut and plays a uniquely crucial role in what we do. With data we build intelligent real-time systems to personalise our product, tackle financial crime, automate reporting, track team performances and enhance customer experiences.\n\nFundamentally, data underpins all operations at Revolut and being part of the team gives you the chance to have a major impact across the company \xe2\x80\x93 apply today to join our world class data department.\n\nWhat We Need\n\nWe are looking for smart and ambitious people who can help us understand our data better. Your main weapons will be SQL, dashboards, statistical techniques and a thorough understanding of our business. You will be joining the Retail Growth team, working on all aspects of North American growth.\n\nThe Retail Growth team is full-stack and operates with the sole focus of driving daily active users on the product. The department is cross-functional, encompassing teams spanning product, engineering, data, design, research, marketing, operations and partnerships. Our goal is to change the way people interact with and manage their money, and make Revolut the #1 FinTech App in the US.\n\nWhat You Will Be Doing\n\nUnderstand our business and its processes through our data\nApply this understanding and knowledge of our data to help product teams\nCreate and maintain new aggregated views and tables to simplify data querying\nMaintain and create new dashboards to track metrics and visualise insights\nPromote data literacy across the company, organise and hold workshops\nAlign with local Head of Growth to help drive user acquisition in your market and make the customer on-boarding journey seamless\nHelp drive go-to market strategy for all products in the US market, working closely with Growth Leads and Product Owners\nDrive local customer research to ensure we\xe2\x80\x99re solving real customer pain points and addressing their needs from the start\nAnalyze, prioritize, optimize, and repeat\n\nWhat You Will Need\n\nProven work experience as a Data Analyst or Business Analyst\nStrong SQL skills, experience with analytical databases is a plus\nData-driven storytelling and visualisation skills (with tools like Tableau, PowerBI, Metabase ect)\nAttention to detail\nExperience coding in Python is a plus\n\nPerks And Benefits\n\nYou\xe2\x80\x99ll get to work in one of the hottest and fastest growing tech startups in the world right now\nWe\xe2\x80\x99ll arm you with all of the latest tech equipment\nCompetitive salary\nCompetitive 401(k) plan\nCompetitive vacation policy\nFree dinners\nFlexible work hours'"
b'Data Analyst',b'UBS',"b'Weehawken, NJ, US'","b""Job Reference #\n207432BR\n\nCity\nWeehawken\n\nJob Type\nFull Time\n\nYour role\nDo you enjoy transforming complex data into a story that brings new information and convinces people to take actions? Do you enjoy the challenge of having to communicate across different levels of understanding? Are you an experienced data analyst with expertise in Regulatory programs or Financial Services? Are you a problem solver with a strong eye for detail that likes to credibly challenge the process?\n\nYour Role:\nEstablishing relationships with business stakeholders to identify and address relevant areas; Client Risk, Periodic KYC (PKR) data analyses, develop monthly metrics for the quality control testing team, middle office and other AML KPIs Evaluate effectiveness of processes and controls; proactively identify gaps, define solutions, and execute on process and control improvements\nActively collaborating with other teams and SME's to identify relevant data sources, help develop value-add assessments and deliver critical time bound rollouts\nAdvising stakeholders on analytical approaches\nBlending and analyzing data from various sources towards providing support for stakeholders\nEffective communication and presentation skills. Strong ability to take an ill-defined concept, analyze and translate it into functional and non-functional specifications to drive meaningful business decisions.\nEffective presentation skills with the ability to inform/educate stakeholders about the findings of the analysis\nWork closely with and establish effective communication channels with key stakeholders, SME's and clients to gather project requirements, specifications and limitations in order to develop state of the art reporting capabilities.\nCommunicate effectively across all levels of the organization\n\nYour team\nWorking on Pentagon under Financial Services Inc. supporting the WM COO organization. Duties span over PKR remediation, KPI/KPC, Risk Assessment, Customer Risk Rating, and MIS Reportage.\n\nYour expertise\nKnowledge of internal UBS systems and processes, a plus.\nFamiliar with Financial Services topics, such as:\n\n\xef\x82\xa7 Account E99 Flags\n\xef\x82\xa7 Types of Accounts (DVP/RVP, Personal Interest Companies, BUSA Standalone, etc.)\n\xef\x82\xa7 Account Status (Active, Closed, Closed - Held Away)\n\xef\x82\xa7 Household Groupings (Statement HH, Marketing HH)\n\xef\x82\xa7 CAI Account Fields (Employee Accounts CR1/CR2, etc.)\n\xef\x82\xa7 Account Finances (AUM, Revenue)\n\xef\x82\xa7 Customer Risk Rating\n\xef\x82\xa7 Account ownership types\nFamiliar with Client Onboarding, PKR, Risk Rating processes\nMinimum 2+ years in Finance, Compliance or Risk role encountering BSA/AML matters regularly.\nMinimum 4+ years of Data Analytics experience\n\nYour Expertise\n4 year college degree or international equivalent with studies in or relating to engineering in computer science or business preferred, graduate degree in a related field (including: computer science or finance) or an MBA is a plus\nMinimum 4+ years of experience in data analytics related roles\nGood understanding of finance and regulatory programs\nExperience in applying advanced statistical techniques, such as, descriptive statistics, statistical modelling, machine learning, a plus\nExperience in working with large and complex data sets\nExpert proficient in PowerPoint, Excel, VBA programming, Microsoft Access, SQL, Tableau, and Alteryx. Python proficiency preferred.\n\nAbout Us\n\nExpert advice. Wealth management. Investment banking. Asset management. Retail banking in Switzerland. And all the support functions. That's what we do. And we do it for private and institutional clients as well as corporations around the world.\n\nWe are about 60,000 employees in all major financial centers, in more than 50 countries. Do you want to be one of us?\n\nJoin us\nWe're a truly global, collaborative and friendly group of people. Having a diverse, inclusive and respectful workplace is important to us. And we support your career development, internal mobility and work-life balance. If this sounds interesting, apply now.\n\nDisclaimer / Policy Statements\nUBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce."""
b'Data Analyst',b'Capacity LLC',"b'North Brunswick, New Jersey'","b""Capacity LLC is a fast-paced, high growth logistics company located in North Brunswick, NJ. We provide e-commerce fulfillment services to high end beauty and skincare companies, working closely with C-level executives and entrepreneurs.\n Capacity LLC is looking for a Data Analyst to join our growing Engineering team. This position will help with data analysis and data visualization for internal as well as external stakeholders. We are looking for an individual with passion for data and learning new technologies to help top management make informed decisions.\n Previous experience in manufacturing, warehousing, logistics and/or supply chain is desired but not required.\n Responsibilities\n\xe2\x80\xa2          Interacting with multiple stakeholders to understand business and data requirements\n\xe2\x80\xa2          Analyze the complex datasets and create models to interpret and predict trends or patterns in the data using time series analysis, forecasting, linear regression analysis\n\xe2\x80\xa2          Collaborate with IT and Engineering to develop database structures and ensure the integrity of data in the data warehouse\n\xe2\x80\xa2          Plan, design, and implement dashboards and data visualization in Tableau to meet the needs of the organization\n\xe2\x80\xa2          Use SQL skills to work on projects involving the warehouse management system\n\xe2\x80\xa2          Use advance Excel skills to manage data in the warehouse management system\n Qualifications:\n\xe2\x80\xa2          2+ year experience with SQL and relational database design\n\xe2\x80\xa2          Strong experience working with raw data and manipulating large datasets\n\xe2\x80\xa2          Passion for using and learning new technology to streamline business processes\n\xe2\x80\xa2          Bachelor's Degree in Information Technology or related field\n\xe2\x80\xa2          Experience with data visualization tool such as Tableau, PowerBI etc. is a strong plus\n  *This position is located in North Brunswick, New Jersey.\n """
b'Data Analyst',b'Brooksource',"b'Raritan, New Jersey, United States'","b'Jr Data Analyst\nRaritan, NJ\nLong term contract\n\nWe are seeking an Jr Data Analyst to join one of our multinational Pharmaceutical, Consumer Goods and Med-Device company in Raritan, NJ. As a Jr Data Analyst, you will be responsible for administrating, developing, and supporting multiple business critical application platforms.\n  This Jr Data Analyst will also be focused on creating, maintaining, and visualizing data through Tableau and other data analysis tools.\n\nQualifications\nBachelor\xe2\x80\x99s degree in Information Technology or related field\nStrong background in data analysis, data architecture, data modeling, and business intelligence\nTableau worksheets and dashboard development (Tableau Developer/Server 9 &10)\nSQL querying, remote querying, and ETL processing knowledge (SQL Server 2008-2012) is required; preferably with Microsoft SQL server\nKnowledge of HTML and Javascript is preferred\nExperience in Cloudera Hadoop preferred\nExperience demonstrating knowledge of agile methodology and experience working on agile teams and in agile environments is strongly preferred; experience with JIRA is preferred\n\nResponsibilities:\nMaintain and update Tableau dashboards of various teams in the organization\nCreate data sources to be easily interpreted from raw data for teams to use\nManage and deliver continuous improvement of steady state dashboard, including improving the existing capabilities as requested by business partners\nPartner with Service Managers and external clients to display pertinent metrics and site information in both QA and Production environments\nEnsure dashboard is correctly integrated with the appropriate data structure and model\n  What\xe2\x80\x99s in it For You?\xe2\x80\xaf \nWorking for a well-known, international Fortune 50 company\xe2\x80\xaf \nFlexible schedule in a laid back and relaxed work environment\xe2\x80\xaf \nAccess to enterprise business intelligence tools, including Tableau\xe2\x80\xaf \nExposure to high-level business professionals in a variety of departments and geographic locations'"
b'Data Analyst',b'Revolut',"b'New York City, NY, US'","b'About The Team\n\nData sits at the heart of Revolut and plays a uniquely crucial role in what we do. With data we build intelligent real-time systems to personalise our product, tackle financial crime, automate reporting, track team performances and enhance customer experiences.\n\nFundamentally, data underpins all operations at Revolut and being part of the team gives you the chance to have a major impact across the company \xe2\x80\x93 apply today to join our world class data department.\n\nWhat We Need\n\nWe are looking for smart and ambitious people who can help us understand our data better. Your main weapons will be SQL, dashboards, statistical techniques and a thorough understanding of our business. You will be joining the Retail Growth team, working on all aspects of North American growth.\n\nThe Retail Growth team is full-stack and operates with the sole focus of driving daily active users on the product. The department is cross-functional, encompassing teams spanning product, engineering, data, design, research, marketing, operations and partnerships. Our goal is to change the way people interact with and manage their money, and make Revolut the #1 FinTech App in the US.\n\nWhat You Will Be Doing\n\nUnderstand our business and its processes through our data\nApply this understanding and knowledge of our data to help product teams\nCreate and maintain new aggregated views and tables to simplify data querying\nMaintain and create new dashboards to track metrics and visualise insights\nPromote data literacy across the company, organise and hold workshops\nAlign with local Head of Growth to help drive user acquisition in your market and make the customer on-boarding journey seamless\nHelp drive go-to market strategy for all products in the US market, working closely with Growth Leads and Product Owners\nDrive local customer research to ensure we\xe2\x80\x99re solving real customer pain points and addressing their needs from the start\nAnalyze, prioritize, optimize, and repeat\n\nWhat You Will Need\n\nProven work experience as a Data Analyst or Business Analyst\nStrong SQL skills, experience with analytical databases is a plus\nData-driven storytelling and visualisation skills (with tools like Tableau, PowerBI, Metabase ect)\nAttention to detail\nExperience coding in Python is a plus\n\nPerks And Benefits\n\nYou\xe2\x80\x99ll get to work in one of the hottest and fastest growing tech startups in the world right now\nWe\xe2\x80\x99ll arm you with all of the latest tech equipment\nCompetitive salary\nCompetitive 401(k) plan\nCompetitive vacation policy\nFree dinners\nFlexible work hours'"
b'Data Analyst',b'UBS',"b'Weehawken, NJ, US'","b""Job Reference #\n207432BR\n\nCity\nWeehawken\n\nJob Type\nFull Time\n\nYour role\nDo you enjoy transforming complex data into a story that brings new information and convinces people to take actions? Do you enjoy the challenge of having to communicate across different levels of understanding? Are you an experienced data analyst with expertise in Regulatory programs or Financial Services? Are you a problem solver with a strong eye for detail that likes to credibly challenge the process?\n\nYour Role:\nEstablishing relationships with business stakeholders to identify and address relevant areas; Client Risk, Periodic KYC (PKR) data analyses, develop monthly metrics for the quality control testing team, middle office and other AML KPIs Evaluate effectiveness of processes and controls; proactively identify gaps, define solutions, and execute on process and control improvements\nActively collaborating with other teams and SME's to identify relevant data sources, help develop value-add assessments and deliver critical time bound rollouts\nAdvising stakeholders on analytical approaches\nBlending and analyzing data from various sources towards providing support for stakeholders\nEffective communication and presentation skills. Strong ability to take an ill-defined concept, analyze and translate it into functional and non-functional specifications to drive meaningful business decisions.\nEffective presentation skills with the ability to inform/educate stakeholders about the findings of the analysis\nWork closely with and establish effective communication channels with key stakeholders, SME's and clients to gather project requirements, specifications and limitations in order to develop state of the art reporting capabilities.\nCommunicate effectively across all levels of the organization\n\nYour team\nWorking on Pentagon under Financial Services Inc. supporting the WM COO organization. Duties span over PKR remediation, KPI/KPC, Risk Assessment, Customer Risk Rating, and MIS Reportage.\n\nYour expertise\nKnowledge of internal UBS systems and processes, a plus.\nFamiliar with Financial Services topics, such as:\n\n\xef\x82\xa7 Account E99 Flags\n\xef\x82\xa7 Types of Accounts (DVP/RVP, Personal Interest Companies, BUSA Standalone, etc.)\n\xef\x82\xa7 Account Status (Active, Closed, Closed - Held Away)\n\xef\x82\xa7 Household Groupings (Statement HH, Marketing HH)\n\xef\x82\xa7 CAI Account Fields (Employee Accounts CR1/CR2, etc.)\n\xef\x82\xa7 Account Finances (AUM, Revenue)\n\xef\x82\xa7 Customer Risk Rating\n\xef\x82\xa7 Account ownership types\nFamiliar with Client Onboarding, PKR, Risk Rating processes\nMinimum 2+ years in Finance, Compliance or Risk role encountering BSA/AML matters regularly.\nMinimum 4+ years of Data Analytics experience\n\nYour Expertise\n4 year college degree or international equivalent with studies in or relating to engineering in computer science or business preferred, graduate degree in a related field (including: computer science or finance) or an MBA is a plus\nMinimum 4+ years of experience in data analytics related roles\nGood understanding of finance and regulatory programs\nExperience in applying advanced statistical techniques, such as, descriptive statistics, statistical modelling, machine learning, a plus\nExperience in working with large and complex data sets\nExpert proficient in PowerPoint, Excel, VBA programming, Microsoft Access, SQL, Tableau, and Alteryx. Python proficiency preferred.\n\nAbout Us\n\nExpert advice. Wealth management. Investment banking. Asset management. Retail banking in Switzerland. And all the support functions. That's what we do. And we do it for private and institutional clients as well as corporations around the world.\n\nWe are about 60,000 employees in all major financial centers, in more than 50 countries. Do you want to be one of us?\n\nJoin us\nWe're a truly global, collaborative and friendly group of people. Having a diverse, inclusive and respectful workplace is important to us. And we support your career development, internal mobility and work-life balance. If this sounds interesting, apply now.\n\nDisclaimer / Policy Statements\nUBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce."""
b'Data Analyst',b'Capacity LLC',"b'North Brunswick, New Jersey'","b""Capacity LLC is a fast-paced, high growth logistics company located in North Brunswick, NJ. We provide e-commerce fulfillment services to high end beauty and skincare companies, working closely with C-level executives and entrepreneurs.\n Capacity LLC is looking for a Data Analyst to join our growing Engineering team. This position will help with data analysis and data visualization for internal as well as external stakeholders. We are looking for an individual with passion for data and learning new technologies to help top management make informed decisions.\n Previous experience in manufacturing, warehousing, logistics and/or supply chain is desired but not required.\n Responsibilities\n\xe2\x80\xa2          Interacting with multiple stakeholders to understand business and data requirements\n\xe2\x80\xa2          Analyze the complex datasets and create models to interpret and predict trends or patterns in the data using time series analysis, forecasting, linear regression analysis\n\xe2\x80\xa2          Collaborate with IT and Engineering to develop database structures and ensure the integrity of data in the data warehouse\n\xe2\x80\xa2          Plan, design, and implement dashboards and data visualization in Tableau to meet the needs of the organization\n\xe2\x80\xa2          Use SQL skills to work on projects involving the warehouse management system\n\xe2\x80\xa2          Use advance Excel skills to manage data in the warehouse management system\n Qualifications:\n\xe2\x80\xa2          2+ year experience with SQL and relational database design\n\xe2\x80\xa2          Strong experience working with raw data and manipulating large datasets\n\xe2\x80\xa2          Passion for using and learning new technology to streamline business processes\n\xe2\x80\xa2          Bachelor's Degree in Information Technology or related field\n\xe2\x80\xa2          Experience with data visualization tool such as Tableau, PowerBI etc. is a strong plus\n  *This position is located in North Brunswick, New Jersey.\n """
