title,company,location,job description
b'Senior QA Test & Automation Engineer (Data Analytics)',b'Brain Corp',"b'San Diego, CA, US'","b""Brain Corp is a San Diego-based AI company creating transformative core technology for the robotics industry. Our diverse engineering teams in Software, Hardware Design, and Embedded Systems are creating comprehensive solutions to support the builders of today's autonomous machines in successfully producing, deploying, and supporting commercial robots across industries and applications. Brain Corp is funded by the SoftBank Vision Fund and Qualcomm Ventures. For more information please visit: www.braincorp.com.\n\nWe are seeking a Senior Software QA Test & Automation Engineer (Data Analytics) who will design, develop, and oversee the execution of test protocols for functional verification and validation for autonomous mobile robots. This role works closely with internal teams across our Software and Hardware departments and will be directly involved in the innovation of next generation technologies. You will be directly responsible for maintaining the quality of our image processing/matching algorithms, evaluating partners tools, and supporting analytical data.\n\nTasks & Responsibilities\nExecute manual and automated test suites\nImplement test methodologies for testing and accuracy assessment for analytical data based on image processing\nCreate and maintain data pipelines and advanced analytics that capture data for reporting purposes using scripting languages such as Python\nBuild evaluations and metrics to quantify performance for multiple algorithmic data pipelines\nDesign and implement automated scalable tests to run in cloud against multiple data streams\nTrack and build databases with historical data and process them as needed for internal/external use\nCreate shareable test reports with metrics and visualizations\nInvestigate observed behaviors and gather diagnostic data to track issues to their source\nDrive issues to closure by working with cross-functional teams\n\n\nWhat You Need\nBS or MS in Computer Science, Computer Vision, AI, ML, Math, Physics or related fields\n8+ plus years of professional experience as a Software Test Engineer with experience testing both software and hardware\nExcellent programming skills, including proficiency in Python\nGood understanding of structured and unstructured data: SQL, NoSQL, MySQL, etc\nKnowledge of REST APIs and their usage\n\nThings that make a difference\nExperience with cloud computing (AWS, AZURE or similar)\nExperience with computer vision, machine learning, and/or image processing (work with semantic segmentation, object detection, and image classification)\nStrong knowledge of software development lifecycle, testing methodologies, QA terminology and processes\nExcellent written and verbal interpersonal skills, ability to describe and document clearly\nPassion for quality, and exceptional attention to detail\n\nThis position is located at our San Diego headquarters and reports to the Director of Software Quality Assurance."""
b'Senior Data Governance Analyst',b'Planet121',"b'San Diego, California, United States'","b""Planet121's direct end-user client is looking for a Senior Data Governance Analyst for an initial 8 month contract in San Diego, CA. This position will be a key member of the GIS Data Governance team for implementations and project support. \n\n\nMy client has a secure work environment and this position may require government clearance & eligibility. US Citizens and Green Card holders are encouraged to apply.\n\nQualifications\n7+ years of experience in Data Governance, Data Quality, Data Migration, Data Preperation and/or Data Architecture in SAP, SalesForce DC and/or Siemens Team Center Environments\nMultiple SAP, SalesForce DC and/or Siemens Team Center Environments a plus\nAbility to communicate technical issues and solutions to business partners both verbally and in writing\n\nPlanet121 Company Description \n\nPlanet121 is an internationally recognized IT Consulting Services firm established since 2003 with a specialty in SAP, Cloud Solutions & Big Data. We understand the marketplace and pride ourselves on serving IT candidates as individuals, not commodities. We recognize a candidate's personalized skills and can match them with both direct end clients and select consulting partners.\n\nAdditional Information\n\nIf you are interested, please respond to this ad with an updated resume and a summary of your skills. We look forward to hearing from you soon.\nAll your information will be kept confidential according to EEO guidelines.\n\n*SAP is the trademark of SAP AG in Germany and in several other countries"""
b'Data Analyst',"b'Midland Credit Management, an Encore Capital Group Company'","b'San Diego, CA, US'","b'Here at MCM, we recognize and value success: for our consumers, for our communities, for you as an individual, and for us as a team. We support your career aspirations and provide the benefits you need to live the fulfilling life you want. You make a difference for us through your attitude and achievements and we will always strive to make a difference for you. Be part of MCM\xe2\x80\x99s amazing journey, where your success is valued!\n\nThe Data Analyst is primarily responsible for managing department databases for the Inventory Management department and ensuring data quality is achieved and maintained. This includes establishing processes to monitor data quality and resolve any irregularities by assessing impacts, alerting stakeholders and driving progress toward resolution. The Data Analyst works with business stakeholders to help define user requirements, test and implement new systems and processes to support business needs. This person also develops and runs analyses, tools and ad-hoc reports to support business needs and opportunities. The role works closely with teams across multiple geographies across the globe. The Data Analyst will use tools such as SAS, SQL Server, Excel as well as source systems and best practices to accomplish these objectives. The person will also document best practices and add to and maintain a resource library for analyst teams.\n\nResponsibilities\n\nWrite SQL and SAS code to implement technical solutions to execute business strategy / processes.\n\nDevelop and maintain the monitoring of reports and analytical tools to ensure accuracy, identify trends / issues / opportunities.\n\nPerform ad hoc data extraction, analyses and segmentations as required.\n\nWork with IT to test new data repositories to support the business.\n\nSkills & Experience\n\nRequired Qualification(s):\n\nBachelor\n\nQuantitative field (Economics preferred)\n\nStrong desire to design and develop data processes and reports to support business initiatives.\n\nAppropriately communicate technical concepts with people of varying degrees of technical understanding.\n\nBasic understanding of databases, SQL, data mining techniques\n\nEager desire to learn data management concepts and terminology including data warehouse concepts\n\nProficiency with MS Office (Excel, PowerPoint)\n\nPosition Status\nFull time\nEstablished in 1953, Midland Credit Management, Inc. (MCM), a wholly-owned subsidiary of Encore Capital Group, Inc ., is a specialty finance company providing debt recovery solutions for consumers across a broad range of assets. We are the market leader in portfolio purchasing and recovery in the United States, and we lead the industry with consumer-centric practices that drive results. We have operations in India, Costa Rica, and 35 US Sites.'"
b'Data Engineer / Analyst',b'Illumina',"b'San Diego, CA, US'","b'The selected candidate will report into the Illumina Life Cycle Management team and support the operations organization in the areas of information systems and data analytics. The role will directly support instruments manufacturing and engineering teams by designing and supporting robust, intuitive tools that seamlessly provide the information and insight our teams need. This position will be a part of the larger information systems & analytics team spread across California and Singapore. The systems & analytics team will continue to be responsible for collecting and maintaining instruments manufacturing data, connecting to additional data streams, making data accessible to users, and driving value based on the available data.\n\nResponsibilities\nDevelop and maintain ETL packages for manufacturing data\nAdminister data system configurations in SQL Server\nMonitor and maintain synchronization between data system and manufacturing parameters\nPerform ad-hoc queries in SQL Server to gather instruments data for investigation or analysis\nMonitor usage and influence manufacturing process to encourage data reliability and system uptake\nOrganize and execute user acceptance testing for new functionality releases\nContribute to data visualizations for engineers and production personnel using Tableau, SSRS, or custom web design\nContribute to SQL Server database design to improve efficiency and effectiveness of manufacturing data systems\nContribute to user interface design\nDevelop applications to collect information from users, perform post-hoc analysis of test data, or integrate additional data streams\nDevelop queries in HANA to access and integrate corporate ERP data into manufacturing/engineering reports\nDesign and deploy Denodo views to better integrate data from disparate systems\nDevelop new API\xe2\x80\x99s for external access to manufacturing data; and, integrate existing API\xe2\x80\x99s to provide external data in manufacturing/engineering reports\n\nRequirements\nExperience working with scientific, engineering, or manufacturing data is required\nDemonstrated ability to navigate large, complex datasets to extract useful data is required\nDemonstrated ability to design and implement ETL processes is required\nStrong SQL skills required, SQL Server a plus\nExperience designing HANA queries is preferred\nExperience designing Denodo views is preferred\nExperience designing stored procedures and views is required\nExperience with Relational Database Design is a plus, SQL Server a plus\nExperience with SQL Server administration is a plus\nExperience with report design and/or maintenance in SSRS is a plus\nExperience designing complex technical data visualizations is required, Tableau is preferred\nExperience with Tableau Server is a plus\nWeb development skills including CSS and Javascript are a plus\nExperience performing data analysis and data curation is required, experience with JMP, SAS, R, Python, MATLAB is preferred\nExperience interfacing with manufacturing or engineering customers and processes is required\nExperience executing User acceptance testing is preferred\nExperience operating in a controlled development environment is preferred, experience with Agile development a plus\nExperience integrating external APIs is a plus\nExperience designing applications for data collection is preferred\nAbility to collect, prepare, and present information tailored to both technical and non-technical audiences is required\nStrong analytical, written and verbal communication skills are required\nDemonstrated ability to succeed on multiple concurrent projects in a complex, dynamic, sometimes ambiguous environment is required\n\nEducation\nBachelors or Masters degree in Computer Science, Statistics, Engineering, or related field is required\nTwo years of experience in analytics, data systems design/administration, or related field is preferred\nIllumina believes that everyone has the ability to make an impact, and we are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information. If you require accommodation to complete the application or interview process, please contact accommodations@illumina.com. To learn more, visit: https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf'"
b'Junior Data Analyst',b'Teradata',"b'Tijuana, MX'","b""Junior Data Analyst\nLocation Tijuana, BC, Mexico\n\nTeradata is looking for a Junior Data Analyst who is a SQL enthusiast, collaborator, and quick learner to join our Global Operations team within the Customer Support and Services Organization. If you are inquisitive and searching for an opportunity to find answers in data, let\xe2\x80\x99s talk!\n\nDesired Qualities\nYou possess the knowledge and hands-on skills with data structures and data modeling, either from school or work experience.\nYou are a creative thinker who can turn data into insights that support business decisions.\nYou are resourceful and able to think outside the box to solve complex problems, with a positive outlook and can work both independently and in a team environment.\nYou are open to ideas and willing to learn and grow.\nYou thrive in a dynamic and fast-paced environment.\nYou are detail-oriented and deadline-driven to deliver accurate results on time.\nIf these qualities describe you, you\xe2\x80\x99re the right candidate for the role!\n\nWhat You\xe2\x80\x99ll Do\nPartner with the business and technical teams while translating business requirements into technical specifications and build reports/dashboards in Power BI and ServiceNow\nAnalyze data results and communicate findings in a simple and concise format to business stakeholders\nCollaborate with IT to understand both corporate customer support and services data architecture\nMigrate existing reports/dashboards from existing platforms to Power BI or ServiceNow\nWork closely with the business and technical teams to ensure the project delivery meets the business requirements\nResearch and find solutions for issues related to the reporting environment\nAssist in ServiceNow platform implementation efforts related to reporting and Performance Analytics\nYour Background\nFluent in English (Excellent verbal, written and visual presentation skills)\nBachelor\xe2\x80\x99s Degree in Computer Science, Business or related discipline\n0-2 years of experience working with BI report solutions such as Microsoft Power BI\nExperience with JavaScript\nExperience collecting user requirements with the ability to understand complex business needs and translate them into solutions in Power BI or ServiceNow\nDemonstrated ability to write complex SQL statements and an understanding of logical and physical data modeling\nExperienced with the Microsoft Office Suite with an emphasis on Excel\nComfortable working as a team and as an individual\xe2\x80\x93 strong consultative and consensus-building skills\nStrong analytical and problem-solving skills\nIdeally, you will also have the following\n1+ year of experience with ServiceNow Performance Analytics\nExperience with BI vendors (BusinessObjects/Cognos, Tableau, Grafana, etc.)\nExperience with statistical methodologies and software\nUnderstanding of Agile methodologies such as scrums, development sprints, demos, and sprint reviews\n\nWith all the investments made in analytics, it\xe2\x80\x99s time to stop buying into partial solutions that overpromise and underdeliver. It\xe2\x80\x99s time to invest in answers. Only Teradata leverages all of the data, all of the time, so that customers can analyze anything, deploy anywhere, and deliver analytics that matter most to them. And we do it at scale, on-premises, in the Cloud, or anywhere in between.\n\nWe call this Pervasive Data Intelligence. It\xe2\x80\x99s the answer to the complexity, cost, and inadequacy of today\xe2\x80\x99s analytics. And it's the way Teradata transforms how businesses work and people live through the power of data throughout the world. Join us and help create the era of Pervasive Data Intelligence."""
b'Associate Configuration Data Analyst',b'Cubic Corporation',"b'San Diego, CA, US'","b'Business Unit\n\nCubic Transportation Systems\n\nCompany Details\n\nCubic offers an opportunity to provide innovative technology for government and commercial customers around the globe, helping to solve their future problems today. We\xe2\x80\x99re the leading integrator of payment and information technology and services for intelligent travel solutions worldwide, and the leading provider of realistic combat training systems, secure communications and networking and highly specialized support services for military and security forces of the U.S. and allied nations. If you have an entrepreneurial spirit and thrive in an innovative environment, we want to talk to you about your next role at Cubic! We are seeking employees inspired by technology, and motivated by the rewards of hard work, commitment, teamwork, quality, integrity, and respect. We invite you to explore opportunities with Cubic.\n\nJob Details\n\nJob Summary: Solves complex problems using data analysis techniques throughout the entire data life cycle. Works with public and proprietary data to find new methods of data integration where relationships are often obscured. Designs repeatable and optimized workflows using SQL, python, and other scripting and programming languages to clean, transform, and prepare data for reporting. Uses visualization tools to assist with data validation, mining, pattern identification, and report building. Prepare and deliver oral or written presentations on findings from analyses. This position typically works under close supervision and direction.\n\nEssential Job Duties And Responsibilities\nFilter, clean, and prepare large data sets for more advanced transformations\nPerform statistical analyses, develop new performance metrics, benchmarks, and indices\nAssist in developing and documenting new data models, ERDs, schemas, and data workflows\nValidation and quality control of produced data sets\nSupport the research, interpretation and analysis of transportation data on topics such as urban mobility, land use, growth management, demographic studies, economic development and housing\nParticipate on project teams to develop new reporting and analysis tools and workflows\nAnalyze client information needs and business challenges to determine how they may be addressed through the delivery of customized decision support tools and services\nMay involve external customer interaction\nApply understanding of global and/or local trends and events (e.g., economics, social issues) to assist with the formulation of hypotheses and interpretation of data\nStay current with technical and industry developments, analytics software/tools, and recognized best practices\n\nMinimum Job Requirements\n\nFour year college degree in computer science, statistics, economics, mathematics, operations research, informatics, or related field Experience in developing data warehouses, performing data analysis, database management, data integration, ETL, or similar roles highly desired. Experience with SQL and using Access, MySQL, Oracle, and other RDMS highly desired. Experience with Python, R, Hadoop, HQL, Pig, Oozie, Tableau, Qlikview/Qliksense preferred. Strong analytical and problem solving skills, attention to detail, critical thinking ability, and creativity required. Must have excellent written and verbal communication skills used to effectively communicate and clearly present complex information in a manner appropriate to the audience.\n\nThe description provided above is not intended to be an exhaustive list of all job duties, responsibilities and requirements. Duties, responsibilities and requirements may change over time and according to business need.\n\nWorker Type\n\nEmployee'"
b'Quality Engineer/ Data Analyst',b'Redbock - an NES Global Talent company',"b'San Diego, California, United States'","b'Quality Engineer/ Data Analyst// 6-12 Month Contract// San Diego, CA\n  A medical device client is looking for a data analyst to assist with bringing their manufacturing process online. This is a 1 year long contract with a strong opportunity for extension. Candidates need to be available to be onsite on a full time basis in San Diego.\n  The ideal candidate should have experience reporting process analytics and working with data trackers. Candidates should be coming from an engineering background (ie. Industrial Engineering) and then got involved in data analysis.\n\n  Position Requirements:\n\xe2\x80\xa2  5+ years of Medical device experience working in Data Analytics\n\xe2\x80\xa2  Experience building dashboards and configuring databases within Power BI in support of  Mfg    Operations\n\xe2\x80\xa2 Engineering background and ERP background is crucial, six sigma background because this project has engineering requirements/operations requirements.'"
b'Data Analyst 3',b'BD',"b'San Diego, CA, US'","b""Job Description\n\nJob Description Summary\n\nWe are seeking an experienced data analyst to help drive innovation and make an impact within the world of health. The Data Analyst 3 functions as an integrator between business needs and technology solutions, helping to create technology solutions to meet business needs. The Data Analyst 3 makes complex information and data sets understandable through rich visual formats that are insightful and actionable. You\xe2\x80\x99ll be working to solve complex healthcare problems using large datasets and an array of advanced data analytics tools. Every day you\xe2\x80\x99ll be working alongside energizing product teams that are eager to work with you to solve our customers\xe2\x80\x99 most pressing problems.\n\nThe Data Analyst 3 resides within the Software Technology Solutions, Analytic Services department. Technology Solutions is a software development organization within BD responsible for delivering analytics and surveillance solutions that help hospitals take care of their patients. Capabilities like advanced analytics, user experience design, data science, test automation, project/portfolio management, lean-agile software development practices, and automated software development metrics are critical to our success. Software Technology Solutions provides data products and solutions to our customers using in-depth detailed medical device and hospital data to improve the safety and experiences for all patients.\nOwn an analytics project from start to end including relationship building, requirements gathering, solution designing, collaborating, communicating, documenting, and presenting outcomes.\nBased on others' or your own design, develop, tune, test, store, label, and document code.\nDrive details of how the solution meets the needs including writing test plans, organizing test execution, executing testing, and supporting solutions in production.\nDrive insight by designing professional visualizations with logical and meaningful data flow.\nBuild data visualizations with a strong understanding of the appropriate chart types to use to highlight patterns in the data for unstructured and structured data sets\nCreate and drive solutions that lead to greater efficiency for the Analytic Services team and our customers.\n\nMinimum Requirements\nMust have a Bachelor's degree in Computer Science, Business or a quantitative field.\nMust have a minimum of six years of experience in exploratory data analysis using Excel, Python and/or R.\nMust have a minimum of two years of experience with Python for data manipulation, program development, deployment, and support. Ability to write functions, object oriented code, and leverage automated testing tools such as pytest.\nMust have a minimum of two years of experience with data visualization tools such as ggplot2 or Matplotlib.\nMust have a minimum of four years of SQL coding. Can do complex joins and understands architectural principles.\nMust have knowledge of introductory statistics.\nAbility to work independently, manage small engagements or parts of large engagements.\nMust be a trustworthy business partner who actively communicates and collaborates with team members and customers.\nMust be a stickler for accuracy and quality.\nStrong oral and written communication skills, including presentation skills (MS Visio, MS PowerPoint).\nStrong problem solving and troubleshooting skills with the ability to exercise creativity and mature judgment.\nStrong business acumen.\nStrong interpersonal and communication skills (both written and oral) including the ability to communicate technical/statistical concepts to a non-technical audience.\nStrong candidates are creative, detail-oriented, innovative, and have intellectual curiosity.\n\nPrimary Work Location\nUSA CA - San Diego TC Bldg C&D\n\nAdditional Locations\n\nWork Shift\nNA (United States of America)\n\nJob Category: Professional Services"""
b'Data Analyst',b'Operation Samahan Community Health Clinic',"b'National City, CA, US'","b'This position will support data driven strategies for SAMAHAN HEALTH CENTERS. The Analyst will interact with multi-disciplinary teams to help define clinic needs and scope of services. This position will be accountable for building metrics to develop insights to drive continuous process improvements using data analytic methodologies. The success of this position is dependent upon delivering actionable analytics for cross-functional teams to ensure optimal patient health outcomes.\n\nJob Description\n\nDUTIES & RESPONSIBILITIES:\nCreate extracts from various sources including eCW and perform data analysis to support clinic and Continuous Quality Improvement (CQI) analytical needs.\nCreate innovative approaches to using data driven approaches to manage data sets and clinical performance metrics.\nCollaborate with Samahan Health Centers leads and management team to understand existing information, datasets, tools and resources to improve on existing processes and wrokflows.\nInteract with clinic managers and executive team to communicate critical project/program risks, questions or challenges.\nTranslate clinic needs to functional documentation, process flows, assumptions and risks to assist the clinic in developing appropriate solutions to challenges and issues.\nCommunicate in easily understandable language complex analytic findings to key stakeholders across all levels.\nProvide training to clinic staff and providers on the use and optimization of the clinic\xe2\x80\x99s electronic health record and practice management systems.\nOther responsibilities or projects that may be assigned from time to time.\n\nMinimum Education & Experience\nSuccessful candidate will possess a Bachelor Degree in Business, Statistics, Computer Science, Engineering, Data, Analytics or related discipline or a combination of equivalent education and experience.\n3-5 years of relevant experience with supporting and mining large data sets.\nFamiliarity with eClinic Works and i2iTracks.\n\nAssets\nStrong understand of data relations, standardization and experience using predictive analytics\nExperience in building and managing large databases/data sets\nProven experience in implementing new processes/systems.\nExperience with rCW and i2iTracks.\nMicrosoft Suite including expertise in Excel; Access and PowerPoint\nAble to work on multiple projects simultaneously with a keen desire to learn and expand depth of knowledge\nPrimary Work Location : 1428 Highland Avenue, National City, CA 91950.'"
b'Data Analyst',b'Promedia',"b'San Diego, CA, US'","b""The Customer Engineering Operations team in San Diego is devoted to the support of our internal Engineering personnel as well as our External Customers. This position will be based in San Diego and working in the Customer Engineering Operations team supporting all data analysis activities. Candidate will be responsible for working with a number of different systems to track, report, data mine, and ascertain critical business trends and perform necessary analysis as needed for NRE and non-NRE headcount, budget, third party and IoT business activities. This individual will work via email and telephone with the Ops teams across several countries and must have good writing and verbal skills. Use of multiple business intelligence tools to track and assemble reports for end users. Creation and development of Reports/Dashboards and carrying out statistical analysis and trend analysis of data. Creation of annual billing reports per agreements as needed. Close partnership with the San Diego Ops team for the creation of Salesforce Projects as needed and to capture customer support efforts. Working with IT to troubleshoot day to day end user issues with reporting tools (Salesforce/Qlikview). Candidate will use Excel and Powerpoint skills and should be highly detail oriented.\n\nMinimum Qualifications\n\nBachelor's in Electrical Engineering or Computer Science Knowledge of ThoughtSpot and Qlikview tools Expert level knowledge in MS Office, including mastry in Excel (current versions) and MS Powerpoint Proven experience working with Big Data and able to provide customized BI solutions Experience working with data analysis, including driving needs gathering, documentation creation and reporting Salesforce Dashboards and Reporting expertise Salesforce Dashboards and Reporting expertiseSalesforce Dashboards and Reporting expertise\n\nPreferred Qualifications\nMBA with Engineering or Computer Science Degree (MSEE, MSCS, BSEE) -Experience in creating Statement of Work for Engineering Projects -Knowledge of Salesforce\nEducation\n\nStrongly preferred: Bachelor's, Computer Science and/or Electrical Engineering\nPreferred: Master's, Business Administration and/or Computer Science and/or Electrical Engineering\nDuration: 12 months+"""
