title,company,location,job description
b'Data Integrity Analyst',b'Netpace Inc',"b'Foster City, California, United States'","b""Job Responsibilities:\n\nProvide data integrity support to internal sites and external partners to promote operational maturity and GxP inspection readiness.\nMonitor new and emerging regulatory health authority requirements and good practice guidance for GxP computerized system, IT controls and compliance for creation and handling of data in accordance with cGMP requirements.\nIdentify key performance indicators, metrics and success criteria that are relevant to data integrity capabilities within the supply chain operations. Align with other analytics and business intelligence initiatives in the laboratory, quality, manufacturing, supply chain and outsourced operations.\nPerform data integrity maturity assessments and provide support to external partners' remediation activities.\nPrepare and review data integrity policies, standards, procedures and validation lifecycle documents.\nProvide support for the execution of validation activities, data and system process mapping, as required.\nDeliver data integrity training to various stakeholders as needed.\n\nQualifications:\nExperience as leader in a dynamic IT QA environment\nBSc in a scientific field and / or related work experience in the SDLC\nExperience in Computer Validation / Data Integrity with a strong understanding of GAMP, 21 CFR Part 11, as well as related EU regulation and guidance.\nAbility to understand various enterprise systems being used in a regulated environment, and the impact of propose DI solutions on multiple stakeholders\nSelf-starter with excellent oral and written communication skills."""
b'Data Analyst',b'Global Talent Accelerator',b'San Francisco Bay Area',"b'Please note that this role is located in the United States. US and Canadian citizens only.\n\nPosition:  Data Analyst \n\nJob Reference:   DA-ISFB-230320\n\nLocation:  Silicon Valley, USA \n\nJob Type:  Full time / Contract; with renewal on an annual basis\n\nVisas and Immigration:  Company will cover the cost of a work permit and will provide relocation advice. US and Canadian citizens only. \n\nThe Company: Publicly funded technology company. This company specializes in providing online data services to businesses and individuals. The company is growing as there is an increased demand for their services. \n\nRequirements:\n5 to 10 years experience: \nPython for data manipulation & transformation (python dictionaries, data frames, data stream, joins of all kinds, outside of SQL IDEs)\nPython modeling\nShould have experience in designing, creating and defining Models.\nHands-on experience in ML/DL/AI\nResearch skills \xe2\x80\x93ability to go figure it out and come back with a working model. \nEvaluating pros & cons analysis skills\nMust know SQL very well. Must understand relation and ER diagrams/normal forms.\nAbility to design, create, extend/iterate, manipulate, seed with realistic data/data exploration, create and optimize queries, operate at low scale and high scale\nTableau experience is preferred\nStrong work ethic, independent problem-solving skills, self-motivated\nStrong communication skills \nBachelor\xe2\x80\x99s Degree in related discipline'"
b'Data Analyst',b'Twitch',"b'San Francisco, CA, US'","b'About Us\n\nLaunched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We\xe2\x80\x99re always live at Twitch. Stay up to date on all things Twitch on LinkedIn , Twitter and on our Blog .\n\nAbout The Role\n\nData is central to Twitch\xe2\x80\x99s decision-making process, and analysts are a critical component to promote data-driven decision making in all of our operations. As an analyst at Twitch, you will be in on the ground floor with your team, shaping the way product performance is measured, defining what questions should be asked, and scaling analytics methods and tools to support our growing business, leading the way for high quality , high velocity decisions for your team.\n\nYou Will\nEvangelize data knowledge and insights: manage communications with your stakeholders and other teams, collaborate with both technical and non-technical colleagues to complete data projects and ensure all parties can use the insights to further improve.\nMaintain a customer-centric focus: aim to be a domain and product expert through data, develop trust amongst your peers and stakeholders , and ensure that your team has access to data to make decisions.\nWork with stakeholders and mentors to distill the problem, adapt your tools to answer complicated questions, and identify the trade-offs between speed and quality of different approaches.\nCreate analytical frameworks to measure team success: partner with cross-functional teams to define success metrics, create approaches to track the data and troubleshoot errors, quantify and evaluate the data, then develop a common language for all colleagues to understand these KPIs\nOperationalize data processes - provide the team with ad-hoc analysis, automated dashboards, and self-service reporting tools so that everyone gets a good sense of the state of the business\nYou Have:\n3+ years of industry experience in a relevant field\nA/B testing experience with an understanding of hypothesis testing and power analysis\nExpert SQL skills--your ability to tap into our data pipeline will be key to your success\nProven track record of using data to create insight and achieve our goals\nFluency in data analysis and communication around data, including time series analysis, experimentation, data visualization, and defining KPI strategy for your business\nPerks\nMedical, Dental, Vision & Disability Insurance\n401(k)\nMaternity & Parental Leave\nFlexible PTO\nCommuter Benefits\nAmazon Employee Discount\nMonthly Contribution & Discounts for Wellness Related Activities & Programs (e.g., gym memberships, off-site massages , etc. )\nBreakfast, Lunch & Dinner Served Daily\nFree Snacks & Beverages\n\nPursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.\n\nWe are an equal opportunity employer and value diversity at Twitch. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.'"
b'Data Analyst',b'Appen',"b'Sunnyvale, California, United States'","b'Position Summary:  Data Analysts support decision making across Appen\xe2\x80\x99s business by organizing, analyzing data and providing insights to internal teams and external clients. As Analyst position levels increase, so will the expectations, scope of responsibilities and impact.\n(There are 4 openings at varying levels of experience)\n\nKey Responsibilities\nConsolidate, cleanse and transform data to prepare for reporting and analyses.\nCreation and measurement of key performance indicators and metrics.\nDesign and prepare periodic and ad hoc reports, presentations, and exploratory analysis that are designed to use raw data to provide key insights to members of the Client Services organization.\nA truth seeker. You ask why, and you question every assumption. You will be asked to probe assumptions, question the status quo, and follow up on unexpected data results.\nWhere necessary, complete additional tasks as assigned.\n  Required Knowledge, Skills and Abilities\n   Ability to apply high-level analytical, statistical, and quantitative problem solving skills to a variety of different scenarios and make recommendations based on outcomes.\nFlexible, independent, motivated self-starter who can establish a course of action for self and others and drive initiatives to completion.\nAbility to proactively identify problems, gather information and drive course of action for self and others.\nInnovative thinker who drives self and others in the development and implementation of new ideas; unafraid of taking risks to accomplish corporate level goals.\nExceptional time management and organizational skills with acute attention to detail.\nPassionate about learning new skills and technologies.\nExcellent communication skills including an ability to present information clearly and concisely in writing or verbally to a wide audience including clients, managers and senior leaders; effectively uses active listening skills.\nDriven to focus on quality and drives team members and peers to deliver exceptional quality and service.\nEmbrace a commitent Appen core values and company vision.\n  Qualifications\nBachelors Degree in Business, Operation Research, Applied Mathematics, Statistics, or other Data Sciences; or an equivalent combination of education and 1+ years experience.\nDelivered data insights using different data sources; SQL, Excel and at least one business intelligence tool such as Tableau, PowerBI or Mode Analytics is preferred.\n\nWe are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.'"
b'Data Analyst',b'Weee!',"b'Fremont, CA, US'","b'Perform quantitative research and data analytics and derive insights from complex data\n\nsets on the consumer behaviors using statistical techniques in SQL and Python; work\n\nwith cross-functional teams to ensure data is being collected efficiently and accurately;\n\nand record, organize and manage the large amount of information collected; research,\n\nanalyze and study on the large data sets and apply financial and quantitative methods to\n\nform and test hypotheses; analyze and interpret the data analysis results to help\n\ndepartments to optimize their work by making reliable decisions to drive financial value\n\nto our company; design analytics reports and dashboards for the internal business team as\n\nwell as enterprise and customers; performs studies to determine impact of products and\n\nservices offered, market potential and competitive intelligence; draw insights to the\n\ncollected data for customers through leverage both traditional analytics and machine\n\nlearning.\n\nRequirements\n\nMaster\xe2\x80\x99s degree in financial mathematics, or other closely related\n\nfield, plus two years of related experience as an analyst.\n\nBenefits\nComprehensive health insurance package, including medical, dental, and vision.\nFree lunch daily, catered by local restaurants.\nAnnual bonus opportunities.\nCompany stock options.\nVacation and holiday time off.\nMonthly mobile stipend.\nMonthly Weee! Points credit.\nValuable opportunity to grow into your dream.\n\nWe are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.'"
b'Data Analyst',b'Roku Inc.',"b'San Jose, CA, US'","b'At Roku, Data Analysts leverage Big Data to generate insights that fuel Roku\xe2\x80\x99s most significant business decisions. Data Analysts use a combination of technical skill, business intuition, and analytical thinking to partner with business leaders and provide actionable recommendations. Data Analysts are Roku are thought partners to executive business leaders, so communication and presentation are enormously important. Data Analysts do not take direction from business owners and execute on ad-hoc questions, they proactively identify the areas of the data and business that require attention and formulate analyses, insights, and recommendations based on an excellent command of the needs. The Data Analyst role at Roku is a perfect fit for anyone who wants to continue to evolve business domain expertise alongside technical and analytical development.\n\nThe Role\n\nRoku is looking for a Data Analyst to play an instrumental role in helping Roku to continue it\xe2\x80\x99s success by providing insightful segmentation, analysis of platform and behavioral trends, and A|B testing. A Data Analyst need not only have strong technical abilities to retrieve, manipulate, analyze, and visualize data but also excellent communication capabilities. One of the key requirements of the role is to be able to Collaborate with stakeholders and satisfies immediate business needs\n\nResponsibilities\nUse Roku\xe2\x80\x99s Big Data to perform a thorough analysis\nDesign and evaluate A/B experiments.\nDevelop data visualizations that illustrate complex platform phenomena using Tableau, looker etc.\nPartner with leadership, engineers, product managers and data engineers to understand data needs\nUse creativity to find proxies where verbatim data or measurement is unavailable\nIdentify new applications for the myriad logged events in Roku\xe2\x80\x99s immense data catalog\n\n\nTechnical Experience/Qualifications\n2+ years of relevant experience as a data analyst in technology, e-commerce, finance, or ad-tech\nExcellent command of SQL and experience working with Big Data\nExperience coding in R or Python\nExperience with data visualization platform like Tableau, Looker etc\nStatistics knowledge: A/B testing, statistical inference, interpretation of data, etc.\nStrong communication skills\nOwnership mindset, you own end to end lifecycle of a product starting from ideation, rollout to post-launch performance tracking\nAcademic background in math, physics, computer science, economics'"
b'Data Analyst',b'JPI',"b'Alameda, California, United States'","b""JPI has an immediate opening for a highly motivated strategic thinker and data management professional to support day to day initiatives and tasks for the USCG. The ideal candidate will have 3+ years management consulting experience to assist the client with efforts involving data manipulation, interpretation, and reporting through the utilization of the client's in-house data reporting tool. The candidate must also provide strategic planning and communications support to deliver on overarching organizational strategies and initiatives, while effectively communicating to both internal and external stakeholders.\n At JPI, we develop and deliver impactful solutions that have transformed organizations by successfully implementing strategic initiatives, solving complex business challenges, and developing forward\xe2\x80\x90thinking technical solutions for our clients and their stakeholders.\n This work will take place on Coast Guard Island at Base Alameda in California.\n\nResponsibilities Include:\nData analytics, forecasting, performance measurement, metrics generation and reporting\nSynthesize data into a reporting dashboard and make recommendations on forecasted assessments\nDevelopment and maintenance of integrated master schedules / project plans and dashboards\nUse of project management information systems to support ongoing project management efforts\nLeading and facilitating client meetings and exercises and capture meeting minutes/action items\nDevelop project artifacts including charters, agendas, minutes, and correspondence with appropriate classification designation (i.e. FOUO, PII etc.)\nContribute to program management working sessions and supporting program managers in executing day-to-day project management activities\nSupport development of strategic communications and communications deliverables\nSupport development of internal and external communication action plans and follow-on implementation efforts in a deadline-driven environment\nSupport development of a variety of communications deliverables such as white papers, fact sheets, FAQs, talking points, presentations/briefs, newsletters, blogs, feature stories, etc.\n\nRequirements Include:\nBachelor's degree in business, management, communications or a related field\nExperience in database usage, report generation and data analysis\nHands-on experience with data visualization tools (i.e.: Tableau, iDashboards, etc.) is a plus\nExperience using MS PowerPoint and Excel\nStrong interpersonal, written and oral communication skills\nStrong, substantive writing experience\nExperience with MS SharePoint configuration, MS Access, and Oracle is a plus\nExperience in communicating and customizing complex strategic messaging that is easily understood by diverse stakeholder audiences\n JPI is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status."""
b'Data Analyst',b'Flexport',"b'San Francisco, CA, US'","b""Build the programs to help Flexport grow\n\nThe Opportunity\n\nFast, accurate insights are integral in allowing us to fulfill our mission of fixing the user experience in global trade. At Flexport you\xe2\x80\x99ll conduct analyses that are at the forefront of reshaping the entire logistics & supply chain industries. You\xe2\x80\x99ll work alongside self-starters interested in solving real-world problems and streamlining the inefficiencies in the complex global trade industry. You\xe2\x80\x99ll have the opportunity to improve an industry by analyzing the new operating system for global trade.\n\nYou Will\nFlexport is a company that runs on data - you'll be transforming data into action by working cross-functionally with the entirety of Flexport;\nMeet with business stakeholders, understand business requirements, and use your analytic mindset to implement solutions ranging from process improvements to dashboards. Our mantra is to make sure everyone is working smarter rather than just harder;\nRapid prototype new functionality via dashboards to enable new ways of working and discover best practices for workflow management across all of Flexport's departments;\nContribute and grow the culture of excellence on our team by bringing processes and best practices to our group.\n\n\nYou Should Have\n1+ year(s) of experience in a Data Analyst, Business Analyst or similar role using SQL and/or Python/R focused on product analytics;\nSQL fluency with experience using a scripting language like Python or R. Strong Excel fundamentals a plus;\nExperience building dashboards - you know the trade-offs and impacts of using one metric versus another;\nNext level communication skills and empathy to understand and discover business pain points and build solutions to improve the user experience at all levels of the global trade process.\n\n\nYou Will Get\nExperience at a fast-growing company that lives and breathes data;\nThe opportunity to define data culture\nAnalytic ownership \xe2\x80\x93 discover the highest value-add projects and see them through from ideation to impact.\n\n\nAbout Flexport\n\nWe believe global trade can move the human race forward. That\xe2\x80\x99s why it\xe2\x80\x99s our mission to make global trade easier for everyone. We aim to do this by building the Operating System for Global trade - a strategic model combining advanced technology and data analytics, logistics infrastructure, and supply chain expertise. Flexport today connects almost 10,000 clients and suppliers across 109 countries, including established global brands like Georgia-Pacific as well as emerging innovators like Sonos. Started in 2013, we've raised over $1.3B in funding from SoftBank Vision Fund, Founders Fund, GV, First Round Capital and Y Combinator. We\xe2\x80\x99re excited about the three big ways we\xe2\x80\x99re moving forward after our recent $1B investment from SoftBank Vision Fund in February 2019.\n\nWorried about not having any freight forwarding experience?\nDon\xe2\x80\x99t be! We\xe2\x80\x99re building the first Operating System for Global Trade. That\xe2\x80\x99s why it\xe2\x80\x99s incredibly important for us to bring people from diverse backgrounds and experiences together with our industry veterans to help move the freight forwarding industry forward.\nWhat\xe2\x80\x99s freight forwarding and why does it matter? Freight forwarding is the coordination and shipment of goods from one place to another and it\xe2\x80\x99s what makes global trade possible. Flexport is on a mission to make global trade easier for everyone because we believe it can help connect the world and break down economic barriers.\nWe know this industry is complex. That\xe2\x80\x99s why we invest in education starting day one with Flexport Academy, a one week intensive onboarding program designed specifically to set every new Flexport employee up for success.\n\nWe are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."""
b'Data Analyst',b'Tesla',"b'Fremont, CA, US'","b'The Role\n\nAs a Data Analyst on the Supply Chain Automation team, you will analyze and visualize data to help with the successful launch and scale of our various programs and so that we can make better decisions as a company. In particular, you will be the lead for ensuring that the large supply chain datasets we have are effectively utilized by the global supply management team.\n\nResponsibilities\nCreate reports and data visualizations to guide decision-making across the supply chain team\nCommunicate your findings effectively to anyone in the company from executives to engineers\nExperiment and learn rapidly\nLead data analytics vision for global supply management\n\nRequirements\nBachelor\xe2\x80\x99s degree in a quantitative field and/or equivalent experience or evidence of exceptional deductive ability\nExpert in data analysis, visualization, and communication, with prior full-time work experience strongly preferred\nExperience creating dashboards/visualizations using, e.g., Tableau (or similar)\nProficiency with SQL, and comfort with PythonDetail-oriented/relentless, willing to find cracks in the system to expose problems\nAbility to work in a fast-paced start-up technology environment and deliver excellent results\nStrong communication skills, and ability to work with multiple stakeholders.'"
b'Data Scientist/Analyst',b'Wilbur Labs',"b'San Francisco, California, United States'","b'About Wilbur Labs\nWilbur Labs is a startup studio that is building a portfolio of companies at the intersection of marketing and technology. We are founded by a team of ex-Googlers who are reinventing the way companies are built by leveraging data and automation across the entire business lifecycle. Our approach to building businesses eliminates inefficiencies and opens the door to scaling much faster than traditional companies.\n\nRole & Responsibilities\nWork closely with various stakeholders to produce data-driven business insights\nOwn analytics dashboards across the Wilbur Labs portfolio\nDesign and run A/B tests and other experiments for the companies in the portfolio\nBuild cutting-edge ML models to solve complex technological problems for the companies in Wilbur Labs portfolio\n\nMinimum Qualifications\nApplied experience executing analysis, communicating results and developing metrics that matter\nExperience with data tools - SQL, Python; proficiency with spreadsheets\nTrack record of building and launching Machine Learning models as part of working products\nSolid understanding of the A/B testing and experiment design both in theory and in practice\nComfortable and effective at juggling multiple projects and priorities simultaneously in a fast paced work environment\nAbility to communicate clearly in reports and documentation\nPreferably be located in or willing to relocate to the San Francisco Bay Area\n\nBONUS POINTS\n2+ years experience working in an analytics organization or related field\nA solid math and statistics background\nA Masters degree (or higher) in a technical field (Data Science, Statistics, Operations Research, Math, Computer Science, Physics)\nUnderstanding of BI/analytics tools (Tableau, Power BI, Looker, Sigma etc.)\nKnowledge of experimentation platforms (Optimizely, VWO, Omniconvert etc.)\nExperience with Google Cloud (BigQuery, Data Studio)'"
