title,company,location,job description
b'Salesforce Data Analyst',b'Avalara',"b'Seattle, WA, US'","b'Description\n\nJOB DUTIES\nCreate Tables & Diagrams of all existing automations/integrations on Salesforce components\nTrack weekly spring work updating existing documentation to match changes being made to processes\nWrite test scripts for each new process being rolled out on a biweekly basis\nUpdate documentation detailing the integrations into our Salesforce Instance\nAssist in maintaining and managing Jira ticket movement\nAssist in report running and data analysis to contribute to deprecation of technical debt\n\nQualifications\n1-2 years of Salesforce administration experience\nDemonstrated experience with Salesforce documentation and testing\nSolid understanding in business analysis, including intermediate Excel and Jira skills\nExperience using Salesforce data tools such as Data Loader, DemandTools\n\nPreferred Qualifications\nExperience working with large-scale, complex datasets\nExposure to iterative/agile projects and with standardized development and promotion processes (staging environment vs. production)\nUnderstanding of multiple SF Clouds: Service, Sales, Communities, CPQ and FinancialForce\nAvalara is an Equal Opportunity Employer committed to a diverse, inclusive, and innovative environment. Avalara does not discriminate against any employee or candidate based on age, ancestry, race, color, national origin, religion, gender identity or expression, sex, sexual orientation, disability, veteran status, or any other characteristic protected by applicable laws.'"
b'Test Data Management Analyst #3251',b'Costco Wholesale',"b'Issaquah, Washington'","b'Position Summary\nThe Test Data Management (TDM) Analyst will plan, design, configure, implement, and support Costco\xe2\x80\x99s enterprise test data management capabilities. The TDM Analyst supports solutions for test data such as provisioning, subsetting, masking, synthetic data generation, and refreshing. The position will require the TDM analyst to develop test data design recommendations and solutions, while executing against test data management plans and test data governance. This role involves collaboration with many IS teams to deliver test and non-production data for applications across the enterprise.\n\nJob Duties/Essential Functions\nImplements and supports technical capabilities, repeatable processes, and best practices to support test data management.\nDevelops test data management solutions, plans and strategies for test data lifecycle.\nCreates reports for management on Test Data Management usability and metrics (Powerpoint, Excel etc.)\nPerformance tuning of Test Data Provisioning setup.\nHigh level knowledge of Test Data Automation (Self Service provisioning of Test Data).\nManagement of and including test data discovery, analysis, generation, masking, subsetting, validation, defect resolution, refresh, archival, and purge.\nEnsures implemented solutions meet data security and compliance controls.\nPartners with project development and quality assurance teams to determine test data requirements, assess test scenarios, and determine the appropriate set of TDM Capabilities.\nCollaborates with various IS teams to provision test data in defined environments.\nParticipates and contributes to TDM architecture, governance, design, and planning sessions.\nDevelops Data obfuscation algorithm/rule to scramble sensitive data and maintain data consistency.\nInteracts with technical teams to stay involved and abreast of current and emerging technologies in TDM.\nAvailable to work nights and weekends as necessary and perform 24x7 on-call support on a rotational basis.\n\nExperience, skills, education & licenses/certifications\nRequired:\nHands-on experience with data archival.\nStrong database experience in iSeries, Oracle, DB2 or SQL Server.\nHands-on experience with an ETL or a test data management tool.\nUnderstanding of the following areas:\nTest data management concepts and techniques\nData archival, subsetting, masking, synthetic data generation, shuffling, etc.\nTesting methods and approaches\nData modeling concepts\nInformation security and compliance concepts such as PII, PCI, HIPAA, SOX\nDevelopment methodologies, such as agile, devops and/or waterfall\nProven analytical and problem-solving abilities\nKnowledge of database tools and utilities\nProven ability to work independently and in conjunction with a team\nStrong technical documentation and writing skills\nMust have strong communication skills, including verbal, written, and presentation\nMust have high integrity, accountability, a positive attitude and strong work ethic\nMust have strong interpersonal skills, able to work with people at various technical and management levels\nAble to support off-hours work as required, including weekends, holidays, and 24/7 on call responsibilities on a rotational basis.\nInternational travel may be required.\n\nRecommended:\nBachelor\xe2\x80\x99s degree, or equivalent experience.\nDemonstrated experience in one or more of the following TDM tools: TestBench, Informatica Test Data Management or similar enterprise tools.\nDemonstrated experience in one or more of the following Technologies: Database systems such as Oracle, SQLServer, DB2, IBM AS/400 iSeries.\nInformatica ETL Tool Power Center.\nQuality assurance testing, including ability to write and execute test scripts.\nExperience with data masking, subsetting, and synthetic data generation technologies.\nExperience with IT process automation and integration.\n\nIf hired, you will be required to provide proof of authorization to work in the United States. Applicants and employees for this position will not be sponsored for work authorization, including, but not limited to H1-B visas.'"
b'Data Analyst',b'RGP',"b'Seattle, WA, US'","b'RGP is a global consulting firm helping some of the most recognized companies in the world work differently. Our success comes from a shared belief in rolling up our sleeves and doing the hard work of solving complex challenges, executing plans and implementing technology to help transform organizations.\n\nWorking as a consultant you will be connected to work that matters, putting your expertise to its best use while developing skills for the future. The result is a career defined by you, supported by RGP and built on tangible accomplishments.\n\nAs we continue to grow and deepen our impact on organizations around the world, we are looking for the right people to join us on our mission. If you are interested in being part of our team, there are a few things you should know:\n\nWe are energized by challenges and the effort needed to solve them.\nWe like working with people who are positive, adaptable and growth-minded.\nWe care how work gets accomplished and are deeply invested in the success of our clients and our colleagues.\nIf this sounds like you, we invite you to read on and learn more.\n\n THE RGP CONSULTING EXPERIENCE\nRGP has a unique consulting model that provides opportunities for consultants to work in different ways. Most consultants work in a model where they have the flexibility and autonomy to choose projects aligning to their experience, skills and desired lifestyle. Other opportunities exist in team-based, strategy and solutions work. In all models, you will feel the full support of RGP to assist you in your work and guide you on your chosen path.\n\n PURPOSE OF THE ROLE\nAs a Data Analyst, you will assist business leaders in making improved business decisions through the analysis of large data sets, creation of comprehensive reports and informed recommendations.\n\nATTRIBUTES OF CONSULTANTS WITH RGP\n\nRespect for people and opinions and confidently offer your point-of-view with clients and among colleagues\nA drive for proactively cultivating relationships with clients and colleagues\nOptimism when faced with challenges and complex situations, coupled with the drive to solve client issues\nDedication to continuous improvement and development of your skillset and talents\nA strong personal identification with RGP\xe2\x80\x99s values \xe2\x80\x93 loyalty, integrity, focus, enthusiasm, accountability and talent\n KEY RESPONSIBILITIES OF THE ROLE\n\nAnalyze, manipulate, profile and extracts large data sets\nAssist with documenting requirements\nBuild, review and modify data reports\nTransfer knowledge to client team members to enable them to be self-sufficient in building and maintaining reports to address future needs\n\nDESIRED EXPERIENCE AND REQUIREMENTS\n\nBachelor\xe2\x80\x99s Degree in Finance, Accounting, MIS or other related business discipline required\n5 to 10 years of data analysis experience\nStrong understanding of financial statements and the interrelationship of the income statement, balance sheet and statement of cash flows, including account reconciliation and financial analysis skills\nExcellent interpersonal communication skills\nCapable of working independently; a self-starter\nExperience with SAP or Oracle software required, including the ability to access reports and data as needed\nIntermediate to Advanced Excel skills required, including strong data retrieval and downloading abilities, and proficiency with macros, PowerBI, PowerPivot, etc.\nTechnical capability in one or more of the following: SQL, Tableau, QlikView, Cognos, ERWin, etc. strongly preferred\n\n Equal Opportunity Employer\nRGP is proud to be an Equal Opportunity Employer and committed to creating an inclusive environment for all employees. We do not discriminate on the basis of race, color, religion, national origin, gender, pregnancy, sexual orientation, gender identity, age, physical or mental disability, genetic information or veteran status, and encourage all applicants to apply.'"
b'Data Analyst',b'ektello',"b'Seattle, Washington, United States'","b'Responsible for designing, modeling, developing and supporting Database Management Systems (DBMS). Analyzes data requirements, application and processing architectures, data dictionaries, and database schema(s), and then designs, develops, amends, optimizes, and certifies database schema design to meet system(s) requirements. Gathers, analyzes, and normalizes relevant information related to, and from business processes, functions, and operations to evaluate data credibility and determine relevance and meaning. Develops database and warehousing designs across multiple platforms and computing environments. Develops an overall data architecture that supports the information needs of the business in a flexible but secure environment.'"
b'Data Analyst / Data Query Specialist',b'Hansell Tierney',"b'Seattle, Washington, United States'","b'We are assisting our client with a search for a contract Data Analyst / Data Query Specialist to collaborate with staff, consultants, and multiple vendors to support a large data migration project. \n \nDuration: Through December 2020 (with the possibility of extension)\nLocation:  Seattle, WA \xe2\x80\x93 LOCAL CANDIDATES ONLY\n*US citizens and those authorized to work in the US are encouraged to apply.\nWork sponsorship is not available at this time.*\n\nResponsibilities\nHelp define data needed from a legacy fare collection system to be shared with a new system vendor (Systems Integrator)\nUnderstand the new Systems Integrator\xe2\x80\x99s future data stream\nSupport testing and data validation\nSome support of data reporting\n\nQualifications\nBS in computer science, information technology, business administration, engineering, or related field\nBusiness intelligence, data management, data modeling, data warehousing, reporting and related activities\nMethods and techniques for developing information systems solutions\n\nSQL Server\nCreate and tune sophisticated SELECT queries\nExperience with SQL DML (data manipulation language \xe2\x80\x93 create, update, delete)\nSQL DDL (data definition language)\nCreate SQL store procedures and user-defined function\nCreate table, indexes, schemas, etc\nData Modeling\nRelational (regular transaction-type databases)\nDimensional (data warehouse databases)\n\nReporting\nSQL Server Report Services\nPower BI\nExcel Power Query\n\nRequired Knowledge and Skills\n  Prior Experience\nData migration experience preferred\nAd hoc querying\nReport development\n\nBusiness Analysis\nRequirements gathering\nAnalysis of business systems & processes\n\nPeople Skills\nDemonstrating a positive customer service orientation with both internal and external clients\nCollaborating and maintaining effective working relationships with other department staff, management, vendors, consultants, and outside agencies\nCommunications skills, both verbal and written.\nAbility to triage/juggle multiple agenda items and work plans\nExperience with large IT implementations, development life cycles, change management and IT processes\nWorking knowledge of Microsoft Office, with advanced skills in Excel as a data source and reporting tool\n\nPhysical Demands/Work Environment\nWork is performed in a standard office environment.\nAbility to work from home, connection to internet (during COVID-19 stay at home order)\nSubject to standing, walking, bending, reaching, stooping, and lifting of objects up to 25 pounds.'"
b'Data Analyst',b'Planet Interactive',"b'Seattle, Washington, United States'","b'Data Analyst\nLocation: Seattle, WA\nBenefits: Health, Dental, Vision and more\n\nResponsibilities/Skills:\nResponsible for designing, modeling, developing and supporting Database Management Systems (DBMS).\nAnalyzes data requirements, application and processing architectures, data dictionaries, and database schema(s), and then designs, develops, amends, optimizes, and certifies database schema design to meet system(s) requirements.\nGathers, analyzes, and normalizes relevant information related to, and from business processes, functions, and operations to evaluate data credibility and determine relevance and meaning.\nDevelops database and warehousing designs across multiple platforms and computing environments.\nDevelops an overall data architecture that supports the information needs of the business in a flexible but secure environment.\n3-5 years of experience'"
b'Data Analyst',b'Tekfortune Inc',"b'Kirkland, WA, US'","b'Role Data Analyst\n\nSkill\n\nData Analyst, SQL\n\nLocation\n\nSunnyvale CA\n\nRequired Skills\n\nJava, SQL\n\nExperience with developing and productionizing data processing pipeline using tools like Apache Beam, Spark andor Flink\n\nData visualization and dashboard creation\n\nExperience with statistical modeling approaches.\n\nExperience implementing software to make data accessible through simple Web and APIs.\n\nPreferred Skills\n\nExperience with query development and data management tools like PLX.\n\nExperience with creating effective data visualizations using tools like Google Data Studio and Tableau\n\nExperience using Google FlumeJava'"
b'Space Data Analyst',b'JLL',"b'Seattle, WA, US'","b'What this job involves- Effectively manages the assigned portfolio drawing and CAFM data, supporting all service and reporting requirements, providing critical data to support strategic planning functions and sharing critical data with other relevant technology solutions as appropriate. Have a comprehensive understanding of how relevant systems function, are utilized and maintained to serve as Subject Matter Expert (SME) or project lead for all proposed system or process related changes to drive results.\n\nSuccess behaviors-\n\nAnticipate client and team needs\nUnderstand of client business drivers \xe2\x80\x93 what they care about\nActively and effectively Communicate up and down business relationships\nDemonstrate Accountability and Ownership of results\nHow your day will be spent and the value you\xe2\x80\x99ll bring to the team/client\n\n30-50%- Data Systems- Develop, implement and maintain data systems necessary for account operations, internal rent allocations and functional team support with statistical efficiency and consistent data quality/integrity. Responsible for updating data change requests, reviewing/submitting CAD drawings to the CAD Portal, conducting site validations as well as overall data health of the assigned portfolio.\n20-30%- Manage Client Relationships/Support- Act as a single point of contact for all database, drawing and application related support ensuring customer satisfaction for assigned portfolio. Partner with Occupancy Planning, Market Planning, Project Management and MAC to ensure all project related changes are updated timely and accurately. Foster strong line of business Single Point of Contact (SPOC) and floor contact relationships with regular touch points to insure exceptional client service.\n10-20%- Assist with Client Deliverables- As appropriate, either own assigned deliverables or support and work with broader team to successfully complete client deliverables.\nBachelor\xe2\x80\x99s degree required with a preference in design, project management, facilities management or architecture. 2-6 years of relevant experience. Previous experience in real estate, finance, space/occupancy planning and client management is preferred. Skilled in conflict resolution with strong oral and written communication skills. Ability to work independent or as a team, as needed. Outstanding client service skills.\n\n#LI\n\nJLL Privacy Notice\n\nJones Lang LaSalle (JLL), together with its subsidiaries and affiliates, is a leading global provider of real estate and investment management services. We take our responsibility to protect the personal information provided to us seriously. Generally the personal information we collect from you are for the purposes of processing in connection with JLL\xe2\x80\x99s recruitment process. We endeavour to keep your personal information secure with appropriate level of security and keep for as long as we need it for legitimate business or legal reasons. We will then delete it safely and securely.\n\nFor more information about how JLL processes your personal data, please view our Candidate Privacy Statement .\n\nFor additional details please see our career site pages for each country.\n\nFor employees in the United States, please see a fully copy of our Equal Employment Opportunity and Affirmative Action policy here .\n\nJones Lang LaSalle (\xe2\x80\x9cJLL\xe2\x80\x9d) is an Equal Opportunity Employer and is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process \xe2\x80\x93 including the online application and/or overall selection process \xe2\x80\x93 you may email us at Accommodation.Reques@am.jll.com . This email is only to request an accommodation. Please direct any other general recruiting inquiries to our Contact Us page > I want to work for JLL.'"
b'Data Analyst',b'Modis',"b'Seattle, Washington, United States'","b'Data Anlytics Engineer\nSeattle, WA\n\n6-8 month, full time contract on W2\n\nTHE COMPANY\nOur client is a Seattle based, innovative insurance company that provide both personal and commercial products to clients globally. This position will sit on their Digital Marketing team for the commercial side of the business. This team works closely with egnineering and marketing/sales to maintain and evolve the digital strategy acrooss the organization.\n  THE ROLE  \n  In particular, you can expect to:\n\xc2\xb7         Lead all aspects of digital analysis to formulate strategies, define requirements, deploy                  tags, and measure multi-channel campaigns.\n\xc2\xb7         Be the primary consultantfor digital measurment strategy \n\xc2\xb7         Work with engineers to design and build analytics tools\n\xc2\xb7         Implement and manage Google Analytics 360 and Google Tag Manager\n\xc2\xb7         Create reports and visualizations using Tableau and present to stakeholders\n\xc2\xb7         Translate digital strategies into quanifiable metrics\n\nSKILLS AND EXPERIENCE\n\xc2\xb7         3+ years of related professional experience\n\xc2\xb7         SQL, R, Python \n\xc2\xb7         Expert with Google Analytics Suite\n\xc2\xb7         Basic web development for tag implementation and page tracking (JavaScript, HTML)\n\xc2\xb7         SEO/SEM\n\xc2\xb7         Tableau \n\xc2\xb7         Strong communication skills \n\xc2\xb7         Insurance or ecommerce experience preferred \n\n\n\nHOW TO APPLY\nClick the \xe2\x80\x9capply\xe2\x80\x9d button on this page, or send your resume to Chloe Glasgow at chloe.glasgow@modis.com'"
b'Data Analyst',b'Sumeru Solutions',"b'Kirkland, WA, US'","b'Greetings, This is Vishal, Technical Recruiter with Sumeru Solutions. Please find the below JD and let me know if you are comfortable please share your updated resume. Role Sr. Data Analyst Location Kirkland , WA Required Skills Java, SQL Experience with developing and productionizing data processing pipeline using tools like Apache Beam, Spark andor Flink Data visualization and dashboard creation Experience with statistical modeling approaches. Experience implementing software to make data accessible through simple Web and APIs.\n\nPreferred skills Experience with query development and data management tools like PLX. Experience with creating effective data visualizations using tools like Google Data Studio and Tableau Experience using Flume Java\n\nBest Regards, Vishal MandlikSenior Technical Recruiter Sumeru Inc. 2401 15th Street NW, Washington DC ndash 20009\n\n+1-408-622-0055 (US Cell) Email vishal.mandliksumerusolutions.com'"
