title,company,location,job description
b'Lead Data Scientist',b'athenahealth',"b'Newton, Massachusetts, United States'","b'This individual will serve as technical leader for athenahealth\xe2\x80\x99s data scientists focused on machine learning, predictive analytics and related projects. Athena is a highly data driven company, and we (the analytics division) also empower our clients to be data-driven through reports, dashboards and insights.  In many cases, the most impactful insights come from the right model applied to the right metric and communicated through the right channel.  As a Data Science leader you will guide a team of data scientists, helping them identify the most impactful use cases, the most relevant models, best technologies for implementation, and clearest modes of communication for the application at hand.  \n  Keywords applicable to you include:  DEEP LEARNING !!  Neural networks (NN), principle component analysis (PCA), natural language processing (NLP),Bayesian learning and inference, time series analysis, Markov chains, hidden Markov models, dynamic Bayesian networks; anomaly detection; stochastic methods\n\nHelp leadership assess the business value and required investment of new AI projects\nMeasure and communicate incremental value created by ML/AI approaches\nCreate and maintain strategic roadmaps for AI projects: connecting the right algorithms, technologies, data sets, and skill sets to maximize likelihood of project success\nPropose architectural requirements for model deployment and maintenance in production\nHelp develop data science training and competency development, determining best practices and work standards.  \nEvaluate the latest ML technologies and techniques, and determine how to incorporate these into our strategy.\n\nTypical Qualifications\n\nAdvanced degree (PHD, MS) in relevant field, e.g., physics, math, or computer science\nExcellent verbal communication and business acumen\n10 years of professional experience in data science or related role\nExperience collaborating with cross-functional teams\nHealthcare experience preferred, but not required\nExperience with the development and deployment of ML  and predictive models\nExperience with modern data science tools, e.g., Tensorflow, keras, Spark,H2O, Scikit-Learn, etc.\nAWS experience preferred\n\n  Multiple Data Scientist Roles at athenahealth\nJoin us to use cutting edge machine learning to unbreak healthcare in the US.\n  In the US, physicians face huge informational challenges \xe2\x80\x93 from dealing with mountains of formulaic email to wrestling with arcane insurance rules to finding at-risk patients in their large client pools.  \n  Athenahealth\xe2\x80\x99s Data Science group is using advanced machine learning and AI to develop a new generation of smart tools that can help physicians by reducing their paperwork, finding at-risk patients, providing key information at the right time, and overall allowing physicians to focus on what\xe2\x80\x99s important: spending time with patients.\n  We\xe2\x80\x99re seeking experienced data scientists who love machine learning and complex data and who care about making a positive impact on the world by fielding real ML-driven systems.\n  Positions are available at multiple levels of seniority. Candidates should have a MS or PhD in a related field and 3+ years of experience or BS with 5+ years\xe2\x80\x99 experience.\n\nKey ideas include:\nDeep Learning, Deep neural networks (DNN), information extraction, natural language processing (NLP), learning to rank, Bayesian learning and inference, time series analysis, Markov chains, hidden Markov models, principle component analysis (PCA), anomaly detection, user modeling, stochastic methods, scaling, performance.\n '"
b'Sr. Data Scientist',b'Abacus Insights',"b'Boston, Massachusetts, United States'","b'Abacus Insights is a mission-driven, start-up technology company that is focused on improving health outcomes, lowering the cost of healthcare, and delivering a more seamless healthcare experience. At our core, we are passionate about advancing healthcare and improving people\xe2\x80\x99s lives through technology.\n\nWith our deep expertise in cloud-enabled technologies and knowledge of the healthcare industry, we have built an innovative data integration and management platform that allows healthcare payers access to data that has been historically siloed and inaccessible. Through our platform, these health insurance payers can ingest and manage all the data they need to transform their business by supporting their analytical, operational, and financial needs.\n\nThrough this mission and passion to aid people and population health, we have built a highly successful SaaS business that is heavily funded (since our founding in 2017 we have over 18 million) by leading VC firms who have deep expertise in the healthcare and technology industries. At Abacus, we are solving problems of massive scale and complexity in an industry that is not only ripe for disruption but requires innovation. We see massive growth in our future and would love for you to be a part of it!\n\nWe are looking for a Data Scientist to join our product delivery team that is solving real problems in health care. Health care data is diverse and complex. We\xe2\x80\x99re looking for someone who can help us make sense of it. Specifically, the ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.\n\nResponsibilities for Data Scientist:\nWork with product managers, process and domain subject matter experts, and engineering partners to identify areas to leverage data science practices to develop predictive insights to make our service offering more effective\nMine and analyze data from customer data sets to drive optimization and improvement of product development and business strategies.\nAssess the effectiveness and accuracy of new data sources and data gathering techniques.\nDevelop custom data models and algorithms to apply to data sets.\nUse predictive modeling to increase and optimize customer experiences and other business outcomes.\nDevelop company A/B testing framework and test model quality.\nCoordinate with different functional teams to implement models and monitor outcomes.\nDevelop processes and tools to monitor and analyze model performance and data accuracy.\n\nQualifications for Data Scientist:\nStrong problem solving skills with an emphasis on product development.\nExperience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.\nExperience working with and creating data architectures.\nKnowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.\nKnowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.\nExcellent written and verbal communication skills for coordinating across teams.\nA drive to learn and master new technologies and techniques.\nWe\xe2\x80\x99re looking for someone with 3-5 years of experience manipulating data sets and building statistical models, has a Master\xe2\x80\x99s or PHD in Statistics, Mathematics, Computer Science or another quantitative field, and is familiar with the following software/tools:\nCoding knowledge and experience with several languages: Python, Java, JavaScript, etc.\nKnowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.\nExperience querying databases and using statistical computer languages: R, Python, SQL, etc.\nExperience using web services: Redshift, S3, Spark, etc.\nExperience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.\nExperience analyzing data from Health Care domain\nExperience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.\nExperience visualizing/presenting data for stakeholders using a BI/Analytics solution\n\nEqual Opportunity Employer:\nAs a mission-led technology company that is helping to drive better healthcare outcomes, Abacus Insights believes that the best innovation and value we can bring to our customers comes from diverse ideas, thoughts, experiences, and perspectives. We are dedicated to building diverse teams, and as such provide equal employment opportunities to all employees and applicants for employment. As well as prohibit discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.'"
"b'Data Scientist, Junior'",b'The AI Institute',"b'Massachusetts, United States'","b'The principle is as follows: we help you find a position as a Data Scientist with one of our partner companies (often consulting firms). The hiring company finances the 3-month training course with us for an amount of USD 10800. The hiring company (entity paying for your training) then provides you with an employment letter for April, 2020. The training with The AI Institute begins on January 1, 2020 for 3 months.\n\nThe Bootcamp shall begin on the 1st of May 2020 - The objective of this training is to provide scientific graduates with the tools, knowledge, technical and human skills required or useful to become an operational project manager on any project within the fields of in Data Science and Artificial Intelligence transformation, and to know how to implement such knowledge in the business world, in particular:\n\nDefinition: Understanding Data Science; Artificial Intelligence; Machine Learning and Deep Learning (neural networks): definitions and objectives; discovering theoretical principles and foundations; discovering programming tools (Python, Tensorflow).\n\nTools:\nMaster the main Data Science tools, statistical methods and their applications in digital data processing and analysis; R; Python and algorithm language workshops; SAS workshops; AWS workshops.\nPass the Base Programmer SAS certification, the software most used by statisticians.\nPass the AWS Foundational certification to know how to deploy your solutions on the cloud.\n\nTechnical foundation:\nMaster the main techniques of Machine Learning, Deep Learning and Neural Networks - understand how they work and know how to implement them; data mining applications; practical workshops on Keras and Tensorflow frameworks.\nTechnologies: mastering AI technologies specific to image, video and natural language processing, including convolutional neural networks, particularly through Python and Tensorflow project workshops.\n\nBusiness cases:\nKnow and understand the fields of application of AI in companies through the analysis of many business cases of various implementations (economic sectors, objectives, input data, constraints...) to know where its use is possible, with which means, risks and prospects of success.\n\nProject development: Know and understand how to build and carry out innovation projects in AI; analyze pre-required data, generate innovative ideas, take into account regulations, identify resources and expertise, build an infrastructure, lead a prototype, manage iterations...\n\nIn order to register for this training, all you have to do is send in your CV and motivation letter to admission@theaiinstitute.ai or fx@theaiinstitute.ai, or apply through LinkedIn jobs, and the team will schedule a call explaining further regarding the deposit payment, and the employment opportunities available with us or our network based on your profile.'"
b'Data Scientist',"b'Aetna, a CVS Health Company'","b'Wellesley, MA, US'","b""Job Description\n\nIt\xe2\x80\x99s a new day in health care.\n\nCombining CVS Health and Aetna was a transformative moment for our company and our industry, establishing CVS Health as the nation\xe2\x80\x99s premier health innovation company. Through our health services, insurance plans and community pharmacists, we\xe2\x80\x99re pioneering a bold new approach to total health. As a CVS Health colleague, you\xe2\x80\x99ll be at the center of it all.\n\nWe offer a diverse work experience that empowers colleagues for career success. In addition to skill and experience, we also seek to attract and retain colleagues whose beliefs and behaviors are in alignment with our core values of collaboration, innovation, caring, integrity and accountability.\nFundamental Components\nParticipates in the development, validation and delivery of algorithms, statistical models and reporting tools. Solves moderately complex analytical problems.\nDevelops, validates and executes algorithms and predictive models to investigate problems, detect patterns and recommend solutions.\nExplores, examines and interprets large volumes of data in various forms. Performs analyses of structured and unstructured data to solve moderately complex business problems. utilizing advanced statistical techniques and mathematical analyses.\nDevelops data structures and pipelines to organize, collect and standardize data that helps generate insights and addresses reporting needs.\nUses data visualization techniques to effectively communicate analytical results and support business decisions.\nCreates and evaluates the data needs of assigned projects and assures the integrity of the data. Explores existing data and recommends additional sources of data for improvements.\nDocuments projects including business objectives, data gathering and processing, detailed set of results and analytical metrics.\n\nBackground Experience\nDemonstrates good written and verbal communication skills.\nAble to present information to various audiences.\nEffectively resolves problems and roadblocks as they occur.\nDemonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization.\nAbility to work with large data sets from multiple data sources.3 years of relevant programming or analytic experience.\nMasters degree preferred.Bachelor's degree or equivalent work experience in Mathematics, Statistics, Computer Science, Business Analytics, Economics, Physics, Engineering, or related discipline.\nJob Group\nData & Analytics\nPrimary Location (City, State)\nMA-Wellesley\nAdditional Locations\nMA-Wellesley\nPotential Telework Position\nNo\n\nPercent Of Travel Required\n\n0 - 10%\nFull or Part Time\nFull Time\n\nSupervisory Responsibilities\n\nNo\nEEO Statement\nAetna is an Equal Opportunity, Affirmative Action Employer\n\nBenefits Program\n\nBenefit eligibility may vary by position.\nCandidate Privacy Information\nAetna takes our candidate's data privacy seriously. At no time will any Aetna recruiter or employee request any financial or personal information (Social Security Number, Credit card information for direct deposit, etc.) from you via e-mail. Any requests for information will be discussed prior and will be conducted through a secure website provided by the recruiter. Should you be asked for such information, please notify us immediately.\nResource Group\n2\nInitiative Group\n104\nReq#\n69731BR"""
b'Data Scientist (Consumer Labs)',b'NortonLifeLock',"b'Cambridge, MA, US'","b'Data Scientist (Consumer Labs)\n\nUSA - Massachusetts, Cambridge\n\nWe Are Hiring For a Data Scientist\n\nCome work on groundbreaking next-gen products in the Consumer Labs of the Consumer Business Unit (LifeLock + Norton).\n\nWe are looking for a DATA SCIENTIST who will help us discover the information hidden in vast amounts of network traffic data, customer transaction data, user and device behavior data so that we can make more accurate and predictive decisions to deliver better privacy and security related services and products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high-quality prediction systems integrated with our products.\n\nQualifications\nWorking knowledge of machine learning techniques and algorithms\nWorking knowledge of common statistical modeling techniques and algorithms\nWorking knowledge of data scientific tools such as R, MatLab.\nMinimum of 2 years of industry experience\n\n\nNortonLifeLock is proud to be an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive and accessible environment for all employees. All employment decisions are based on merit, experience, and business needs, without regard to race, color, national origin, age, religion, sex, pregnancy (including childbirth or related medical conditions), genetic information, disability (physical or mental), medical condition, marital status, sexual orientation, gender identity or gender expression, military or veteran status, or any other consideration made unlawful by federal, state, or local law. NortonLifeLock strictly prohibits unlawful discrimination based on such protected characteristics and seeks to recruit the most talented candidates from diverse cultures and backgrounds.\n\nWe also consider for employment qualified individuals with arrest and conviction records. In addition, NortonLifeLock will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. Learn more about pay transparency .\n\nEEO is the law. Applicants and employees of NortonLifeLock Inc. are protected under Federal law from discrimination. See the EEO poster and supplement .\n\nPosted 25 Days Ago Full time 49587\n\nNortonLifeLock Inc. (NASDAQ: NLOCK) is a global leader in consumer Cyber Safety. NortonLifeLock is dedicated to helping secure the devices, identities*, online privacy, and home and family needs of its nearly 50 million consumers, providing them with a trusted ally in a complex digital world. For more information, please visit NortonLifeLock.com or connect with us on Facebook , Twitter , LinkedIn , Instagram and YouTube .\n\nNortonLifeLock is committed to requests for reasonable accommodations to assist you in applying for positions at NortonLifeLock including resume submissions. If you need to request an accommodation, please contact HR Service Exchange .\n\nLifeLock identity theft protection is not available in all countries.\n\nData Scientist | USA - Massachusetts, Cambridge'"
b'Research Data Scientist',b'Facebook',"b'Boston, MA, US'","b""Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.\n\nThe Infrastructure Quantitative Engineering group is responsible for the strategic analysis to support and enable the continued growth critical to Facebook\xe2\x80\x99s infrastructure organization. We are applied quantitative and computational experts using math, statistics and machine learning to measure & optimize cost, performance, reliability and efficiency of Facebook\xe2\x80\x99s infrastructure & global telecom systems to deliver the best experience to our global audience. The ideal candidate will be passionate about Facebook, have strong analytical and modeling aptitude and has experience using data to drive cost effective decision making.\n\nResponsibilities\nBuild pragmatic, scalable, and statistically rigorous solutions to large-scale web, mobile and data infrastructure problems by leveraging or developing state-of-the-art statistical and machine learning methodologies on top of Facebook's unparalleled data infrastructure\nWork cross-functionally to define problem statements, collect data, build analytical models and make recommendations\nBuild and maintain data driven optimization models, experiments, forecasting algorithms, and machine learning models\nLeverage tools like Python, R, Hadoop & SQL to drive efficient analytics\nCommunicate final recommendations and drive decision making\nMinimum Qualification\nDegree in quantitative field (e.g. Computer Science, Engineering, Mathematics, Statistics, Operations Research or other related field)\n2+ years of industry or graduate research experience solving analytical problems and building models using quantitative, statistical or machine learning approaches\nExperience with Machine Learning, Statistics, or other data analysis tools and techniques\nExperience performing data extraction, cleaning, analysis and presentation for medium to large datasets\nExperience with at least one programming language (i.e. Python, R, Java, or C++)\nExperience writing SQL queries\nExperience with scientific computing and analysis packages such as NumPy, SciPy, Pandas, Scikit-learn, dplyr, or ggplot2\nExperience with statistics methods such as forecasting, time series, hypothesis testing, classification, clustering or regression analysis\nExperience with data visualization libraries such as Matplotlib, Pyplot, ggplot2\nExperience with machine learning libraries and packages such as PyTorch, Caffe2, TensorFlow, Keras or Theano\n\nPreferred Qualification\nAdvanced degree (Master\xe2\x80\x99s or PhD or Equivalent experience) in quantitative field\nExperience working with distributed computing tools (Hadoop, Hive, Spark, etc.)\nProficiency in algorithmic complexity\nFacebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com."""
b'Data Scientist',b'Comlinkdata',"b'Boston, Massachusetts'","b'Reports to: VP, Product Development and Data Science\n Location: Boston, MA\n Comlinkdata is seeking a highly analytical candidate to join our team as a Data Scientist on the Research and Development (R&D) team. The R&D team conducts early stage research to prioritize new product concepts, manages the short term product pipeline by taking products and features to at least a proof of concept stage, and identifies and integrates external data to compliment and enrich our existing proprietary data.\n The Data Scientist will support the R&D team with their strong business acumen and ability to develop data product prototypes. Strong communication and experience collaborating across multiple teams is a must. They should enjoy working with complex problems and use a broad range of analytical techniques to creatively tackle new questions and issues as they arise.\n Responsibilities:\nIncluding but not limited to:\n Define Customer Needs and Pursue Solutions\n\xc2\xb7      Collaborate with Client Analytics & Insights team to understand our clients\xe2\x80\x99 needs\n\xc2\xb7      Break down complex problems into discrete issues and determine which ones to prioritize and pursue\nCollect, Clean and Set-up Data\n\xc2\xb7      Evaluate external data sources for usefulness, reliability and ease of integration\n\xc2\xb7      Wrangle structured and unstructured data from diverse sources into a standardized form\n\xc2\xb7      Play with the data until it breaks and surface issues before it gets to the client or client teams\nAnalyze and Visualize Data\n\xc2\xb7      Design and conduct comparative analyses of large complex datasets to determine next steps\n\xc2\xb7      Summarize analysis using a wide range of data visualization techniques to determine the types of insights derived from the product and data limitations\n\xc2\xb7      Prototype new ways of visualizing and interacting with our data\nDevelop and deploy machine learning and statistical models\n\xc2\xb7      Use understanding of the underlying data and business objectives to optimize feature engineering for input data\n\xc2\xb7      Design and train models (current priority applications are in pattern similarity detection, but there are a wide range of potential product use cases)\n\xc2\xb7      Work with engineering team to deploy machine learning algorithms into production environment\nCommunicate Insights\n\xc2\xb7      Draw relevant conclusions from analysis and make recommendations based on how these conclusions impact new and existing products\n\xc2\xb7      Document data definitions to be embedded in new products and business rules for analysis of these new data\n\xc2\xb7      Work with internal teams (product development, client services, data operations) to translate analytical findings and model prototypes into product requirements and insights for clients\n Candidate Profile\nRequired Skills\n\xc2\xb7      At least 3 years of relevant work experience. Please note that we are interested in strong candidates of all experience levels. Title and salary will be commensurate with experience.\n\xc2\xb7      Applied experience with Machine learning algorithms (classification, clustering, optimization) beyond just tinkering, or classroom\n\xc2\xb7      Real world experience with Spark (SQL + MLlib): querying, manipulating and analyzing large (100+ TB) data sets, plus using ML models (Scala preferred, but Python/R/Java still useful)\n\xc2\xb7      Strong toolkit of quantitative and qualitative analytical techniques rooted in business, economic and statistical analysis\no  Examples of business analysis include: market competitiveness, financial analysis, social media monitoring\no  Examples of statistical analysis include: linear regression, logistic regression, non-parametric statistics, probabilistic modelling, spatial modeling\n\xc2\xb7      Passionate about telling stories using data\n\xc2\xb7      Desire to get hands dirty working with data every day, balanced with ability to surface insights that shape new products\n\xc2\xb7      Proficient with Microsoft Excel and PowerPoint, or able to generate compatible outputs using other tools, e.g. csv files\n\xc2\xb7      Some experience with statistical packages (e.g. R, Python stats libraries, SPSS, SAS, STATA)\n Desired Skills\n\xc2\xb7      Experience with largescale geospatial data\n\xc2\xb7      Experience with AWS suite of tools for data analysis, data management and ETL processes: EMR, s3, aws cli\n\xc2\xb7      Proficiency with Hive and SQL a significant plus\n\xc2\xb7      Telecoms industry expertise a plus\n\xc2\xb7      Some experience with data visualization tools desirable (e.g. Tableau, Qlik, Spotfire)\n  Please submit a cover letter along with your resume to joinus@comlinkdata.com.\n1. Explain why you are interested in working for Comlinkdata and the specific role.\n2. Describe one relevant project where you used data to create actionable business insights or a data-driven product\n\nAt this time, Comlinkdata will not sponsor a new applicant for employment sponsorship for this position.\n About Comlinkdata\nComlinkdata is the leading provider of telecom market data and insights. We provide clients with unique, real-time, query ready data that is combined with our analysts\xe2\x80\x99 telecom expertise. At Comlinkdata, we help you make data-driven business decisions with confidence. Our data and insights provide you with the tools you need to analyze and optimize your business strategy ranging from decisions based on network investments, to pricing to market positioning.\nComlinkdata is headquartered in. For more information, visit our website at Comlinkdata.com and follow us on Twitter (@Comlinkdata) or LinkedIn: Comlinkdata.'"
"b'Data Scientist, People Analytics - OrgSolutions'",b'McKinsey & Company',"b'Boston, MA, US'","b""Apply Now\n\nQualifications\nAdvanced degree in a STEM related field, e.g. operations research, statistics, applied math, engineering, business analytics\nDeep understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering and classification techniques, and recommendation and optimization algorithms\nDemonstrated proficiency in Python and SQL; additional knowledge of other data mining software (Spark, Scala, etc.) is a plus\nAbility to easily understand complex algorithms and logic to process data\nExperience working with a large volume of data with ability to solve performance issues\nBasic business intuition and clear expertise in analyses with the ability to describe analytic processes, including when and why specific approaches are favored\nExcellent communication and presentation skills with an ability to visualize and report insights creatively in variety of formats to various stakeholders\nWho You'll Work With\n\nYou will be joining the Boston or Waltham office, and be part of the OrgSolutions team.\n\nOrgSolutions combines innovative design technology and advanced analytics with deep expertise to help our clients make effective organizational decisions. OrgSolutions can help human resources and business leaders to make smarter organizational decisions by leveraging advanced data analytics, user-centric design technology and proven methodologies. These approaches help clients to answer critical questions related to cost reduction, efficiency and effectiveness streamlining, merger plans, divestments and carve outs, and talent deployment.\n\nIn creating asset-enabled practices, McKinsey is driving innovation in how we serve clients with analytics and design thinking. In recent years, McKinsey has hired thousands of technology professionals \xe2\x80\x93 data scientists, designers, software engineers, product managers, etc \xe2\x80\x93 to serve alongside generalist consultants and identify ways that technology can improve outcomes.\nWhat You'll Do\n\nYou will analyse and evaluate a wide range of data, including data from human resources information systems, business metrics, and survey assessments.\n\nIn this role, you will leverage your advanced data analysis skills and create innovative approaches to answer our clients\xe2\x80\x99 most relevant talent questions. You will be working on a variety of problems across many different industries, such as a top-tier professional services company trying to improve the efficiency of their recruiting pipeline, an insurance company facing high, inexplicable attrition, and a major pharmaceutical company in need of a roadmap to better understand its future talent needs.\n\nYou will work with clients and our team to translate clients\xe2\x80\x99 questions into analytical problems, manage the entire data cleaning pipeline, apply machine learning algorithms and data visualization techniques, generate insights, and communicate them back to clients. Working on projects and exchanging experiences with your colleagues means you will face new intellectual challenges on a daily basis, while continuously building your methodological knowledge and skills."""
b'Data Scientist',b'Foundation Medicine',"b'Boston, MA, US'","b'About the Job We now have more high-quality data than ever before, which allows us to answer hard questions in clinical oncology that were previously out of reach. As Data Scientist you will lead our efforts on analyzing real-world clinical and g...\n\nAbout The Job\n\nWe now have more high-quality data than ever before, which allows us to answer hard questions in clinical oncology that were previously out of reach. As Data Scientist you will lead our efforts on analyzing real-world clinical and genomic data. Your focus will be on clinical use cases, such as biomarker-based outcomes analyses, examining correlates of genomics and clinical outcomes, clinical utility of next-generation sequencing, and the impact of diagnostics on patient care. You\xe2\x80\x99ll join a mission-driven team of data scientists with diverse expertise and grow your analytical toolbox. Together, you\xe2\x80\x99ll partner with product managers, engineering, and domain experts in oncology and genomics to advance the field.\n\nTo support your work, you will have access to the richest real world cancer genomics and clinical datasets; these include FoundationCORE, a repository of comprehensive genomic profiles and pathology images from 250,000+ patient tumor samples tested by Foundation Medicine, and our landmark clinicogenomic database developed in partnership with Flatiron Health, which contains 40,000+ genomic profiles paired with longitudinal clinical annotations (including treatments, response, and survival). This is an opportunity to apply your expertise to a unique and powerful dataset to help advance cancer care for patients and researchers.\n\nDesired Skills And Experience\nExpertise in analyzing clinical health data, particularly survival/outcomes analyses.\nExpertise in biostatistics, epidemiology, and/or statistical genetics.\nProficiency with statistical analysis software and/or scripting languages (R and/or Python preferred, but are amenable to others).\n\n\nResponsibilities\nLead our efforts to shape the evolving landscape of clinical oncology with real-world evidence.\nSupport commercial data science projects as part of a cross-functional team.\nCo-author case studies and peer-reviewed publications.\nContribute to a learning culture with conference presentations, journal clubs, etc. to share what you learn and enrich collaborations across Foundation Medicine.\n\n\nQualifications\nPhD in Biostatistics, Epidemiology, Bioengineering, or a related field; or MS with 3-5 years related work experience.\nExperience with longitudinal electronic health/medical records is a plus but not required.\nExperience in oncology (clinical oncology, cancer biology, and/or cancer bioinformatics) is a plus but not required.\nProficiency in a database query language (e.g. SQL) is a plus.\nThose with publications or projects directly related to analyses of clinical and/or genomic data preferred. Please submit a publication list (Pubmed or Google Scholar profile accepted).'"
b'Data Scientist I',b'Cotiviti',"b'Waltham, MA, US'","b'Summary\n\nData Scientist works directly with a team of analytics and healthcare professionals including analysts, clinicians, coding specialists, auditors and innovators to set aggressive goals and execute on them with the team.\n\nPrincipal Responsibilities And Essential Duties\nDefine and develop analytical, statistical and machine learning algorithms for advanced analysis and prediction.\nArchitect, design, build and integrate solutions using Hadoop and open source solutions: Scala/Spark, R, Python, Ruby, Whatever, the Mahout machine learning library.\nEstablish credibility and strong working relationship with development teams to review design and code for adherence to established standards and best practices.\nDeliver using an Agile development process.\nMaintain our repository and other relevant documentation. Architect and hands-on development of Analytics solutions.\nDefine and develop analytical, statistical and machine learning algorithms for advanced analysis and prediction.\nArchitect, design, build and integrate solutions using Hadoop and open source solutions: Scala/Spark, R, Python, Ruby, Whatever, the Mahout machine learning library\nCompletes all responsibilities as outlined on annual Performance Plan.\nCompletes all special projects and other duties as assigned.\nMust be able to perform duties with or without reasonable accommodation\n\n\nRequirements\nBachelor\xe2\x80\x99s Degree in Mathematics, Statistics, Computer Science; Masters or advanced certifications preferred\nMinimum 2 years\xe2\x80\x99 experience in advanced analytics\nMinimum 2 years\xe2\x80\x99 experience in a data architecture role with deep understanding of architecture principles & best practices\nExperience delivering solutions in an Agile environment\nAbility to work independently as well as a member of a collaborative team\nStrong knowledge of the Hadoop ecosystem, including creating and debugging\nMust have flexibility and willingness to participate in the work processes of an international organization, including conference calls scheduled to accommodate global time zones\nUnderstanding of Node.js and SQL; Expert proficiency in one or more programming languages such as Scala/Spark, Python, et al;\nExpert proficiency in at least one statistical modeling program like R, MATLAB, or SAS.\nUnderstanding of machine learning, artificial intelligence and/or artificial neural networks. Strong proficiency in applying various mathematical and statistical models to include, but not limited to: Discrete Event Simulation, Factor Analysis, Genetic Algorithms, Bayesian Probability Models, Hidden Markov Models and Sensitivity Analysis.'"
