title,company,location,job description
b'Senior Heathcare Data Scientist',b'Blue Health Intelligence',"b'Chicago, Illinois, United States'","b""Responsible for providing leadership for the Company's initiatives in the area of artificial intelligence, predictive modeling, machine learning, algorithm development and advanced analytics. This is a high-level position responsible for our strategic direction in data science. The Sr. Data Scientist will help develop BHI\xe2\x80\x99s advanced analytic strategy as well as develop standards for conducting and validating models, and use of appropriate techniques and tools. This position will also be responsible for working with the various business units and product teams to translate models into operational processes which are actionable and can be easily used by end users and customers.\n The Senior Data Scientist position maybe client-facing and may be expected to attend customer meetings as well as sales presentations. This position may have extensive interaction with Blue Cross Plan executive level officers including Chief Medical Directors, CIOs, scientists and analysts. The Senior Data Scientist will represent BHI among healthcare analytic modeling thought leaders in the marketplace.\n Responsibilities\nLeadership in Data Science to ensure that BHI stays at the leading edge of health care analytics, especially using big data.\nDevelopment of advanced analytic methodologies applied to healthcare claims data, and other integrated data sources, which drives analytic innovation and market leadership in healthcare analytics.\nProvide technical design, and implementation of models and algorithms and apply data mining techniques to large claims databases to identify refined approaches to business issues.\nAnalysis, design, development, test, troubleshooting and documentation of complex data systems that may involve one or more of the following: predictive score models, feature extraction, data-driven analysis, machine learning, decision making and related utilities.\nWork with BHI data architects to develop data models to support advanced analytics and to provide input into other BHI initiatives such as the Data Vault.\nIdentify process improvement opportunities within internal processes and through communications, programs and other activities as needed. Collaborate with the developers to implement improvements. Complete written documentation and reports of results. This will take the form of authoring business reports, presentations, internal white papers and statistical system documentation.\nBuild consensus with internal and external staff on analytic modeling approaches, develop ideas for new modeling projects and programs to strengthen partner relationships and encourage BHI participation.\nWork with BHI business units and product teams to identify advanced analytic needs. Educate BHI staff on advanced analytics and machine learning on data needed, processes required as well as appropriate application data mining and advanced analytics.\nCommunicate complex analytics methodology and results in a clear and concise manner to non- technical BHI staff, customers and others.\nProvides guidance in the resolution of complex data issues utilizing available resources and expertise in support of BHI analytic objectives.\nServe as advisor and enhance the skills of the Informatics team as well as develop the skills of other health care analytics staff. Mentor junior staff including BHI interns on advanced analytics and machine learning.\nEnsure integrity, accuracy and timelines of all analyses.\n  Basic Qualifications - Required\n7 plus years of progressively responsible experience in conducting advanced analytic modeling for large claims databases with real-world application,\nApplication of advanced statistical, machine learning, and/or data mining techniques (i.e. classification, clustering, association mining, forecasting), to real-world problems with massive healthcare claims data\nExperience in a healthcare setting or work with health care data such as claims, EMR, among others.\nStrong experience using modeling tools such as R, PYTHON, SAS EDM, etc.\nAbility to effectively communicate results of statistical models to broad audience, and convert findings to actionable applications.\nExperience with external customers - conducting presentations, participating in strategy or QA meetings among others.\nIs familiar with SOC 2 compliance and its impact on company policies and processes.\nUnderstands importance of adhering to SOC 2 requirements, and maintains an effort to do so.\n  Basic Qualifications - Preferred\nPhD in Math, Statistics, Computer Science, Artificial Intelligence or a related field\nStrong written and verbal communication skills are needed, including the ability to \xe2\x80\x9ctranslate\xe2\x80\x9d analytic concepts, approaches and results for executive or lay audiences, and interpersonal skills with an ability to communicate to small and/or large audiences (both internal and external to BHI). Experience in communicating to a senior management audience and ability to drive consensus on complex, controversial issues\nRequires demonstrated analytic skills and creativity to quickly integrate information and develop business proposals for new initiatives.\nMust have strong problem-solving skills, creativity, and strong attention to detail.\n Equal Employment Opportunity It is the policy of BHI to provide equal employment opportunity and advancement opportunities to all colleagues and qualified applicants for employment without regard to race, color, religion, national origin, sex, age, disability, sexual orientation, gender identity, or any other classification protected by the federal, state or local laws \n  \n """
b'Big Data Engineer/Architect',b'KloudOne',"b'Chicago, Illinois, United States'","b'KloudOne (www.kloudone.com) provides high caliber Product/Engineering Services to top Tech companies. We have an immediate need for:\nRole/Title: Big Data Architect\nLocation: Culver City, CA [Greater Los Angeles]\nNature of position: Contract\nDuration: 6-12 months\nMust have skills:\nMUST BE HANDS ON DEVELOPER\nNoSQL / Big Data (any 5-6 related technologies): SQL, HDFS, Hadoop, Bigtable, Hbase, Elasticsearch, Pig,Tez, Hive, ZooKeeper, Spark/Spark Streaming, Kafka ,oozie , Hbase , ETL\nAtleast 5 years of experience being a big data developer\nPlease send resume to nat@kloudone.com with rate expectations and availability'"
b'Data Scientist',b'Mars',"b'Chicago, IL, US'","b'What You\xe2\x80\x99ll Do\n\nInspiring the whole Mars business to adopt data driven decision-making by developing advanced analytics methods is huge in your role. How? By mining vast amounts of data from company databases for insights that will help solve business problems and ultimately make Mars more profitable.\n\nWorking in a small multidisciplinary team alongside the Global Analytics, Data Engineering, Business Translation and AI teams, you\xe2\x80\x99ll partner with Product Owners to solve problems that real users face using advanced digital techniques. That also means closely collaborating with users from our segments and markets around the world to find the right problems to solve. More than that, you\xe2\x80\x99ll use this direct user exposure to invent true \xe2\x80\x98firsts\xe2\x80\x99. That\xe2\x80\x99s new and emerging approaches that Mars, and maybe even the industry, haven\xe2\x80\x99t seen before.\n\nA big part of your role will be choosing the most appropriate technique, based on business need and available data, to develop custom data models and algorithms. As part of that, you\xe2\x80\x99ll also create processes and tools to monitor and analyze model performance and data accuracy. All the time, balancing time to deliver with level of detail and accuracy.\n\nWorking with different functional teams, you\xe2\x80\x99ll implement your models and monitor their outcomes - making sure we\xe2\x80\x99re conforming to data security standards at all times. Thinking about the newest technology, you\xe2\x80\x99ll make sure we\xe2\x80\x99re maximizing our efficiency and productivity and provide subject matter expertise across the business whenever it\xe2\x80\x99s needed.\n\nTo Do All This, You\xe2\x80\x99ll Need\n\nWhat you\xe2\x80\x99ll need\nBachelor\xe2\x80\x99s degree in Analytics or related quantitative fields (statistics, Operations research, mathematics, econometrics etc.). An advanced degree is preferred.\nMInimum of 3 years of experience preferred working with modelling techniques and advanced applied skills. For example, significance testing, GLM/Regression, Random Forest, Boosting, Trees, text mining and social network analysis, using tools like Spark, Scala, SAS, R, Python, Bayesia, H2O, Storm, Yarn, and Kafka2-3 years experience in applied data science role or equivalent. Ideally, it would be in CPG, Telecom or Financial services\nExperience using key external third party data sources including Nielsen/ IRI/ Storeviews, Kantar, Homescan Panel, Retail Execution, Shopper card, first party data and consumer surveys\nExperience querying databases (SQL, Hive) and working with big data platforms such as Hadoop ecosystem (Azure), including in-memory solutions (SAP HANA and Apache Spark)\nWorking knowledge of data visualization tools such as Tableau, Power BI, D3, ggplot, to deliver output to the broader business community to improve decision making and productivity\nStrong communication and presentation skills'"
b'Data Scientist',b'Greenfield Source',"b'Chicago, Illinois, United States'","b'The Development Design Center, Advanced Analytics team is seeking a highly collaborative Data Scientist, who is excited about innovation, learns from and listens to colleagues, and believes in iterative change. This individual will apply the latest advanced analytics to generate actionable insights that will drive optimized decision-making within Development. This individual will work with the Head of Advanced Analytics and other stakeholders to understand the scientific or business challenge and will research, develop (code) and optimize new methods, algorithms and technologies to derive actionable, further shaping the future of clinical research.\n    Responsibilities :\nDrive the definition, design, implementation and validation of cutting-edge algorithms to analyze disparate data sources to achieve targeted outcomes by leveraging machine-learning approaches, predictive and statistical modeling concepts, clustering and classification techniques\nDeliver insights and values from heterogeneous data to investigate complex problems in clinical research\nDeliver on data-driven research projects through hands-on approach and team effort\nActively listen, integrate input from disparate sources and collaboratively translate medical or business question into data and analysis requirements and validate impact\nDrive informed decision-making and present findings to both technical and non-technical audiences\nAdvance socialization of techniques and new technologies throughout the organization\nOversee the ingestion and classification of disparate data sources\nProvide technical direction and mentor junior members of the Advanced Analytics team\n  Basic Qualifications:\nMS or Ph.D in statistics, mathematics, computer science or other quantitative disciplines with a statistical component\nAt least 12 (MS) or 8 (PhD) years of experience working in pharmaceutical / biotech / healthcare industry with at least 5+ years delivering end-to-end \xe2\x80\x9cbig data\xe2\x80\x9d analysis projects\nExperienced data scientist with advanced hands-on knowledge of R and/or Python\nAdvanced knowledge of machine learning techniques, predictive modeling, statistical methodologies and visual analytics\nAbility to effectively interact and influence all levels of management\nStrong organizational and communication skills\nExperience with Hadoop platforms and related \xe2\x80\x9cbig data\xe2\x80\x9d technologies is preferred\nExperience working in Cloud Computing environments (e.g., AWS, Azure, etc) is preferred'"
b'Data Scientist',b'ISMIE Mutual Insurance Company',"b'Chicago, Illinois'","b'Job Purpose:\n\nAnalyze statistical data effecting ISMIE\xe2\x80\x99s Operations including Claims, Underwriting, Risk Management, and Reinsurance.\n\nEssential Duties and Responsibilities:\n\nEvaluate through objective statistical analyses, effectiveness of various programs and report results to Senior Management.\nPerforms and prepares analytical tasks on vast amounts of structured and unstructured data to extract actionable business insights.\nPrepare statistical analyses of claim and underwriting data for use in discussions with reinsurers and reinsurance brokers.\nDevelops algorithms using advanced mathematical and statistical techniques like machine learning to predict business outcomes and recommend optimal actions to management.\nPrepare statistical analyses requested by various departments.\nAssist internal and external actuaries in data preparation and analysis.\nManage the development of methodology and protocol for the ongoing use of data to monitor all aspects of operations of ISMIE.\nProvide quality service in all areas of responsibility.\nAdditional duties and responsibilities as required.\n\nRequired Education, Skills, and Experience for this position:\n\nA Bachelor\xe2\x80\x99s degree in economics, mathematics, or statistics. Minimum of two (2) year\xe2\x80\x99s experience in insurance or financial related field. Excellent oral and written communication skills with professional, service-oriented demeanor required. Advanced level knowledge of Microsoft Excel along with working knowledge of SQL, Python, R. Must have strong analytical and problem solving skills.'"
b'Data Scientist',b'Conversant',"b'Chicago, IL, US'","b""Data Scientist - (0105066)\n\nIn this role, you will research and develop new enhancementsto Conversant's award-winning Conversant One-to-One Relationship Engine, with the aim ofenhancing data-based capabilities for Conversant's real-time digital marketingbusiness.\n\nConversantanalyzes anonymized, privacy-safe data at internet scale. We handle 200B+ ofonline interactions a day and have $3.8 trillion in multichannel purchases inour database. The Decision Sciences group is a collaborative R&D team thatcontinually enhances Conversant's award-winning personalization platformthrough a combination of data science, machine learning, AI, computer science,and more.\n\nOurcolleagues love the fast-paced, dynamic work environment, the speed with whichwe translate research to business impact, the opportunity to continually learnnew knowledge and skills, the internal research seminars, the external trainingopportunities, and the excellent work-life balance our culture promotes.\n\nWe prioritizetalent and potential over having closely similar prior experience. If usinginternet scale data to drive business impact excites you, we want to talk toyou.\n\nResponsibilities\nConduct projectsend-to-end from early stage research through development, in consultation withstakeholders.\nUse your expertise indata science and/or computer science to research and recommend solutions to ourtechnology and business problems.\nProvide technologyleadership to yield innovative differentiating solutions.\nDevelop an understandingof Conversant's personalization platform and proprietary datasets.\nImplement and optimizestate of the art algorithms in distributed environments.\nWork with ourEngineering teams to integrate your solutions into Conversant's platform.\nParticipate fully in ourcollaborative approach to research and applications projects.\n\n\nRequirements\nGraduate degree, Ph.D.preferred, in a computational, mathematical, engineering, or scientific field.\nResearch experience in acomputational area such as data science, computer science, machine learning,artificial intelligence, statistics, probabilistic modeling, or graphalgorithms.\nAnalytic and modelingskills.\nVerbal and writtencommunication skills, including the ability to summarize technically complexinformation for a non-technical audience.\n\n\nAdditional Desirable But Not Required Skills\nExperience withdistributed computing.\nDemonstrated proficiencyworking with business and technical teams to integrate algorithms into product platformson large data sets.\n\n#analytics\n\nPrimary Location USA - United States-3090 - Illinois-50082 - Chicago-L5-Chicago, IL - CNVR\nWork Locations\nL5-Chicago, IL - CNVR\nChicago 60606\nJob Technology\nOrganization Epsilon\nSchedule Regular\nJob Type Full-time\nJob Posting Nov 25, 2019, 3 26 43 PM\nDivision Conversant\nRI AL"""
b'Data Scientist I',b'AbbVie',"b'Lake County, IL, US'","b""AbbVie (NYSE:ABBV) is a global, research-based biopharmaceutical company formed in 2013 following separation from Abbott Laboratories. The company's mission is to use its expertise, dedicated people and unique approach to innovation to develop and market advanced therapies that address some of the world's most complex and serious diseases. AbbVie employs approximately 30,000 people worldwide and markets medicines in more than 170 countries.\n\nPosition Description\n\nThe Data Solutions Department within the Information Research (IR) Division works with internal clients to provide data management and decision support tools to optimize the efficiency and efficacy of research and development at AbbVie.\n\nThe Data Scientist I position is a critical role for AbbVie within the Data Solutions department. This position independently identifies, develops and optimizes new business technology solutions to address critical business needs within the Drug Discovery organization through data capture, data integration, data visualization and analysis of large and complex data sets. Key responsibilities include implementing new workflows by which scientific data can be captured, analyzed and visualized. Additionally, this role will interface directly with research scientists to understand their workflows and needs to independently design and develop technology solutions. This individual will implement data analytics and visualization solutions, either independently, or by working with a development team, to provide agile, impactful and cost-effective solutions for the business.\n\nKey Responsibilities\nCommunicate \xe2\x80\x93 ability to communicate with scientific individuals from Drug Discovery to understand existing workflows\nCollaborative Design \xe2\x80\x93 understand the client\xe2\x80\x99s needs, propose solutions and work independently, or with a team of developers, to seek appropriate solutions\nBuild \xe2\x80\x93 through your own efforts and by working with developers, implement custom solutions/processes that capture data and foster the growing AbbVie data integration environment\nSupport \xe2\x80\x93 provide solutions to performance related issues and work with downstream systems to support data driven demands\nAdaptability \xe2\x80\x93 given our diverse mission you should be able to move fluidly between different project responsibilities\nBreadth \xe2\x80\x93 as a talented and motivated Data Scientist, you can contribute independently to a wide variety of missions related to enhancing drug development\n\nQualifications\nBS or equivalent and typically 5 years of experience\nMS or equivalent and typically 3 years of experience\nBackground in life sciences and work experience in the Drug Discovery sector of the pharmaceutical industry strongly preferred\nWorking knowledge of drug discovery process; background in biology strongly preferred\nExperience working with data from Laboratory Systems, Drug Discovery workflows preferred\nDedicated team player who can interface with stakeholders from a variety of internal IT disciplines (DBAs, architects, developers, etc.) and external customers (biologists, chemists, etc.)\nKnowledge of SQL, R, python or other similar data science languages strongly encouraged\nStrong familiarity with data visualization and pipelining tools such as Spotfire and Pipeline Pilot desired\nExperience in the lab running bioassay screening assays desired\nExperience with data capture methods and software such as Dotmatics Studies\nMath or Statistical experience desired\nAbility to work independently\nAbility to multi-task and work within timelines\nA self-motivated learner and thinker with a hands-on approach\nAn analytical mind with outstanding interpersonal, verbal and written communication skills\n\n**Equal Opportunity Employer Minorities/Women/Veterans/Disabled**\n\nAdditional Information\nSignificant Work Activities and Conditions: Continuous sitting for prolonged periods (more than 2 consecutive hours in an 8 hour day)\nTravel: No\nJob Type: Experienced\nSchedule: Full-time\nJob Level Code: IC\n\n\nEqual Employment Opportunity Employer\nAt AbbVie, we value bringing together individuals from diverse backgrounds to develop new and innovative solutions for patients. As an equal opportunity employer we do not discriminate on the basis of race, color, religion, national origin, age, sex (including pregnancy), physical or mental disability, medical condition, genetic information gender identity or expression, sexual orientation, marital status, protected veteran status, or any other legally protected characteristic."""
b'Quantitative Data Analyst',b'Racon Capital',b'Greater Chicago Area',"b'Racon Capital is a quantitative investment firm based in Milwaukee, Wisconsin. Position can be based in Milwaukee or greater Chicago area.\n\nRacon seeks a quantitative data analyst with technical and analytical expertise to develop, maintain and support our systematic investment strategies and risk management systems. The ideal candidate will contribute in data analysis, statistical testing, programming, and strategy development. Racon invests across all asset classes to include equity, fixed income, currency, commodity and volatility asset classes. \n\nResponsibilities\n\nData Analytics\nAccess, clean, and organize data, to facilitate the team\xe2\x80\x99s ongoing research.\nEnsure that data analysis can be widely used among the team by keeping code in good order and by building appropriate user interfaces to allow for deployment among non-technical team-members.\nWork directly with Director of Quant Research to ingest and evaluate new datasets for alpha generation and other quantitative models.\nBuild industry-leading data models, APIs and standards for storing and accessing data to support ongoing quantitative research and live trading.\n\nQuantitative/Strategy Development\nDevelop and continuously improve upon mathematical models, and convert algorithms into code\nExtract predictive signals from financial data through both traditional statistical analysis methods and cutting-edge machine learning techniques.\nResearch quantitative questions of importance to portfolio managers. This research will include risk management, trading strategies, and assessing market and economic conditions.\nCommunicate research results through reports and presentations, supported by tables and visual aids.\nCollaborate on team research projects, as well as work independently on individual research assignments.\n\nQualifications\n\nStrong knowledge of financial mathematics and statistics.\nExperience with database architecture, data extraction, design and management.\nExperience using statistical models for data analysis, including probability, regression, and time-series models for investments or financial service application\nExperience, or aptitude to learn machine learning techniques including clustering and regularized regression.\nPrior experience in a quantitative role within a trading asset management environment.\nUndergraduate and/or Master\xe2\x80\x99s degree, (or equivalent experience) in a technical discipline such as engineering, statistics, mathematics, or computer science.\n\nTechnical Skills\n\nStrong programming experience in Python and SQL (3+ years preferred)\nWorking knowledge of Linux OS\nDemonstrate thorough understanding of system design, ETL and data ingestion techniques.\nExperience with processing and cleaning data, including the use of API\xe2\x80\x99s. Knowledge of Bloomberg API, S&P capital IQ and/or Alpha Factor Library preferred.\n\nInterested applicants should send resume to: Jackie Darr, jdarr@raconcapital.com\nContact:\nJackie Darr\njdarr@raconcapital.com\n414-877-1272'"
b'Data Scientist',b'Burtch Works',"b'Chicago, Illinois, United States'","b""Our downtown Chicago-based client is looking to bring on a Data Scientist to their growing team! The person in this role will both work with existing datasets and help to formulate new ones by using data scraping and mining techniques to bring third-party data into the mix.\n\nUsing tools like Python, R, and Spark, you will dig into large amounts of data to help deliver key research insights to stakeholders across the entire business. A self-starting attitude is key, as you will own projects from start to finish and be instrumental in helping shape business strategy.\n\nQualifications:\nMaster's degree in a quantitative field like Statistics, Computer Science, or Business Analytics\nPhD preferred\n2+ years of experience working with and analyzing large datasets\nHigh degree of proficiency in tools like Python, Spark, Hadoop, and R\nAbility to clearly communicate technical concepts to various audiences\nExperience with web scraping techniques\n  Keywords: Python, R, web scraping, text mining, data mining, predictive modeling, predictive analytics, statistical modeling"""
b'Data Scientist',b'Stats Perform',b'Greater Chicago Area',"b'Do you have a background in Data Science, Physics, Statistics or Probability Theory? Do you have a passion for sports? Do you live to find data driven solutions to complex problems? Come join our team at Stats Perform as a AI Scientist building predictive models with modern deep learning tools that will be utilized by the world\xe2\x80\x99s leading technology companies, sports franchises and sports book operators.\nWhat You\xe2\x80\x99ll Do:\nResearching, developing, and implementing the most innovative machine learning and computer vision techniques to Stats Perform\xe2\x80\x99s wealth of sports data (both structured and unstructured)\nProductizing artificial intelligence based solutions along side engineers and product teams\nProviding technical guidance to product teams on the artificial intelligence (machine learning and computer vision) approaches appropriate for a task\nPatenting the innovative solutions\nWhat You Need:\nBachelor\xe2\x80\x99s, MS or PhD in computer science or related quantitative field.\nExpertise in using Python, C++, or other programming language\nSubstantial experience with unstructured data sources, especially in areas such as spatiotemporal data, video/image, speech or text data\nProficiency in, at least, one modern deep learning engine such as Tensorflow, PyTorch etc. (preferred: knowledge of using GPUs)\nProven track record of innovation in creating novel algorithms and advancing the state of the art\nPassion for creating new technologies with high product impact within sport.'"
