title,company,location,job description
b'Data Scientist',b'PRI Global',"b'Broomfield, Colorado, United States'","b'Data Scientist\nBroomfield, CO\n12+ Months\n  Direct Client- Century Link\n  Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite hardware, software, and bandwidth constraints; merge data sources; ensure consistency of data sets; create visualizations to aid in understanding data; build mathematical models using the data; and present and communicate the data insights/findings. 2-4 years of experience required.'"
b'Senior Data Scientist',b'CenturyLink',"b'Broomfield, CO, US'","b""About CenturyLink\n\nCenturyLink (NYSE: CTL) is the second largest U.S. communications provider to global enterprise customers. With customers in more than 60 countries and an intense focus on the customer experience, CenturyLink strives to be the world\xe2\x80\x99s best networking company by solving customers\xe2\x80\x99 increased demand for reliable and secure connections. The company also serves as its customers\xe2\x80\x99 trusted partner, helping them manage increased network and IT complexity and providing managed network and cyber security solutions that help protect their business.\n\nJob Summary\n\nA Senior Data Scientist develops tools to collect, clean, analyze and manage the data used by strategic areas of the business. Employs techniques and theories drawn from mathematics, statistics, from the subdomains of machine learning, classification, cluster analysis, and data mining. Collaborates with cross-functional teams to understand complex business problems, build statistical models, and create predictive tools.\n\nJob Description\nClearly communicates methods and conclusions with simple language and innovative visualizations to management and executives.\nWorks effectively on a team as well as a self-driven individual who researches and develops cutting edge and effective solutions for the business.\nProvides expertise in analyzing and visualizing large, complex, and unique data sets.\nCreates new insights that will drive business growth and profitability in the short and long term.\nDeploys analytics code with a continuous integration environment incorporating version control, build servers, and test servers.\nDesigns and implements programs and automation to collect, mash up, process and analyze distributed real-world data.\n\nQualifications\n\nRequired:\nBachelor\xe2\x80\x99s or Master\xe2\x80\x99s Degree(s) in Operations Research, Math, Statistics, Computer Science, Physics and Economics.\n4+ years of experience or 2+ years with a master\xe2\x80\x99s degree in data analysis or related field.\nStrong experience with tools for managing, analyzing, and visualizing large datasets.\nExperience with relational databases.\nProgramming experience with two or more of R, Python, Scala, Java, Perl, Mathematica and C++.\nStrong analytical thinking and ability to quickly pick up new methods, tools and programming languages.\nProblem solving versatility: making the best decisions possible given the data quality and time available.\n\nPreferred\nMaster's or PhD Degree(s) in Operations Research, Math, Statistics, Computer Science, Physics and Economics.\n6+ years of experience in data analysis or related field.\nExperience with non-relational database.\nExperience articulating business questions and using mathematical techniques to arrive at an answer using available data.\nPast success in extracurricular math/science activities or competitions is highly regarded.\nCreativity and persistence in locating, extracting and analyzing any and all relevant data.\nEducation\nBachelors or above in Operations Research, Math, Statistics, Computer Science, Physics and Economics\n\nEducation\n\nBachelors or Equivalent\n\nMasters or Equivalent\n\nAlternate Location: US-Arizona-Phoenix; US-Colorado-Broomfield; US-Colorado-Littleton; US-Florida-Apopka; US-Louisiana-Monroe; US-Oklahoma-Tulsa; US-Texas-Frisco\n\nRequisition #: 218290\n\nThis job may require successful completion of an online assessment. A brief description of the assessments can be viewed on our website at http://find.centurylink.jobs/testguides/\n\nEEO Statement\n\nWe are committed to providing equal employment opportunities to all persons regardless of race, color, ancestry, citizenship, national origin, religion, veteran status, disability, genetic characteristic or information, age, gender, sexual orientation, gender identity, marital status, family status, pregnancy, or other legally protected status (collectively, \xe2\x80\x9cprotected statuses\xe2\x80\x9d). We do not tolerate unlawful discrimination in any employment decisions, including recruiting, hiring, compensation, promotion, benefits, discipline, termination, job assignments or training.\n\nDisclaimer\n\nThe above job definition information has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job. Job duties and responsibilities are subject to change based on changing business needs and conditions."""
b'Data Scientist',b'ettain group',"b'Denver, Colorado, United States'","b""ettain group is on the hunt for a talented Data Scientist for a client in Downtown Denver on a direct hire basis. They are doing a lot of machine learning and need talented individuals to help enhance their team dynamic!\n\nResponsibilities:\nCreate machine learning problems to tackle major business challenges.\nWill work with data engineers as well as product managers to discover and collect data and to cleanse and refine that data needed for analysis and modeling.\nTake data sets to extract insights and inform design and model development.\nCreate summaries to communicate results of analysis and testing to inform how the business should proceed.\nBuild models using a variety of statistical and machine learning techniques, assessing the best type of model for the problem. Context and using advanced techniques and customization to optimize model performance\n\nQualifications:\nMaster's degree or PhD in computer science, machine learning, data science, mathematics, statistics, or related quantitative field\n3-5 years of experience in a data science or machine learning role\nExpert knowledge of major machine learning algorithms\nFluent in Python and R\nExperience with machine learning libraries and platforms, like Scikit-learn and Tensorflow\nSolid statistical analysis skills and a good understanding of experimental design\nExperience working with data at scale in the Hadoop"""
b'Data Scientist',b'RE/MAX',"b'Denver, CO, US'","b'The Data Scientist will be instrumental in helping RE/MAX to continue its evolution into a data driven, analytical culture. This role will directly engage with key stakeholders to support analysis of increasingly complex business questions, examples of which include: real estate market analysis; lead generation; marketing effectiveness and consumer engagement; applying appropriate advanced analytics for key business initiatives; etc.\nEssential Duties\nInteract with stakeholders to identify critical questions creating effective KPI\xe2\x80\x99s -- actionable insights, rather than just reports\nUtilize a problem-solving approach to design and implement large-scale experimentation and build data models to answer business problems\nDevelop predictive and descriptive models using advanced statistical, optimization, and big data techniques\nAbility to take disparate data sources, identify the data issues, and standardize to perform advanced trending and analytics\nKeep up to date with cutting-edge techniques in machine learning/big data analytics/algorithms\nVisualize and create a roadmap for the exploitation of data as a valued corporate asset\nSupport team member development through sharing of information and techniques\n\nQualifications & Skills\nAbility to extract and clean data, often working with large or messy data sets\nExperience translating quantitative results into clear and concise business presentations/reports for both technical and non-technical audiences.\nSelf-motivated, attentive to detail, and driven to continuously improve analytics skill sets\nProficiency in a wide range statistical methodology (regressions, clustering, classification, time series, supervised/unsupervised learning models, etc.)\nProficiency in statistical/analytic tools (R, Python, Tableau, etc.)\nDegree in Data Analytics, Mathematics, Statistics, Economics or related quantitative discipline\nAdvanced degree preferred\n5+ years experience in an applied analytics space'"
b'Data Scientist',b'Terumo BCT',"b'Lakewood, CO, US'","b'Requisition ID: 24071\n\nThe Data Scientist will be detail-oriented and conscientious, analytical and curious. The role requires a strong problem-solver, who uses both quantitative and qualitative methods to get things done with minimal supervision. And on top of it all, this role requires someone who wonders ""Why?"" and then seeks out the solution.\n\nReporting to leader of our Analytics function, this is an ideal role for individual with broad-based, generalist-type business intelligence experience hoping to grow in the workforce analytics, workforce planning, and human capital management spaces.\n\nThis individual will work in partnership with cross-functional partners globally to ensure data automations, database architecture, and data extraction pipelines ultimately meet customer needs.\n\nMust be able to navigate ambiguity, balance competing priorities, and escalate concerns as appropriate. Customer- centric disposition and the tendency to over-communicate outcomes and processes are ideal.\n\nEssential Duties\nAssists with the architecture, development, and automation of data solutions,\nIteratively building and prototyping automated reports and dashboards to begin to enable insights at scale;\nCreates queries that balance business specifications with established best practice definitions;\nHelps to ensure that all data distribution elements conform to security and privacy models;\nSupports and participates in people data governance processes;\nConducts business data reviews periodically to ensure accuracy;\nManipulates and analyzes large data sets and connects disparate ideas into cohesive, well-grounded recommendations using creative, structured and analytical thinking.\nBuilds strong internal and external relationships in order to collaborate with teammates, business leaders, clients, and application engineers to empower organization with high quality data.\nPrioritizes work well in order to manage multiple work streams, high pressure situations, and new information.\n\n\nMinimum Qualification Requirements\n\nEducation\n\nBachelor\xe2\x80\x99s degree with studies in analytics, data science, information technology, statistics, finance, or a related field, or equivalent experience. Masters or PhD preferred.\n\nExperience\n\nMinimum 3 Years of experience in data science, business intelligence, information technology, management consulting, or equivalent combination of education and experience.\n\nSkills\nMust have deep proficiency with Excel.\nExperience using Alteryx or other ETL automation software highly desirable.\nExperience using SQL, Python or other data or scripting language.\nExperience building and maintaining a solution to collect, store, and organize data to address client needs.\nAbility to perform and script algebraic-style calculations and queries.\nExperience using data visualizations to communicate trends (e.g., tables, charts, graphs);\nExperience with conducting research using statistics (e.g., correlations, t-tests, regressions).\nApplied understanding of data science process, ETL, data enrichment, and data discovery processes.\nExposure to/ understanding of data architecture, warehouses and lakes, pointers, and data table design.\nPrevious use of visualization software (Tableau, Qlick, Microsoft BI, Domo, etc.) preferred.\nPrevious experience querying ERP, HIRS, QMS or other cloud-based data source environment preferred.\nExposure to compensation analysis, market analysis, talent management, or other strategic human resources practices and programs desirable.\n\n\nOR\nAn equivalent competency level acquired through a variation of these qualifications may be considered.\n\nPhysical Requirements\n\nTypical Office Environment requirements include: reading, speaking, hearing, close vision, walking, bending, sitting, and occasional lifting up to 20 pounds.\n\nThe physical demands described here are representative of those that must be met by an associate to successfully perform the essential duties of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential duties.\n\nWe are proud to be an Equal Opportunity Affirmative Action Employer. All applicants will be afforded equal opportunity without discrimination because of race, color, religion, sex, gender identity or expression, sexual orientation, marital status, order of protection status, national origin or ancestry, citizenship status, age, physical or mental disability unrelated to ability, military status or an unfavorable discharge from military service.\n\nTerumo BCT is committed to providing a safe and secure working environment. We maintain a drug-free workplace and perform pre-employment substance abuse testing and detailed background verification checks. To this end, all employment offers for positions in the U.S. are conditional upon successful completion of Terumo BCT\'s pre-employment screening process. As of January 1, 2017 the Terumo BCT Lakewood, Colorado location will be a tobacco-free workplace. For more information about Terumo BCT, visit our website www.terumobct.com/careers.\n\nJoin Terumo BCT as we unlock the potential of blood. We are a global leader in blood component and cellular technologies, and the only company with the unique combination of apheresis collections, manual and automated whole blood processing, and pathogen reduction coupled with leading technologies in therapeutic apheresis and cell processing. We believe in the potential of blood to do even more for patients than it does today. This belief inspires our innovation and strengthens our collaboration with customers.\n\nAs the largest medical device manufacturing company headquartered in Colorado, we are home to more than 2,300 associates and our products are in use in more than 125 countries and territories. Our Global footprint includes more than 5,500 associates and partners with regional headquarters in Brussels, Buenos Aires, Singapore and Tokyo.\n\nOur company has almost $1B in annual revenues and has been voted and recognized as:\nLargest corporate sponsor in Rocky Mountain Region for Leukemia and Lymphoma Society (LLS)\nWinner of the Association for Talent Development (ATD) BEST Award for providing exceptional employee learning and talent development (2011 & 2012)\nOne of Colorado\xe2\x80\x99s Healthiest Employers by Denver Business Journal (2014 & 2015)\nRecipient of the Way to Go Employer award through the Denver Regional Council of Governments (DRCOG) 2015\n\n\nOur Award-winning Culture Embraces\nLeading technology through innovation and R&D\nWellness programs\nCommitment to quality\nAn environment that values, respects and rewards your individual contributions\nA philosophy of intentional growth and responsiveness to world health issues\n\n\nClick Here to see what our associates have to say about our culture.\n\nEach associate has a positive impact on our future by:\nConnecting to the lives of the patients we ultimately serve\nGrowing through professional and leadership development activities\nSharing company success through incentive plans\n\n\nIf you are the best at what you do and want to do work that is changing the delivery of healthcare globally, we invite you to work with us now to see how we can unlock your potential.\n\nNearest Major Market: Denver\nJob Segment: Database, Scientific, Medical, Scientist, Consulting, Technology, Engineering, Healthcare, Science'"
b'Data Scientist',"b'RampUp, Inc.'","b'Denver, CO, US'","b""We are hiring a Data Scientist for our client's Data Science and ML team as a full-time employee in Denver, Colorado.\n\nJob Description\n\nAs a Data Scientist, you will analyze large amounts of raw information to find patterns that will help improve the company. You will be relied upon to provide technical insight, propose solutions, and build data products to extract valuable business insights in a dynamic environment.\n\nYou will be expected to have a strong understanding of various machine learning models and their use cases. You should be able to articulate model usage and output as well. You will also need to write well-designed, appropriately documented, testable, efficient code.\n\nYou Will\nIdentify valuable data sources and automate collection processes\nUndertake the preprocessing of structured and unstructured data\nAnalyze large amounts of information to discover trends and patterns\nBuild predictive models and machine-learning algorithms\nCombine models through ensemble modeling\nPresent information using data visualization techniques\nPropose solutions and strategies to business challenges\nCollaborate with engineering and product development teams\n\nWho You Are\nBachelor's degree in Statistics or Machine Learning related field, Master's or Ph.D. preferred\n2+ years working with ML models\n2+ years working with Python and/or R\nExperience with SQL and relational databases\nExperience with Data Science tools and platforms\nExperience working in dynamic environments\n\nComp And Perks\nSalary: 100-120k\nHealth, vision, dental insurance with 401k benefits\nWork/Life Programs\nWeekly happy hours\nCommunity involvement opportunities\n\nApply To Our Data Scientist Position Here\n\nhttps://jobs.crelate.com/portal/rampup/job/8fyj57p3dnzo6o7z6qs8qjq1ic/data-scientist-denver-colorado\n\nAnd create your profile at www.rampupinc.com/it-staffing\n\nWe are an equal opportunity employer and value diversity at our company. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."""
b'Data Scientist',b'PDS',b'Denver Metropolitan Area',"b'Position Summary\nConduct epidemiologic analyses of surveillance data and other health outcomes data from proprietary databases as well as external or newly developed databases.\nDesign investigations, including hypothesis generation, determining methodological techniques, and development of study protocols, statistical analysis plans, and client or research proposal development.\nAnalyze data from multiple sources with the goal of identifying patterns and trends within defined populations. Data sources include proprietary quantitative treatment center data, qualitative Internet-based data, survey data, and other data sources as identified.\nDevelop, conduct, and analyze data from health-related surveys of various populations.\nAbility to synthesize analytic results to write study reports, requiring excellent scientific writing skills.\nPrepare abstracts, slides, posters, and manuscripts for publication and/or presentation of project results.\nCommunicate findings from epidemiology studies to relevant internal and external audiences, including clients, regulators, and other industry professionals. Ensure findings are communicated effectively, and as appropriate in conference presentations, publications, and other means\nServe as an independent project lead: coordinating tasks with others in the Health Analytics team and work plans for assigned projects and client deliverables.\nParticipate in client-facing project meetings and interface with various project teams in order to complete assigned projects and deliverables.\nContribute to business development activities and proposal writing\nContribute to improving operational efficiencies of workflows, including writing of internal guidance documents (e.g., SOPs and quality management documents)\nRequirements\nMaster (MS/MPH) degree with 5 or more years of experience in applied epidemiology, public health, or related discipline or other experience conducting health care data analyses or public health research.\nExposure to working with large real-world healthcare secondary databases\nThorough and up-to-date technical knowledge of epidemiology and biostatistics methods with a sound understanding of research methodology. This includes both qualitative and quantitative data analysis.\nExperience developing surveys and analyzing survey data.\nProficiency in application and conduct of advanced statistical methods (e.g., multivariate regression, stratified analyses, and mixed modeling techniques).\nDatabase manipulation skills, with strong attention to detail.\nExcellent written and verbal communication skills.\nDemonstrated leadership and interpersonal skills.\nAbility to work under minimal supervision on complex projects.\nProficient with MS Office Suite applications\nWork effectively with a multidisciplinary team.\nPrior experience working in a consultancy, CRO or healthcare services'"
"b'Data Scientist (Denver, CO)'",b'Tiger Analytics',"b'Denver, CO, US'","b'Tiger Analytics is looking for an experienced Data Scientist to join our fast-growing advanced analytics consulting firm. Our consultants bring deep expertise in Data Science, Machine Learning and AI. We are the trusted analytics partner for multiple Fortune 500 companies, enabling them to generate business value from data. Our business value and leadership has been recognized by various market research firms, including Forrester and Gartner. We are looking for top-notch talent as we continue to build the best global analytics consulting team in the world.\n\nAs a Data Scientist, you will apply strong expertise in AI through the use of machine learning, data mining, and information retrieval to design, prototype, and build next generation advanced analytics engines and services. You will collaborate with cross-functional teams and business partners to define the technical problem statement and hypotheses to test. You will develop efficient and accurate analytical models which mimic business decisions and incorporate those models into analytical data products and tools. You will have the opportunity to drive current and future strategy by leveraging your analytical skills as you ensure business value and communicate the results.\n\n\nKey Responsibilities\n\n\nCollaborate with business partners to develop innovative solutions to meet objectives utilizing cutting edge techniques and tools.\nEffectively communicate the analytics approach and how it will meet and address objectives to business partners.\nAdvocate and educate on the value of data-driven decision making; focus on the ""how and why"" of solutioning.\nLead analytic approaches; integrate solutions collaboratively into applications and tools with data engineers, business leads, analysts and developers.\nCreate repeatable, interpretable, dynamic and scalable models that are seamlessly incorporated into analytic data products.\nEngineer features by using your business acumen to find new ways to combine disparate internal and external data sources.\nShare your passion for Data Science with the broader enterprise community; identify and develop long-term processes, frameworks, tools, methods and standards.\nCollaborate, coach, and learn with a growing team of experienced Data Scientists.\nStay connected with external sources of ideas through conferences and community engagements.\n\nRequirements:\n\nBachelors Degree in Data Science, Computer Science, Engineering, Statistics and 5+ years of Data Science experience required\nProficiency in Python or R and in writing complex SQL queries\nProficiency with Machine Learning concepts and modeling techniques to solve problems such as clustering, classification, regression, anomaly detection, simulation and optimization problems on large scale data sets. Ability to implement ML best practices for the entire Data Science lifecycle\nAbility to apply various analytical models to business use cases (NLP, Supervised, Un-Supervised, Neural Nets, and more)\nExceptional communication and collaboration skills to understand business partner needs and deliver solutions\nBias for action, with the ability to deliver outstanding results through task prioritization and time management\nExperience with data visualization tools \xe2\x80\x94 Tableau, R Shiny etc preferred\n\nBenefits:\n\nThis position offers an excellent opportunity for significant career development in a fast-growing and challenging entrepreneurial environment with a high degree of individual responsibility.'"
b'Data Analyst',b'Horizontal Talent',"b'Broomfield, CO, US'","b""Fully-qualified professional with a broad career level of understanding. Possesses detailed knowledge of one technology or professional discipline, or basic knowledge of several areas. Broad application of principles, theories, and concepts. Uses several techniques to solve complex problems where analysis of situations or data requires a review and analysis of several factors. May lead the implementation of tactical plans in support of strategic initiatives. Receives objectives and determines approach to achieving objectives. Makes decisions but may not have final authority for all aspects of resource commitment. Works under limited supervision. Accountable for the achievement of operational goals in at least one department or work area. Integrates customer/client needs and concerns with business issues. Serves as an advocate for client. Serves as a liaison on specific projects with other work areas. Influences, inspires or persuades others in order to accomplish work objectives.\n\nRequirements\nBachelor's degree or equivalent education and relevant experience.\n2-4 years of experience\nDrug/Background"""
b'Data Scientist',b'The Trade Desk',"b'Boulder, CO, US'","b'The Trade Desk is a global technology company with a mission to create a better Internet for everyone through principled, intelligent advertising. We help the world\'s biggest brands reach consumers, and our platform funds content providers and publishers who keep the global Internet free and open for everyone.\n\nHandling over 600 billion queries per day (more than 100X the query volume of search globally), our platform operates at unprecedented scale and generates massive amounts of data. We have also built something even stronger and more valuable: an award-winning culture based on trust, empathy, collaboration, and ownership. By working together across typical dividing lines, we are better as a team than any of us could be apart.\n\nDo you have a passion for solving hard problems at scale? Are you eager to join a trust- based, globally-connected team, where your contributions will make a meaningful difference?\n\nCome and see why Fortune Magazine recently named The Trade Desk among the best small to medium-sized workplaces in the US.\n\nAbout The Role\nOur Data Scientists are end-to-end owners. You will participate actively in most aspects of designing, researching, building, and delivering data-focused products for our clients.\nOur Data Science team is embedded into nearly a dozen individual, mission-focused engineering teams working across a wide spectrum of technological and scientific challenges. You will have the opportunity, depending on your interests and background, to work on problems related to natural language processing and machine learning over hundreds of millions of web pages, graph mining and algorithmic optimization on petabytes of data, and causal inference with missing data - to name a few.\nData Scientists contribute to more than our product \xe2\x80\x93 they build up our team. We are a team built on a foundation of generosity and openness, and we expect our data scientists to help make others better and raise the bar for those around them.\nWho We Are Looking For\nYou have a sustained track record of making significant, self-directed, and end-to-end contributions to large and impactful machine learning projects. You think beyond just the task at hand to deeply understand the \'why\' behind what you are doing.\nYou have a strong sense of data intuition. At our scale, many off-the-shelf modeling techniques (open source and enterprise) simply don\'t work. You are able to work from first principles and intuition to develop solutions and adapt them to a unique environment.\nYou are a broadly skilled data scientist who may have experience working with embedded models in always-on production systems and may have worked across a variety of technologies and data sources.\nYou have a product-focused mindset. You have the passion and ability to contribute to the process of discovering what will delight our clients and push forward one of the world\xe2\x80\x99s largest and most influential industries toward a vision of openness, transparency, and evidence-based decision-making.\nYou work with confidence and without ego. Our data scientists have deep knowledge and exercise a high degree of leadership in their daily work. You have strongly-held, defensible ideas, and advocate for what you believe is right. You are also adept at identifying and evaluating trade-offs, willing to be proven wrong, and quick to walk through fire to support your fellow teammates.\nYou value, seek out, and foster diversity. We are a global team from many diverse backgrounds, with different experiences and perspectives. To complement this team, you will welcome ideas that are different from your own and be skilled at finding and building from common ground.\nYou are a creative thinker, not bound by ""the way things have always been done."" What you know is less important than how well you learn and innovate. We don\'t need data scientists who know all the answers; we need data scientists who can invent the answers no one has thought of yet, to the questions yet to be asked.\nWhat You Bring To The Table\nYou have an abundance of intellectual curiosity and are enthusiastic to learn (and teach) new technologies / techniques.\nYou are you comfortable working on an agile, distributed team spanning multiple time zones and continents.\nYou are able to communicate effectively across both technical and non-technical audiences.\nYou have up to 10 years of experience working in a data-driven role. Some of those years of experience may have been spent pursuing an advanced degree in a quantitative field, but it\xe2\x80\x99s not a requirement. What and how you can contribute is what\xe2\x80\x99s most important to us which is why our consideration is not limited by the level of education you have.\nYou have some experience with big data technologies such as Spark and AWS, are able to write efficient SQL, and are proficient in one or more of the following programming languages: R, Python, Java, or Scala. Variety of technical challenge is one of the best things about working at The Trade Desk as a data scientist though which is why we do not expect you to know every technology we use when you start. What we care about is that you can learn quickly and solve complex problems using the best tools for the job.\nThe Trade Desk does not accept unsolicited resumes from search firm recruiters. Fees will not be paid in the event a candidate submitted by a recruiter without an agreement in place is hired; such resumes will be deemed the sole property of The Trade Desk. The Trade Desk is an equal opportunity employer. All aspects of employment will be based on merit, competence, performance, and business needs. We do not discriminate on the basis of race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under federal, state, or local law.'"
