title,company,location,job description
b'Lead Data Scientist',b'CrowdStrike',"b'El Segundo, CA, US'","b'At CrowdStrike we\xe2\x80\x99re on a mission - to stop breaches. Our groundbreaking technology, services delivery, and intelligence gathering together with our innovations in machine learning and behavioral-based detection, allow our customers to not only defend themselves, but do so in a future-proof manner. We\xe2\x80\x99ve earned numerous honors and top rankings for our technology, organization and people \xe2\x80\x93 clearly confirming our industry leadership and our special culture driving it. We also offer flexible work arrangements to help our people manage their personal and professional lives in a way that works for them. So if you\xe2\x80\x99re ready to work on unrivaled technology where your desire to be part of a collaborative team is met with a laser-focused mission to stop breaches and protect people globally, let\xe2\x80\x99s talk.\n\nAbout The Role\n\nCrowdStrike\xe2\x80\x99s Data Science team is expanding -- we are at the exciting intersection of Machine Learning, Big Data, and Security and are looking to add a lead data scientist specializing in machine learning to our growing team. You will have the opportunity to apply your coding, mathematical and scientific research skills to the bleeding edge of security technology. You\xe2\x80\x99ll be able to leverage large-scale rich data to meaningfully improve our supervised learning models and refine our identification of malicious computer software and behavioral threats. CrowdStrike\xe2\x80\x99s cybersecurity data is one-of-a-kind: we process over 400 billion behavioral events per day and have over 1800 terabytes of malware samples in our research repository. We are a diverse and multidisciplinary team, and you\xe2\x80\x99ll have the chance to broaden your horizons by working jointly with a team of Big Data, Machine Learning, and Security domain experts on hard and impactful problems.\n\nPreference for candidates in Los Angeles, California (El Segundo office)\n\nWhat You\xe2\x80\x99ll Need\nUndergraduate or post-graduate degree in a STEM field\n8 Years of post-undergraduate experience in data science, machine learning, or any field employing computational science or data driven analyses\nProgramming experience in Python, Rust, R MatLab or Scala to match (preference in that order)\n\nYou will\xe2\x80\xa6\nMine large scale and high dimensional data, identify patterns, and visualize trends\nCreate predictive models using supervised learning techniques to detect and stop the most sophisticated threats\nInnovate new semi-supervised and online learning techniques to enhance our threat detection capabilities and reduce nuisance false positives for our customers.\nWork closely with domain experts to improve our raw data and to derive more value from data collected\nHone your ability to balance detail-oriented research with goal-oriented business objectives\nImplement and experiment with new algorithms and methodologies to help improve our machine learning models\nAutomate and visualize analyses, results and processes in our machine learning pipeline\n\nYou are\xe2\x80\xa6\nPassionate about cybersecurity, with a firm understanding of the problem space\nor\nPassionate about applying your machine learning skillset to new domain areas such as cybersecurity\nVersed in utilizing Machine Learning techniques and familiar with the standard algorithms, their trade-offs, their usage, and how to tune them\nHave experience working on very large data sets of sparse high dimensional data and experience in pre-processing and analyzing such data to gain actionable insights\nAn independent self-starter who likes to take ownership and independently seeks out new challenges\nThirsty for knowledge and do not hesitate to step outside of your comfort zone to learn new technologies, algorithms and concepts\nComfortable to dive into a Python codebase, including experience with unit testing and the python packaging ecosystem\nComfortable and experienced working in a Linux environment in the AWS cloud\nAnalytically minded: never afraid to drill down into a data-set, or debug-deeper into an unfamiliar codebase.\n\nWe are committed to building an inclusive culture of belonging that not only embraces the diversity of our people but also reflects the diversity of the communities in which we work and the customers we serve. We know that the happiest and highest performing teams include people with diverse perspectives and ways of solving problems so we strive to attract and retain talent from all backgrounds and create workplaces where everyone feels empowered to bring their full, authentic selves to work.\n\nCrowdStrike is an Equal Opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex including sexual orientation and gender identity, national origin, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law.'"
b'Data Scientist',b'Gene Therapy Startup',"b'Pasadena, California'","b'Scientist - Bioinformatics\n\nAs an early team member, you\xe2\x80\x99ll have the opportunity to help mold the company around the core values of collaboration and innovation. As part of the broader R&D efforts, your responsibilities would include supporting and innovating on the bioinformatics pipeline, analyzing and interpreting large-scale sequencing results, and communicating those results across project teams. A strong background in computer science and next-generation sequencing is essential, and experience with machine learning is preferred. While this role will foster independence, it will also require the ability to interact with scientists in all levels of the startup, and as such, we place a high value on consistency, diligence, and a positive and collaborative work style. A successful candidate will be one who is ambitious and motivated, can adapt to learning and refining new protocols, and thrives in a fast-paced, team-oriented startup environment.\n\n\nEssential Requirements:\n\nB.S. or M.S. in computer science,bioinformatics, math or bioengineering with a minimum of 3+ years of relevant experience.\nSolid proficiency with next-generation sequencing pipeline development \xe2\x80\x93 especially in basespace, DNANexus or other cloud-based bioinformatics platforms.\nExperience with applying computation methods to large-scale data, including but not limited to proficiency in python, R, C#, samtools, docker, HTML and javascript.\nDemonstrated ability to work in a collaborative environment to develop and execute analyses to answer scientific questions.\nStrong organizational and time-management skills.\nExcellent communication and presentation skills, as well as the drive to pursue diverse and ever-changing projects as part of a fast-paced startup team\n\nAdditional Preferred Skills:\n\nMachine learning experience\n\n\nThe well-being of our employees and their families is of the highest importance. As part of employment we offer competitive financial, paid time off, health and many other benefits designed to facilitate the emotional, physical and financial well-being of all associated with our company.\n\nWe are an equal opportunity employer. All applicants will be considered for employment without attention to age, race, color, religion, sexual orientation, gender identity, national origin, veteran or disability status, or any classification protected by fe'"
b'Data Scientist',b'Kinect',"b'90405, Santa Monica, California, United States'","b'This is a Data Scientist/Data Analyst II for a Global Data Science R&D team in Santa Monica.  \n\nYou will be:\nWorking across prediction, segmentation, price optimization, machine learning, AdTech and other areas where data and statistical methods can be applied to measurable advantage\nWorking on interesting high value problems from teams across the business, including frontline labels, A&R, catalogue, commercial, advertising and marketing.\nWorking in close collaboration with data architects, analysts and platform development teams to deliver scalable solutions to the business.\n You will be responsible for:\nResearching and developing data driven solutions to help solve current and future business problems.\nBuilding/refining/improving new or pre-existing statistical models or processes.\nAdvising on data related topics to help guide or informing business decisions.\nPreparing data sets for applications such as: classification, modelling and clustering.\nDeveloping new data features that can become invaluable pieces of insight.\nSupporting other data related teams to design new KPI\xe2\x80\x99s and models to enhance their tooling\n\nMUST HAVE:\n2+ years of professional working environment Data Science experience\n3+ years of R and/or Python development\nExperience creating SQL queries\nProfessional working environment experience with statistical packages: NumPy, SciPy, Statsmodels.\nExperience in Machine Learning\nWorking knowledge of machine learning concepts and techniques and their application.\nGoogle Cloud Platforms Products: BigQuery, Dataflow, Dataproc, Machine Leaning or similar cloud solutions\n\nBenefits:\n75% Health/Dental/Vision Paid, 401k'"
b'Data Analyst',b'TikTok',"b'Los Angeles, California, United States'","b""Job Title: Data Analyst\nJob Type: Full-Time\nLocation: Culver City, California\n\nAbout TikTok\nTikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy.\n TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul, and Tokyo.\n\nJob Description\nWe are looking for a passionate Data Analyst who will turn data into understandable information, able to deliver clear goal-drive data reports to each Manager, leading to good insight that will help with accurate and effective business decisions. Come and help us grow out TikTok community!\n\nRESPONSIBILITIES\nFind actionable strategic insights through funnels, cohort analyses, user segmentation, retention analyses and regression models to help us grow our products\nPartner with the product, data and marketing teams to answer high-priority strategic questions\nDefine KPIs, build automated dashboards, reports, and models to help teams make faster better decisions\nWork with engineering and product to implement, qa, and monitor our logging and metrics\nRegularly report findings and ongoing KPI's to marketing to provide visibility into campaign performance and assist in campaign optimization\n\nREQUIREMENTS\nBA/BS in Computer Science, Math, Economics, Statistics, or other quantitative fields\n4+ years work experience doing quantitative analysis\nAbility to synthesize and communicate complex concepts and analyses in easy to understand ways\nA solid grasp of common statistical methods and applications (A/B testing, probability, regression)\nExpert experience pulling large and complex data using SQL\nExperience with a data visualization tool (e.g. Mode Analytics/Chartio/Tableau)\nFamiliarity with web analytics tools (e.g. Google Analytics/Adobe Analytics/Amplitude)\nExcellent verbal and written communication skills\nSelf-motivated, detail-oriented, learn autonomously, and highly organized\n\n\nPreferred Qualifications\nExperience with marketing analytics (e.g. Attribution/Forecasting)\nExperience working with very large data sets and distributed computing (Hive/Hadoop/MapReduce)\nFamiliarity with R or Python is a plus\nAbility to approach problems creatively and build structure out of ambiguous requests\nBilingual English-Chinese (Mandarin) a plus"""
b'Data Analyst',b'Live Nation Entertainment',"b'Los Angeles, California, United States'","b'Job Responsibilities:                          \nTier 1 & 2 Business Intelligence (BI)/Analytics support\nField support calls, email requests and manage support queue\nResolve issues within technical capability\nFrequently communicate issue status with customer and verify fix when complete\nTriage and track escalated issues with other technical resources\nProvide training and technical guidance\nAddress performance and access issues\nDevelop reports and prepare summary analyses to validate system accuracy\nUse strong analytical skills to interpret a wide variety of data from multiple sources\nLead/participate in meetings with peers/business stakeholders to discuss open issues and analyze requirements to create or adjust reports/dashboards\nDesign, develop, and test report deliverables based on specifications\nParticipate in QA/Regression testing to support new releases\nProvide root cause analysis for incidents\nWork with peers/business to develop and implement corrective and preventative strategies\nCreate and utilize existing SQL statements to investigate issues and correct data in databases\nMaintain ETL Job scheduling applications, troubleshoot and rerun failed jobs\nMonitor Live Nation (LNE)/Ticketmaster (TM) Data Delivery SLA Dashboards, escalate as appropriate\n**SLA dashboard discussions and tracking WIP.\nAutomated Reports\nMonitor performance of reports and reconcile discrepancies\nCreate new and adjust current reports\nMaintain report schedules, troubleshoot, and escalate issues\nAdd/remove users to/from report schedules\nSAP Business Objects User / Application Management\nPrepare ad-hoc queries\nNew User set up and training\nFolder and access management\nRemove inactive users\nMonitor server performance, review audit reports and make recommendations for improvements\nSkills:\nSQL  \nExcel\nPreferred Experience with:\nRelational and multi-dimensional database concepts\nAny BI reporting tool (SAP Business Objects, Tableau, Salesforce Analytics, Databricks, Cognos, Crystal Reports, etc.)\nProblem solving / critical thinking skills\nExcellent communication skills\nAbility to collaborate effectively in a matrix environment\nDemonstrated ability to learn new systems and the inner workings within\nAbility to work in a rapidly evolving, fast paced culture and meet time-critical deadlines'"
b'Data Scientist',b'BlackLine',"b'Los Angeles, California, United States'","b'BlackLine is looking for an experienced Data Scientist who will be responsible for building and maintaining the machine learning systems, data, platform and processes. You will be building, integrating and deploying machine learning solutions into the BlackLine application in collaboration with product management, cloud, engineering, and data science teams.\n\nYou will have strong practical experience with machine learning techniques in the industry, accounting, and financial industries is a plus.\n  Responsibilities:\nBring Creativity to Data products.\nApply machine learning methods to a variety of finance and accounting problems\nPerform qualitative and quantitative data analysis.\nCleanse and transform raw data used in machine models.\nPerform data munging, data mining, clustering & classification methods, pattern recognition.\nComfortable with statistics, calculus and multivariate analysis.\nParticipate in ML POCs, validate the results and develop production implementations.\nBuild and optimize scalable machine learning solutions in the public cloud.\nFamiliar with SQL, Python, R, SparkML, TensorFlow, GCP, AWS, SQL Server.\nDevelop production systems in Python.\nWork independently to research and solve business and technical problems.\nPlan their work individually and as part of a team.\nMentor and train other Data Scientists on the team\n  Qualifications:\nMS/PhD in Computer Science or other quantitative disciplines\nExtensive experience solving analytical problems using quantitative approaches.\nExperience with machine learning algorithms for building ML models, their accuracy, cleanliness, reliability.\nExperience with predictive and prescriptive analyses, modeling, and segmentation.\nYou have a strong passion for empirical data research for practical applications.\nAbility to communicate complex quantitative analysis in clear, precise, and actionable\nComfortable with complex, high-volume, high-dimensionality data from varying sources.\nVery comfortable with data engineering methods and pipelines.\nExpert knowledge of analysis tools such as R, Matlab, or SAS\nExperience with data warehousing, relational databases, ETL, BI, data mining.\nExperience in SQL, R, Python languages.\nStrong familiarity with GCP and AWS, SQL Server.\nPractical experience with GIT version control.\nComfortable working with open source tools in a Unix/Linux environment.\nExperience with and ownership of data-informed decision-making.\nExperience translating business requirements into functional, and non-functional requirements.\nStrong sense of product and data ownership.\nWorks independently without the need for supervision.\nStrong written and verbal skills \xe2\x80\x93 able to explain the work in plain language.'"
b'Data Scientist',"b'Phoenix Staff, Inc.'","b'Irvine, California, United States'","b'Looking for a Data Scientist in Irvine, CA. This is a direct hire opportunity.\n*No sponsorship available. Local candidates only, please*\n\nThe Data Scientist provides analytical support to organizational decision makers via analysis and interpretation of data.  \nLeverages critical thinking and problem-solving skills to extract valuable business insights.\nConducts lifecycle analysis including requirements gathering, analytical modeling, and presenting findings.\nDevelops algorithms to extract and leverage insights from data to optimize organizational opportunities.\nPossesses a passion for applying data and analytics while consistently developing personal and organizational capabilities.\nAids the organization to consistently be more data-driven and seek actionable insights.\nTells a story with data by finding relationships, drawing conclusions, and making recommendations.\nMines complex data to create statistical models, reports/visualizations, machine learning models, and compare predictive models.\n\nEXPERIENCE:\n2+ years experience in data science.\nBachelor\xe2\x80\x99s degree in statistics, mathematics, or a related field required, Master\xe2\x80\x99s degree in statistics, mathematics, or a related field preferred. \nDemonstrated experience and working knowledge of quantitative, modeling, and data analysis skills.\nDemonstrated experience and working knowledge of relational databases and database query tools (SQL Server or similar).\nExperience creating data visualizations using Tableau, Power BI, or similar applications.\nExperience using R, Python, or similar languages.\nExperience using SAS, SPSS, Stata, or similar software.\nMarketing experience a plus.'"
b'Data Scientist',b'Delta Computer Group',"b'Torrance, CA, US'","b""POSITION IS LOCATED IN TORRANCE, CA\n\nJob Description This role will unlock new opportunities for innovation in our connected products and services by Exploring data to discover hidden relationships and trends Developing and validating predictive mathematical models Creating and presenting interactive data visualizations to influence key decisions with strong data-driven rationale Deconstructing complicated data flows and processes and translating them into easy to understand diagrams for executive audiences Analyzing and quantifying customer feedback using natural language processing tools Developing algorithms to enhance our customers'''' experiences or improve our internal processes\n\nAcademicExperienceCompetency Bachelor''''s or graduate degree in science, technology, engineering or mathematics Professional knowledge or experience with data programming languages (SQL, Python, R, etc.) Proficiency with abstract data structures and algorithms Strong proficiency in statistics and advanced analytic topics (regression, clustering, etc.) Proficiency in Excel (ability to write advanced functions, VBA knowledge is a plus) Experience with data visualization software and libraries such as Tableau and D3.js Experience building analytic models, particularly using predictive techniques Experience with machine learning tools Experience with creating data flow diagrams\n\nDaily Tasks Performed Explore and analyze data to discover insights Translate complex data relationships and findings into compelling stories using easy to understand data visualizations Propose new data processing methods to improve our products and services Develop and maintain data dictionaries\n\nWants Experience with web technologies HTMLCSSJS"""
b'Product Data Scientist',b'Snap Inc.',"b'Los Angeles, CA, US'","b'Snap Inc. is a camera company. We believe that reinventing the camera represents our greatest opportunity to improve the way people live and communicate. Our products empower people to express themselves, live in the moment, learn about the world, and have fun together.\n\nWe\xe2\x80\x99re looking for a Data Scientist to join Team Snapchat! Working closely alongside engineering, product design, product management and growth teams, you will enjoy creating inventive, data-based approaches to solving difficult business and product problems. Working from our Los Angeles headquarters, you\xe2\x80\x99ll work to generate business and product insights and help Snap to ship the best product in the world.\n\nWhat you\xe2\x80\x99ll do:\n\nPartner with Product Management, Growth Program, Product Design and Product Engineering and apply your expertise in quantitative analysis, data mining, and statistical modeling to see beyond the numbers and understand how our users interact with our consumer products to help drive product and business decisions.\nKnowledge, Skills & Abilities:\n\nAbility to initiate and drive projects to completion with minimal guidance.\nDesign and build data pipelines and key data sets to empower dashboards as well as explorative analyses.\nPossesses data modeling skills and understanding of user behaviors and ecosystems.\nAble to identify new opportunities and new product levers to help user growth and user engagements.\nAble to communicate product insights and experiment results to product teams and help drive data-informed decisions.\nBuild best data analytics practices to drive and influence company data culture.\nMinimum Qualifications:\n\nBS/BA degree in statistics, mathematics, computer science or equivalent years of experience.\n3 years of experience in quantitative analysis or a related field\n3 years experience in SQL or other big data querying language\n3 years working with a programming language, such as Python\nPreferred Qualifications:\n\nStrong statistical knowledge\nExperience in a product-focused role at a social media and/or mobile technology company\nA team player who can collaborate with engineers, product managers, and other cross-functional teams\nAn understanding of Snapchat with great product sense and product understanding\nStrong experience with causal inference techniques, experimental design and/or A/B testing\nExperience with analytical packages such as SciPy or R\nExcellent interpersonal skills, including verbal and written communication\nAbility to communicate the results of analyses in a clear and effective manner to a senior audience\nAt Snap, we believe that having a team of diverse backgrounds and voices working together will enable us to create innovative products that improve the way people live and communicate. Snap is proud to be an equal opportunity employer, and committed to providing employment opportunities regardless of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, pregnancy, childbirth and breastfeeding, age, sexual orientation, military or veteran status, or any other protected classification, in accordance with applicable federal, state, and local laws. EOE, including disability/vets. If you have a disability or special need that requires accommodation, please don\xe2\x80\x99t be shy and contact us at accommodations-ext@snap.com .'"
b'Data Scientist',b'SpaceX',"b'Hawthorne, CA, US'","b""SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not. Today SpaceX is actively developing the technologies to make this possible, with the ultimate goal of enabling human life on Mars.\n\nDATA SCIENTIST\n\nAs a data scientist servicing needs across the entire company, you will bring in the latest and greatest machine learning technologies, and turn insights from petabytes of space hardware data into actionable insights and autonomous applications. As a member of a small and agile team, you will have the opportunity to architect, engineer and deploy a multifaceted machine learning system that automates all aspects of SpaceX's operation, from manufacturing, to launch and landing, to long-duration space flight.\n\nResponsibilities\nDevelop deep-learning and other machine learning models against time series, image, video and volumetric datasets to automate launch vehicle, spacecraft and satellite production and operation\nFull ownership of application life cycles, including need finding and continuous improvement by working closely with engineering teams at our California, Washington, Texas and Florida sites\nCurate reference datasets by becoming subject-matter expert in various aerospace engineering and manufacturing domains\nDeliver production-quality code against aggressive timelines\n\n\nBasic Qualifications\nBachelor's degree in computer science, physics or other engineering discipline\n2+ years of experience with Python and relevant signal processing and deep learning libraries (PyTorch/Tensorflow)\n\n\nPreferred Skills And Experience\nExperience developing applied machine learning applications end-to-end outside of classroom settings\nExperience designing and utilizing relational database (SQL)\nExcellent Python/C++/Javascript skills\nExperience with micro services, container-based deployment workflows and web application frameworks (Angular/React)\nExperience with agile software development techniques, test-driven development and continuous integration\nBackground in physics, mechanical engineering and thermal fluid dynamics a plus\nBackground in linear algebra, dynamical systems and control theory a plus\nExcellent communication skills both for technical and non-technical\n\n\nAdditional Requirements\nWilling to work extended hours and weekends as needed\n\n\nItar Requirements\nTo conform to U.S. Government space technology export regulations, including the International Traffic in Arms Regulations (ITAR) you must be a U.S. citizen, lawful permanent resident of the U.S., protected individual as defined by 8 U.S.C. 1324b(a)(3), or eligible to obtain the required authorizations from the U.S. Department of State. Learn more about the ITAR here.\n\nSpaceX is an Equal Opportunity Employer; employment with SpaceX is governed on the basis of merit, competence and qualifications and will not be influenced in any manner by race, color, religion, gender, national origin/ethnicity, veteran status, disability status, age, sexual orientation, gender identity, marital status, mental or physical disability or any other legally protected status.\n\nApplicants wishing to view a copy of SpaceX's Affirmative Action Plan for veterans and individuals with disabilities, or applicants requiring reasonable accommodation to the application/interview process should notify the Human Resources Department at (310) 363-6000."""
