title,company,location,job description
b'Senior Data Analyst',b'',b'',"b'DynTek, Inc. currently has an exciting opportunity for a Senior Data Analyst in San Diego, CA. The Data Analyst will contribute to the development and implementation data reports and strive to achieve consistent, effective reporting of system data. The Data Analyst shall be responsible for supporting the recording and analysis needs leading data, report, and report analysis activities, quality improvement, quality assurance, and compliance activities and the development of new reports (parameter reports, dashboards, and cubes). You will also be overseeing the review of system data to ensure consistent and effective reporting and the progression of data management maturity efforts. Additionally, you will be developing content for training and communication guides and coordinate data steward activities.\n\nESSENTIAL DUTIES AND RESPONSIBILITIES:\nManage metadata in support of the development and/or implementation of new data sources.\nDevelop and monitor a Data Management Maturity Gap Analysis and Road Map to include: Privacy, Security, Retention, Quality, and Standards.\nPerform data analysis, gap and impact analysis \xe2\x80\x93 with a large number of data elements, one-to-multiple data sources, business impact, and visibility).\nUse documented methods for creating source-to-target mapping, capturing business and technical metadata, and complete data lineage.\nPrepare flow and organizational charts, workload statistics, and statistical data displays.\nPerform data profiling, document results, and present findings to various audiences.\nLead the preparation of complex reports that communicate group/department priorities, policies, and procedures.\nPrioritize current and future data projects.\nParticipate in special task forces.\nFormulate criteria, processes, and procedures for evaluating the impacts of projects, plans, and programs for service delivery.\nConduct special projects that may include, but are not limited to, needs assessments, survey analyses, and program standard development.\nAnalyze patterns and prepares recommendations to enhance operational efficiency.\nMake oral presentations.\nResearch and develop recommendations to improve outcomes.\nCreate data visualizations to clarify and inform a variety of audiences.\nCollaborate with staff to create information graphics based on data analysis and findings.\nLead the design of data and ad hoc reports.\nLead the development of standard reports.\nLead training efforts within reporting \xe2\x80\x93 develop content for training and communication guides for reports.\nWritten or spoken communication materials on data reporting.\nDevelop project planning documents.\nUpdate project status reports specified reporting tools\nMonitor Master Data Management (MDM) design.\nMonitor Business Intelligence strategies.\nMonitor Change Management strategies.\nCoordinate activities with vendors.\n\nEXPERIENCE AND EDUCATION:\n\xc2\xb7       Bachelor\xe2\x80\x99s degree, preferably in Computer Science, Statistics, or Mathematics or equivalent experience.\n5+ years of experience in data analysis.\n5+ years of experience in data warehouse.\n5+ years of experience using advanced data analytic tools and in writing complex queries - Cognos Analytics, SPSS Modeler, and SQL experience preferred.\nStrong written and oral communication skills.\nQuick learner, able to accurately assimilate and analyze information from a variety of sources and synthesize to produce consumable products.\nStrong computer skills. Proven ability to learn new software systems. Proficiency in Microsoft Word, Excel, and Access.\nProven ability to demonstrate an understanding of data, data modeling, predictive analytics, and in showing how data supports business decisions.\nAgile methodologies and tools.\nCreative, focused, strong organizational skills, problem solver, attention to detail, flexible, and proactive.\n\nDynTek provides Equal Employment Opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to Federal law requirements, DynTek complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.'"
b'Data Scientist',b'',b'',"b""Description\n\nRealty Income, The Monthly Dividend Company\xc2\xae, one of four San Diego based S&P 500 companies dedicated to providing shareholders with dependable monthly income. Our company is structured as a REIT, and its monthly dividends are supported by the cash flow, over 6,000 real estate properties owned under long-term lease agreements with regional and national commercial tenants. To date, our company has declared over 600 consecutive common stock monthly dividends throughout its 50-year operating history and has continually increased the dividend since Realty Income's public listing in 1994 (NYSE: O). Our company attracts individuals who value integrity, perseverance, and teamwork. If you appreciate working on a truly collaborative team in a professional environment in a company that encourages a work-life balance, make sure to apply today!\n\nAs Realty Income\xe2\x80\x99s Data Scientist, you will be a ground-breaking leader who works as part of a team that builds and owns analytics-based assets, bringing the value of real estate predictive analytics to our business leaders. You will shape the future of a data-savvy organization, in part by driving processes for data extraction and analysis, and by creating new lines of thinking within our core real estate and investing business. In this role, you will design, develop and execute predictive analytics work streams that serve as the catalyst to increase ROI for the business.\n\nYour Contribution to the Team Includes\n\nPredictive Analytics\nBuild predictive analytics for use cases such as: Portfolio Management; Development; Acquisitions\nWork with business teams to identify, develop and deliver new use cases over time\nPrioritize predictive analytics initiatives based on multiple factors, e.g., ROI/productivity, business continuity, ease of delivery\nDeliver insights with user friendly end-products such as web-based tools, reports (e.g., Power BI) or visualizations that are accessible and understandable for business users\nEnsure we remain state of the art by keeping up on the latest technologies and approaches, attending conferences or other events as needed\nInfrastructure for Predictive Analytics\nCreate the vision for static and dynamic data architecture for predictive analytics encompassing internal data in our ERP system or other data sources as well as externally sourced data (e.g., census information news feeds)\nOversee the process for data management leveraging IT and business teams using clearly articulated responsibility matrices and timelines, including meeting internal audit requirements for data/process integrity\nCoordinate with the IT team to buy or license required tools, data and feeds\nWork with the IT team as they set up the necessary infrastructure and processes to support predictive analytics, e.g., ETL from the ERP system to data warehouse/lake\nDetermine how and when to take and store \xe2\x80\x9csnapshots\xe2\x80\x9d of data so that we can go back in time to test new models and approaches\nOrganizational Relationships\nWork closely with business teams, IT, internal audit and enterprise risk to define end products and processes\nCreate cross-functional working groups or teams as needed to initiate, approve or complete work\nUpdate the Investment Committee monthly or quarterly on key matters such as portfolio risk\nSupport business teams in the achievement of their objectives using predictive analytics tools\nPerforms other duties as assigned.\n\nRequirements\n\nWhat You\xe2\x80\x99ll Need to be Successful\nPHD Preferred in a relevant discipline, e.g., machine learning, statistics, applied mathematics, econometrics, or operations research\n3-5+ years of experience providing advanced analytics within a business setting\nPrior work experience within real estate or financial services is preferred, but not required\nProgramming experience in Python, Spark and SQL. Java/Scala is a plus\nExperience with RDBMS systems like PostgreSQL and NoSQL systems like MongoDB\nHands-on experience in Microsoft Azure and Amazon EC2 cloud platform\nDemonstrated ability to design and implement ETL workflows across both Windows and Linux environments\nAbility to clearly communicate ideas, orally or via written communications\nTo all recruitment agencies: Realty Income does not accept unsolicited agency resumes. Please do not forward resumes to our job\xe2\x80\x99s alias, Realty Income employees, or any company location. Realty Income is not responsible for any fees related to unsolicited resumes."""
"b'Scientist, Data Science'",b'',b'',"b'Janssen Research & Development LLC, a Johnson & Johnson company, is recruiting for a Scientist, Data Science located in La Jolla, CA or Spring House, PA with up to 15% domestic travel.\n\nThe R&D Data Science team within Janssen is looking for an outstanding scientist who is interested in designing, developing, and fielding impactful data science solutions. Our team supports projects from discovery through late development. The scientist will help identify viable data science opportunities and then conceive, develop and implement end to end data analytical solutions. The scientist will be someone who stays on the cutting edge of the data science field in order to implement novel algorithms that influence decisions at various levels in the organization. The role requires both a broad knowledge of existing machine learning algorithms and creativity to invent and customize when necessary. The scientist will be part of a multifaceted, accomplished team that supports multiple R&D therapeutic areas in the discovery and development of innovative medicines.\n\nKey Responsibilities\nWork with colleagues in research and development to design, build and deploy state-of-the art scientific algorithms to support Janssen R&D initiatives.\nAssemble large, complex data sets that meet functional / non-functional business requirements.\nDevelop and apply creative solutions that go beyond current tools to deliver data-driven insights to high-priority scientific problems.\nIdentify, design, and implement internal process improvements: automating manual processes, optimizing data delivery.\nAdvocate transparency & action through data storytelling! Establish and execute strategies to increase usage and adoption of Data Science from project conceptualization to completion.\n\nQualifications\nPh.D degree (OR Master\xe2\x80\x99s degree with a minimum of 3 years of relevant experience) in Computer Science, Statistics, Machine Learning & Artificial Intelligence, Physics, Mathematics, Computational Chemistry, Bioinformatics, Computational Biology or a related discipline is required.\n\nRequired\n\nExperience and Skills:\nFamiliarity with large datasets, understanding of data analysis workflows, and/or knowledge of querying languages such as SQL is required.\nProficient with common data science toolkits, such as R, Pandas, TensorFlow, NumPy.\nStrong working knowledge of statistics, machine learning algorithms such as Random Forest, SVM, neural networks, etc. and/or Natural Language Processing techniques is required.\nExperience with visualization software/tools such as Python, R, D3.js, Spotfire, Tableau, etc.\nExperience with big data tools: Spark, Hadoop, Redshift, EMR.\nAbility to effectively communicate technical work to a wide audience.\n\nPrefered\nHandling of healthcare relevant datasets, such as EHR, genomics, clinical trials, insurance claims or registry data.\nExperience designing, developing and deployed web applications, microservices.\nFamiliarity with drug discovery and clinical development processes.\nExperience building processes supporting data transformation, data structures, metadata.\nWe will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.\n\nJohnson & Johnson is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, or protected veteran status and will not be discriminated against on the basis of disability.\n\nPrimary Location\nUnited States-California-San Diego-\nOther Locations\nNorth America-United States-Pennsylvania-Spring House\nOrganization\nJanssen Research & Development, LLC (6084)\nJob Function\nR&D\nRequisition ID\n2534200402'"
b'Data Scientist',b'',b'',"b'Job Description\n\nDo you enjoy analyzing data? Creating products that solve real-world problems and taking them into production? Working with colleagues to find novel ways to approach difficult problems in fintech?\n\nWe are looking for people with graduate degrees (MS or PhD) in an analytical field, e.g., Physics, Statistics, Electrical Engineering, Computer Science, Oceanography, Applied Mathematics, Data Science. You should understand how to apply mathematics to real-world problems, including linear algebra, vector calculus, etc.\n\nWe Are Looking For People Who\nHave strong scientific coding aptitude \xe2\x80\x93 efficient code that is numerically stable and of production quality.\nAre strong analytical thinkers, including reasoning through probabilities and statistics, as well as delving into detailed deterministic thinking and using individual examples\nCan learn new business domains, understanding the context for the data science\nCan learn and apply machine learning and AI techniques to new domains, with a focus on client needs\nHave interest in working from start to finish: gather data, clean and prepare, model, code, package, guide into production, and help clients use the results.\nEnjoy working with data.\nCan communicate complex and sophisticated ideas to people without scientific backgrounds\nEnjoy working in a team environment\n\nYou Will Be Responsible For\nWorking on problems in the fintech area, including online payments, banking, and other areas\nWorking on a team under the leadership of other Data Scientists\nCommunicating with clients, internal and external, to understand the business problems that we can solve using machine learning and AI\nAnalyzing and understanding data from different domains, including data cleansing and detailed analysis of relationships between fields\nDeveloping supervised, unsupervised, and reinforcement models in the laboratory\nCoding models for production, with particular attention to efficient use of computational resources and robustness of the code\nWorking with Software Engineers and SaaS Operations to package and deploy the models\nMonitoring the models to ensure that they are working properly, and generalizing to new data\nWorking with clients to ensure that they are using the results of the models effectively.\nSkills needed include: excellent written and verbal communications, and presentation skills.\n\nLanguages needed include a subset of: Python, C++, Unix scripting, SAS, PySpark, Scala, Perl, C\n\nStrong command of Unix is preferred.\n\nExperience (Data Scientist): Fresh Graduate degree holders are welcome to apply. Industry experience greatly appreciated.\n\nIf you are located outside USA, please be sure to fill out a home address as this will be used for future correspondence.'"
b'Data Scientist',b'',b'',"b""Data Scientist\n\nAs Data Scientist at HP Inc. in San Diego, you will join an industry-leading organization and work on developing frameworks for systematic data science modeling to identify optimal marketing, pricing and sales decisions for our Printing & PC business. Working within a dynamic, highly skilled and diverse Pricing Strategy and Analytics team (economists, engineers, scientists or even musicians ? majority of them with a PhD) you will build models and develop tools and analytical processes to develop pricing and marketing strategies for HP printers, cartridges and PCs around the world.\n\nResponsibilities\nDevelop and apply statistical methods to analyze the effect of pricing and sales decisions on business performance\nDevelop and implement frameworks and processes for systematic and automated data analysis\nDevelop tools to ingest, merge, and clean data sets\nImmerse yourself in very large data sets and complex problems\nVisualize and interpret the results of analyses, and create strategy recommendations\nPresent the results and the corresponding recommendations to the relevant stakeholders, including senior leadership\n\nQualifications\nInterest in data science, pricing, economics, and/or consumer behavior\nScientific thinking and ability to design and critically analyze quantitative research\nAbility to think creatively about research problems and invent original solutions to modeling challenges\nAbility to build and interpret complex linear regression models, with machine learning experience a plus\nKnowledge of and experience in deploying numerical optimization routines\nProficiency with Python and R is required\nStrong analytical skills, with a high level of attention to detail\nProficiency in Microsoft Excel and Microsoft PowerPoint\nExcellent written and verbal communication skills\n\nNice-To-Haves\nKnowledge of price optimization approaches, price discrimination models and a general knowledge of main concepts from the industrial organization literature\nExperience working with large data sets\nExperience in data engineering\nExposure to digital marketing\nExperience working in or collaborating with industry\nExperience creating data visualizations\nAbility to build dashboards and other tools using front-end development skills\nExperience in software development\n\nEducation & Experience\nBachelor?s, Master's or PhD degree in Engineering, Computer Science, Economics, Quantitative Marketing, Mathematics, Physics or equivalent\n1-3 years? experience including graduate or postgraduate research"""
b'Data Scientist',"b'XIFIN, Inc.'","b'San Diego, California'","b' Who are we looking for?\nWe are looking for innovative data scientists with a passion for finding meaningful patterns and insights in large datasets. We are on our mission to optimize diagnostic healthcare costs and outcomes through data, analysis and driving analytics into action. Your contributions to our data, analytics and AI-driven solutions will help empower diagnostic service providers to deliver the best care and patient outcomes possible!\n Responsibilities\nDefining and implementing machine-learning applications to enhance analytics and workflow decision making in healthcare applications\nSelecting features, building and optimizing models using machine learning techniques\nCollaborate with cross-functional agile teams of software engineers, domain experts, and others to build new product features for multiple business units\nProcessing, cleansing, and verifying the integrity of data used for analysis\nPerforming ad-hoc analysis and presenting results in a clear manner\nApply machine learning, collaborative filtering, NLP, and deep learning methods to massive data sets\n\nQualifications\nBA/BS in Computer Science, Math, Physics, Engineering, Statistics or another technical field required\nStrong proficiency in data analysis with a keen ability to extract metrics and insight from high-volume and high-complexity datasets\nExcellent communication skills to present findings and collaborate with subject matter experts\nExperience with machine-learning and statistical modeling tools and techniques\nTalent for effective feature evaluation and dimensionality reduction\nAdvanced data preparation skills, particularly using SQL on complex relational datasets\nExperience with Cloud Data Technologies Redshift, Spark, Hadoop, SageMaker a plus\nExperience with Tableau a plus\nExperience in laboratory, medical or financial accounting industry a plus\n\n\n\n\nEEO Statement\nXIFIN provides equal opportunity for all applicants without regard to race, color, religion, sex (including pregnancy), national origin, ancestry, age, disability, genetic information, marital status, sexual orientation, veteran status, or any other basis protected by state or federal law'"
b'Data Scientist',b'National University',"b'San Diego, CA, US'","b'Position Summary\n\nUnder the direction of the VP, Chief Data Officer, the Data Scientist provides analytical leadership to support the data and analytical needs of the entire University. This position is responsible for developing and maintaining National University\xe2\x80\x99s analytical infrastructure to provide timely and reliable data for informed decision-making. In addition, the incumbent will apply advanced statistical, data mining, machine learning and various predictive modeling techniques to provide information, knowledge, coordination, and tools that support the growth and continued success of National University. The VP, Chief Data Officer provides general oversight concerning objectives and projects for this position and completes an annual evaluation of position.\n\nEssential Functions\nResponsible for the development, maintenance and advancement of National University\xe2\x80\x99s analytical\ninfrastructure.\nDevelop and maintain data extraction, transfer and loading from various sources.\nImplement appropriate security measures throughout the data pipeline.\nResponsible for maintaining metadata management and data quality activities so that data are accurate, reliable and documented.\nApply advanced predictive modeling, data mining, machine learning and statistical techniques to enable\ninformed decision-making, student support, and strategic initiatives.\nProvide analytical guidance to the entire University.\nFacilitate the transmission and understanding of data to enable fact-based decisions to various stakeholders, such as leadership, faculty and staff.\nProvide reliable and timely data that supports strategic planning, student success initiates, and educational and operational effectiveness.\nUtilize various software tools and reporting services to deliver actionable data to end-users in a digestible form\n\nSupervisory Responsibilities: NA\n\nRequirements\n\nEducation & Experience\nBachelor\xe2\x80\x99s degree in a related discipline (Statistics, Mathematics, Data Science, Social Sciences).\nAdvanced degree in a related field or evidence of pursuit of advanced studies or degree strongly preferred.\nOne to three (1-3) years of recent professional experience in data analysis and/or data engineering.\nTechnical / Functional Skills\nProficient in the following software applications: Microsoft Office Applications; Microsoft SQL Server; Microsoft\nAzure; Redmine; Peoplesoft/SOAR; Relational Database Management; Tableau/Power BI; and Statistical\nanalysis software (R, Python, or the equivalent) required.\nExperience and thorough knowledge in data collection and analysis techniques.\nCompetencies\nRequires analytic ability and frequent independent judgment based on knowledge of University policy and precedent.\nFluency in information technologies, including high level of proficiency and understanding with data mapping, data mining, machine learning, statistics, cloud computing and analytical programming languages such as SQL, R and/or Python.\nProven ability to independently synthesize, implement, analyze and report findings of research studies.\nExceptional interpersonal, organizational, and problem-solving skills as well as effective written and verbal communications.\nProven ability to troubleshoot problems and overcome obstacles with creative solutions.\nCapable of performing in a professional and friendly manner despite conditions of deadlines and pressure.\nKeen ability to transform vague requirements into clear, objective, and actionable tasks.\nFully accustomed to working on multiple projects, both independently and as a team member.\nSelf-starter with a positive attitude, intellectual curiosity and a passion for analytics\n\nPhysical Demands / Environment\n\nTravel: none required'"
b'Data Scientist - NLP',b'Q-Centrix',"b'San Diego, CA, US'","b'About The Job\n\nWe are looking for an experienced Data Scientist to join us at our San Diego office. The data scientist will help us break new ground in the data abstraction space with their expertise in Natural Language Processing (NLP) and aptitude for excellence. The high achieving determined data scientist will help us become the most innovative companies in the data abstraction space.\n\nAs a Data Scientist, You Will\nConceive, develop, and implement NLP solutions to tackle our most complex data abstraction challenges\nBuild state-of-the-art NLP models to extract insights from complex unstructured text data\nMore specifically, you will build Text Classification, Question Answering, Text Stigmatization, and Named Entity Recognition Models\nContribute to and help shape our vision for innovative technologies in data abstraction.\nClearly explain technical methods and results to diverse audiences to drive decision-making.\nActively collaborate with engineering, product, and business departments to write project plans and requirements.\n\nYou\xe2\x80\x99re Our Dream Candidate If You\nHave 5+ years of professional work experience not including internships and academic time\nAre known for your strong work ethics, teamwork, and commitment to delivery\nHave a demonstrable track record for building and deploying successful NLP models\nHave a MSc in Computer Science or a related field\nAre a believer in clearly explained extensive documentation, and lastly\nYou love dogs and cats!\n\nWho are we?\n\nAt Q-Centrix, we hire people who love learning, value innovation and believe in our mission and values to improve outcomes in healthcare. We applaud qualified applicants who are accountable and committed to producing quality work. As an Equal Opportunity Employer, we support and value diversity, dignity and respect in our work environment, and are committed to creating an inclusive environment in which everyone can thrive.\n\nWe employ people based on the needs of the business and the job, and their individual professional qualifications. Here\xe2\x80\x99s what does not impact our employment decisions: race, religious creed, religion, color, sex, sexual orientation, pregnancy, parental status, genetic information, gender, gender identity, gender expression, age, national origin, ancestry, citizenship, protected veteran or disability status, health, marital, civil union or domestic partnership status, or any status or characteristic protected by the laws or regulations in locations where we operate. If you are an individual with a qualified disability and you need an accommodation during the interview process, please reach out to your recruiter.\n\nWe celebrate and embrace these differences, and take pride in our commitment to being an equal opportunity team.'"
b'Data Scientist Internship - Summer 2020',b'General Atomics',"b'San Diego, CA, US'","b'General Atomics Aeronautical Systems, Inc. (GA-ASI), an affiliate of General Atomics, is a world leader in proven, reliable remotely piloted aircraft and tactical reconnaissance radars, as well as advanced high-resolution surveillance systems.\n\nWe recognize and appreciate the value and contributions of individuals with diverse backgrounds and experiences and welcome all qualified individuals to apply.\nWe have an exciting opportunity for an Information Systems Intern to join our ASI Division for Summer 2020.\n\nThe Operational Excellence group\xe2\x80\x99s charter is to align GA-ASI automated and non-automated business processes to its business strategy in order to achieve targeted results, leading to effective overall performance through improvements of specific work activities whether within a specific department or across the enterprise. Also to define, innovate, manage, and optimize increasingly collaborative and technology-aided end-to-end GA-AS processes to create value, drive business results, and enable GA-AS to meet its business objectives with more agility.\n\nDuties And Responsibilities\n\nAs a member of the Operational Excellence group, this position is expected to:\nParticipate in the day-to-day activities of the Operational Excellence group assisting in the completion of non-routine and advanced tasks.\nAssist in applying knowledge of systems and the business to analyze, investigate, and resolve problems.\nAssist in analyzing and developing reports using statistical techniques and software.'"
b'Data Scientist',b'APN Consulting Inc.',"b'San Diego, CA, US'","b'Job Title: Data Scientist\n\nLocation: San Diego, CA\n\nFULLTIME ROLE\n\nOverview\n\nWe are looking for a hands-on research scientist with a good track record of experience in\n\napplying machine learning methods towards solving real-world problems through\n\n(Un)supervised Learning, Operations Research and Optimization Problems to name a few. You\n\nwill be joining an excellent, multidisciplinary team and will be participating in cutting-edge\n\nwork in data science. You will be providing quality answers to large-scale problems with broad\n\nimpact.\n\nResponsibilities\nConceptualize, design and develop prototypes which demonstrate the required\nfunctionality rapidly\nUnderstand the latest industrial and academic developments in AI/ML, and apply it to\ncreate prototypes for demonstration.\nWork with development teams to mature these algorithms into production quality\nprograms\nDo applied research on a wide array of Operations research and machine learning\nprojects.\n\nDesired Candidate Profile\nDegree in relevant field or considerable hands-on experience in data science algorithms\nBasic understanding of Supervised learning, Unsupervised learning. Graph theory\nknowledge is a plus\nBasic knowledge in working with Deep Learning libraries such as Tensorflow or Pytorch\nor Keras or Theano is a plus.\n\nBasic Qualifications\nA good foundation in AI Methodologies like ML and Deep Learning. NLP, Computer\nvision is a plus.\nVery good python programming skills. Java programming skills a bonus\nDetailed oriented and penchant for data quality control\nAbility to Dig deeper into data, understand characteristics of data, evaluate alternate\nmodels and validate hypothesis through theoretical and empirical approaches\nIs a Self-Driven individual contributor who prefers working in an agile manner.\nAbility to work independently and have ownership mentality\nInnovation minded, highly capable to think systematically, capable of redefining the\nsolutions to overcome the competitors and solving problems.\nCurious and willing to challenge existing solutions with innovative technology concepts.\nThanks,\n\nAmit Sehdev\n\nAPN Software Services Inc.\n\nDirect: 510-402-1061 | Fax: 510-623-5055 | Amit@apninc.com\n\n\xe2\x80\x9cRanked Top Work Places 2016\xe2\x80\x9d\n\n\xe2\x80\x9cCertified Small and Minority Business\xe2\x80\x9d\n\n\xe2\x80\x9cRanked Top 50 Organizations for Diversity\xe2\x80\x9d\n\n\xe2\x80\x9cRanked Top Diversity Business\xe2\x80\x9d'"
