title,company,location,job description
b'Staff Data Scientist',b'Slack',"b'San Francisco, CA, US'","b'Staff Data Scientist\n\nSlack is hiring an experienced data science leader for our Expansion product team. The Expansion team is a cross-functional team that builds foundational product experiences to help teams become successful on Slack. Our team focuses on the critical moments within the team\xe2\x80\x99s lifecycle: creating and joining workspaces, in-product education, expanding the number of users on Slack, and purchasing & billing.\n\nYou will lead the exploration and understanding of Slack\xe2\x80\x99s drivers of growth and adoption, using your extensive knowledge of various research methods. You will partner with other leaders on Expansion to find ways to improve the user experience and bring Slack to new audiences. As a domain expert, you will work to inform and influence decisions throughout Slack by crafting our understanding into narratives and partnering with key decision makers within the company.\n\nAs a data science leader, you will help to make Slack\xe2\x80\x99s Research + Analytics team best-in-class by advocating for and implementing changes to process, tools, and systems. You will have a keen eye for opportunities to standardize, build new areas of competency within the team, and provide technical mentorship. You will be a strong partner to researchers with varying backgrounds, including design researchers, market researchers, and survey scientists.\n\nSlack has a positive, diverse, and supportive culture\xe2\x80\x94we look for people who are curious, inventive, and work to be a little better every single day. In our work together we aim to be smart, humble, hardworking and, above all, collaborative. If this sounds like a good fit for you, why not say hello?\n\nWhat You Will Be Doing\nApplying various data science methods to understanding the most important aspects of our product, users, and business.\nOrganizing disparate facts and findings into powerful narratives that have the broadest possible application within Slack.\nEvangelizing evidence-based decision making by partnering with key decision makers (including senior directors and c-level executives), and driving general accessibility of data and insights.\nCoordinate the execution of researchers and data scientists to methodically advance understanding of new domains.\nIdentify and drive improvements to the execution of the full Research + Analytics team through standardization of process, authoring new best practices, mentorship and cultivation of new expertise.\n\n\nWhat You Should Have\n8+ years of professional industry experience doing quantitative analysis. An advanced degree (MS, PhD) in a quantitative field (e.g. Computer Science, Economics, Physics) a plus.\nA consistent record of using data to drive product teams to achieve ambitious goals and influencing company-level outcomes. Experience as a technical lead or manager a plus.\nExpert in at least one programming language for data analysis (e.g. Python, R).\nExpert in designing and testing experiments.\nExperience with broad set of statistical and machine learning methods to build descriptive and predictive models.\nExperience in schema design and dimensional data modeling and building data pipelines.\nExperience working with data technologies that allow effective storage and analysis of large amounts of data (e.g. Hadoop, Hive, Spark, Presto, S3, etc).\nExperience designing, automating, and optimizing data work flows.\n\n\nSlack is an Equal Opportunity Employer and participant in the U.S. Federal E-Verify program. Women, minorities, individuals with disabilities and protected veterans are encouraged to apply. Slack will consider qualified applicants with criminal histories in a manner consistent with the San Francisco Fair Chance Ordinance.\n\nSlack is a layer of the business technology stack that brings together people, data, and applications \xe2\x80\x93 a single place where people can effectively work together, find important information, and access hundreds of thousands of critical applications and services to do their best work. From global Fortune 100 companies to corner markets, businesses and teams of all kinds use Slack to bring the right people together with all the right information. Slack is headquartered in San Francisco, CA and has offices around the world. For more information on how Slack makes teams better connected, visit slack.com.\n\nEnsuring a diverse and inclusive workplace where we learn from each other is core to Slack\xe2\x80\x99s values. We welcome people of different backgrounds, experiences, abilities and perspectives. We are an equal opportunity employer and a pleasant and supportive place to work.\n\nCome do the best work of your life here at Slack.'"
b'Data Scientist',b'Snowflake',"b'San Mateo, CA, US'","b'About Snowflake\n\nFounded by industry experts and backed by strategic investors, our disruptive built-for-the-cloud architecture was designed to push the limitations of conventional data warehousing.\n\nOur teams breed ambition, challenge ordinary thinking, push the pace of innovation, in-service of the exploding demand for accessible data.\nSnowflake is growing fast and we\xe2\x80\x99re scaling our team to help enable and accelerate our growth. We\xe2\x80\x99re passionate about our people, our customers, our values and our culture! We\xe2\x80\x99re also looking for people with a growth mindset and the pragmatic insight to solve for today while building for the future. And as a Snowflake employee, you will be accountable for supporting and enabling diversity and belonging.\n\nSnowflake started with a clear vision: make modern data warehousing effective, affordable, and accessible to all data users. Because traditional on-premises and cloud solutions struggle with this, Snowflake developed an innovative product with a new built-for-the-cloud architecture that combines the power of data warehousing, the flexibility of big data platforms, and the elasticity of the cloud at a fraction of the cost of traditional solutions.\n\nWe\xe2\x80\x99re growing and looking for a talented Data Scientist to come aboard and join our Data Science team in Finance. We are looking for someone who is passionate about analytics and is able to approach complex problems in an organized and detail-oriented manner. As Finance touches on all aspects of the business, you should be an intellectual athlete who has the desire to learn about customer behavior and the important drivers of various departments.\n\nAs a Data Scientist At Snowflake You Will\nBuild data products used to optimize the purchasing and monitoring of our cloud infrastructure across AWS, Microsoft Azure and Google Cloud.\nWork with large time-series datasets to forecast our infrastructure costs and product revenue, providing insight into our product margin.\nBuild predictability and statistical confidence for the growth of our business and continue building a data-driven culture within Snowflake.\nWork closely with the product team to help develop features around user behavior that impact customer usage and growth within the product.\nIdentify and build solutions for operational use cases\xe2\x80\x94e.g., system monitoring and alerting, outlier detection, etc.\nThink creatively to find optimal solutions to our complex, typically unstructured problems.\n\n\nOur Ideal Candidate Will Have\nBS/MS in a quantitative discipline (Math, Statistics, Operations Research, Economics, Engineering, or CS)\nExpert-level experience working with SQL and relational data (3+ years on a regular basis).\n3+ years of experience with Python, including scikit-learn, numpy, and pandas.\nExperience working with large-scale machine-generated data (e.g., log, application, or customer-usage data).\nHands-on experience with MPP databases, such as Snowflake, Redshift, BigQuery, Vertica, etc.\nAbility to clearly present learnings to business leaders and technical stakeholders.\nThe ability to thrive in a dynamic environment. That means being flexible and willing to jump in and do whatever it takes to be successful.\n\n\nWe\xe2\x80\x99re looking for people who share our passion for ground-breaking technology and want to create a lasting future for you and Snowflake.\n\nAre you up for the challenge?\n\nSnowflake is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, color, gender identity or expression, marital status, national origin, disability, protected veteran status, race, religion, pregnancy, sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.'"
b'Data Scientist',b'HCL Technologies',"b'Sunnyvale, California'","b""We are looking for a Data Scientist to be part of our Tech Office\n\nWhat are we looking for:\n\n\xc2\xb7         Master\xe2\x80\x99s in data science or Ph.D.in Data Science\n\xc2\xb7         Over 10 years of Industry Experience and\n\xc2\xb7         At least 4-year experience in Machine Learning/Deep Learning\n\xc2\xb7         Extensive Experience in Python OR RStudio. Experience in DL Frameworks like Tensorflow.\n\xc2\xb7         Experiencing in Leading/Mentoring a team of data scientists in ML/DL\n\xc2\xb7         Ability to prototype/build ML applications using cognitive Analytics technologies in close collaboration with Solution Architecture and Software Engineering teams\n\xc2\xb7         Prior Analytics experience in any one Industry (or more) healthcare, automotive, aerospace, consumer products and manufacturing (indicative list)\n\xc2\xb7         Experience in solving client's analytics problems and effectively communicating results and methodologies\n\xc2\xb7         Proven ability to rationalize disparate data sources and the ability to intuit the large picture within a dataset\n\xc2\xb7         Knowledge and experience working with Hadoop Eco System, Spark and distributed computing systems is a plus\n\xc2\xb7         Knowledge of statistics, machine learning, Deep Learning and data mining techniques\n\n\n*Please, submit your resume in English if you consider your profile matches with this opportunity*"""
b'Data Scientist',b'Maxonic',"b'Pleasanton, California, United States'","b'Data Scientist - 17953\n\nOur client is one of the largest retailers in the world. Yet their IT department is nimble and dynamic and works with cutting edge technologies. They are currently in need of an experienced Data Scientist in there Pleasanton, CA facility.\n\nThis position is contract to hire role at Pleasanton, CA location.\n\nResponsibilities:\nYou will be responsible for identifying and providing solutions and tooling built on predictive modeling, machine learning algorithms that satisfy various business needs\nUse machine learning algorithms to generate customer behavior segmentation, to build recommendation engines and deliver personalized user experience on e-commerce website and loyalty mobile app\nApply predictive modeling techniques and survival models to forecast various demands for operations and to deploy real-time learning algorithms to optimize the forecasts\nExtract insights and scale sentiment analysis from comments and other forms of feedbacks using Natural Language Processing. Develop adaptable NLP solutions including text categorization, domain classification, event detection, and topic modeling\nDesign experiments and deliver A/B Testing analysis to improve customer experience in the physical store and on digital platforms\n\nRequirements:\n7+ years of industry experience in applying data science and modeling methodologies: regression model, survival model, ensemble modeling, NLP, recommendation algorithm, clustering, deep learning algorithm, experimental design (Multivariate/A-B testing) and nonparametric Bayesian modeling, etc.\n5+ years of experience and proficiency in Python and/or Spark-ML\n5+ years of SQL development skills writing complex queries, transforming data, mining structured and unstructured data.\n3+ years of hands-on experience in building data science solutions and production-ready systems on big data platforms such as Snowflake, Spark, Hadoop\nExperience with Snowflake, Azure Databricks is a strong plus\n\nPosition logistics:\nMust be currently authorized to work in the US\nPosition type: Contract to hire\nPosition Location: Pleasanton, CA (Local candidates only)\n  About Maxonic:\nSince 2002 Maxonic has been at the forefront of connecting candidate strengths to client challenges. Our award-winning, dedicated team of recruiting professionals are specialized by technology, are great listeners and will seek to find a position that meets the long-term career needs of our candidates. We take pride in the over 5,000 candidates that we have placed, and the repeat business that we earn from our satisfied clients.\n\nInterested in Applying:\nFeel free to contact Anjali Srivastav at 408-400-2297 or email at Anjali.s@maxonic.com\n   '"
b'Data Scientist',b'Western Digital',"b'San Jose, CA, US'","b'Western Digital\xc2\xae\n\nThe next big thing in data is you!\n\nData Analytics team at Western Digital\xe2\x80\x99s Recording Sub-System (RSS) division is looking for a Data Scientist who has a passion to build data products and data systems.\n\nThe Data Analytics team makes the most use of a vast data (>10TB/day) acquired from our HDD manufacturing tests. As our experience and vision expand, the opportunity to make important contributions to the company and to our customers through data analytics is also expanding. We seek a Data Scientist with practical experience in exploring big data opportunity at Western Digital. As a Data Scientist, you will be responsible for utilizing disparate data sources in novel ways, with the aim of generating actionable insights. The insights can create new offerings or improve the product reliability and performance and the efficiency of existing processes.\n\nEssential Duties And Responsibilities\nUnderstand existing business flow and product features, dive into the underlying data including numeric/categorical data, images and text, apply relevant Data Mining techniques and/or Machine Learning algorithms and propose data analytic approach to improve product quality and process efficiency.\nImplement the applicable Machine Learning or statistics-based algorithm for prediction and optimization and deliver the trained model to production\nDesign, build and support algorithms of data transformation, conversion, computation on Hadoop and other distributed Big Data Systems\nWork closely with key business stakeholders.\nCommunicate key analytic findings within the business and to senior stakeholders.\nResearch, explore, and enable new quantitative techniques and technologies in data science.\nDrive thought leadership and embrace emerging industry innovation.\n\nAbout Western Digital\xc2\xae\n\nThe future. It\xe2\x80\x99s on you. You & Western Digital.\n\nWe\xe2\x80\x99ve been storing the world\xe2\x80\x99s data for more than 50 years. Once, it was the most important thing we could do for data. Now we\xe2\x80\x99re helping the world capture, preserve, access and transform data in a way only we can.\n\nThe most game-changing companies, consumers, professionals, and governments come to us for the technologies and solutions they need to capture, preserve, access, and transform their data.\n\nBut we can\xe2\x80\x99t do it alone. Today\xe2\x80\x99s exceptional data challenges require your exceptional skills. It\xe2\x80\x99s You & Us. Together, we\xe2\x80\x99re the next big thing in data.\n\nWestern Digital\xc2\xae data-centric solutions are found under the G-Technology\xe2\x84\xa2, SanDisk\xc2\xae, Upthere\xe2\x84\xa2, and WD\xc2\xae brands.\n\nWestern Digital is an equal opportunity employer.\n\nWestern Digital does not discriminate on the basis of race, color, ancestry, religion (including religious dress and grooming standards), sex (including pregnancy, childbirth or related medical conditions, breastfeeding or related medical conditions), gender (including a person\xe2\x80\x99s gender identity, gender expression, and gender-related appearance and behavior, whether or not stereotypically associated with the person\xe2\x80\x99s assigned sex at birth), age, national origin, sexual orientation, medical condition, marital status (including domestic partnership status), physical disability, mental disability, medical condition, genetic information, protected medical and family care leave, Civil Air Patrol status, military and veteran status, or other legally protected characteristics. We also prohibit harassment of any individual on any of the characteristics listed above. Our non-discrimination policy applies to all aspects of employment. We comply with the laws and regulations set forth in the ""Equal Employment Opportunity is the Law"" poster .\n\nWestern Digital participates in the E-Verify program in the US. For more information click here . Este empleador participa in E-Verify .'"
b'Intern: Data Scientist',b'Juniper Networks',"b'Cupertino, CA, US'","b'The mission of the Data Science team at Mist, a Juniper Company, is to leverage state-of-art ML and AI technologies to build the next-generation self-driving network solution, which can take actions on behalf of or together with human experts to automatically monitor, detect and remediate common network issues. The team includes a group of experienced and talented data scientists and data science engineers, and builds the end-to-end data analytics infrastructure and ML models of the product.\n\nThe Profile Of a Great Candidate\nPursuing a Bachelor, Master, or PhD Degree in Computer Science, Electrical Engineering, or equivalent engineering or science majors\nExperience in software development (Python, Java, Scala)\nKnowledge of Machine Learning Algorithms\nPassionate learner and good team worker\nExperience with Data Science toolsets (e.g., Keras, Tensorflow, Spark, ScikitLearn etc) is a plus\nThis Juniper Internship position is for Summer 2020.\n\nJuniper Networks is enrolled in E-Verify\xef\xbf\xbd and will be participating in E-Verify in addition to our Form I-9 process. www.dhs.gov/E-Verify\nJuniper Networks is an Equal Opportunity/Affirmative Action Employer.'"
b'Data Scientist',b'PayPal',"b'San Jose, CA, US'","b""Who We Are\n\nFueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal\xe2\x80\x99s 286 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom, enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.\n\nWhen applying for a job you are required to create an account, if you have already created account - click Sign In.\n\nCreating an account will allow you to follow the progress of your applications.\n\nNote\n\nProvide full legal first Name/Family Name\nDO: Capitalize first letter of First and Last Name. Example: John Smith\nDON'T: Capitalize entire First and/or Last Name. Example: JOHN SMITH\nNOTE: Use correct grammar for Names with multiple cases. Example: McDonald or O'Connell\n\nProvide full address details\n\nResume Is Required\n\nMultiple attachments can be uploaded including Resume and Cover Letter for each application\n\nJob Description Summary\n\nAt PayPal, we\xe2\x80\x99re literally reinventing how the world pays and gets paid. We understand that it\xe2\x80\x99s about people. We connect individuals to let them shop, get paid, donate and send money using today\xe2\x80\x99s technology with the confidence that comes from the security and control PayPal enables. Are you ready to help us change the world?\n\nThe world\xe2\x80\x99s leading payments company, PayPal, brings together a family of brands that are revolutionizing the way people move money. At PayPal you will be immersed in an amazing community with a vibrant culture that thrives on innovation, collaboration, inclusion and wellness.\n\nAs a Data Scientists in PayPal\xe2\x80\x99s Global Data Science organization, you will have an impact on PayPal\xe2\x80\x99s marketing and product all around the world. Our data scientists work to better understand our end-users, identify opportunities and improve our products and marketing outreach by creating personal and smart experiences. Making use of PayPal\xe2\x80\x99s endless amount of data, you will leverage your data and machine learning skills for research and delivery of end-to-end Data Science solutions.\nIf you are an experienced Data Scientist with sharp analytical skills and a passion for deriving new insights from unimaginable amounts of data, solving unique challenges, leveraging machine learning algorithms, and working in a highly collaborative, values-driven environment \xe2\x80\x93 then PayPal\xe2\x80\x99s Global Data Sciences (GDS) is looking for you.\n\nJob Description\n\nIn your role as a Lead Data-Scientist, you will:\nWork with partners to translate business challenges into Data Science problems\nMine data and extract information in PayPal\xe2\x80\x99s Big (!) Data environment\nLeverage Machine Learning algorithms to solve real-life problems\nWork with engineers and product managers to develop and deliver E2E data science driven solutions that bring real business value\nAnalyze various kinds of data to conclude actionable insights\nCarry out independent research and innovation in new content, ML and technological domains, while supporting existing projects\n\nAbout You\nMasters, PhD, or equivalent experience in a quantitative field (Computer Science, Mathematics, Engineering, Artificial Intelligence, etc.\n1-2 years Product/Marketing data science work experience\nCode writing capability in any programming language (Python, R, Java, Scala, etc.) and familiarity with relevant ML packages\nHadoop experience (PIG, Hive, Spark)\nStrong analytical skills\nExcellent spoken and written English\nTeam worker, responsible, delivery-oriented\n\nSubsidiary\n\nPayPal\n\nTravel Percent\n\n0\nPrimary Location:\nSan Jose, California, United States of America\nAdditional Locations:\n\nWe're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.\n\nPayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com .\n\nReference Number: R0052343"""
b'Data Scientist',b'Lyft',"b'San Francisco, CA, US'","b'At Lyft, our mission is to improve people\xe2\x80\x99s lives with the world\xe2\x80\x99s best transportation. To do this, we start with our own community by creating an open, inclusive, and diverse organization.\n\nData is at the heart of how Lyft makes business and product decisions. As a data science team, we work collaboratively with partners across product, engineering, operations and growth to develop business insights and make actionable recommendations. We\xe2\x80\x99re looking for passionate data scientists to take on some of the most interesting and impactful problems in ridesharing.\n\nYou\xe2\x80\x99ll work in a dynamic environment, where we embrace moving quickly to build the world\xe2\x80\x99s best transportation. Data Scientists pursue a variety of problems ranging from understanding our passengers and drivers, to ensuring we have an efficient marketplace, to optimizing how we run our marketing and growth incentives. You\xe2\x80\x99ll dig into the data to uncover insights, design experiments and measure the impact, and help influence decision-making across the entire organization.\n\nYou will report into a Science Manager.\n\nResponsibilities\nSet business metrics that measure the health of our products, as well as passenger and driver experience\nPartner with product managers, engineers, marketers, designers, and operators to translate business insights into decisions and action\nFind opportunities for growth and efficiency for Lyft\nDesign and analyze product experiments; communicate results and launch decisions\nDevelop analytical frameworks to monitor business and product performance\n\n\nExperience\nDegree in a quantitative field like statistics, economics, applied math, operations research or engineering. Advanced degrees are preferred\n3+ years of industry experience in a data science or analytics role\nProficiency in SQL - able to write structured and efficient queries on large data sets\nExperience in programming, especially with data science and visualization libraries in Python or R\nStrong oral and written communication skills, and ability to collaborate with cross-functional partners to build the business\n\n\nBenefits\nGreat medical, dental, and vision insurance options\nIn addition to 11 observed holidays, salaried team members have unlimited paid time off, hourly team members have 15 days paid time off\n401(k) plan to help save for your future\n18 weeks of paid parental leave. Biological, adoptive, and foster parents are all eligible\nMonthly commuter subsidy to cover your transit to work\n20% off all Lyft rides\n\nLyft is an Equal Employment Opportunity employer that proudly pursues and hires a diverse workforce. Lyft does not make hiring or employment decisions on the basis of race, color, religion or religious belief, ethnic or national origin, nationality, sex, gender, gender-identity, sexual orientation, disability, age, military or veteran status, or any other basis protected by applicable local, state, or federal laws or prohibited by Company policy. Lyft also strives for a healthy and safe workplace and strictly prohibits harassment of any kind. Pursuant to the San Francisco Fair Chance Ordinance and other similar state laws and local ordinances, and its internal policy, Lyft will also consider for employment qualified applicants with arrest and conviction records.'"
b'Data Scientist/Analyst',b'Wilbur Labs',"b'San Francisco, California, United States'","b'About Wilbur Labs\nWilbur Labs is a startup studio that is building a portfolio of companies at the intersection of marketing and technology. We are founded by a team of ex-Googlers who are reinventing the way companies are built by leveraging data and automation across the entire business lifecycle. Our approach to building businesses eliminates inefficiencies and opens the door to scaling much faster than traditional companies.\n\nRole & Responsibilities\nWork closely with various stakeholders to produce data-driven business insights\nOwn analytics dashboards across the Wilbur Labs portfolio\nDesign and run A/B tests and other experiments for the companies in the portfolio\nBuild cutting-edge ML models to solve complex technological problems for the companies in Wilbur Labs portfolio\n\nMinimum Qualifications\nApplied experience executing analysis, communicating results and developing metrics that matter\nExperience with data tools - SQL, Python; proficiency with spreadsheets\nTrack record of building and launching Machine Learning models as part of working products\nSolid understanding of the A/B testing and experiment design both in theory and in practice\nComfortable and effective at juggling multiple projects and priorities simultaneously in a fast paced work environment\nAbility to communicate clearly in reports and documentation\nPreferably be located in or willing to relocate to the San Francisco Bay Area\n\nBONUS POINTS\n2+ years experience working in an analytics organization or related field\nA solid math and statistics background\nA Masters degree (or higher) in a technical field (Data Science, Statistics, Operations Research, Math, Computer Science, Physics)\nUnderstanding of BI/analytics tools (Tableau, Power BI, Looker, Sigma etc.)\nKnowledge of experimentation platforms (Optimizely, VWO, Omniconvert etc.)\nExperience with Google Cloud (BigQuery, Data Studio)'"
b'Data Scientist',b'Cisco',"b'San Francisco, CA, US'","b'Data Scientist\n\nGrade 9\n\nCisco Meraki is revolutionizing the way IT administrators manage their infrastructure by providing simple and secure cloud-managed solutions. With a large install base of customers and rich, multi-dimensional data sets, the potential for data analytics to improve business performance for both our customers and our own business is enormous.\n\nWe are looking for a full-stack Data Scientist to join our Strategy & Data Science department in San Francisco. The Strategy & Data Science department is a growing group that works closely with executives and leaders across the company to support the development of and alignment on our business strategy. As part of this group, you will develop cross-functional relationships and use rigorous data science methods on our business and product data to drive near- and longer-term impact. This would be an outstanding fit for someone who has a passion for both math and technology, ability to provide deep insights for priority Meraki leadership asks and joint Cisco/Meraki product and customer analysis.\n\nWhat will you do\nLead key, cross-functional analytical projects, identifying and bringing together stakeholders, building project plans, developing joint analytical approaches, and executing against the project\nBuild predictive models to influence business decisions\nUse data to identify opportunities to improve customer support needs\nDefine key metrics to help track our business performance and customer experience\nAnalyze user journey data and understand root causes of customer engagement with products and dashboard\nEnable task automation using machine intelligence\nAnalyze trends in data to identify growth opportunities for our business\n\nWhat Skills You Possess\nStrong SQL skills\nStrong coding skills in Python/R, Hadoop/Spark technologies\n2-3+ years of prior knowledge in building data science pipelines\nGood understanding of machine learning based model building flows\nHands-on experience using machine learning frameworks\nBS/MS degree, such as economics, mathematics, statistics or engineering\n3-5+ years of experience in an analytical role or equivalent combination of graduate degree and work experience in data science\nExceptional critical thinking and problem-solving ability\nGood written and verbal communication skills\nStrong attention to detail and accuracy\nSelf-starter and ability to work autonomously\nWho you are\nYou demonstrate business acumen in your work\nYou have a real passion for analytics and desire for continuous learning\nYou have strong organizational skills; able to keep track of multiple competing priorities without losing details\nAbility to communicate the results of analysis\nYou are eager to take ownership of projects\nYou remain curious and hungry to understand all components of your work\nAre you wondering what it is like to work at Cisco Meraki? Picture a breathtaking office, healthy catered meals, fully stocked kitchens, onsite gym and paid time off to volunteer. Meraki Cisco has crafted an amazing equal opportunity focused office where employees thrive. With that said, we are confident you will love it here. Check out more of our benefits on our job page, at , and we look forward to talking with you soon.\n\nCisco is an Affirmative Action and Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis. Cisco will consider for employment, on a case by case basis, qualified applicants with arrest and conviction records.'"
