title,company,location,job description
b'Principal Data Scientist',b'The Climate Corporation',"b'Seattle, WA, US'","b'Position Overview\n\nThe Climate Corporation is looking for an innovative Principal Data Scientist to lead the development and implementation of core AI solutions to impact the operations and foundations of The Climate Corporation\xe2\x80\x99s Science at scale. Working with engineering and scientific leaders, you will set the strategic direction of productizing large scale scientific problems that inform our products and programs. The problems of scaling Agronomic Science via ML and DL are complex and challenging, and you will be leading excellence in Climate\xe2\x80\x99s productization strategy. You will need to adopt an architectural vision and work with Machine Learning Engineers and Data Scientists in our team to accelerate the deployment and quality that our growers and enterprise receive. This is a cross-functional role in which you will collaborate with AI Researchers/Engineers as well as Data Engineers. We will remind you that you can do all this while having fun.\n\nWhat You Will Do\nArchitect and lead the tactical implementation on the productizing AI frameworks at scale informing Climate and Bayer products and programs\nProvide strategic direction to accelerate the deployment of scientific innovation into efficient and robust ML/DL pipelines\nSet the standards that take ML/DL capabilities to the next level at Climate and translate them into actionable projects shooting for operationalization excellence\nStarting from ambiguous problem definitions, discover new business opportunities and implement optimal and scalable solutions that leverage multiple methodologies, technologies, and skill sets\nMentor and coach a team of talented data scientists and machine learning engineers to adopt an MLOps mentality that empowers the rest of the organization\nBuild trusted partnerships across the company. Enable functions by supporting them and leading new AI capabilities for the entire company\n\nRequired Qualifications\nAdvanced degree in Statistics, Data Science, Computer Science, Math, Engineering, or other quantitative discipline\n7+ years experience as a technical leader with exceptional hands-on experience in building AI capabilities\n2+ years experience leading the execution of data-intensive projects in a cross-functional setting\nDemonstrated experience implementing AI solutions working with a wide-array of data science and engineering infrastructure and relevant cloud solutions\nExpert adopter of CD4ML to ensure quality in the ML/DL process\nNatural team player and focused on customer needs\n\nPreferred Qualifications\nIn-depth knowledge of AI technologies and capabilities\nExperience translating scientific frameworks into scalable AI solutions\nExperience with MLOps best practices, tooling, and infrastructure\nInterested in understanding Agronomic Science, Imagery, and Geospatial frameworks to investigate how it can be translated into scalable Data Science to better serve our customers and enterprise\n\nWhat We Offer\n\nOur teams are composed of industry experts, top scientists, and talented engineers. The environment is extremely engaging and fast-paced, with dozens of specialties coming together to provide the best possible products and experiences for our customers.\n\nWe provide competitive salaries and some of the best perks in the industry, including:\nSuperb medical, dental, vision, life, disability benefits, and a 401k matching program\nA stocked kitchen with a large assortment of snacks & drinks to get you through the day\nEncouragement to get out of the office and into the field with agents and farmers to see first-hand how our products are being used\nWe take part and offer various workshops, conferences, meet-up groups, tech-talks, and hackathons to encourage participation and growth in both community involvement and career development\nWe also hinge our cultural DNA on these five values:\nInspire one another\nInnovate in all we do\nLeave a mark on the world\nFind the possible in the impossible\nBe direct and transparent\n\nLearn More About Our Team And Our Mission\n\nThe Climate Corporation - The Technology Behind Making A Difference\n\nhttps://youtu.be/c5TgbpE9UBI or visit https://climate.com/careers\n\nClimate aims to create a welcoming and collaborative environment for our employees in which a diverse set of perspectives and voices are represented and celebrated.\n\nAs part of our dedication to the diversity of our workforce, The Climate Corporation is committed to Equal Employment Opportunity and does not discriminate based on race, religion, color, national origin, ethnicity, gender, sex (including pregnancy), protected veteran status, age, disability, sexual orientation, gender identity, gender expression, or any unlawful criterion existing under applicable federal, state, or local laws. If you need assistance or an accommodation due to a disability, you may contact us at accommodations@climate.com.'"
b'Senior Data Scientist',b'Adobe',"b'Seattle, WA, US'","b""The Challenge\n\nThe Photoshop team is looking for a Data Scientist who is passionate about data and is driven to give customers the best experience possible. Tapping into our massive product usage data sets, you will work directly with product managers, researchers, and engineering teams to harness our data, derive actionable insights, and help guide the business with data. You will have the opportunity to exercise creativity in problem solving by delivering inventive new solutions within our data ecosystem. We invite you to join a team of hardworking data professionals to elevate our customer experiences to the next level. Come make an impact on one of the most exciting and significant products at the company!\n\nWhat You\xe2\x80\x99ll Do\n\nConstruct machine learning pipelines to map customers to persona-based segments based on in-app usage data\nWork with development teams to understand existing product instrumentation and help bridge gaps in data streams to assist data science programs\nAutomate data pipelines containing large volumes of data using SQL or Python based ETL Frameworks\nAnalyze usage patterns to better understand customer behavior including acquisition, engagement, conversion, and retention\nIdentify customer trends and communicate meaningful insights to assist product decision making\nBuild dashboards to enable self-service data consumption for key collaborators\nDrive A/B/n tests and design of feature-level experiments to validate hypotheses and drive product development decisions\nWhat you\xe2\x80\x99ll Need to Succeed\n\nBachelor\xe2\x80\x99s, Master\xe2\x80\x99s or Ph.D. in Data Science, Statistics, Computer Science, Engineering, Mathematics or related field\n5+ years of relevant professional experience\nWorking knowledge of Apache Hadoop and related technology stack or Apache Spark.\nStrong proficiency in querying and manipulating large datasets using SQL-like languages (Hive, Spark, etc.)\nExperience translating business questions into data analytics approaches\nExperience building machine learning algorithms and pipelines using Python or R\nStrong analytical and quantitative problem-solving ability\nFamiliarity with descriptive and inferential statistics (e.g. t-test, chi-square, ANOVA, correlation, regression, etc.) to understand usage behaviors and generate hypotheses\nStrong interpersonal, communication and collaboration skills\nExperience building data visualizations and storytelling to effectively communicate analysis results to both technical and non-technical audiences\nKnowledge of relevant tools in this field such as Hive, Tableau, Spark, Splunk and PowerBI\n\nAt Adobe, you will be immersed in an exceptional work environment that is recognized throughout the world on Best Companies lists. You will also be surrounded by colleagues who are committed to helping each other grow through our unique Check-In approach where ongoing feedback flows freely.\n\nIf you\xe2\x80\x99re looking to make an impact, Adobe's the place for you. Discover what our employees are saying about their career experiences on the Adobe Life blog and explore the meaningful benefits we offer.\n\nAdobe is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of race, gender, religion, age, sexual orientation, gender identity, disability or veteran status."""
"b'data scientist, Operations Analytics -Seattle, WA'",b'Starbucks',"b'Seattle, WA, US'","b'Now Brewing \xe2\x80\x93 Data Scientist, Operations Analytics #tobeapartner\n\nFrom the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and its rich tradition, but that also brought a feeling of connection. We are known for developing and supporting partners who share this passion and are guided by their service to others.\n\nAs a Starbucks Data Scientist, you will support the Operation Services organization and contribute to Starbucks success by guiding business decisions through utilizing data analysis and consulting that results in predicting outcomes, understanding complex data relationships, and developing a quantitative return on investment. This position partners on a cross-functional team of data scientists, decision scientists and data analysts supporting strategic initiatives utilizing the latest in computing technologies and operating across customer transactions and data elements to unlock the opportunities to support our global business.\n\nLeveraging Your Previous Experience, We Will Enable You To\nUse statistical, machine learning techniques to build models that address business needs.\nExtract data from various data sources; performs exploratory data analysis, cleanses, massages, and aggregates data\nCollaborate cross functionally with other data scientists, statisticians, and business analysts to define business problems and implement solutions.\nEmploy scaling & automation to data preparation techniques\nConnect insights to business decision making options and next steps testing or research opportunities\nUnderstand business initiatives and serves as primary analytic resource in discussions with business partners to define business questions\nDrive creation of final insights package and recommendations; leads presentation\nDirect analytic component of implementation of insights into business processes and ensures appropriate testing takes place\nDevelop project proposals, gains stakeholder buy-in, and ensures timelines are met\nPromote and advocate value of advanced analytics to solve business problems within department\n\nWe\xe2\x80\x99d Love To Hear From People With\nEducation: BS+ with concentration in quantitative discipline - Stats, Math, Comp Sci, Engineering, Econ, Quantitative Social Science or similar discipline\nMinimum of 2+ years industry experience in data science\nStrong background working with predictive and statistical modeling, machine learning and strong expertise in all phases of the modeling pipeline\nExperience building complex data sets from multiple data sources, both internally and externally.\nStrong SQL, databases and ETL skills required including cleaning and managing data.\nAdvanced competency and expertise in Python, R or some combination\nAbility to apply knowledge of multidisciplinary business principles and practices to achieve successful outcomes in cross-functional projects and activities\nAbility to educate others on statistical / machine learning methods\nSelf-starter, attention to details and results orientated, able to work under minimal guidance.\nProficient in communicating effectively with both technical and nontechnical stakeholders.\nRetail and eCommerce experience, preferred\nExperience on Cloud platforms such as Azure, AWS, preferred\nExperience working with distributed data processing frameworks such as Spark and Data bricks, and languages such as Java, PySpark or Scala, preferred\n\nLet us give you the opportunity to be part of something bigger than yourself. It\xe2\x80\x99s time for you to #beapartner. Apply today!\n\nStarbucks is an equal opportunity employer of all qualified individuals, including minorities, women, veterans & individuals with disabilities. Starbucks will consider for employment qualified applicants with criminal histories in a manner consistent with all federal, state, and local ordinances'"
b'Data Scientist',b'Amazon',"b'Seattle, WA, US'","b""Description\n\nAlexa is the groundbreaking, cloud-based intelligent agent that powers Fire TV with your voice. The Alexa on Fire TV team is building the science and technology behind Alexa. Come join us! Our goal is to delight our customers by adding new features to Alexa on Fire TV and by improving the accuracy of our existing speech recognition and natural language processing systems.\n\nAs a Data Scientist, you will be responsible for the natural language understanding models for Fire TV use cases. Your work will directly impact our customers in the form of novel products and services that make use of speech and language technology. You will lead high visibility and high impact programs collaborating with various teams across Amazon. You will work with a team of Language Engineers and Scientists to launch new customer facing features and improve the current features.\n\nYou Will\nEnsure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation, normalization, transformation, cross-lingual alignment/mapping, etc.\nClean, analyze and select data to achieve goals\nBuild and release models that elevate the customer experience and track impact over time\nCollaborate with colleagues from science, engineering and business backgrounds\nPresent proposals and results in a clear manner backed by data and coupled with actionable conclusions\nWork with engineers to develop efficient data querying infrastructure for both offline and online use cases\n\nBasic Qualifications\nBachelor's Degree\n1+ years of experience with data scripting languages (e.g SQL, Python, R etc.) or statistical/mathematical software (e.g. R, SAS, or Matlab)\nMaster's degree in highly quantitative field (CS, machine learning, mathematics, statistics) or equivalent experience.\nExperience with R, Python, Weka, SAS, Matlab or other statistical/machine learning software.\nExperience applying various machine learning techniques, and understanding the key parameters that affect their performance.\nExperience developing experimental and analytic plans for data modeling processes, use of strong baselines, and the ability to accurately determine cause and effect relationships.\nUnderstanding of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc.\nPreferred Qualifications\nPhD in a relevant field\n5+ years of experience with machine learning, statistical modeling, data mining, and analytics techniques.\nExperience in one or more natural language processing topics: tagging, syntactic parsing, word sense disambiguation, topic modeling; contextual text mining, and application of deep learning to NLP.\nPrevious experience in a ML or data scientist role with a large technology company.The motivation to achieve results in a fast-paced environment\nExperience with statistical modelling or machine learning\nExcellent communication, strong organizational skills and very detailed oriented\nComfortable working in a fast paced, highly collaborative, dynamic work environment\nAbility to think creatively and solve problems\nFluency in a language other than English\nAmazon is an Equal Opportunity Employer \xe2\x80\x93 Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age\n\n\nCompany - Amazon.com Services LLC\nJob ID: A1108501"""
b'CONTRACT - Data Scientist (NTD)',b'Nintendo',"b'Redmond, WA, US'","b'Nintendo Technology Development\n\nThe worldwide pioneer in the creation of interactive entertainment, Nintendo Co., Ltd., of Kyoto, Japan, manufactures and markets hardware and software for its Nintendo Switch\xe2\x84\xa2 system and the Nintendo 3DS\xe2\x84\xa2 family of portable systems. Since 1983, when it launched the Nintendo Entertainment System\xe2\x84\xa2, Nintendo has sold more than 4.7 billion video games and more than 740 million hardware units globally, including Nintendo Switch and the Nintendo 3DS family of systems, as well as the Game Boy\xe2\x84\xa2, Game Boy Advance, Nintendo DS\xe2\x84\xa2 family of systems, Super NES\xe2\x84\xa2, Nintendo 64\xe2\x84\xa2, Nintendo GameCube\xe2\x84\xa2, Wii\xe2\x84\xa2 and Wii U\xe2\x84\xa2 systems. It has also created industry icons that have become well-known, household names, such as Mario, Donkey Kong, Metroid, Zelda and Pok\xc3\xa9mon. A wholly owned subsidiary, Nintendo Technology Development, based in Redmond, Washington, creates future hardware/software technology and researches North American-based technologies.\n\nDescription Of Duties\nWe seek a talented data scientist to help develop digital marketing solutions for Nintendo. This role focuses on developing algorithms and data pipelines for recommender systems, and for personalized content delivery using machine learning based techniques.\nDevelop statistical algorithms for large data sets\nApply machine learning and recommendation systems techniques for digital marketing use-cases\nDesign A/B testing experiments, and do end-to-end data analysis\nEffectively communicate with other teams, and tell stories with data\nCollaborate with other engineering and business teams to support project needs\n\nSummary Of Requirements\nExperience with statistical analysis and algorithm development, data mining, and machine learning\nExperience with Python/R and SQL\nExcellent communication and collaboration skills\nMasters degree in a relevant field\n3+ years of relevant work experience\n\nWe are an equal opportunity employer of individuals with disabilities and protected veterans....valuing diversity\xe2\x80\xa6celebrating strengths.'"
"b'Data Scientist, Operations'",b'Stripe',"b'Seattle, WA, US'","b'Stripe is the best software platform for running an internet business. We handle hundreds of billions of dollars every year for millions of businesses around the world. More than 80% of American adults bought something on Stripe in the last year.\n\nWith all this data, we\xe2\x80\x99re looking for talented data scientists to join the Data Science team to help us better understand our users and build better products. If you are data curious, excited about deriving insights from data, and motivated by having impact on the business, we want to hear from you.\n\nYou Will\nAct as an embedded partner to the Operations team, helping them to identify and answer questions with data\nForecast Stripe\xe2\x80\x99s support volume across case types and geographies, and use forecasts to help develop capacity plans\nCreate simulations and/or solve optimization problems to inform support agent staffing\nBuild statistical and/or machine learning models to help personalize our user-facing Support Site, as well as to classify and route support cases\nDesign, analyze, and interpret the results of experiments\nDrive the collection of new data and the refinement of existing data sources\n\n\nWe\xe2\x80\x99re Looking For Someone Who Has\n5+ years experience working with and analyzing large data sets to solve problems\nA PhD or MS in a quantitative field (e.g., Operations Research, Economics, Statistics, Sciences, Engineering, CS)\nExpert knowledge of a scientific computing language (such as R or Python) and SQL\nStrong knowledge of statistics and experimental design\nThe ability to communicate results clearly and a focus on driving impact\n\n\nNice To Haves\nPrior experience with data-distributed tools (Scalding, Spark, Hadoop, etc)'"
b'Data Scientist',b'Microsoft',"b'Redmond, WA, US'","b'Customers and Partners are betting on the cloud and expecting Intune to deliver an unparalleled experience. Data insights and analytics is a crucial part of running an online service. Using large amounts of information to make efficient and intelligent decisions about current and future bets, as well as providing insights into unseen patterns of our service is critical to our business. If your passion for data driven decisions matches your passion for customers and partners - bring your talent to the Intune Data Insights and Analytics Telemetry team!\n\nThe most successful candidate will have experience analyzing data from a wide range of datasets and across a breadth of technology platforms. They enjoy rapid and changing projects and have strong analytical skills, technical aptitude and a collaborative work style. We are looking for people who see challenges as opportunities, people who can look at complex problems and are able to provide actionable insights and informed decisions.\n\nResponsibilities\n\nYour responsibilities will include working closely with a variety of teams such as senior leadership program management, development, design, partner teams in Microsoft to help shape product strategy and investment decisions based on their insights derived from both large scale telemetry-based investigation and close observation of subjective/low-scale customer research.\n\nYou will own getting data from variety of disparate sources and creating and maintaining the pipeline along with daily operations required for reporting the data through various channels.\n\nAs a Data Scientist, you will specialize in owning and analyzing the business questions for the team. Through your analysis and research, you will curate and maintain Key Performance Indicators which show trends towards achieving a business goal.\n\nQualifications\nA minimum of 2 years of relevant work experience in a data related field\nExpert at prioritization, time management and expectation setting\nProven ability to provide hands on practical use of science of data and analytics\nProven ability to translate business and product questions into analytics projects\nExperience working with unstructured data and a solid understanding of BI and data solutions\nPrior knowledge of data modeling and processing techniques for big data systems\nExpert in querying and analyzing data using Scope, Hive, SQL, Python. R, Azure ML and C# a plus\nEffective communication skills and the ability to work collaboratively with stakeholders, executives and subject matter experts\nA degree in a quantitative discipline (Statistics, Mathematics, or Computer Science)\nData Engineering:\nProven ability to get your own data from disparate data sources\nDaily operational experience with SSIS and ADF.\nExperience developing with SQL Server, implementing Data Models, Microsoft Business Intelligence (BI) solutions, reporting dashboards, Self-Service BI and Power BI, Big Data, Advanced Analytics, google analytics.\nAbility to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings:\nMicrosoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.\n\nMicrosoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.\n\nBenefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.'"
b'Data Scientist',b'Wish',"b'Seattle, WA, US'","b'At Wish, our Data Science & Engineering team is comprised of Data Scientists, Data Analysts & Data Engineers who focus on centralizing corporate data in order to gain insights, knowledge and scalability, that empower a proactive and rigorous analysis of key business indicators. Our mission is to derive wisdom from data via the application of Data Science.\n\nWish has exciting opportunities for talented Data Scientists to form the foundation of our centralized data science team.\n\nSuccessful candidates will have extensive backgrounds in a quantitative fields and s track record of using data to drive the understanding, growth, and the success of a product. As a member of this team, you will be empowered and motivated to drive business impact through data.\n\nAs a Data Scientist At Wish, You Will\nApply statistics techniques to improve Wish\xe2\x80\x99s experimentation platform and process.\nApply economics methodologies to understand and improve Wish\xe2\x80\x99s two-sided marketplace.\nApply optimization techniques to improve Wish\xe2\x80\x99s logistics and overall user experiences.\nApply machine learning techniques to improve Wish\xe2\x80\x99s product and operation.\n\nDesired Skills & Experience\nAdvanced degree in a quantitative field.\nA minimum of 2 years of Data Science experience in technology or research industry.\nProficient in Python or R\n\nPreferred Skills\nDemonstrated track record of successful projects in applying quantitative techniques to improve a product or business.\n4+ years work experience in technology or research industry.\nDomain expert in one of the fields: statistics, machine learning, optimization, and economics.\n\nWhy Wish\n\nWish is transforming the way the world shops by offering a convenient and personalized mobile shopping experience. Our mission is to offer an unlimited selection of affordable quality goods to be accessible for everyone on a global scale. We bring together world-class technical talent with a passion for connecting relevant products to relevant people.\n\nLearn More About Us\n\nIntro to Wish\n\nOur CEO discusses Wish\n\nCrunchbase\n\nRecruiting Video\n\nWish values diversity and is committed to creating an inclusive work environment. We provide equal employment opportunity for all applicants and employees. We do not discriminate based on any legally-protected class or characteristic. Employment decisions are made based on qualifications, merit, and business needs. If you need assistance or accommodation due to a disability, please let your recruiter know. For job positions in San Francisco, CA, and other locations where required, we will consider for employment qualified applicants with arrest and conviction records.\n\nIndividuals applying for positions at Wish, including California residents, can see our privacy policy here .'"
b'Data Scientist',b'Pactera EDGE',"b'Redmond, Washington, United States'","b'Role: Data Scientist\nLocation: Redmond, WA\nClient: Microsoft (Un-Managed)\n\nJob Description:\nData Analyzer: strong problem-solving skills and hands-on coding skills with SQL, python,\nDeep Learning Modeler: understanding NLP embedding, Vision, transformer, etc\nRecommendation algorithms/IR: Understand IR or ML really well can explain MF, latent, KNN, Community cluster\nApplied researcher: who can code really well and prepare training data him/herself.\nPhD Degree is mandatory in any stream. \n\nJaya Krishna \nTalent Acquisition Specialist \njayakrishna.vootla@pacteraedge.com'"
b'Data Scientist',b'Snowflake',"b'Bellevue, WA, US'","b'About Snowflake\n\nSnowflake is growing fast and we\xe2\x80\x99re scaling our team to help enable and accelerate our growth. We\xe2\x80\x99re passionate about our people, our customers, our values and our culture! We\xe2\x80\x99re also looking for people with a growth mindset and the pragmatic insight to solve for today while building for the future. And as a Snowflake employee, you will be accountable for supporting and enabling diversity and belonging.\n\nSnowflake started with a clear vision: make modern data warehousing effective, affordable, and accessible to all data users. Because traditional on-premises and cloud solutions struggle with this, Snowflake developed an innovative product with a new built-for-the-cloud architecture that combines the power of data warehousing, the flexibility of big data platforms, and the elasticity of the cloud at a fraction of the cost of traditional solutions.\n\nWe\xe2\x80\x99re looking for a talented Product Analyst to come aboard. In this role, you will work closely with our Product and Engineering teams to uncover insights about how customers use Snowflake, helping to inform Product\xe2\x80\x99s decision making and focus Engineering efforts. You will also work on long-running analytical initiatives marked by greater complexity and less structure that will yield substantial product enhancements. This is a strategic, high-impact role that will help shape the future of Snowflake products and services.\n\nAs a Data Scientist At Snowflake You Will\nSleuth through large amounts of data to uncover feature-usage patterns, subtle issues with the system, potential performance enhancements, and areas to improve user experience.\nCollaborate closely with Engineers and Product Managers to inform product decision making with data and to identify opportunities to create more value for our customers.\nBuild dashboards to help Engineering and Product Managers monitor performance and availability of our system.\nAnswer questions from executive team for board reporting, publications, and industry reports.\nThink creatively to find optimal solutions to our complex, often unstructured problems.\n\n\nOur Ideal Candidate Will Have\nBS/MS in quantitative discipline (Math, Statistics, Operations Research, Economics, Engineering, or CS)\nExpert-level experience working with SQL and relational data (3+ years on a regular basis).\n3+ years of experience with Python, including scikit-learn, numpy, and pandas.\nExperience working with large-scale machine generated data (e.g., log, application, or customer-usage data).\nHands-on experience with MPP databases, such as Snowflake, Redshift, BigQuery, Vertica, etc.\nAbility to clearly present learnings to business leaders and technical stakeholders.\nThe ability to thrive in a dynamic environment. That means being flexible and willing to jump in and do whatever it takes to be successful.\n\n\nSnowflake is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, color, gender identity or expression, marital status, national origin, disability, protected veteran status, race, religion, pregnancy, sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.'"
