title,company,location,job description
b'Data Scientist',b'National University',"b'San Diego, CA, US'","b'Position Summary\n\nUnder the direction of the VP, Chief Data Officer, the Data Scientist provides analytical leadership to support the data and analytical needs of the entire University. This position is responsible for developing and maintaining National University\xe2\x80\x99s analytical infrastructure to provide timely and reliable data for informed decision-making. In addition, the incumbent will apply advanced statistical, data mining, machine learning and various predictive modeling techniques to provide information, knowledge, coordination, and tools that support the growth and continued success of National University. The VP, Chief Data Officer provides general oversight concerning objectives and projects for this position and completes an annual evaluation of position.\n\nEssential Functions\nResponsible for the development, maintenance and advancement of National University\xe2\x80\x99s analytical\ninfrastructure.\nDevelop and maintain data extraction, transfer and loading from various sources.\nImplement appropriate security measures throughout the data pipeline.\nResponsible for maintaining metadata management and data quality activities so that data are accurate, reliable and documented.\nApply advanced predictive modeling, data mining, machine learning and statistical techniques to enable\ninformed decision-making, student support, and strategic initiatives.\nProvide analytical guidance to the entire University.\nFacilitate the transmission and understanding of data to enable fact-based decisions to various stakeholders, such as leadership, faculty and staff.\nProvide reliable and timely data that supports strategic planning, student success initiates, and educational and operational effectiveness.\nUtilize various software tools and reporting services to deliver actionable data to end-users in a digestible form\n\nSupervisory Responsibilities: NA\n\nRequirements\n\nEducation & Experience\nBachelor\xe2\x80\x99s degree in a related discipline (Statistics, Mathematics, Data Science, Social Sciences).\nAdvanced degree in a related field or evidence of pursuit of advanced studies or degree strongly preferred.\nOne to three (1-3) years of recent professional experience in data analysis and/or data engineering.\nTechnical / Functional Skills\nProficient in the following software applications: Microsoft Office Applications; Microsoft SQL Server; Microsoft\nAzure; Redmine; Peoplesoft/SOAR; Relational Database Management; Tableau/Power BI; and Statistical\nanalysis software (R, Python, or the equivalent) required.\nExperience and thorough knowledge in data collection and analysis techniques.\nCompetencies\nRequires analytic ability and frequent independent judgment based on knowledge of University policy and precedent.\nFluency in information technologies, including high level of proficiency and understanding with data mapping, data mining, machine learning, statistics, cloud computing and analytical programming languages such as SQL, R and/or Python.\nProven ability to independently synthesize, implement, analyze and report findings of research studies.\nExceptional interpersonal, organizational, and problem-solving skills as well as effective written and verbal communications.\nProven ability to troubleshoot problems and overcome obstacles with creative solutions.\nCapable of performing in a professional and friendly manner despite conditions of deadlines and pressure.\nKeen ability to transform vague requirements into clear, objective, and actionable tasks.\nFully accustomed to working on multiple projects, both independently and as a team member.\nSelf-starter with a positive attitude, intellectual curiosity and a passion for analytics\n\nPhysical Demands / Environment\n\nTravel: none required'"
b'Data Specialist',b'Veyo',b'Greater San Diego Area',"b'Veyo is using its platform and app-based transportation services to reinvent the medical logistics world. Our company is using technology to pioneer new operational models to help make transportation more powerful and more reliable for the healthcare industry.\n\nWhen you work at Veyo, you\xe2\x80\x99re helping to solve one of the nation\xe2\x80\x99s growing healthcare challenges -- ensuring patients get to and from their medical appointments, safely and on-time. We are using smart design and innovative technology to make patient transportation safer and more connected. In the process, we\xe2\x80\x99re transforming the entire industry.\n\nWhat you can expect:\nUse technology to help people lead healthier lives\nWork with an incredibly talented, intelligent team\nAbility to try out new technologies to gauge fit for business needs\nEncouragement to grow professionally and personally \xe2\x80\x93 attend conferences, give knowledge sharing presentations, pick your career path\n\nWhat we\xe2\x80\x99ll expect from you:\nBe committed to the health and safety of our passengers\nHelp shape the strategy and direction of the company and an industry\nSolve algorithmic problems in the logistics, healthcare and operations space through research, experiments and development and support deployment of these solutions into a real world environment\nEntrepreneurial. Everywhere you go, you can\xe2\x80\x99t help but mobilize people, build things, solve problems, roll up your sleeves, go above and beyond, raise the bar. You are an insatiable doer and driver\nAbility to effectively collaborate with and communicate complex concepts to both technical and non-technical audiences at all levels, from C-Level to individual contributors.\nUnderstand the latest industrial and academic developments in AI/ML, and apply it to create prototypes for demonstration\nWork with development teams to mature these algorithms into production quality programs\nDo applied research on a wide array of Operations research and machine learning projects.\n\nRequired Skills:\nAdvanced degree in Statistics, Applied Mathematics, Operations Research, Computer Science, or a related quantitative field.\n5+ years of experience crafting advanced models and familiar with statistical methods applied to large data sets\nProven experience with optimization libraries, scripting languages (Python, R, etc.), SQL and statistical tools, major object-oriented programming languages, and simulation software\nFamiliar with the Microsoft stack C#, .Net 4.5 is a plus\nFamiliarity with GoLang is a plus\n\n\nWe like the following personality traits: Friendly, social, outgoing, positive, passionate, cool under pressure, detail-oriented, deadline oriented, quick learner, multi-tasker, great sense of humor.\n\nWe\xe2\x80\x99re looking for people that love the opportunity to be involved in strategy and management at the top level, but also aren\xe2\x80\x99t scared to get their hands dirty and do what needs to be done to make things happen! We move quickly, and our team doesn\xe2\x80\x99t know the meaning of \xe2\x80\x9cnot my job.\xe2\x80\x9d We want people that want to get things done and can check their ego at the door.\n\nWe thank all applicants for their interest and effort in applying for this position. This position is only for candidates legally allowed to work in the US. EOE.\n\nVeyo is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.'"
b'Senior Software Engineer',b'The Recruiting Spa',b'Greater San Diego Area',"b""Join this 100 person company doing cutting edge work in Search and voice search platforms using Machine Learning.  \n\nMultiple openings for talented backend Java Engineers and Full Stack engineers (frontend focused) to deliver world-class search engine technologies. \n  Duties and Responsibilities:\nJava Role - Building the backend engine that runs the product. This includes extending our existing Machine Learning and Big Data pipelines and building entirely new capabilities, including: Big Data cluster, workflows and applications: data pipelines at scale, and real-time processing Machine learning and Data Scientist support: used in linguistics, ranking, classification, and other artificial intelligence applicationsIngestion Pipeline: process data that comes from our web crawler which discovers and fetches content from the web and other sources\nFrontend/Fullstack Role - Building the frontend of the product (we have our own custom framework), AND building frontend internal tools for our Machine Learning team\n\nSkills and Qualifications (Java):\nBS or MS degree in Computer Science\nSolid experience with Java programming (we also use Spring, Spring Webflux, Reactor, Netty)\nMulti-threading experience is a must\nExperience in scalable architectures and high-throughput application design\nComfortable in Linux and Windows environments.\nPrefer some experience with Big Data Technologies (at least one of the following):\nHadoop ecosystem (HDFS, Hadoop, Hive)\nSpark\nSamza\nKafka\nCassandra\nLucene NLP (Solr or ElasticSearch)\n\nSkills and Qualifications (Frontend):\n\nStrong Javascript\nSPA's\nReact/Redux (Minikube is a plus)\nFull-stack knowledge \n  The ideal candidates will be local to SoCal (We are located in North Coastal San DIego),  be self-motivated, possess excellent communication skills (both oral and written) and be able to work independently.\n   \n """
"b'AWS DevOps, DataOps, and Cloud Engineering Consultant'",b'Hitachi Vantara',"b'San Diego, CA, US'","b'The Company\n\nHitachi Vantara, a wholly owned subsidiary of Hitachi, Ltd., helps data-driven leaders use the value in their data to innovate intelligently and reach outcomes that matter for business and society \xe2\x80\x93 what we call a double bottom line. Only Hitachi Vantara combines 100+ years of experience in operational technology (OT) and 60+ years in IT to unlock the power of data from your business, your people and your machines. We help enterprises store, enrich, activate and monetize data for better customer experiences, new revenue streams and lower business costs.\n\n47Lining, a part of Hitachi Vantara is an AWS Premier Consulting Partner with Big Data and Machine Learning Competency designations. We develop big data solutions and deliver big data managed services built from underlying AWS building blocks like Amazon Redshift, Kinesis, S3, DynamoDB, Machine Learning and Elastic MapReduce. We help customers build, operate and manage breathtaking \xe2\x80\x9cData Machines\xe2\x80\x9d for their data-driven businesses. We architect solutions that address traditional data warehousing, Internet-of-Things analytics back-ends, predictive analytics and machine learning to open up new business opportunities. Our experience spans use cases in multiple industries including industrial, manufacturing, oil & gas, energy, life sciences, gaming, retail analytics, financial services and media & entertainment.\n\nThe Role\n\nWe are seeking experienced and versatile AWS Software Engineering Consultants to develop data and analytics services and solutions in AWS. The ideal contributor will work with a skilled team to develop, deploy, and operate enterprise-grade data platform services and infrastructure on the AWS platform, spanning ingest of IoT and other enterprise data sources, Big Data, machine learning and predictive analytics.\n\n47Lining is growing at an exponential rate and can only grow as quickly as we are able to find the right talent.\xe2\x80\x82We pay extremely competitive salaries, bonuses, free training and conference attending budget, flexible hours and we have a genuinely extremely talented team.\n\nResponsibilities\nHands-on experience developing advanced analytics in SQL, R, Spark or similar tools\nWork with AWS architectures, development, and deployment\nBuild with enterprise-scale data warehouse technologies (Teradata, Oracle, SQL Data Warehouse, Vertica, Redshift)\nExperience managing applications in AWS and familiarity with core services including EC2, S3, RDS, etc.\nExposure to networking & load balancing solutions\nREST API design and development\nWork across all layers of an application, from back-end databases through UI\nCollaborate with development teams to deliver high-quality results\nUse Agile / Scrum development methodology\nSystem decomposition, architecture, design, and specification\n\n\nQualifications\nExperience with deployment automation tools like Puppet, Chef, and Ansible\nGood working knowledge of Big Data technologies such as Hadoop, Hive, Spark\nProficient with SQL databases and knowledge of standard methodologies\nStrong experience with middle-tier web services development (REST APIs)\nStrong background in commercial-grade software development with Java, Python, SQL\nFront End Application Development (Application Views & Controller)\nDomain Entity and Behavior Modeling, Design, and Implementation\n3rd-party application, service and data integration\nData Management, Mapping, Translation & Persistence\nLarge-scale Data Management & Workflow\nAnalytic development and automation\nExcellent documentation habits\n\nWe are an equal opportunity employer. All applicants will be considered for employment without attention to age, race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.'"
b'Machine Learning Engineer II',b'Zovio',"b'San Diego, CA, US'","b'Responsibilities\nParticipate in entire lifecycle for Business Intelligence Solution Delivery\nDesign, build, document and manage machine learning solutions and data warehouse objects\nDesign and develop ETL processes using SQL Server Integration Services\nDevelop predictive data models using R or other statistical language following the Machine Learning lifecycle\nResearch and improve features and machine learning models for production pipeline\nOperationalize the Machine Learning model in adherence with Data Warehouse principles integrating easily with Microsoft SQL Stack.\n\nRequirements\nMaster\xe2\x80\x99s Degree in Information Systems, Statistics or Computer Science\n1 year of experience in job offered or as Business Intelligence Engineer I or Business Intelligence Engineer II (or any combination thereof . Must have 1 year of experience (can be gained concurrently with the above experience) in the following: (1) developing machine learning solutions; (2) developing solutions using the MS SQL Server BI Stack; (3) using statistical computer languages include R and Python to manipulate data and draw insights from large data sets.\nMust have working knowledge of:\nSSIS and T-SQL\nAdvanced statistical methods (including regression, classification, and clustering) using machine learning algorithms (including decision tree learning, artificial neural networks, GLM and Random Forest).\nWork from home (home office required).\nBackground check required. Employer will accept any suitable combination of education, training or experience.\nEmployer: Zovio Inc. Job location: San Diego, CA. Qualified applicants should email resume to human.resources@zovio.com'"
b'Machine Learning Engineer',b'Big Cloud',b'Greater San Diego Area',"b""Work with industry experts in combining the best of deep learning and semiconductor design, to bring on-edge machine learning to listening devices.\n\nThis will improve efficiency and improving privacy, whilst lowering latency and saving bandwidth. Moving away from inference and training that is dependent on cloud or legacy data-centers, this company uses unique technology to accelerate toward processing on device.\n\nAs the first, implementation is on devices with listening capabilities, the company is looking for a strong engineer with the ability to implement speech and audio algorithms in high quality, seamless code.\n\nIf you\xe2\x80\x99re a passionate innovative engineer, excited about the future of deep learning then this is for you.\n\nThe company is well-funded, about to complete their series A, and are confident they have a homerun venture, exemplified by the interest by major technology companies who see the value of implementation into their hardware devices.\n\nResponsibilities:\nDesign and implement signal processing algorithms on devices that adopt microphone array to achieve the state-of-art speech recognition performance \n Design and implement robust acoustic modeling algorithms for adverse acoustic conditions, such as far-field, reverberant, and noisy environments\n\nQualifications:\nPh.D. or Master's degree in Computer Science, Electrical Engineering, Signal processing\nExperience with acoustic signal processing algorithms \nExperience with common signal processing and speech recognition toolkits \nExperience with deep learning frameworks\nExperience with building embedded systems is a plus \nPublication record in top speech conferences/journals is a plus\n\nKeywords: speech recognition, speech processing, audio signaling, acoustic signal processing, speaker verification, speech signal processing, long short term memory, lstm, ICASSP, Interspeech, language translation, noise suppression, multi-channel signal processing, acoustic echo cancellation, speech coding, audio coding, TTS, text-to-speech\n \n  Big Cloud is acting as a vendor to this position which is a direct hire."""
b'Machine Learning Performance Engineers',b'Qualcomm',"b'San Diego, CA, US'","b""Job Id\n\nJob Title\n\nMachine Learning Performance Engineers\n\nCompany\n\n\nDivision\n\nQualcomm Technologies, Inc.\n\n\nCorporate Research & Development\n\nJob Area\n\nEngineering - Systems\n\nLocation\n\nCalifornia - San Diego\n\nNorth Carolina - Raleigh\n\nOverview\n\nQualcomm is a company of inventors that unlocked 5G - ushering in an age of rapid acceleration in connectivity and new possibilities that will transform industries, create jobs, and enrich lives. But this is just the beginning. It takes inventive minds with diverse skills, backgrounds, and cultures to transform 5G\xe2\x80\x99s potential into world-changing technologies and products. This is the Invention Age - and this is where you come in. Qualcomm is utilizing its traditional strengths in digital wireless technologies to play a central role in the evolution of automotive infotainment and autonomous driving. We are investing in several supporting technologies including 4G, 5G, ADAS, and Deep Learning.\n\nThe Qualcomm CR&D team is developing hardware and software solutions for the Qualcomm ADAS system. We are seeking ambitious, bright and innovative engineers with experience in software system design, autonomy, device functional safety concepts and implementations.\n\nJob activities span the whole product life cycle from early R&D to commercial deployment. The environment is fast-paced and requires cross-functional interaction on a daily basis so good communication, planning and execution skills are a must.\n\nWe are looking to staff engineers at multiple levels in systems & software, integration and test. Details of one of the roles we are looking to staff are listed below.\n\nDesired Skills And Aptitudes\nExperience executing, analyzing, and optimizing neural networks in TensorFlow, Caffe2, PyTorch or similar frameworks\nBackground and understanding of neural network operators and mathematical operations: linear algebra, math libraries, desirable\nExperience with industry standard and emerging ML benchmark suites such as MLPerf desirable\nExperience / understanding of machine learning execution engines such as Glow, ONNX Runtime, or similar a plus\nExperience with machine learning accelerators and related software a plus\nStrong skills in analyzing performance of software/hardware solutions on multi-core architectures; understanding of multi-core architecture fundamentals (core, cache, memory, bus, PCIe, etc\xe2\x80\xa6)\nTarget specific code generation and optimization using LLVM or GCC compiler\nPerformance analysis, tuning, and debug using Linux-based profiling tools: perf events, hot-spots, call stacks, Ftrace\nUse of simulators, emulators, JTAG and serial debuggers, a plus\nStrong development skills in C++ and Python\nExcellent communication skills (written and verbal) and team player\n\nEducation Requirements\n\nRequired: Bachelor's, Computer Engineering and/or Electrical Engineering\nPreferred: Master's, Computer Engineering and/or Electrical Engineering\n\nKeywords"""
"b'Scientist, Data Science'",b'Johnson & Johnson',"b'San Diego, CA, US'","b'Janssen Research & Development LLC, a Johnson & Johnson company, is recruiting for a Scientist, Data Science located in La Jolla, CA or Spring House, PA with up to 15% domestic travel.\n\nThe R&D Data Science team within Janssen is looking for an outstanding scientist who is interested in designing, developing, and fielding impactful data science solutions. Our team supports projects from discovery through late development. The scientist will help identify viable data science opportunities and then conceive, develop and implement end to end data analytical solutions. The scientist will be someone who stays on the cutting edge of the data science field in order to implement novel algorithms that influence decisions at various levels in the organization. The role requires both a broad knowledge of existing machine learning algorithms and creativity to invent and customize when necessary. The scientist will be part of a multifaceted, accomplished team that supports multiple R&D therapeutic areas in the discovery and development of innovative medicines.\n\nKey Responsibilities\nWork with colleagues in research and development to design, build and deploy state-of-the art scientific algorithms to support Janssen R&D initiatives.\nAssemble large, complex data sets that meet functional / non-functional business requirements.\nDevelop and apply creative solutions that go beyond current tools to deliver data-driven insights to high-priority scientific problems.\nIdentify, design, and implement internal process improvements: automating manual processes, optimizing data delivery.\nAdvocate transparency & action through data storytelling! Establish and execute strategies to increase usage and adoption of Data Science from project conceptualization to completion.\n\nQualifications\nPh.D degree (OR Master\xe2\x80\x99s degree with a minimum of 3 years of relevant experience) in Computer Science, Statistics, Machine Learning & Artificial Intelligence, Physics, Mathematics, Computational Chemistry, Bioinformatics, Computational Biology or a related discipline is required.\n\nRequired\n\nExperience and Skills:\nFamiliarity with large datasets, understanding of data analysis workflows, and/or knowledge of querying languages such as SQL is required.\nProficient with common data science toolkits, such as R, Pandas, TensorFlow, NumPy.\nStrong working knowledge of statistics, machine learning algorithms such as Random Forest, SVM, neural networks, etc. and/or Natural Language Processing techniques is required.\nExperience with visualization software/tools such as Python, R, D3.js, Spotfire, Tableau, etc.\nExperience with big data tools: Spark, Hadoop, Redshift, EMR.\nAbility to effectively communicate technical work to a wide audience.\n\nPrefered\nHandling of healthcare relevant datasets, such as EHR, genomics, clinical trials, insurance claims or registry data.\nExperience designing, developing and deployed web applications, microservices.\nFamiliarity with drug discovery and clinical development processes.\nExperience building processes supporting data transformation, data structures, metadata.\nWe will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.\n\nJohnson & Johnson is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, or protected veteran status and will not be discriminated against on the basis of disability.\n\nPrimary Location\nUnited States-California-San Diego-\nOther Locations\nNorth America-United States-Pennsylvania-Spring House\nOrganization\nJanssen Research & Development, LLC (6084)\nJob Function\nR&D\nRequisition ID\n2534200402'"
b'Staff Deep Learning/AI Engineer',b'Illumina',"b'San Diego, CA, US'","b'Position Summary\n\nThe Staff Deep Learning/AI Engineer in Illumina\xe2\x80\x99s Finance Performance Management group will focus on applying machine learning/deep learning techniques to finance and business applications. They will be part of analytics team developing machine learning/deep learning methods applied to financial and commercial datasets, with the goal of improving finance and accounting processes.\n\nResponsibilities\nWork with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.\nMine and analyze data from company databases to drive optimization and improvement of finance and accounting processes\nAssess the effectiveness and accuracy of new data sources and data gathering techniques.\nDeliver solutions leveraging latest machine learning (ML) techniques, including exploratory data analysis, feature engineering, model selection, model evaluation and cross-validation, and deployment and productionalization at all scales.\nUse predictive modeling to increase and optimize forecasting, revenue generation, and other business outcomes.\nDevelop company A/B testing framework and test model quality.\nCoordinate with different functional teams to implement models and monitor outcomes.\nDevelop processes and tools to monitor and analyze model performance and data accuracy.\nMentor and scientifically lead junior members of the team\nBuild strong collaborative relationships with diverse groups within and outside of Illumina\nListed responsibilities are an essential, but not exhaustive list, of the usual duties associated with the position. Changes to individual responsibilities may occur due to business needs.\n\nRequirements\nExperience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.\n5-7 years of experience manipulating data sets and building statistical models\nMaster\xe2\x80\x99s or PhD in Statistics, Mathematics, Computer Science or another quantitative field\nExperience working with and creating data architectures.\nKnowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.\nKnowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.\nExcellent written and verbal communication skills for coordinating across teams\nAll listed requirements are deemed as essential functions to this position; however, business conditions may require reasonable accommodations for additional task and responsibilities.\nIllumina believes that everyone has the ability to make an impact, and we are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information. If you require accommodation to complete the application or interview process, please contact accommodations@illumina.com. To learn more, visit: https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf'"
b'SSD Machine Learning Engineer I (Temporary)',b'Kaiser Permanente',"b'San Diego, CA, US'","b""Description\n\nMachine Learning Engineer will provide technical direction, execution and support of machine learning strategies for the SCPMG Medical informatics group. The position entails designing and implementing data pipelining, integration, and optimization of machine learning models to address healthcare's triple aim: to improve the health of populations, to lower the cost of care, and to enhance the care experience.\n\nEssential Responsibilities\nUse statistical and machine learning techniques to develop and improve clinical decision support tools\nDesign and develop data pipelines for machine learning applications\nOptimize machine learning models to scale in real-time streaming applications\nIntegrate and deploy machine learning components in a production environment\nWork closely with machine learning scientists, physicians, and other stakeholders\nDeploy developed products to project environments.\nReview and provide practical feedback on group products and procedures.\nProvide technical feedback on team members' work.\nSeek out open-source software packages or existing software code that can be reused or applied to assigned tasks.\nProduce/archive process related artifacts such as design documents, test plans, wikis, and code review forms.\nExperience\n\nBasic Qualifications:\nMinimum two (2) years of programming or technical related experience.\nEducation\nB.S. in Computer Science, Informatics, Physics, Mathematics, Engineering or related fields.\nLicense, Certification, Registration\nN/A\nAdditional Requirements\nFamiliarity in the following languages, expert in at least one: Python, Java, SQL\nExperience with pipelining, workflow, and orchestration tools such as Apache Airflow, MLFlow, Kubeflow, Kubernates\nExperience with deep learning frameworks (e.g. Tensorflow)\nFamiliarity with classification and regression algorithms\nPreferred Qualifications\nDemonstrated experience in Natural Language Processing\nDemonstrated experience with machine learning integration and deployment in production environments\nDemonstrated experience with Tensorflow Serving or TensorRT\nFamiliarity with C++\nFamiliarity with writing custom CUDA\nExperience with source control tools for code and models/data\nFamiliarity with healthcare terminology\nM.S. in Computer Science, Informatics, Physics, Mathematics, Engineering or related fields.\nThis is a temporary position"""
