title,company,location,job description
b'Principal Machine Learning Engineer',b'ForgeRock',"b'San Francisco, CA, US'","b'Principal Machine Learning Engineer\n\nCloud Solutions | US \xe2\x80\x93 San Francisco\n\nAbout The Company\n\nIn today\xe2\x80\x99s highly connected digital world, understanding, managing and securing the identity of individuals and things is essential to safety and success of both businesses and their customers. Billions of people connect from anywhere, use a wide variety of devices and expect a seamless yet secure experience.\n\nThe ForgeRock mission is to provide the most simple and comprehensive Identity and Access Management Platform to help our customers deepen their relationships with their consumers and improve the productivity and connectivity of their employees and partners. Our identity solution enables great digital experiences and is embedded with a rich set of security, privacy and consent features. We deliver our platform through both cloud services and on-premises software.\n\nOur customers are some of the biggest companies, organizations, and even countries in the world. On any given day, it\xe2\x80\x99s likely that the ForgeRock Identity Platform helped keep your data safe, gave you access to stuff, and supported trusted relationships between you, companies and the devices you were using.\n\nForgeRock is headquartered in San Francisco, but we are a global company with offices in the following cities: Vancouver, WA; Austin, TX; Munich, Germany; London & Bristol, UK; Grenoble & Paris, FR; Oslo, NO; Singapore and Sydney, Australia. Please read more about us at forgerock.com or follow ForgeRock on Twitter at http://www.twitter.com/forgerock.\n\nThe Role\n\nWe are looking for a highly motivated,Principal Machine Learning Engineer to build out the next generation Identity platform. This role requires someone to develop the technology and platform for data processing, feature engineering and analysis to propel company transformation into a data insight driven organization. Work with peers in cloud engineering, SRE to drive data driven insight through the enterprise. Work on complex, high scale machine learning models in production and develop cutting edge algorithms that are deployed directly to customers in real-time. If you are self-driven, passionate about learning, work well in a collaborative environment and have effective communication skills, then we\xe2\x80\x99d love to hear from you!\n\nResponsibilities\nProvide architectural leadership; conduct regular reviews of project work and peer review.\nHelp in development and scaling of data pipelines, feature pipelines and data lakes to support large scale processing of millions of data events.\nDevelop an industry view of analytics and design-driven problem solving. Use academic and competitor research to understand recent advances and best practices and inform our approach to developing solutions.\n\n\nRequired Skills And Qualifications\nMasters or PhD degree in computer science, mathematics, statistics, physics, or related quantitative field\nTen years of progressive experience in a data engineering or quantitative role.\nBusiness acumen to work with business partners and understand their domains, processes, and issues to identify strategies to optimize and innovate\nAbility to leverage data visualizations to highlight insights to business partners and make a business case for a recommended action or innovation opportunity\nProficient in the language of statistics with an advanced understanding of mathematical statistics, including combinatorics, probability, common discrete and continuous distributions, univariate and multivariate distributions, conditional probability, random variables, expectation, variance, convergence, estimation (bias, MSE, consistency, sufficiency, maximum likelihood, moments, etc.), hypothesis testing, and confidence intervals.\nAbility to collaborate effectively with Data Scientists, product management, engineering, UI/UX\nTheoretical and practical understanding of a range of machine learning techniques including unsupervised learning (e.g. clustering, outlier detection, PCA, ICA, NNMF, SVD, etc.), supervised learning (e.g., regression techniques, naive bayes, support vector machines, LDA, decision trees, neural networks, etc.), reinforcement learning (e.g., Q-learning, neural networks, etc.), and meta-methods (e.g., boosting, bagging)\nWritten communication skills to engage partners, document methodology and results, and publish research\nOrganizational and project management skills for overall project planning and task management\nSolid understanding of (1) data structures, (2) sequential algorithms, (3) distributed algorithms, (4) runtime and space complexity\nKnowledge of information technology integration and deployment patterns to design and implement solutions\nAdvanced proficiency in one of the programming languages like Java, Scala or Python.\nAdvanced proficiency in data processing frameworks like Pandas.\nAdvanced proficiency in TensorFlow, Keras, Cloud based ML frameworks, external ML libraries and NLP libraries.\n\n\nNice To Haves\nProject and/or program management experience.\nExperience in representing company in International ML conferences.\nProficiency in cloud and ML deployment strategies.\nDocker, Kubernetes and VM experience\n\n\nLife At ForgeRock\n\nWe believe in and facilitate a flexible, collaborative work environment. We\xe2\x80\x99ve grown enormously, but remain true to the innovative, can-do startup values that got us here. Most important of all, we keep hiring talented, smart, fun, and genuinely nice people because that\xe2\x80\x99s who we want to succeed with every day. Below are just a few of the great things we have to offer at ForgeRock:\nA great team of smart, fun and genuinely nice individuals.\nAwesome company culture focused around providing a flexible and collaborative work environment\nRegular office bonding events, from lunches and happy hours to group offsites and hack-days\nWell-stocked fridges, whether you\xe2\x80\x99re hungry or thirsty\nCompetitive benefits and perks\nWe\xe2\x80\x99re Mac-friendly!\nGenerous employee referral bonus program\nAmazing offices across the globe \xe2\x80\x93 San Francisco HQ; Vancouver, WA; Austin, TX; Munich, Germany; London & Bristol, UK; Grenoble & Paris, FR; Oslo, NO; Singapore, Australia & counting!\n\nForgeRock is the collective sum of all our individual experiences, backgrounds and influences and we pride ourselves in growing and learning together. We are committed to building an inclusive and diverse environment where everyone\xe2\x80\x99s individuality is respected and everyone has an Identity. In recruiting for new colleagues, we welcome the unique contributions you can bring and encourage you to be your best self.\n\nForgeRock is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex including sexual orientation and gender identity, national origin, disability, protected Veteran Status, or any other characteristic protected by applicable federal, state, or local law.'"
b'Machine Learning Engineer (Optimizer)',b'AppLovin',"b'Palo Alto, California'","b""AppLovin offers a comprehensive platform where mobile game developers of all sizes can connect with their ideal consumers and get discovered. Founded in 2012, the company is focused on helping both indie and established developers grow with the expertise and insights they need to finance, market, and expand their businesses\xe2\x80\x94 all in one place. App developers view AppLovin as a trusted partner, the rare company that understands what it takes to succeed in the mobile app ecosystem and has the ability to help them reach their goals. Learn more at www.applovin.com.\n\nThe Palo Alto team comprises of smart, passionate engineers and data scientists who tackle challenging problems to scale mobile advertising to billions of users daily. We use Java, C++, Redis, Scala, Spark, Aerospike, Vertica, PHP, Chef, Jenkins, Github. We're looking for a Machine Learning Engineer to join our Optimizer team!\n\nWhat You'll Do:\n\nBe responsible for architecting the ML models and how they're used in a production environment\nGiven the opportunity to take your own ideas from hypothesis to A/B testing the solution in a live production environment\nDeal with real world challenges like sparsity of test data and real time updates for model.\n\nRequirements:\n\nYou love to program, solve problems and build stuff\nHave knowledge of C++, Java, Scala\n2+ years of industry experience applying Machine Learning to large scale problems.\nHave a minimum of a BS and/or MS in Computer Science\n\nPerks:\n\nFree medical, dental, and vision insurance\nDaily lunches and fully stocked kitchen\nFree public transit\nFree laundry service (wash/dry clean)\nFree gym membership\n401k matching\nFun company parties and events\nAutonomy to make decisions in a rapidly growing company\nFlexible Time Off - work hard and take time when you need it\n\nInterested? Send us your resume and let's talk!"""
b'Machine Learning Engineer',b'Apple',"b'Cupertino, CA, US'","b'Summary\n\nThe Siri Search Relevance team is creating groundbreaking technology for artificial intelligence, machine learning and natural language processing! The features we create are redefining how hundreds of millions of people use their computers and mobile devices to search and find what they are looking for. Siri\xe2\x80\x99s universal search engine powers search features across a variety of Apple products, including Siri, Spotlight, Safari, Messages and Lookup. As part of this group, you will be doing large scale machine learning and deep learning to improve Query Understanding and Ranking of Siri Search and developing fundamental building blocks needed for Artificial Intelligence. This involves developing sophisticated machine learning models, using word embeddings and deep learning to understand the quality of matches, online learning to react quickly to change, natural language processing to understand queries, taking advantage of petabytes of data and signals from millions of users and combining information from multiple sources to provide the user with results that best satisfies their intent and information seeking needs.\n\nKey Qualifications\n\n5+ years of experience in machine learning, deep learning, information retrieval, natural language processing or data mining\nMastery of two of following languages: Python, Go, Java, C++\nExcellent knowledge and good practical skills in major machine learning algorithms\nExcellent data analytical skills\nExperience with large scale search and machine learning systems is highly desired\nExperience with Hadoop, Hive, and/or Impala is a plus\nGood interpersonal skills\nGood team player\nThis Role Will Have The Following Responsibilities\n\nDescription\n\nAs a member of our fast-paced group, you\xe2\x80\x99ll have the unique and rewarding opportunity to shape upcoming products from Apple. We are looking for people with excellent applied machine learning experience and solid engineering skills in creating outstanding search service.\nAnalyzing search ranking and relevance requirements, issues and opportunities\nUnderstanding product requirements, translate them into modeling tasks and engineering tasks\nBuilding machine learned models for search relevance, ranking and query understanding problems\nIntegrating search functions into Apple products, such as Siri, Spotlight, Safari, Messages, Lookup, etc.\nBuilding end-to-end production system including query understanding and ranking to power search\nUtilizing Spark, Hadoop MapReduce, Hive, Impala to perform distributed data processing\nEducation & ExperienceMS or Ph.D in Computer Science, Machine Learning or related field'"
b'Machine Learning Engineer',b'Computational Trading Firm',b'San Francisco Bay Area',"b""Top proprietary trading firm with a new office in San Francisco\xe2\x80\x99s financial district is looking to hire a distinguished mid level Machine Learning Engineer with 3+ years of industry or research experience. Having built most of their own trading technology from scratch, this firm is a leader in the systematic trading space. Your role there will involve the design, development, and deployment of sophisticated algorithms used to optimize the firms trading activities using various strands of machine learning.\n  You will spend your day examining global markets and utilizing terabytes of trading data to build models and strategies for a variety of financial instruments and will be given a good level of freedom to design and push the firms systems to its limits. By leveraging your computational abilities, you will play a key role in increasing the firm\xe2\x80\x99s profitability. Combining cutting-edge research with real industry data, you will also build tools that ultimately have impact on financial markets themselves.\n  Having tried and tested different approaches, the firm has committed to adopting a collaborative environment that will enable you to work closely with traders and developers, making the impact of your work visible from the onset.\n  Past hires have come from within the financial industry, renowned research labs and from large tech companies that deal with vasts amount of data such as Apple, Berkeley Labs, IBM, Google, and Facebook.\n\nWhat we're looking for\nA Masters or ideally PhD degree in Machine Learning, Computer Science, Mathematics, Operations Research, or a related discipline\nAt least 2-3 years of progressive industry or research experience solving machine learning problems.\nStrong practical computing skills, including experience with Python and/or C++ and R\nStrong analytical and problem solving skills, with demonstrable experience working with and drawing conclusions from large datasets\nAn open minded approach to solving complex problems\n  Compensation is unprecedented and dependent on experience."""
b'Machine Learning Engineer',b'Twitch',"b'San Francisco, CA, US'","b'About Us\n\nLaunched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We\xe2\x80\x99re always live at Twitch. Stay up to date on all things Twitch on LinkedIn , Twitter and on our Blog .\n\nAbout The Role\n\nWe are looking for passionate ML engineers who are excited to solve challenging and open-ended problems in the creation of automated safety products. As an ML engineer on our Trust & Safety team, you will build systems which help us better understand user behaviors and several types of user-generated content. Reporting to the Director of Engineering, you will develop infrastructure for next-generation intelligent products using ML models with an outstanding applied science team. You will help ensure that creators and viewers on Twitch can build thriving communities by eliminating negative interactions (harassment, inappropriate content , etc ).\n\nYou Will\nBuild and maintain performant, responsive major software web services and large-scale applications\nEmbrace and champion engineering best practices within your group\nProduce clean, high-quality code, tests, and well written documentation\nContribute engineering input and feedback into product planning processes\nPartner with fellow engineering teams to accomplish complex programs together\nYou Have:\nBA/BS in computer science or equivalent experience\n3+ years of work experience or relevant experience with a PhD in CS or related field\n2+ years of work experience building large-scale production ML systems\nExperience with ML libraries/frameworks such as Keras, Tensorflow, AWS Sagemaker\nExperience of Software development in one or more of the general purpose programming languages: C/C++, Go, Python , Java\nDesire and ability to write production quality code\nBonus Points\nMS or PhD in CS or related field\nExperience in one or many of the following areas\nFamiliarity with AWS services\nIn memory key value stores such as memcache, Redis\nSQL and NoSQL databases\nKinesis or Kafta data streams\nBuilding large-scale data pipelines\nPerks\nMedical, Dental, Vision & Disability Insurance, 401(k) , Maternity & Parental Leave , Flexible PTO, Commuter Benefits, Amazon Employee Discount, Monthly Contribution & Discounts for Wellness Related Activities & Programs (e.g., gym memberships, off-site massages , etc. ), Breakfast, Lunch & Dinner Served Daily, Free Snacks & Beverages\n\nWe are an equal opportunity employer and value diversity at Twitch. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.\n\nPursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.'"
b'Machine Learning Engineer',b'Saildrone Inc',"b'Alameda, CA, US'","b""About Saildrone\n\nSaildrone designs and manufactures wind and solar powered autonomous surface vehicles called Saildrones, which make cost-effective ocean data collection possible at scale.\n\nWe are building the world's largest high-resolution ocean datasets, working with governments and private companies around the globe. We believe that better inputs in planetary models in turn yield better outputs and that the new insights gained in weather forecasting, carbon cycling, global fishing and climate change will have tremendous impact on humanity.\n\nWe are based in Alameda, CA and are backed by Social Capital, The Capricorn Investment Group, Lux Capital and The Schmidt Family Foundation.\n\nAbout The Role\n\nSaildrone is searching for a Machine Learning Engineer to grow our machine learning team. As a data and robotics company, we have many opportunities for artificial intelligence to further our mission. You will be responsible for participating in all aspects of machine learning efforts at Saildrone, with an emphasis on bringing new capabilities to production readiness.\n\nResponsibilities\nImprove tooling and best practices for managing reproducible machine learning workflows\nCreate new ML systems to solve challenging problems in perception, robotics and ocean science\nDrive hardware requirements and develop software for running ML solutions on Saildrones in the field as well as in the cloud\n\n\nRequirements\nMS or Ph.D. in a quantitative field or equivalent work experience\nFour years of experience working with machine learning systems\nDeep understanding of statistics and machine learning algorithms, especially for computer vision\nStrong Python skills\nExperience with PyTorch and/or other deep learning frameworks\nExperience with reproducible workflows for machine learning\nExperience deploying ML models to production on embedded systems or in the cloud\nStrong C++ skills\nExperience developing ML services that run on Kubernetes with Docker and containers\n\n\nBenefits\nMedical, dental and vision plans for you and your dependents\nHealthy lunch program provided onsite\nActive sailing classes: become a certified skipper on boats up to 35ft!\nFun team activities including our famous monthly social taxiway BBQ\nWaterfront office, a former airplane hangar that was once used to film 'The Matrix'\nShort and relaxing ferry ride from the Ferry Building for SF residents\nEnhanced paternity / maternity programs\nCompetitive benefits including discounted gym, life insurance, 401k plan\n\nThis is an exciting new opportunity to drive your function at a fast-growing post series-B startup at the cutting-edge intersection of big data services and autonomous hardware. You will be an integral part of an A+ multi-disciplinary team scaling a high-performance business while delivering high impact for humanity and future generations.\n\nOur waterfront office offers beautiful views over San Francisco Bay in always sunny Alameda. Your commute could be a short and relaxing ferry ride from the Ferry Building. Even our walls have good karma, our offices mix software development with a hardware production line in the former airplane hangar that was once used to film 'The Matrix'.\n\nYou Can Read What The Press Says About Us\n\nInc - The most exciting drones aren't in the air, they are in the oceans\nThe New York Times - No sailors needed: robot sailboats scour the oceans for data\nNOAA - Sailing for scientific success in the Bering Sea\nWired - The drone that will sail itself around the world\n\nOr watch the Saildrone mission being presented the TED stage\n\nSaildrone is an equal opportunity workplace dedicated to pursuing and hiring a diverse workforce.\n\nAny unsolicited resumes/candidate profiles submitted through our website or to personal email accounts of employees of Saildrone are considered property of Saildrone and are not subject to payment of agency fees."""
b'Machine Learning Engineer',b'Calico Life Sciences',"b'South San Francisco, CA, US'","b'Who We Are\n\nCalico is a research and development company whose mission is to harness advanced technologies to increase our understanding of the biology that controls lifespan. We will use that knowledge to devise interventions that enable people to lead longer and healthier lives. Executing on this mission will require an unprecedented level of interdisciplinary effort and a long-term focus for which funding is already in place.\n\nPosition Description\n\nCalico is seeking a machine learning (ML) engineer to develop and productionize ML algorithms and software tools to support research into human aging and aging-related diseases. This person will be part of a cross-functional effort to build a world-class machine learning platform to advance research efforts at Calico, develop novel ML algorithms to solve challenging research questions, and play a critical role in defining and executing Calico\xe2\x80\x99s strategy in computational biology and machine learning. Candidates should be comfortable dealing with various types of biological data or data at a scale such that required methods and tools have yet to be well-developed.\n\nThe ideal candidate should be comfortable analyzing data at scale; have experience implementing, extending, and debugging machine learning techniques; and have expertise in designing and building high-leverage data infrastructure and tools. Candidates should be able to demonstrate a strong ability to communicate ideas and results, and to work cross-functionally to execute complex projects.\n\nPosition Requirements\nPh.D. in Computer Science or related technical field or M.S., plus 2+ years software industry experience\nExperience developing, implementing, and extending ML algorithms, data infrastructure, and tools\nFamiliarity with current large-scale distributed ML frameworks, e.g. TensorFlow or PyTorch\nStrong software engineering skills and substantial expertise in Python or C++\nTrack record of effective communication and collaboration in a cross-functional environment\nStrong analytical and quantitative skills\n\n\nNice To Haves\nExperience with biological or chemoinformatic datasets and/or some background in biology or chemistry\nPublic recognition in the field, e.g. via scientific publications or success in online competitions\nPh.D. in Computer Science with specialization in machine learning or artificial intelligence'"
b'Machine Learning Engineer - Fixed Term',"b'X, the moonshot factory'","b'Mountain View, CA, US'","b'X is Alphabet\xe2\x80\x99s moonshot factory where uncomfortably ambitious, world-changing ideas are developed and taken out into the world. X projects have the potential to transform the lives of billions of people and make the world a radically better place. For X to be successful, we have to repeatedly turn breakthrough technology ideas into products that solve large problems in the world, and create meaningful businesses for Alphabet.\n\nTeam\n\nWe are a team of physicists, machine learning researchers, and high performance computing engineers. We investigate technologies at the union of quantum physics and machine learning for the benefit of both fields.\n\nRole Description\n\nThis is a 6-month fixed term contract role.\n\nAs a machine learning engineer, your job will be a mix of research and practical engineering to help external teams and partners integrate the latest advancements into existing models. You\xe2\x80\x99ll be responsible for implementing, benchmarking, maintaining, and upgrading state of the art machine learning techniques used in many products.\n\nResponsibilities\nWrite software to implement cutting-edge machine learning techniques and make it as easy as possible to use externally\nWork with external teams to integrate new methods into their products\nWrite and manage code that will be integrated in the open sourced TensorFlow and Keras packages\nHelp maintain our existing open source repositories\nWork with other researchers on our team to develop novel techniques and use cases\n\n\nMinimum Qualifications\nDegree in Computer Science or equivalent practical experience.\nExperience developing software applications in a modern language (Python, C++)\nExperience with TensorFlow and Keras\nFamiliarity with industry-standard tools and practices\n\n\nPreferred Qualifications\nSignificant experience developing software in Python and C++\nExperience managing open source repositories\nExperience training and deploying production-level machine learning programs\nExperience using GPUs and TPUs\n\n\nAbout X, The Moonshot Factory\n\nX creates radical new technologies to solve some of the world\xe2\x80\x99s biggest problems. We develop uncomfortably ambitious, potentially world-changing new ideas such as self-driving cars, balloon-powered Internet and smart contact lenses. We\xe2\x80\x99re a team of makers, entrepreneurs, engineers, designers and scientists with deep technical expertise who love the challenge of the seemingly impossible. X was formerly known as Google[x] and is part of Alphabet.'"
b'Machine Learning Engineer',b'QuinStreet',"b'Foster City, CA, US'","b' \n\nMachine Learning Engineer\n\n \n\n\nPowering Performance Marketplaces in Digital Media\n\nQuinStreet is a pioneer in powering decentralized online marketplaces that match searchers and \xe2\x80\x9cresearch and compare\xe2\x80\x9d consumers with brands. We run these virtual- and private-label marketplaces in one of the nation\xe2\x80\x99s largest media networks.\n\nOur industry leading segmentation and AI-driven matching technologies help consumers find better solutions and brands faster. They allow brands to target and reach in-market customer prospects with pinpoint segment-by-segment accuracy, and to pay only for performance results.\n\nOur campaign-results-driven matching decision engines and optimization algorithms are built from over 20 years and billions of dollars of online media experience.\n\nWe believe in:\n\nThe direct measurability of digital media.\nPerformance marketing. (We pioneered it.)\nThe advantages of technology.\nWe bring all of this together to deliver truly great results for consumers and brands in the world\xe2\x80\x99s biggest channel.\n\nJob Description\n\nWe\xe2\x80\x99re looking for an extremely smart Machine Learning Engineer to become a core member the team that creates algorithms for pricing, targeting, demand fulfillment, and fraud detection in our marketing platform.\n\nResponsibilities\n\nUse your expertise in machine learning and statistical learning techniques such as classification and regression to produce models applicable to pricing and targeting.\nApply mathematical optimization techniques to solve network problems.\nExperiment and build models that improve the capabilities of our marketing platform and allow for increases in yield.\nWork with our Engineering and Business teams to implement scalable, reliable and useful solutions for our various business units.\nRun numerous experiments in a fast-paced, analytical culture so you can quickly learn and adapt your work.\nGet the satisfaction of knowing that you helped connect millions of visitors to our affiliates and internal properties to the products and services they are searching for.\nQualifications\n\n       2-3 years\xe2\x80\x99 experience in software development \n       MS in Computer Science or related area, or relevant work experience.\nDeep experience in applied machine learning, statistical learning, mathematical optimization and scalable computing. \n       Experience with both supervised and unsupervised learning on large data-sets. \n       Succeed as an individual but to collaborate and strive for the success of your team.\n       Strong sense of ownership in everything you build. \nStrong experience building production level code (Python is a plus)\n \n\nGeneral Requirements\n\n       Presentation, communication, and collaboration skills, enabling effective interaction and knowledge transfer to teammates and other departments within the company\nA high task load is expected. You should be able to work within tight deadlines while exhibiting exemplary time management and task prioritization\n       Strong analytic skills, especially in assessing and designing for performance\n       Meticulous attention to detail and aesthetics\n       Must possess ability to work with minimal to no supervision\n       Up to date with latest standards for site development and optimization\n       Positive attitude and professionalism in the workplace\n       A great sense of humor is always appreciated\n \n\nQuinStreet is an equal opportunity employer. We do not discriminate on the basis of race, color, religion, national origin, pregnancy status, sex, age, marital status, disability, sexual orientation, gender identity, or any other characteristics protected by law.\n\n '"
b'Machine Learning Engineer',"b'Adroitco, Inc'","b'Santa Clara, CA, US'","b'Very important: Candidate must know coding in python and must be willing for Python coding.\nCandidates should have done Machine Learning algorithm in production.\nShould have a computer science background\nCandidate must have worked done Productionised ML algorithm\nFamiliarity with algorithm\nCandidate should be more on engineering side\nGood computer fundamentals\nNeed to understand the entire Machine Learning pipeline and metrics.\nDepth in either Spark or Scala or java.\nExpert at coding and must be willing for ;coding in python.\nNeed to know MLops: mlflow/ kubeflow and needs to have AWS machine learning\nMachine Learning implementation side\nPython knowledge\nData structures and sports.\nMachine Learning engineering, data engineering and Data science. Very important: Candidate must know coding in python and must be willing for Python coding.\nCandidates should have done Machine Learning algorithm in production.\nShould have a computer science background\nCandidate must have worked done Productionised ML algorithm\nFamiliarity with algorithm\nCandidate should be more on engineering side\nGood computer fundamentals\nNeed to understand the entire Machine Learning pipeline and metrics.\nDepth in either Spark or Scala or java.\nExpert at coding and must be willing for ;coding in python.\nNeed to know MLops: mlflow/ kubeflow and needs to have AWS machine learning\nMachine Learning implementation side\nPython knowledge\nData structures and sports.\nMachine Learning engineering, data engineering and Data science.'"
