title,company,location,job description
b'Principal Software Engineer',b'Iconstaff',"b'Randolph, Massachusetts, United States'","b'Our client is battling fraud detection, they build a suite of SaaS applications and APIs. If you enjoy exploring new technologies and want to build transformative software development, then read on.\n You are a full stack engineer with significant experience in developing performant user-friendly software systems. Agile experience and the ability to take a technical leadership role are must haves. You should embody a passion for continuous improvement and test-driven development.\n Responsibilities:\nParticipate in process to elicit and specify project requirements and define project scope\nAssist in development of software application architecture\nAnalyze, design, code, test, debug, maintain, and document software components in accordance with software architecture and software development processes\nParticipate in application performance tuning\nEnsure developed applications adhere to MIB security model / policies\nLead code review of developed software artifacts\nEnsure that deliverables meet the project requirements, including timely delivery and quality (reliability, performance, and maintainability)\nContribute to the creation of project schedules by providing estimates related to effort, duration, and completion of assigned tasks\nParticipate in the research and evaluation of software development tools and emerging technologies\nMentor / train less experienced software engineers\nServe as technical lead within scope of expertise, including acting as a systems analyst and designer\n\nRequirements:\nB.S. in Computer Science required or a combination of equivalent educational experience\nExtensive Java Development experience and object oriented development knowledge\nExperience in test and task automation in an agile development environment, utilizing rapid development techniques and DevOps\nExperience with micro-services and other service oriented architectures and design methodologies (like BDD/DDD)\nExperience turning requirements into software design specifications and architecture\nTechnical leadership: Mentoring, SME for both business and technical discipline topics\nUnderstand prioritization and balance own work as well as that of other engineers without guidance\nAbility to take a lead role on establishing standards and best practices\nProvide solid guidance for code reviews'"
b'Software Engineer',b'SNI Technology',"b'Bedford, Massachusetts, United States'","b'I am currently working with a very outstanding healthcare company located in Bedford, MA who is looking for a Senior Software Engineer. This position develops the enterprise application(s), maintains, enhances and builds new software solutions for the\norganization.\n\nDuties and Responsibilities: \nDevelop software solutions by studying information needs; conferring with users; studying systems flow, data usage, and work processes; investigating problem areas; following the software development lifecycle\nDetermine operational feasibility by evaluating analysis, problem definition, requirements, solution development, and proposed solutions\nDocument and demonstrate solutions by developing documentation, flowcharts, layouts, diagrams, charts, code comments and clear code\nResponsible for planning, processing and performing all jobs in an efficient manner with no / little assistance from the supervisor\nRespond promptly and professionally to bug reports Review and repair legacy code\nUpdate job knowledge by studying state\xe2\x80\x90of\xe2\x80\x90the\xe2\x80\x90art development tools, programming techniques, and computing equipment; participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations\nProvide information by collecting, analyzing, and summarizing development and service issues\nAccomplish development and organization mission by completing related results as needed\nParticipate in knowledge\xe2\x80\x90sharing code reviews\n\nSkillset: \nMinimum 3 years\xe2\x80\x99 experience in software development.\nAdvanced C#, .NET framework 4.0 or later, Strong ASP.net CORE 2.0 or later, MVC 4/5, WCF, JavaScripts, jQuery, CSS, HTML, React JS / Angular, AJAX, ASP.NET, REST API, SOAP, SQL server and Unit test Framework.\nKnowledge of TFS is required. Must have at least one project experience in Asp.net core Nice to have - Healthcare experience / RCM applications knowledge / project experience.'"
b'Software Engineer',b'Vistaprint',"b'Boston, MA, US'","b'Software Engineer\n\nThe team\n\nAs a software engineer on the Content Technology team, you\xe2\x80\x99ll be at the center of what makes Vistaprint unique: our graphic design content. Vistaprint is different from other e-commerce companies because our products are fully customizable. Engineers on Content Technology design, architect, and develop platforms that enable our graphic designers to create beautiful, flexible designs, and manage the complexity of having millions of designs live on the site. These designs are the starting point for our customers to create a wide range of products to market their businesses.\n\nWe\xe2\x80\x99re currently a few months into a multi-year re-architecture, and we\xe2\x80\x99ve already successfully tested our technology with customers. We\xe2\x80\x99re building our systems from the ground up to create a modern, flexible platform that gives our business partners new levels of control. This translates into greenfield development, retiring legacy systems, and designing their replacements, and that\xe2\x80\x99s where we need your help!\n\nThe role\n\nBut Here Are Some Things You Might Find Yourself Doing\n\nSince our engineering teams own their systems end-to-end, there really isn\xe2\x80\x99t a \xe2\x80\x9ctypical day\xe2\x80\x9d here.\nJoining an architecture session to design a new microservice\nProfiling a server call in search of optimizations and speed improvements\nCollaborating on a co-worker\xe2\x80\x99s code review\nWorking with various technologies such as .NET Core, MongoDB, and Docker\nLeading project refinement and driving execution\nWriting some high-quality, maintainable, robust code\nDelivering value to production every day using AWS\nWhat we\xe2\x80\x99re looking for\nTechnical problem solvers with strong coding and design skills\nA focus on back-end development and experience with OOP\nExperience working with SOA/distributed systems\nRDBMS experience (a plus if it\xe2\x80\x99s with MS SQL Server or PostgreSQL)\nStrong communication skills, both oral and written\nPassion and enthusiasm for software engineering\nStrong collaboration with teammates and stakeholders\nExperience with microservices, AWS, and agile development a plus\nRemember, we\xe2\x80\x99re not looking for one specific type of candidate. We believe that a diverse team will yield the best results. Regardless of your background, we\xe2\x80\x99re looking for smart people that want to solve challenging problems in a highly collaborative environment. If this sounds like you, we\xe2\x80\x99d love to hear from you!\n\nWhy Vistaprint?\nCompetitive salary + comprehensive benefits\nFlexible hours and great work-life balance\nOffices in downtown Boston or just off I-95 in Waltham\nVolunteer time off and matching charitable donations\n\nEqual Opportunity Employer\n\nVistaprint, a Cimpress company, is an Equal Employment Opportunity Employer. All qualified candidates will receive consideration for employment without regard to race, color, sex, national or ethnic origin, nationality, age, religion, citizenship, disability, medical condition, sexual orientation, gender identity, gender presentation, legal or preferred name, marital status, pregnancy, family structure, veteran status or any other basis protected by human rights laws or regulations. This list is not exhaustive and, in fact, in many cases, we strive to do more than the law requires.'"
b'Software Engineer',b'PillPack',"b'Boston, MA, US'","b""This is a Software Developer role at PillPack.\nPillPack is a full service online pharmacy that sorts medication by the dose and provides convenient multi-dose packets, vials, and bulk medications to a patient's door. We believe in the best possible pharmacy experience for our customers. Our custom software powers our many clinical and operations specialists who work on our customers' behalf every day.\nAs a member of our engineering team, you will be at the intersection of the physical and digital world. You will be solving interesting and complex problems at every layer of the stack, and you will be helping to make a real difference for our end consumers. You will have the opportunity to work cross-functionally with engineering, product, clinical / distribution, and customer care teams.\nYou will be expected to deliver testable, maintainable code to support our many ongoing initiatives. Additionally, you will be responsible for participating in design discussions, code review, and communicating with stakeholders.\nPillPack is an independently operated subsidiary of Amazon, acquired in 2018.\n\nBasic Qualifications\nBachelor\xe2\x80\x99s Degree in Computer Science or related field\nEquivalent experience to a Bachelor's degree based on 3 years of work experience for every 1 year of education\n2 years professional experience in software development\nComputer Science fundamentals in object-oriented design, data structures, complexity analysis, algorithm design, and problem solving\nKnowledge of, at least, one modern programming language such as Ruby, Python, or Java\nPreferred Qualification\n5+ years professional experience in software development\nExperience building complex software systems that have been successfully delivered to B2B customers\nKnowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations\nAbility to take a project from scoping requirements through actual launch of the project\nExperience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs.\nAmazon.com is an Equal Opportunity Employer \xe2\x80\x93 Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation."""
b'Software Engineer',b'Arm',"b'Boston, MA, US'","b""Job Description\n\nArm Boston is looking for highly skilled and motivated engineers to join us, modelling Arm\xe2\x80\x99s next generation architectures and devices. We build C++ software models of the leading-edge Arm technologies that will power future systems in markets such as machine learning, high performance computing, mobile and the Internet of Things (IoT). Our models are used for software development, validation, and early architecture development. As one of the first consumers of new architectures, you will influence the success of an industry and develop tools that are vital to many of Arm\xe2\x80\x99s development flows and those of our customers.\n\nJoining our team provides the opportunity to contribute and engage with engineers from different discipline and bring new products. You will work with your colleagues within Arm and external partners.\n\nJob Responsibilities\nAssessing software and system issues to find solutions as per requirements\nAnalyzing new technologies, provide the best technical advice and direction to new solution approaches\nAnalyzing requirements, breakdown tasks and communicate plans\nImplement high performance C++ models of Arm devices to enable software development and IP validation\nLean about new, upcoming, Arm IP\nEnsure code is tested to a high standard\nActively participate in scrum ceremonies and do stuff to improve the team\n\nJob Requirements\n\nWhat skills, and qualifications do you need?\nBachelor's or Master's degree in Computer Science or Electrical/Computer Engineering\n1 to 3 years experience with C++ development\nStrong communication and collaboration skills\n\nWe are interested in, but do not require, the following experience\nExperience with or knowledge of the ARM\xc2\xae architecture\nKnowledge of SoC hardware components and their software interfaces\nExperience with modeling technologies such as SystemC or gem5\n\nAt Arm, we are guided by our core beliefs that reflect our rare culture and guide our decisions, defining how we work together to defy ordinary and shape extraordinary\n\nWe not I\nTake daily responsibility to make the Global Arm community thrive.\nNo individual owns the right answer. Brilliance is collective.\nInformation is crucial, share it.\nRealize that we win when we collaborate \xe2\x80\x94 and that everyone misses out when we don\xe2\x80\x99t.\nPassion for progress\nOur differences are our strength. Widen and mix up your network of connections.\nDifficult things can take unexpected directions. Stick with it.\nMake feedback positive and expansive, not negative and narrow.\nThe essence of progress is that it can\xe2\x80\x99t stop. Grow with it and own your own progress.\nBe your brilliant self\nBe quirky not egocentric.\nRecognize the power in saying \xe2\x80\x98I don\xe2\x80\x99t know\xe2\x80\x99.\nMake trust our default position.\nHold strong opinions lightly."""
b'Software Engineer',b'Cisco',"b'Town of Boxborough, MA, US'","b""Cisco provides one of the industry's most comprehensive advanced threat protection portfolios of products and solutions. Our threat-centric and operational approach to security reduces complexity, while providing superior visibility, continuous control, and advanced threat protection across the extended network and the entire attack continuum.\n\nWho You\xe2\x80\x99ll Work With\n\n\n\nThe Security Business Group is looking to hire a Software Developer to join the AnyConnect Team. Join a dynamic team that has deployed product on over 130 million of the latest devices on all major desktop and mobile operating systems\n\n\n\nWho You Are\n\n\nYou have a solid background in SW design, end-user operating systems, desktop and network troubleshooting skills, and excellent written and verbal communications.\nHave a MSEE/CS combined with 3-5 years of related experience, or BSEE/CS combined with 4-6+ yrs related experience\nStrong C/C++ programming skills\nHave an understanding of networking fundamentals and protocols including IPv4 and IPv6, TCP, and UDP. Knowledge of network security concepts including Encryption, Key Negotiation, and Certificates/PKI, and network security protocols including SSL/TLS/DTLS, IKE/IPSec, EAP protocols, RADIUS, and 802.11i.\nExperience with desktop software development on Windows and/or MacOS, and desire to additionally work on mobile platforms including Apple iOS and Android\n\nWhy Cisco\n\n\n\n\n#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here\xe2\x80\x99s how we do it.\n\nWe embrace digital, and help our customers implement change in their digital businesses. Some may think we\xe2\x80\x99re \xe2\x80\x9cold\xe2\x80\x9d (30 years strong!) and only about hardware, but we\xe2\x80\x99re also a software company. And a security company. A blockchain company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do \xe2\x80\x93 you can\xe2\x80\x99t put us in a box!\n\nBut \xe2\x80\x9cDigital Transformation\xe2\x80\x9d is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)\n\nDay to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.\n\nSo, you have colorful hair? Don\xe2\x80\x99t care. Tattoos? Show off your ink. Like polka dots? That\xe2\x80\x99s cool. Pop culture geek? Many of us are. Passion for technology and world-changing? Be you, with us!"""
b'Software Engineer',b'Chase International Partners',"b'Boston, Massachusetts, United States'","b'Our client a top FinTech firm are seeking talented Software Engineers\n\nResponsibilities:\nInfluence and impact the architecture, standards, and design of key product initiatives for applications in C#/WPF and Java services\nContribute as a Sr. individual contributor within a team of top engineers\nWork in a dynamic, fast-paced, Agile team environment\n\nRequirements:\nBS/MS in Computer Science or equivalent field\n2 to 10+ years of commercial software development, proficient in developing multi-tier solutions\nSr. Individual Contributor or Architect level considered the top within their organization\nMinimum 2 years of professional Java development experience\nFinancial industry experience is ideal but not required; specific development experience of a financial application is a huge plus. Experience developing applications for the financial markets is highly desirable (Fixed Income, Trading, FX, Risk, Portfolio/Wealth Management, Market Data, FIX etc.)\nTechnical experience includes:\nExtensive Java n-tier application experience\nHands-on experience with web services\nC#/.NET also highly desirable, but not required\nStrong SQL skills with considerable experience in Oracle or SQL Server\nKnowledge of XML / XSL\nExperience with Tomcat, JBoss, WebLogic or WebSphere\nStrong with OO design and development\nSolid grasp of algorithms and solving difficult heuristic/optimization types of problems\nProduct delivery experience includes:\nHas been a key player in developing and supporting commercial software products which were sold to non-technical customers in vertical markets\nAbility to work independently, handle multiple tasks simultaneously and adapt quickly to changes\nExcellent communication skills (verbal and written), good interpersonal skills, ability to gather and understand requirements in the financial sector'"
b'Software Engineer',b'Fidelity Investments',"b'Merrimack, NH, US'","b'Job Description\n\nThe Purpose of Your Role\n\nTo be a part of the Money Market Technology Team, a group within Fidelity Investment Asset Management Technology division that designs, develops and supports Portfolio & Cash Management, Trading, and Market Surveillance software applications for the Fixed Income MM business. Fidelity\xe2\x80\x99s Money Market Business is the market leader in managing over $800 Billion in customer assets.\n\nThe Expertise We\xe2\x80\x99re Looking For\n\nWe are seeking an experienced software developer to assist with the on-going project work of the trading, cash management, and market surveillance applications used by the MM Desk. The ideal candidate will have a minimum of 2 years of experience in user interface or Java server side and SQL (Oracle) development, ideally with financial services exposure. He/She will join an agile scrum team and play a hands-on role in coordination, design and development of application releases for the Money Market product line!\nA strong understanding of the software development lifecycle process, preference is with Scrum / Agile\nBachelor\xe2\x80\x99s degree in Computer Science, Mathematics, or Engineering or similar.\n\n\nThe Skills You Bring\nDemonstrable experience and knowledge of Java (server-side) object-oriented programming skills.\nProven experience with User Interface programming skills\nFamiliarity with functional programming skills (preferably Scala)\nExperience in SQL development\nEffectively work on a small development team\nSelf-motivated, driven, and have a strong client focus and results orientation approach\n\n\nPrimary Responsibilities\n\nWork with product owners and business analysts to understand the business and technical requirements. Define the system requirements and technical design for specific components within a release.\nActive hands on role in for either user interface (Angular or C#/.Net;) or Java and/or Scala/AKKA based middle tier services,\n\nCoordinate and deploy product releases. Provide technical leadership for junior team members (both for those co-located in Merrimack or for other team members located in India).\nOn-call rotation to provide Level 3 production support for our applications.\n\nDevelop, document and communicate design artifacts with in the team. Maintain trusted relationships with business partners. Ability to be highly productive in an agile project delivery environment!\n\nCompany Overview\n\nAt Fidelity, we are focused on making our financial expertise broadly accessible and effective in helping people live the lives they want. We are a privately held company that places a high degree of value in creating and nurturing a work environment that attracts the best talent and reflects our commitment to our associates. For information about working at Fidelity, visit FidelityCareers.com\n\nCategory\n\nCertifications:\n\nInformation Technology'"
b'Software Engineer',b'Altaeros',"b'Somerville, MA, US'","b'At Altaeros we believe everyone should have access to the basic building blocks that allow a fulfilling, prosperous life, whether they live in a megacity or in the most rural of villages. We also believe in the power of innovation to make this a reality. Our SuperTower uses the world\xe2\x80\x99s first autonomous aerostat platform to permanently deploy high-speed mobile broadband in rural markets at a fraction of the cost of alternatives. With this new class of communication infrastructure, we aim to help hundreds of millions of people get online for the first time, unlocking untold new opportunities.\n\nThe Software Engineer position requires experience in designing and maintaining software on a variety of platforms. Successful candidates should have experience with as many of the following environments and languages- LabVIEW, Python, C#, Matlab or Simulink. We are a small but impressive team working in a fast-paced, dynamic environment. The applicant will have the opportunity to work with all of the other engineering groups to further Altaeros\xe2\x80\x99 goal of delivering the next generation of infrastructure to rural and isolated communities around the world.\n\nAt Altaeros, we find that people do their best work when they are trusted to operate with a high level of respect and integrity. As such, Altaeros employees enjoy a highly flexible work schedule. Compensation includes salary, equity, and great benefits including unlimited paid time off, health, dental and life insurance, as well as, 401ks.\n\nIf interested, please submit your resume and cover letter with the subject [Software Engineer - Your Name] to Altaeros.jobs@altaeros.com.\n\nWithin Your First 6 Months You Will\nDesign, code and unit test new features, enhancements and bug fixes for autonomous controls in an Agile-Scrum environment\nDevelop full stack solutions ranging from front-end user interfaces through to back-end systems and all points in between\nAssist in requirements definition with a cross-functional team of control engineers, aerodynamic engineers, system engineers and product owners\nActively test the code on the Altaeros SuperTower in Fremont, NH\nWork with an experienced software team in a collaborative work environment\n\nQualifications\nBachelor\xe2\x80\x99s degree (or equivalent) and 2-5 years software development experience\nProficiency in any \xe2\x80\x9chigh-level\xe2\x80\x9d language (C++, C#, Java, Python, etc.)\nExperience with current database technologies (SQL, Cassandra, Hadoop, etc.)\nStrong coding skills: writing, debug / test, deployment\nStrong drive, initiative, organizational and communication skills\nExperience in a variety of other systems, languages, processes, databases or data analysis a plus\nA \xe2\x80\x9cStartup Attitude\xe2\x80\x9d: Quick learner, passionate, nimble, and adaptable\n\nAt Altaeros we believe everyone should have access to the basic building blocks that allow a fulfilling, prosperous life, whether they live in a megacity or in the most rural of villages. We also believe in the power of innovation to make this a reality. Our SuperTower uses the world\xe2\x80\x99s first autonomous aerostat platform to permanently deploy high-speed mobile broadband in rural markets at a fraction of the cost of alternatives. With this new class of communication infrastructure, we aim to help hundreds of millions of people get online for the first time, unlocking untold new opportunities. Learn more here: http://www.altaeros.com/'"
b'Software Developer Engineer in Test',b'Chewy',"b'Boston, MA, US'","b'Our Opportunity\n\nChewy is looking for Software Development Engineers in Test (SDET) based in Boston, MA. In this role, you will help build the automated test infrastructure for one of the fastest growing e-commerce platforms!\n\nWhat You\xe2\x80\x99ll Do\nCreate and review test cases to maximize potential for automated test execution\nImplement programmatic tests at varying scope (unit, component integration, system integration, performance)\nDesign and implement tools and frameworks to simplify test development, including simulators/mocks and data generators\nBuild test infrastructure to fit into our CI platform\nAssess and evaluate new tools and testing methodologies\nProvided peer feedback in design and code reviews\nDesign test automation in one of a variety of software domains: web-based e-commerce and customer service, native iOS and Android applications, financial and accounting systems, warehouse management and supply chain systems\n\n\nWhat You\xe2\x80\x99ll Need\nB.S. in Computer Science, Engineering, or other technical discipline\n5+ years as a Software Development Engineer in Test\nSolid programming experience in one or more object-oriented languages such as Java, , Javascript, Python, or C# (most of our development is in Java, with some other JVM languages)\nExperience with Unit test frameworks or other integration test frameworks (open source or commercial)\nFamiliarity with RDBS and SQL\nUnderstanding of TDD, BDD, and data-driven test practices\nFor UI test automation, experience with Selenium and/or Appium\nPosition may require travel\n\n\nBonus\nKnowledge of Atlassian suite of tools (Jira, Bamboo, Confluence)\nExperience working in Agile teams (Scrum, Kanban)\nFamiliarity with performance, scalability or security/pentest.\nKnowledge of Chaos engineering\nKnowledge of VM test environments and/or cloud-based compute environments\n\nIf you have a disability under the Americans with Disabilities Act or similar law, or you require a religious accommodation, and you wish to discuss potential accommodations related to applying for employment at our company, please contact HR@Chewy.com.\n\nTo access Chewy\xe2\x80\x99s Privacy Policy, which contains information regarding information collected from job applicants and how we use it, please click here: Chewy Privacy Policy (https://www.chewy.com/app/content/privacy).'"
