title,company,location,job description
b'Software Engineer',b'Stenograph',"b'Elmhurst, IL, US'","b'Reporting to and partnering with the Sr. Software Engineer Team Lead and fellow engineers, the Software Engineer\nis an active participant in, and driver of, the company\xe2\x80\x99s product strategy. S/he will help to evaluate, architect, design, code, test, maintain, debug and deploy various software products and tools. As a member of the software development team, the Software Engineer will be personally responsible for products and product decisions which directly impact the company\xe2\x80\x99s reputation and success.\n\nSpecific Responsibilities Include\n\nSoftware Development\nDesign and develop high-quality software applications and architecture\nPerform coding, debugging, testing and troubleshooting throughout the application development process\nAble to code in and adapt code to a number of different computer languages and architectures\nIdentify, prioritize and execute tasks in the software development life cycle\nDevelop tools and applications by timely producing clean, efficient code or processes\nAutomate tasks through appropriate tools and scripting\nPerform validation and verification testing on own and other\xe2\x80\x99s code\nProactively communicate with Team Lead and/or Product Manager regarding the status and potential impacts on the delivery date and/or expected quality of tasks and projects\nActively work with SQA Manager to obtain customer input, resolve issues, debug code, release code and produce technical documentation\nProvide technical guidance and product expertise to Support, Marketing and Operations to quickly resolve any software issues affecting customer productivity and/or company reputation\nFollow established development processes for assigned projects\nQualifications\n\nThe candidate will have at least 5 years of broad software development experience. S/he will ideally have experience developing desktop or embedded applications, being a project leader and delivering projects to production on time.\n\nThe Software Engineer will have the following experience and attributes:\nA minimum of a BS in Computer Science or related field or equivalent experience\nExpert knowledge of developing, maintaining and debugging live software systems\nExpert knowledge of software factors affecting computer performance\nGood knowledge of security and security-related best practices\nGood knowledge of and/or experience with web and cloud technologies\nProficiency in software engineering tools including version control and issue tracking\nAnalytical thinker - able to simplify complex problems, processes or projects into component parts, exploring and evaluating them systematically\nStrategic thinker \xe2\x80\x93 able to identify a vision along with the plans, which need to be implemented to meet the end goal, evaluating situations, decisions and issues in the short and long term\nInfluencing and persuading - able to present sound and well-reasoned arguments to convince others - adapts to the situation and can draw from a range of strategies to persuade people in a way that results in agreement toward a plan or goal\nTeam working - able to build and maintain effective working relationships with a range of people inside and outside the development team and the company'"
b'Software Engineer',b'Grayson Search Partners',b'Greater Chicago Area',"b'I am working with one of the best mid-size financial services firms in Chicago to help them identify and hire a mid or senior-level .NET Developer. This is a full-time, direct-hire role in downtown Chicago with an incredibly stable and successful company.\n\nIn this role, you will be working on a 10-person development team supporting several of the firm\xe2\x80\x99s mission-critical applications. Ideally, you will be the \xe2\x80\x9cowner\xe2\x80\x9d of one of the apps that connects to all the firm\xe2\x80\x99s systems.  This role will be a mixture of\xe2\x80\xa6\nSupporting this major application\nVarious 3rd party integrations and API implementation\nDevelopment of customized .NET applications\nAs one of the application owners, you will be meeting with stake holders, understanding technical and functions requirements and then building those solutions. About 50% of the job is hands-on coding. This is a high-profile role where your input will be appreciated, and your contributions noticed.\n\nThis mid-size, S&P 500 company is incredibly successful, has excellent and acclaimed leadership and has billions in assets. They are also heavily involved in the growing and in-demand healthcare space. They offer a 6-figure salary, strong bonus potential and excellent benefits including:\nGenerous Paid Time Off\nMedical, Dental and Vision plan that is rated as significantly better than the industry average\nTuition Reimbursement\n401(k) plan with company match\nEmployee Stock Purchase Plan (ESPP)\nOther great perks!\n\nTo be considered for the role, you should know or have the following experience:\n5+ years of Microsoft Full-Stack Development\nStrong C# and ASP.NET\nStrong SQL Server\nJavaScript with exposure to various libraries and frameworks\nStrong written and verbal communication skills\nAny of the following would set you apart from the pack:\nExperience with Financial Systems\nExperience with property management software such as Yardi or MRI\nAny Microsoft certifications\n\nI\xe2\x80\x99m working directly with the Manager of Software Development who is doing interviews this week. If this seems interesting and you have the described background, please apply now for a quick reply!'"
b'Software Engineer',b'',"b'Evanston, Illinois, United States'","b""CLOUD ENGINEER (AWS)\nWe seek a Cloud Engineer to join our Cloud Engineering & Operations Team, located in Evanston, IL. As a Cloud Engineer you will be an individual contributor and subject matter expert who maintains and participates in the design and implementation of technology solutions. The engineer will collaborate within a team of technologists to produce enterprise scale solutions for our clients\xe2\x80\x99 needs. This position will be working with the latest Amazon Web Services technologies around cloud architecture, infrastructure automation, and network security.\nResponsibilities:\nEnable resilience and high availability for numerous platforms, from bleeding-edge cloud applications to on-premise legacy environments\nContribute to architectural decisions for full-stack software solutions delivered using industry-leading DevOps best practices and technologies\nImplement HA/DR, security, capacity, and compliance strategies for new and existing applications\nHarden virtual networks, firewalls, load balancers, and virtual machines\nWork with application development teams to select and utilize security tools, mitigate vulnerabilities, devise testing strategies and automate repeatable tasks\nBuild, implement and optimize cloud infrastructure solutions for distributed systems on our existing public cloud or data center\nCollaborate to define best practices and standards around DevOps and service resilience while also building reusable automation libraries / APIs that can be applied across the enterprise\nQualifications:\nBachelor\xe2\x80\x99s degree required with record of high academic achievement, preferably in computer science, information technology or a related discipline master's degree preferred;\n1+ years in an Infrastructure Engineering / Software Engineering / DevOps role, deploying and maintaining multi-tiered application architectures\n1+ years experience with AWS cloud technologies with AWS certification (Solution Architect / DevOps Engineer)\n1+ years experience functioning as a member in a infrastructure/software team\nKnowledge of cloud technologies like AWS or GCP\nExperience functioning as a member in a infrastructure/software team\nExperience building automation using scripting languages like Bash/Powershell/Python\nExperience working and contributing to software applications development/deployment/management processes in a SaaS model\nExperience of delivering quality work on defined tasks with limited oversight\nHands-on experience with AWS services like CloudFormation (or Terraform), CodeBuild, Config, Systems Manager, ServiceCatalog, Lambda, etc.\nFull-stack IT experience with *nix, Windows, network/firewall concepts, source control (BitBucket) and build/dependency management and continuous integration systems (TeamCity, Jenkins)\nStrong analytical, problem-solving, programming ability, Initiative and drive to contribute\nPossess strong verbal, written and team presentation communication skills. ZS is a global firm; fluency in English is required\nThis role requires healthy doses of initiative and the ability to remain flexible and responsive in a very dynamic environment\nAbility to work in global cross-office teams\nAbility to quickly learn new platforms, languages, tools, and techniques as needed to meet project requirements."""
b'Software Engineer Associate',b'Northwestern University',"b'Chicago, IL, US'","b""Department: MED-Preventive Medicine\nSalary/Grade: ITS/76\n\nJob Summary\n\nCompletes maintenance on existing software products. Assists in developing code, tests and debugging new software or making enhancements to existing software. Writes programs according to specifications from senior staff. Perform basic system integration tasks.\n\nSpecific Responsibilities\n\nStrategic Planning\nCollaborates with user to develop work flow and best practices.\nAssists in all stages of the project development, starting from the initial planning stages.\nAdministration\nResponds to inquiries via phone, online, in-person, etc.\nCreates and maintains software/process/support documentation.\nRoutes more complex requests for features/upgrades/changes to appropriate senior staff/management.\nParticipates in team/project meetings.\nIdentifies database and software performance issues and makes adjustments.\nDevelopment\nAssists with design, development, and maintenance.\nBuilds, tests and debugs software.\nWrites programs according to specifications from senior staff.\nCodes software applications adhering to designs that support internal business requirements or external user.\nCompetes tier 3 troubleshooting.\nDevelops reports.\nPrioritizes assigned tasks.\nOpens help tickets with vendors.\nPerforms code review and code checking\nDevelopment of software tools and programs\nExpert in Python and other programming languages\n\nPerformance\nExcellent communication skills, and code documentation\nMiscellaneous\nPerforms other duties as assigned.\n\nMinimum Qualifications\nSuccessful completion of a full 4-year course of study in an accredited college or university leading to a bachelor's or higher degree in a major such as computer science, information technology, or related; OR appropriate combination of education and experience.\nNo experience required.\nAmazon Web Services (AWS)\nPython\nSQL/MySQL/Postgres\n\n\nPreferred Qualifications\nFour year education or equivalent experience in computer science and/or software programming\nPreferred Competencies: (Skills, knowledge, and abilities)\nBuilds software (python)\nHas setup a backend database system\nKnows how to interact and communicate with people\nCan develop in other programming languages as well\nFast learner\nOrganize code meetings\nDevelop, test, and build software\n\nNorthwestern University is an Equal Opportunity, Affirmative Action Employer of all protected classes, including veterans and individuals with disabilities. Women, racial and ethnic minorities, individuals with disabilities, and veterans are encouraged to apply. Hiring is contingent upon eligibility to work in the United States."""
b'Software Engineer',b'Foundation Software Group',b'Greater Chicago Area',"b'We have a great product and are looking to expand our development team! As a Software Engineer on the team, you will be responsible for designing and implementing a modern application on the Microsoft Azure platform using programming languages such as C#, JavaScript/TypeScript, HTML, CSS and SQL. You will be a key member of a growing team with an entrepreneurial spirit and a \xe2\x80\x9ccan do\xe2\x80\x9d attitude.\n\nResponsibilities\nBe independent, innovative, collaborative, and creative\nHave a passion for building products with excellent user experiences through continuous improvement\nDevelop the end-to-end code, unit tests and testing strategies from the ground up\nHelp translate customer requirements into feature ideas and designs\nActively engage other developers and designers in planning, designing and building a best of breed solution\nStay up to date on new and emerging technologies such as search engine technologies, machine learning and web socket communication patterns\nProvide estimates on project work and communicate adjustments to estimates/plans as the development cycle progresses\nAbility to adjust priorities, decisions, and actions to respond to multiple demands, unanticipated events, and new information daily\nHighly organized, with great attention to detail\nAbility to multi-task and manage multiple issues/projects in a fast-paced environment\nFlexibility to jump in to assist the team in whatever capacity may be required during crunch times\nPerform other duties as assigned\n\nQualifications\nBS degree in Computer Science, Computer Information Systems, or Engineering\n4+ years of software development or test experience with excellent C# and JavaScript coding skills\n.NET framework and object-oriented development in Microsoft Visual Studio\nWorking with SPA (Single Page Application) frameworks such as Durandal, Angular, or knockout.js\nMicrosoft Azure or cloud computing experience\nExperience with the following technologies: ASP.NET Core, Web API, SQL Server\nStrong troubleshooting and debugging skills\n2+ years of SQL or Entity Framework experience\nOptional, but preferable skills: Microsoft Service Fabric, Lucene, TypeScript, TFS (Azure DevOps) and automated build and deployment processes.\nClearance of standard background check prior to employment with candidate consent.\n\nWork Environment\nDynamic, energetic start-up company\nWork from home\nCompetitive comp based on experience level\nHealth Benefits and Health Savings Accounts\nStock Options and 401K'"
b'Software Engineer I',b'American Medical Association',"b'Chicago, IL, US'","b""Software Engineer I\nChicago, IL\n\nThe American Medical Association (AMA), a nonprofit, is the nation's largest professional Association of physicians. We are a unifying voice and powerful ally for America's physicians, the patients they care for, and the promise of a healthier nation. To be part of the AMA is to be part of our Mission to promote the art and science of medicine and the betterment of public health.\n\nAs an employer, we are dedicated to many efforts, including employee learning and development, social responsibility, diversity and inclusion and wellness. Our well-defined culture has strongly impacted the prosperity of our organization. Our foundational values of Respect, Integrity, Innovation, Impact, Collaboration, Agility and Trust are at the core of our efforts and continue to shape the success of the AMA.\n\nWe have an opportunity at our headquarters in Chicago for a Software Engineer I on our Information Technology team. As part of this team you will be responsible for analyzing, developing and unit testing software solutions (minimal complexity) for business problems.Develop, configure, unit test, implement, upgrade, document, maintain, enhance and support various software systems. Conducts tasks and assignments as directed under moderate supervision\n\nEssential Functions/Responsibilities\nWork with the designated manager to provide operational system support. Participate in \xe2\x80\x9cbreak-fix\xe2\x80\x9d issue resolution. Assist proper validation with end users to ensure system issue resolution.\nParticipate in system development life cycle for maintenance and enhancements as well as new solutions; including requirements analysis, design and work estimation activities. In addition, some projects may require a more iterative approach to software development depending on the methodology being utilized.Develop exceptional software solutions to specified end user business requirements, user stories and complete unit testing for all software development.\nParticipate in technology renewal activities such as applying new software upgrades, patches and completion of any required programming, testing and improvements.\nReport project status regularly to project manager. Proactively raise concerns, issues and risks regarding assignments to management in a timely manner. Share intellectual knowledge, learn and understand existing application systems, and participate in cross training with other team members.\nMay include other responsibilities as assigned\nRequirements\nBS or BA degree in computer science or related field or equivalent experience is required.\n1 to 3 years\xe2\x80\x99 experience with software development and/or analysis in applicable information systems tools and technology. Broad technical skills necessary, with a solid understanding of internet/intranet technology and how back-end components interact with middle-tier/front-end.\nUnderstanding of XML, JSON, XQuery, Java, Relational Database and NOSQL technology is preferred.\nKnowledge of Angular, React, NodeJS and Docker is a plus.\nExperience with version control software and source code repositories such as GitHub or Bitbucket a plus.\nAbility to develop, debug, data analysis, problem analysis, resolve issues, and unit test within web-based application. Knowledge and understanding of the concepts and techniques of object-oriented design development is desirable. Requires some support and guidance in some areas.\nAbility to work well with people from many different disciplines with varying degrees of technical experience and varying levels within the organization. Demonstrated ability to work well within a team of software engineers on project tasks.\nAbility to demonstrate effective problem-solving capabilities required.\nAbility to work effectively within a team while being considerate with other team members required.Experience with collaboration tools such as SharePoint, Slack and Microsoft Teams a plus.\nExperience with more agile based or iterative software development methodologies a plus.\nAbility to effectively create unit test plan and ability to effectively unit test application development enhancements.\nAbility to express technical concepts effectively verbally and in writing.\nAbility to travel occasionally, work long hours and meet with vendors and mid-level business leaders.\nThe AMA offers competitive salaries, including an incentive plan; excellent benefits and progressive technology. Our office is a business casual environment and we respect work-life balance. The American Medical Association is located at 330 N. Wabash Avenue, Chicago, IL 60611 and is convenient to all public transportation in Chicago.\n\nWe are an equal opportunity employer, committed to diversity in our workforce. All qualified applicants will receive consideration for employment. As an EOE/AA employer, the American Medical Association will not discriminate in its employment practices due to an applicant\xe2\x80\x99s race, color, religion, sex, age, national origin, sexual orientation, gender identity and veteran or disability status.\n\nTHE AMA IS COMMITTED TO IMPROVING THE HEALTH OF THE NATION"""
b'Software Engineer',b'BrightHive',"b'Chicago, IL, US'","b""BrightHive is an impact-drive company that uses Data Trusts to transform the way people collaborate using data. We build and support open source, interoperable infrastructure that empowers organizations, networks, and communities to securely share data and to build interventions that directly impact the lives of individuals.\n\nWe Currently Support\nLabor market data to better connect individuals to the training needed for employment; to better connect individuals to the services that can help place them in best-fit careers\nK-12 education data across districts, regions and states to enhance informed decision-making, resource allocation, and individual access to education data.\nWe are looking for a Software Engineer with DevOps experience:\n\nAs a Software Engineer, you will own the delivery and deployment of modular, componentized data engineering tools which comprise our Data Trust platform. BrightHive engineers handle a variety of tasks (including, data engineering, data service, frontend development), but each team member also brings a particular strength. For this role, BrightHive seeks an individual with strong skills in DevOps. This role reports to our VP of Engineering. It does not involve management of other engineers, but does involve support and mentorship of other members.\n\nResponsibilities\nParticipate in the development, integration and iterative improvement of components of BrightHive's Data Trust platform, with a focus on designing and implementing repeatable and robust deployment and operations patterns that can be emulated by our partner organizations.\nCommunicate clearly with multiple constituencies, soliciting and digesting feedback from users both technical and non-technical, and both internal and external.\nEnsure that deployed code meets high standards of security and quality.\nSupport establishment of BrightHive's technical standards and processes, including developing style guides, code quality patterns, and test writing guidelines for our product suite.\nBuild and maintain some subject matter expertise in Workforce Development, Higher Education, and/or Early Education, including but not limited to commonly used data standards, data regulations, and the software vendor ecosystem.\nApproximately 10% of time allotted for travel.\n\nRequired Skills And Experience\nThree or more years of experience as a software engineer\nExperience with Terraform, Kubernetes, and related tools\nExperience with shell scripting, Chef/Puppet, etc.\nExperience with two or more CI/CD tools or platforms\nExperience with managing cloud deployments (particularly on AWS)\nSQL, ideally PostgreSQL\nPython, Flask\nOpenAPI/swagger\nGit/GitHub\nAbility to manage two or more concurrent projects\n\nDesired Skills And Experience\nExperience working as a member of a remote engineering team\nWorking with data subject to data security and privacy regulations\nExperience with Javascript and front-end development frameworks\nAutomated test design and test writing\nExperience with Workforce Development in the United States, in particular the Workforce Innovation and Opportunity Act of 2014.\nDemonstrated interest in open source software projects (please include GitHub links if applicable)\nAWS and/or GCP certification\nExperience developing and deploying software for governments.\nStart date: 1 April 2020\n\nLocation: Remote; with a preference for Chicago, IL.\n\nSalary: Competitive\n\nBenefits: Competitive\n\nAbout BrightHive\n\nA BrightHive Data Trust is a legal, technical, and ongoing governance framework that empowers organizations, networks, and communities to securely and ethically combine their data sources and work collaboratively toward shared outcomes. By creating combined data resources, organizations can more fully measure their impact, evaluate new questions, and respond to the current and future information needs of their organization, network, and community.\n\nThe BrightHive Data Trust framework is a repeatable set of protocols and processes that are matched to the goals and information needs of the collaborative group and its individual members. These processes may include setting and enforcing permissions for other members to access portions of other members' data, creating and accessing combined data resources, identifying and approving responsible and ethical uses and users of the data resources, and defining a common set of data interchange standards and protocols.\n\nIn keeping with our beliefs and goals, no employee or applicant will face discrimination or harassment based on: race, color, ancestry, national origin, religion, age, gender, marital domestic partner status, sexual orientation, gender identity, disability status, or veteran status.\n\nBrightHive will consider for employment qualified applicants with arrest and conviction records.\n\nrDccQLvtqT"""
b'Software Engineer',b'Central Garden & Pet',"b'Schaumburg, IL, US'","b'Join Us! We are looking for a software engineer who can help us reach e-commerce excellence! Join our growing team and help us build out e-commerce sites for our portfolio of pet and garden brands.\n\nWho We Are: Central Garden & Pet Company (NASDAQ:CENT and CENTA) has a portfolio of leading brands in the pet supplies and lawn and garden industries. Central\xe2\x80\x99s brands are consistently recognized for innovation and quality. We have over $2.2 billion in annual sales across our brands which include well-known brands like Amdro, Aqueon, Farnam, Kaytee, Nylabone, Pennington, Sevin, and Starbar.\n\nWho You Are: You are a software engineer with experience in all layers of the stack. While you may rely on other people for the UI design, you have proven your ability to build complex and interactive components that power the user experience. You enjoy delivering large projects and are eager to impact the company\xe2\x80\x99s bottom line. You know your way around a database and can setup tables, queries, and other database elements to support your development. You enjoy sharing your knowledge with others as well as learning from them.\n\nWhat We Have to Offer: Our office is located just a block from the Pleasant Hill Bart Station and is near great restaurants and the Iron Horse Trail, with a short drive to downtown Walnut Creek. Corporate office employees enjoy a free fitness center, free parking, product discounts, discounted membership at Club Sport and an amazing educational assistance program in addition to great medical, dental, vision, life and disability insurance. Please see our website at www.central.com for additional company information.\n\nIf you are excited to take the next step in your career, please apply! We look forward to hearing from you!\n\nMEASURES OF SUCCESS\n\nImplement new features on ecommerce, API, and branding websites and support those features through development, QA, rollout, and post-production.\nDebug through the whole technology stack from JavaScript to IIS to SQL to support and fix existing websites and features.\nIntegrate with systems across the enterprise as well as third party applications. Work with other departments as well as third party consultants to develop and implement scalable and robust solutions.\nAnalyze performance of applications and investigate and troubleshoot problems. Work with users, software vendors, service providers, or system owners to determine causes and correct deficiencies based on findings\nWork with the IT Operations team to provide Dev Ops support of websites and custom applications across Development, QA, and Production environments in both cloud and on- premise.\n\nIDEAL CANDIDATE ATTRIBUTES\n\nBS/BA in computer science or equivalent experience\n3-7 years of professional software development experience\nExperience with .Net, JavaScript, SQL\nExperience working on an e-commerce site and supporting SLA\xe2\x80\x99s\nExperience building scalable customer facing applications\nExperience with Dev Ops teams that own the full engineering lifecycle\nExperience analyzing application and cloud environment performance\nThe ability to work in a constant state of alertness and in a safe manner\nExperience working with development teams to realize solutions on top of existing platform\n\nWORK ENVIRONMENT\n\nThis position is based in a quiet, professional, corporate office environment. This position requires the frequent use of a computer; much work time is spent sitting.\n\nWe are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, sexual orientation, gender identity, or any other characteristic protected by law.\n\nAll successful applicants should expect to undergo a screening for prohibited levels of drugs prior to beginning employment.'"
b'Software Engineer',b'Epic',"b'Chicago, IL, US'","b""TL;DR\n\nHigh-impact software development jobs for smart people.\n\nCode that saves lives.\n\nAs a software developer at Epic, you\xe2\x80\x99ll write software that impacts the lives of 75% of Americans and 250 million patients around the world. Working in your own office, surrounded by thousands of high-caliber developers, you\xe2\x80\x99ll use modern development methodologies and employ user-centered design, analytics, and machine learning tools to drive innovation in healthcare. Using leading-edge technologies and languages like JS, TS, and C#, you\xe2\x80\x99ll invent better ways to reduce medical errors, streamline record sharing between hospitals, and provide the quality of care a patient deserves.\n\nWrite software for the most innovative health systems on the planet.\n\nAll the Top 20 health systems in U.S. News and World Report are Epic customers. Our community includes major systems like the Mayo Clinic, Johns Hopkins, Cleveland Clinic, and Kaiser Permanente, as well as leading academic medical centers at the University of Wisconsin, University of Michigan, University of California, University of Texas, The Ohio State University, and many more.\n\nWork in your own office, eat delicious food, and travel the world.\n\nWe don\xe2\x80\x99t believe in cubicles. (Well, we believe they exist, but\xe2\x80\xa6) You will work in an individual office that will heighten your ability to get stuff done. For lunch, visit King\xe2\x80\x99s Cross or Cassiopeia for a wide array of meal options, or go to one of our smaller, themed bistros, featuring wood-rotisserie, pan-Asian, and Latin-inspired cuisine. All meals are restaurant-quality but cost only a few dollars, and they\xe2\x80\x99re prepared by a team comprised of kitchen talent from restaurants around the country. And, after five years here, you\xe2\x80\x99ll earn a four-week sabbatical anywhere in the world. Staff have kayaked in Patagonia, attended a Beyonc\xc3\xa9 concert in Ireland, built a library in Tanzania, and run a marathon in Antarctica.\n\nLive affordably in a city known for its rising tech talent.\n\nEpic is located just outside Madison, Wisconsin the second fastest growing market for tech talent in the United States and home to the state capital and the University of Wisconsin. Madison, a city surrounded by water, has received accolades for being the greenest city in America (NerdWallet), the best city for renters (SmartAsset), fittest city in America (Fitbit), and, for the gamers, is one of a handful of US cities to have a Killer Queen arcade game, located at Madison\xe2\x80\x99s first arcade bar.\n\nMore than just important work.\n\nWe offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity/Affirmative Action (W/M/Vets/Disability) employer. Please see our full non-discrimination statement at https //careers.epic.com/EEO.\n\nRequirements\n\nOpen to relocation to the Madison, WI area (we will bring you here to explore the city for yourself)\nBS/BA or greater in Computer Science, Mathematics, Software Engineering, Computer Engineering, or a related field\nA history of academic excellence or professional success\nEligible to work in the United States without visa sponsorship (persons with appropriate qualifications and eligible for TN status under NAFTA may apply)"""
b'Junior Software Engineer',b'Ubiquiti Inc.',"b'Barrington, IL, US'","b""Ubiquiti Inc. currently focuses on 3 main technologies: high-capacity distributed Internet access, unified information technology, and next-gen consumer electronics for home and personal use. The majority of the company's resources consist of entrepreneurial and de-centralized R & D teams. Ubiquiti does not employ a traditional direct sales force, but instead drives brand awareness largely through the company's user community where customers can interface directly with R & D, marketing, and support. With over 70 million devices shipped in over 200 countries and territories in the world, Ubiquiti aims to connect everyone to everything, everywhere. Ubiquiti was founded by former Apple engineer Robert Pera in 2005. More insight about the company management can be found at .\n\nJunior Software Engineer\n\nBarrington, IL\nFull Time\nResearch and Development\nEntry Level Share\n\nSummary Of Responsibilities\n\nThe Junior Software Engineer is an entry level role and will work with the Research and Development team designing, implementing, testing, and integrating real-time, multitasking software. The candidate will work with Senior Software and Hardware Engineers to collaborate in the design and development of world-class wireless and wired communications equipment product platforms.\n\nSoftware Languages\n\nProficiency in C and Python and bash scripting\nUnderstanding of sed, awk and assembly a plus\n\nTools\n\nExperience with software configuration and management tool such as Git, Bitbucket, Jira, and Jenkins\nUnderstanding of software build tools and environments such as GNU Make and Docker\n\nSkills\n\nNew hardware platform bring-up\nHardware driver development\nEmbedded linux development\nLinux kernels\n\nKey Functions\n\nDevelop and test embedded software and associated components for wireless communications products.\nDevelopment can consist of linux kernel, Factory Test Software, embedded software applications and related areas using C and Python as the primary programming language.\nAbility to work well in a small cross-functional team setting\nStrong analytical, problem-solving, and critical-thinking skills\nSelf-motivated and willing to learn new technology and techniques\nOutstanding mindset for collaboration and communication\nStrong verbal and written communications skills\nUnderstanding of TCP/IP Networking Concepts\nHardware bring up experience is a plus.\n\nExperience\n\nBS/MS in Software Engineering, Electrical Engineering, Computer Engineering, Computer Science or related technical discipline\nExperience working with Linux device drivers and kernels\nUnderstanding of UART, I2C, USB, Ethernet, and SPI interfaces\nUnderstanding of operating system concepts, embedded software development environment and tools for real-time embedded operating systems (RTOS), such as Embedded Linux, VxWorks or FreeRTOS\nExperience with software version control and release using Git\nDemonstrated attention to detail and ability to analyze complex interdependent variables\nHardware Driver and hardware debugging exposure a plus\nExperience working with RF device drivers a plus\nExposure to embedded system architectures, development environments and debugging a plus."""
