title,company,location,job description
b'Senior Software Engineer',"b'CivicMinds, Inc'","b'Boulder, Colorado, United States'","b'Job Title: Senior Software Engineer\nLocation: Boulder, Colorado\nDuration: Long Term Contract\n\nJob Description:\nQualifications\nYou relish working full-stack and avoid getting pigeonholed. At Sensory, when we say full-stack that includes implementing C++ biometrics APIs, showing them off with Android Java camera/microphone UI code and running tests in Python.\nMinimum 5 yrs experiences in Computer Science (post graduation).\nThis role includes some degree of IT-related systems maintenance (continuous integration, office IT, server room maintenance) as well as pure software development (C/C++, Python, Java, Objective-C, Swift, etc.).\nThe best candidate for such a role should be able to debug and write complex code, communicate well with others, and take initiative while working semi-independently.\nYou will be working on a wide variety of platforms (Mac OS X, Windows, Linux) and you relish the opportunity to move back and forth.\nYou have a strong understanding of high level languages \xe2\x80\x93 C++ would be a great start, while Java, Objective-C, Python or others are helpful.\nYou aren\xe2\x80\x99t afraid of continuous integration tooling such as Gitlab CI, Docker, Vagrant, and VirtualBox and enjoy challenges of cross-platform software development.\nYou understand the challenges that go with creating a real product that will be used by consumers.\nYou\xe2\x80\x99ve worked in team environments before, and you appreciate the value that a team-based approach brings to solving complex problems.\nYou understand the software development process and the tools that are typically used, and care not only about the code that is written but also the process by which we get there.'"
b'Senior Software Engineer',b'Artifact Uprising\xc2\xae',"b'Denver, Colorado'","b""Denver, CO - Artifact Uprising is seeking an energetic and self-driven, senior software engineer who will play a critical role in building a platform that will enable us to drive growth and innovation. We are a tight-knit, collaborative team, passionate about programming, technologies and developing solutions to delight and inspire Artifact Uprising customers. \n\nThis is an exciting opportunity to join a cross functional team dedicated to building and maintaining some of Artifact Uprising's most visible and valued projects. You understand the importance of being both a good mentor and teacher with a deep desire to always be learning new skills. You have a proven track record of leading quality solutions from idea to production.\n\nThe Day to Day\nDevelop new features and architectures for the AU platform, including APIs and services\nCreate delightful user experiences leveraging React and additional front end technologies\nUsing your knowledge of industry trends to build new product offerings and enhance existing products and tools\nMentor engineers through code reviews, training, and design sessions\nCreate and maintain robust automated unit/functional test suites and deployment scripts\nContinually work to improve engineering tools and processes\n\nQualifications\n5+ years experience working on teams with Agile & Lean methodologies\nLanguages/Tools: Kubernetes, Docker, Rancher, Serverless Framework, Magento, React, Java, Go, MySql, PHP, Typescript, Redis, AWS, Git and experience with OAuth and RESTful APIs\nAbility to use alerting and monitoring solutions to proactively identify and resolve issues\nAbility to lead projects from start to finish\nExperience with e-commerce is strongly desired\nBS in Computer Science, or equivalent experience\n\n\nArtifact Uprising\xc2\xae is a Colorado-based company that creates premium quality, customizable photo goods for your digital photos. Driven by the belief that everyone has a story to tell, the company is known for elevated design and thoughtfully sourced materials. Signature products include the Layflat Album touting ultra-thick pages and foil-stamped covers, textured matte Everyday Prints, and a line of customizable frames.\n\nJob Perks\nHealth, vision and dental insurance for families, flexible vacation policy, gym reimbursement, 401(k) matching and commuter benefits.\n\nWhy Artifact Uprising?\n\nCreative Freedom\nWe value the creative process and look to our employees to speak into Artifact Uprising products, identity and approach \xe2\x80\x93 regardless of position or title. We look for driven people who demonstrate initiative to take the company to the next level.\n\nThe Working Life\nWe strive to create a workplace where everyone works hard but also has the flexibility and balance to enjoy life outside of the office.\n\nIt Won\xe2\x80\x99t Be Boring\nWe are a small company with big ideas - and we recognize it will take every last one of us to reinvent the way brands approach business. We believe a good workplace empowers its team to rise to new challenges, expand their skill sets and think outside of the box. Through this, we foster a company culture that is always growing, always reaching, and always looking to see things differently.\n\nInterested in this position?\nTell us why you want to work at Artifact Uprising and what we should know about you."""
"b'Experience, Software Engineer'",b'Boeing',"b'Aurora, CO, US'","b""At Boeing, we are all innovators on a mission to connect, protect, explore and inspire. From the seabed to outer space, you\xe2\x80\x99ll learn and grow, contributing to work that shapes the world. Find your future with us.\n\nBoeing Government Satellites' Experimental Systems Group (ESG) has an opportunity for a Senior Software Engineer (Level 4) to support state-of-the-art satellite systems analysis tasks in Aurora, CO.\n\nThis position is located in Aurora, COand is in a location that offers relocation based on candidate eligibility.\n\nPrimary Responsibilities\nSenior software engineer to develop tools and perform database integration for the Experimental Systems Group.\nLeads activities to develop, document and maintain architectures, requirements, algorithms, interfaces and designs for software systems.\nLeads development of code and integration of complex software components into a fully functional software system.\nLeads development, selection, tailoring and deployment of processes, tools and metrics.\nPlans, executes and documents software research and development projects.\nServes as a subject matter expert for software domains, system-specific issues, processes and regulations.\nWorks under minimal direction.\n\nAt Boeing, we are all innovators on a mission to connect, protect, explore and inspire. From the sea bed to outer space, you\xe2\x80\x99ll learn and grow, contributing to work that shapes the world. Find your future with us.\n\nTypical Education & Experience\n\nEducation/experience typically acquired through advanced technical education from an accredited course of study in engineering, computer science, mathematics, physics or chemistry (e.g. Bachelor) and typically 9 or more years' related work experience or an equivalent combination of technical education and experience (e.g. PhD+4 years' related work experience, Master+7 years' related work experience). In the USA, ABET accreditation is the preferred, although not required, accreditation standard.\n\nBasic Qualifications Required\n\nThis position requires an active SSBI, U.S. Security Clearance, for which the U.S. Government requires U.S. Citizenship. (A U.S. Security Clearance that has been active in the past 24 months is considered active)\n5+ years of development experience using Java\nExperience with the full life cycle process of software systems and development.\nExperience developing and managing processes and databases.\n\nPreferred Qualifications\nExperience developing, documenting and maintaining architectures, requirements, algorithms, interfaces and designs for software systems.\nExperience using SQL database administrator (DBA).\nExperience with Configuration Management tools and processes.\n\nBoeing is a Drug Free Workplace where post offer applicants and employees are subject to testing for marijuana, cocaine, opioids, amphetamines, PCP, and alcohol when criteria is met as outlined in our policies."""
b'Junior Software Engineer',b'mthree',"b'Denver, Colorado, United States'","b""mthree Aspire Scholarship - USA\n\nThe mthree Aspire Scholarship is a 12-week on-line training bootcamp that equips you with the skills you need to be a Full-Stack Java Developer. After the training, we'll then work to place you on-site at one of our clients in a full-time paid role.\n\nYou\xe2\x80\x99ve worked hard, put the hours in and sacrificed your social life only to be met by a job market where many companies are in a hiring lockdown. While these are uncertain times, they are temporary and will likely result in an even greater demand for ambitious junior technologists who can help organizations rebound by driving innovation and growth.\nWe\xe2\x80\x99re giving you the opportunity to be part of that growth by learning the skills required to secure a role through our Alumni graduate program. The mthree Aspire scholarship offers 12 weeks of practical on-line training and unique access to careers at one of our blue-chip clients.\n\n12 weeks of on-line training\nFrom the comfort of your own home, you\xe2\x80\x99ll start training through interactive webinars with our expert instructors as well as individual study and group projects with other trainees. Over the course, you'll learn how to design, develop, and test a full-stack Java application in a corporate technology environment.\n\nCore Java OOP and Data Driven Web Applications\n\xc2\xb7         Java    \n\xc2\xb7         Spring  \n\xc2\xb7         HTML  \n\xc2\xb7         CSS      \n\xc2\xb7         JavaScript        \n\xc2\xb7         jQuery\n\xc2\xb7         MySQL\nYou\xe2\x80\x99ll also learn the softer skills that are essential to succeed in a corporate environment, from relevant industry knowledge and professional skills to how to apply your existing skills in the commercial world.\nStart your career at a global organisation\nAt the end of the training, mthree will work to place you at one of our clients across the US via our Alumni Graduate Program:\n\xc2\xb7         A 24-month program where you\xe2\x80\x99re employed by mthree but work on-site with one of our blue-chip clients from global investment banks to fin-techs\n\xc2\xb7         Receive salary increases every 6 months, ongoing support, and a calendar of social events        \n\xc2\xb7         After the program, you can either convert to a permanent employee, progress to an Alumni Pro, or continue your career elsewhere.\nKey benefits\n\xc2\xb7         12 weeks of interactive online training with a value of $10,000  \n\xc2\xb7         The opportunity to learn from tech experts with decades of experience  \n\xc2\xb7         Access to incredible technology careers at global blue-chip enterprises\nRequirements\nYou need to fit all the requirements below to be able to apply to the Scholarship:\n\xc2\xb7         Computer Science or STEM degree with some coding experience          \n\xc2\xb7         2019 or 2020 Graduate\n\xc2\xb7         Available to train for 12 weeks, Monday-Friday, 8:30-5:30, start dates throughout May, June and July    \n\xc2\xb7         Basic IT set-up: Laptop/PC, Webcam, microphone, reliable Wi-Fi\nLet\xe2\x80\x99s get started\nTo learn more, click apply now and complete your application (takes 5 mins).\nIf you meet the requirements above, a member of our talent team will be in touch to talk you through all the details and provide the terms and conditions."""
b'Software Engineer',b'RemyCorporation',"b'Denver, Colorado'","b'This is a 12 month contract with our client in South Denver, must be a GC holder or Citizen. No 3rd parties please. \n\n303-531-2922 really prefer someone here in Denver \nrachel@remycorp.com \n\nThey key for these software engineers if that they have experience with \xe2\x80\xa2 developing software that controls mechanical hardware (e.g. Valves, actuators, regulators, heaters, hydraulics, pumps) autonomously and/or manually via GUI.\n\xe2\x80\xa2 Unix-based operating systems\n\xe2\x80\xa2 Experience with object-oriented designs and languages \xe2\x80\xa2 Experience with C++ \xe2\x80\xa2 Experience with Software Configuration Management practices and tools such as Git \xe2\x80\xa2 Experience with software development practices including:\no Continuous Integration/Continuous Delivery (CI/CD) o Agile Methodologies o Test Driven Development (TDD) o Design Principles\n   '"
b'Jr Software Engineer',"b'Frontdoor, Inc.'","b'Denver, CO, US'","b'Engineering\n\nWhat is this role about?\n\nIn this key role, our software development philosophy is that Software Engineers are product focused. As a Software Engineer L2 , you will work on a specific product and understand all layers of the software stack, as well as be responsible for documentation, automated tests, and writing the code itself for problem solving for routine and basic software programs.\n\nWhat does a \xe2\x80\x9cDay-in-the-Life\xe2\x80\x9d look like?\n\nYou will be involved with debugging, working with algorithms, and data structures, coding, design, system performance scaling, and problem-solving while applying principles, theories, and concepts to job assignments. You will be working through system performance/scaling concepts and participation in projects.\n\nHere are a few more specifics of what you would be doing on the job:\n\nWriting documentation and automated tests for code to be written. Implementing functionality for automated tests that will successfully pass and meet coding standards. Debugging production issues and creating subsequent mitigation plans. Optimizing performance of existing implementations.\nDebugging issues, recognizing the causes of issues, and tackling reproducible issues using query language and scripting.\nSelecting optimal data structures using fundamental software algorithms and concepts of space and time complexity.\nFixing easily reproducible bugs, building new and straightforward features, writing unit tests for code coverage, and spotting bottlenecks through the ability to read and understand others\xe2\x80\x99 code.\nImplementing code based on common design patterns.\nDetermining correct algorithms based on input size and frequency using basic concepts of algorithms and Big-O Notation.\nPrioritizing tasks with Scrummaster that leads your team to be successful.\nBringing forward your ideas to experiment and work in teams to transform ideas to reality\nWhat do I need to be successful?\n\nBachelor\xe2\x80\x99s degree in Computer Science, Electrical Engineering, or related field required. Master\xe2\x80\x99s degree preferred.\n0-3 years product development experience\nYou have a basic understanding of computer science fundamentals, such as data structures, (trees, graphs, hash tables); basic understanding of functioning and implementation of basic algorithms, such as sorts, searching, and the capability to explain performance characteristics using Big-O Notations.\nYou have the capability to debug basic problems and analyze logs in production systems and to read basic existing code.\nYou understand various data storage options, such as relational, no-SQL, etc.\nYou have basic scripting skills in Shell, Python, or Ruby\nYou have basic skills in languages, such as C, C++, Java, Golang, .net Core\nKnowledge of Requirement Management, Agile Development, Test Process, Code Management, and Deployment\nAbility to be on call on a rotating basis for the services owned by the team.\nPreferred :\nYou have experience in developing products in an Agile development environment\nYou have experience working in a CI/CD environment\nYou understand Git and development activities such as merge and conflict resolution of code\nYou understand and have experience in Docker, Kubernets, and AWS cloud services'"
b'Software Engineer',b'Snapdocs',"b'Denver, CO, US'","b""Hello Denver! We are excited to be here!\n\nSnapdocs is expanding & hiring for our first Denver Engineering team members. If you\xe2\x80\x99re excited by the idea of joining the founding team responsible for backend development, playing an instrumental role in building and shaping the Denver office culture for a fast-growth startup then you should check out this role.\n\nWe're a small team tackling the absolutely massive mortgage market. We're bringing modern, elegant software to a field that still relies on fax machines and manila envelopes. We bring security, efficiency and joy to a paper-based pillar of the US economy.\n\nSnapdocs is an early-stage, rapidly growing company backed by investors like Sequoia, F-Prime Capital, SV Angel, and YCombinator looking for an empathetic Software Engineer to build the next generation of our products. Are you interested in growing your skills while bringing an industry into the future? Then we have a role for you.\n\nThe type of problems we focus on involve workflow, product design, and data. Monolith vs microservice is an ongoing debate. We are working to find a good authentication pattern that allows for people to work across companies in multiple roles (which is trickier than you might think!). Domain Driven Design is our guiding light.\n\nWe trust our team members to make smart decisions. This means we value both independent work as well as collaboration. We're becoming ubiquitous in one segment of the market and now we're looking to hire another core engineer to help us scale our platform.\n\nAs a Software Engineer you will play a central role in building a quality digital close platform that our partners can trust and use. We build high-volume, low-latency applications for mission-critical business systems that enable our users to streamline workflows. You will design, build, and maintain APIs, services, and distributed systems. In addition to contributing to core services, you will contribute to debugging production issues across services, participate in code reviews and arch specs.Your day to day interactions span product and engineering teams to release at a high velocity in all phases of the SDLC. We have a small team so your contributions will have huge impact.\n\nHere is where you come in. Upon completing your BS/BA Computer Science, you joined the industry ready to apply your knowledge to a growing business. Now it's time to dive into the startup world and apply your talents to solve real world problems. Over the past 3+ years you have mastered object-oriented programming with at least one of these Ruby, Go, Scala, Java etc. Your recent years in the trenches enable you to work at scale with complex distributed systems & relational databases (PostgreSQL, MySQL, etc) effectively. Today our team is working in Ruby on Rails, React, Postgres, AWS, Docker, & Kubernetes to name a few but things change quickly so be comfortable learning new tools. We take a pragmatic approach to programming language experience and believe languages can be learned so don't get too hung up if you have not worked with our tools. Hopefully learning new tools & a new language is something you are eager to do.\n\nSnapdocs\xe2\x80\x99 culture is one that strongly values diversity and drive. We want to work with people of different backgrounds and different paths in life, and we trust our team members to make smart decisions. We value independent work as well as collaboration. Snapdocs provides a range of excellent benefits ranging from the standard stuff: matching 401(k), free lunches, and 21 days PTO to the not so standard\xe2\x80\x94like a 10 year exercise window on your options."""
b'Software Engineer',b'GeoLogics Corporation',b'Denver Metropolitan Area',"b'Java/C++ Developer with the following key requirements:\n*Top Secret DOD Clearance - SSBI Level Required\n*6 years SW Development with Object Oriented Design, Java and C++\n*Experience with proposals, change requests and review boards\n*Developing within defined Architecture '"
"b'Backend Software Engineer, Boulder, CO'",b'Verily Life Sciences',"b'Boulder, CO, US'","b'Description\n\nVerily, an Alphabet company, lives at the intersection of technology, data science and healthcare. Our mission is to make the world\xe2\x80\x99s health data useful so that people enjoy longer and healthier lives. We are developing tools and devices to collect, organize and activate health data, and creating interventions to prevent and manage disease.\n\nThe Data Infrastructure team aims to assist Verily\xe2\x80\x99s software teams with the complexities of managing digitized health information. We want to simplify the deployment of ETL pipelines of health data so that Verily\xe2\x80\x99s many software projects can make more progress with their analysts and data scientists and not have to hire dedicated pipeline engineers. We\xe2\x80\x99re aiming to develop standard practices for tasks around curating and enriching digital patient records so that teams across Verily can collaborate and share their advances with each other. We\xe2\x80\x99re a group of tool builders who measure ourselves by the satisfaction and adoption by our customers.\n\nOur team combines expertise in biology, chemistry, physics, medicine, engineering, computer science, and more to create interventions that exponentially improve patient care. We partner with leading life sciences, medical device and government organizations to enable fast development, meaningful advances, and deployment at scale. Our work spans many projects, including Project Baseline, the quest to map human health beginning with a 10,000 person observational study; Liftware, stabilizing utensil handles to aid individuals with hand tremor or limited mobility; and Debug, an effort to reduce the threat of mosquito-borne diseases using the sterile insect technique. For more information, please visit our website.\n\nResponsibilities\nDesign and build components of data processing pipelines to ingest, normalize, transform, enrich, and audit health data.\nDevelop a platform that is usable in multiple clouds, localities, and environments to satisfy the constraints of our many internal customers.\nLeverage the appropriate prior art in third-party and open-source data processing libraries and help us build bridges from our ecosystem to popular tooling.\nListen to concerns and complaints from customers and help develop an ecosystem of tools that is simple but powerful.\n\n\nQualifications\n\nMinimum qualifications:\nBA/BS degree in Computer Science, Electrical Engineering, or a related field, or equivalent practical experience in software engineering.\n3+ years experience with Java or a similar general-purpose object-oriented programming language.\n\n\nPreferred Qualifications\nPrior experience with cloud deployment technologies: Docker, Kubernetes, Google Cloud Platform or other cloud providers.\nPrior experience with data processing and pipelining technologies: Airflow, Mapreduce, Spark, Parquet/Drill, BigQuery, SQL, R, Pandas.\nPrior experience with health data, health informatics, or electronic medical records.\nA growth mindset and willingness to pick up new technologies and domain knowledge to be productive in role.'"
b'Software Engineer',b'TargetCW',"b'Broomfield, CO, US'","b""Overview\n\nSoftware Engineer\n\nBroomfield, CO\n\n$70-$72 Per hour\n\n5 Month Contract\n\nBenefits: Medical/Dental/Vision\n\nOur client, a leader in healthcare technology, is seeking a software engineer is to design, develop, implement, test, and maintain business and computer applications software or specialized utility programs including mainframe and client/server applications, and major enhancement of existing systems.\n\nResponsibilities\nFine-tune and improve a variety of sophisticated software implementation projects.\nGather and analyze system requirements, document specifications, and develop software solutions to meet client needs and data.\nAnalyze and review enhancement requests and specifications.\nImplement system software and customize to client requirements.\nPrepare the detailed software specifications and test plans.\nCode new programs to client\xc2\x92s specifications and create test data for testing.\nModify existing programs to new standards and conduct unit testing of developed programs.\nCreate migration packages for system testing, user testing, and implementation.\nProvide quality assurance reviews.\nPerform post-implementation validation of software and resolve any bugs found during testing.\n\nSkills\nBachelor's degree in a technical field such as computer science, computer engineering or related field required.\n8 to 10 years of experience required.\nA solid foundation in computer science, with strong competencies in data structures, algorithms, and software design.\nC#/.NET, cloud experience preferred\nExperience with Java, Python, C++ and other programming languages.\nUnderstanding of HTML5, CSS3 and CMSs.\nTeam player attitude with a willingness to lead when necessary.\nDevotion to continuing education on an annual basis.\nPerforming in-depth troubleshooting and unit testing with both new and legacy production systems.\nProblem diagnosis and resolution. Large systems software design and development.\nPlease submit your resume today for consideration!\n\n#2\n\nOptions\n\nApply for this job online Apply\n\nShare\n\nEmail this job to a friend Refer\n\nSorry the Share function is not working properly at this moment. Please refresh the page and try again later.\n\nShare on your newsfeed"""
