title,company,location,job description
b'Senior Software Engineer',"b""O'Neil Digital Solutions""","b'Los Angeles, California, United States'","b""TALENTED SENIOR SOFTWARE ENGINEER WANTED!!\n\nAre you ready to grow your career and be part of something special?\n\n\nTHE ROLE:\nThe Senior Software Engineer will have a solid knowledge of database concepts and software development tools. They will work closely with other Software Engineers, Business Systems Analysts, and business stakeholders to provide production support.\n REQUIRED:\nBachelor's degree\nMinimum of 2 years of IT / Development experience including production support\nMS SQL server experience\nExperience working with Python\nWorking knowledge of PostgreSQL, AWS Redshift, MongoDB/ElasticSearch or Hadoop/BigData technologies\nUnderstanding of C#, Java, ASP.Net and JS code base\nAbility to resolve issues with minimal guidance\nAbility to support production during off hours\nKnowledge of SSIS, SSRS, troubleshooring database processes and performance tuning\n\n\n WHO WE ARE:\nFounded in 1973, O\xe2\x80\x99Neil Digital Solutions is a leading IT consulting firm specializing in the optimization of complex end-to-end business process systems for the financial services, digital media, healthcare, and transportation industries. O\xe2\x80\x99Neil Digital Solutions provides high-touch bespoke software engineering, systems integration, and infrastructure management services to clients of all sizes and industries. From large scale mass communication projects to highly secure and confidential data analytics using Big Data frameworks like Hadoop and AWS Redshift, ODS has a broad set of proven technical capabilities that help companies make complex digital transformations.\n\nData Analysis Incorporated (DAI) is the controlling entity of the O\xe2\x80\x99Neil family of businesses, providing strategic direction and guidance to its divisions operating in diverse industries around the world, including global equity markets, health care, financial services, digital news, and insurance. \n\nO\xe2\x80\x99Neil Digital Solutions is a business of Data Analysis Incorporated (DAI).\n\nhttps://www.daicompanies.com/the-dai-companies"""
b'Software Engineer - Audio and Video Solutions',b'Samsung Electronics America',"b'Irvine, CA, US'","b'Title: Software Development Engineer (Cinematic & HDR Content Player Development) Audio and Video Solutions\n\nCompany: Samsung Research America (SRA)\n\nLab: Digital Media Solutions Lab\n\nLocation: Irvine, CA\n\nLab Summary: The Digital Media Solutions Lab at Samsung Research America is developing innovative and advanced core technologies related to video and audio systems.\n\nPosition Summary: Developing/Integrating Audio/Video Solutions architected by our Video Algorithm team.\n\nResponsibilities Include\nDevelop Cinematic & HDR Content Player Development\nQuickly prototype new ideas/technologies to create proof of concept and demos (e.g. Develop new framework for Studio Demonstration).\nAnalyze any available sources to find bugs and make enhancements in the code.\nEvaluate and recommend best software designs and architecture.\nEffectively communicate and support other global engineering teams.\n\n\nExperience Requirements\nMS and/or PhD in ECE, CE, EE (Signal Processing)\n5+ years of experience in system level software development\nSolid C and C++ coding abilities (Note: Strong C++ skill is a MUST) Familiarity with Media Player\nExperience in Computer Vision, Signal Processing, Image Processing, and/or strong Publications\nPreferred Qualifications\nFamiliar with Open Sources such as FFMPEG Familiar with Color Management & Video Processing Algorithm Excellent communication and organizational skills. Strong problem solving skills, proactive, and willing to take ownership.\n\nPlus\nDevelopment experience with DCP player development Development experience using QT development environment Development experience using OpenCL to optimize video algorithms\n\nSamsung is an EEO/Veterans/Disabled/LGBT employer. We welcome and encourage diversity as we strive to create an inclusive workplace.'"
b'Software Engineer I',b'Abbott',"b'Sylmar, CA, US'","b'Abbott is a global healthcare leader that helps people live more fully at all stages of life. Our portfolio of life-changing technologies spans the spectrum of healthcare, with leading businesses and products in diagnostics, medical devices, nutritionals and branded generic medicines. Our 103,000 colleagues serve people in more than 160 countries.\n\nMAIN PURPOSE OF ROLE\n\nWorking under limited supervision, performs moderate risk/moderate complexity specialized level software project activities in such areas as Development, Tools, Test, Requirements and/or related areas. Assignments may include, but are not limited to, analyzing requirements, planning and scheduling data, updating and maintaining different software specifications based on analysis of specifications, needs and improvements, as well as troubleshooting, debugging, and maintaining of software, test, or tool designs, cases, scripts, procedures, and/or code based on strategic analysis. May lead project teams. Work requires the application of theoretical engineering principles, evaluation, ingenuity and creative/analytical techniques typically acquired in a recognized four-year or more academic course of specialized study. Applies engineering and scientific principles to the evaluation and solution of technical problems in a creative manner unique to each study. Exercises level appropriate technical judgment in planning, organizing, performing, and/or coordinating engineering work.\n\nMain Responsibilities\nWorking from requirement specifications, develops, maintains, and updates detailed design and interface specifications;\nParticipates in and supports the implementation, development, enhancements, and modifications to software source code, scripts, and procedures;\nDebugs, troubleshoots, and isolates software problems as well as offers strategic solutions, analysis, and advice regarding identified issues for future development;\nIdentifies parameters, structure, and critical test components. Writes, updates, or executes test design, cases, as well as procedures and reports results.\nWrites, updates, and maintains requirement and interface specifications;\nContributes to and supports gathering, analyzing, and validating requirements;\nContributes to and supports writing, updating, developing and maintaining Hazard/Risk analysis specifications;\nContributes to and supports root-cause analysis of failures.\nWorking from requirement specifications, develops, maintains, and updates test requirements and design;\nSupports implementation, enhancements, and modifications to test cases, procedures, scripts, and code;\nDebugs, troubleshoots, and isolates software problems and offers strategic advice regarding identified issues for future development;\nIdentifies parameters, structure, and critical test components. Writes, updates, or executes test design, cases, as well as procedures and reports results.\nPresents at design reviews; documents and resolves issues as directed.\nContributes to and supports reviews held by other engineers on related projects and provide useful feedback.\nContributes to and supports a variety of test phase efforts.\nMay write and update requirement specifications for an assigned area.\nReviews project deliverables such as specifications, code, and test/tool procedures for feasibility, thoroughness, clarity, correctness, and accuracy.\nComplies with U.S. Food and Drug Administration (FDA) regulations, other regulatory requirements, Company policies, operating procedures, processes, and task assignments. Maintains positive and cooperative communications and collaboration with all levels of employees, customers, contractors, and vendors.\nDeploy CI/CD pipelines and demonstrate scripting skills through Ruby, Python, Shell or other scripting.\nManage source code repository/Jenkins/Maven for builds and deployment tools such as Chef/Puppet.\nExperience with Windows, Linux, JBoss and Cloud Services (i.e. Azure, AWS or Private Cloud)\n\nQualifications\n\nEducation\n\nBachelors Degree (\xc2\xb1 16 years)\n\nSoftware engineering, computer science, or a related engineering field.\n\n\xe2\x98\x92\n\nan equivalent combination of education and work experience\n\nMinimum 6 Months Of Experience\n\nExperience/Background\nProgressively more responsible work experience in a range of software engineering disciplines using a variety of programming methods.\nExperience with visual modeling, graphical user interfaces, multi-threading, networking, relational databases, formal software development methodologies, and source code management is recommended. Experience with unit- and integration-level testing and automated testing is recommended.\nExperience working in a broader enterprise/cross-division business unit model preferred. Ability to work in a highly matrixed and geographically diverse business environment. Ability to work within a team and as an individual contributor in a fast-paced, changing environment. Ability to leverage and/or engage others to accomplish projects. Strong verbal and written communications with ability to effectively communicate at multiple levels in the organization. Multitasks, prioritizes and meets deadlines in timely manner. Strong organizational and follow-up skills, as well as attention to detail.\nAbility to travel approximately 10%, including internationally.'"
b'Software Engineer',b'Snap Inc.',"b'Los Angeles, CA, US'","b'Snap Inc. is a camera company. We believe that reinventing the camera represents our greatest opportunity to improve the way people live and communicate. Our products empower people to express themselves, live in the moment, learn about the world, and have fun together.\n\nWe\xe2\x80\x99re looking for a Software Engineer to join Snap Inc! As a member of the C++ Platform team, you will be solving challenging technical problems for Snap\xe2\x80\x99s desktop and mobile apps using modern C++. You\xe2\x80\x99ll collaborate with a wide variety of teams working with C++ to develop high-performance, cross-platform components that serve as the foundation for our Snapchat clients.\n\nWhat you\xe2\x80\x99ll do:\n\nDevelop high-quality key cross-platform C++ libraries for our Android and iOS mobile apps with a focus on performance\nKeep Snap\xe2\x80\x99s C++ at pace with modern C++ development (C++20, coroutines, ranges) and best practices to ensure a high-quality developer experience\nPartner with key product owners, customers, and engineering leadership to identify correct priorities of development\nEvaluate technical tradeoffs of every decision and collaborate with other engineers on the best development practices\nPerform code reviews that guarantee code quality\nKnowledge, Skills & Abilities:\n\nKnowledge of CS fundamentals\nKnowledge of modern C++\nSkill in problem solving\nSkill in analyzing runtime performance\nAbility to turn solutions to problems into code\nAbility to communicate effectively in written code reviews\nMinimum Qualifications:\n\nBS/BA in a technical field such as Computer Science or equivalent experience\n3+ years of experience working with systems implemented in modern C++ and using the C++ Standard library (C++14 / C++17)\nPreferred Qualifications:\n\nExperience with cross-platform development on iOS or Android\nExperience with C++ debugging, profiling, and performance optimization.\nKnowledge of C++ toolchains (especially LLVM) and build systems\nPassion for improving internal C++ coding standards, tooling, and best practices'"
"b'Software Engineer, Game Development'","b'Niantic, Inc.'","b'Los Angeles, CA, US'","b'Niantic\xe2\x80\x99s Engineering Team is seeking a Software Engineer to create high-performance mobile real-world MMO games at massive scale using Unity 3D on Android and iOS. You will work on a wide variety of technical challenges while creating engaging and fun real-world gameplay for a user-base in the billions.\n\nResponsibilities\nBuild engaging gameplay features that are fun and easy to use.\nCreate technical designs and develop code on game features, for a devoted user-base.\nCollaborate with other engineers, product managers, game designers, and user experience designers to ensure the technology and user experience meets internal standards.\nParticipate in code reviews, technical design reviews, and write unit tests.\nQualifications\nYou have a BS in Computer Science or other technical major, or equivalent experience.\nYou have a minimum two years of work experience developing in a multi-person game studio.\nYou have 3D game engine experience, particularly in Unity3D.\nYou can work in C# or C++.\nPlus If...\nYou have mobile or console game performance optimization experience.\nJoin the Niantic team!\nNiantic is the world\xe2\x80\x99s leading AR technology company, sparking creative and engaging journeys in the real world. Our products inspire outdoor exploration, exercise, and meaningful social interaction.\n\nOriginally formed at Google in 2011, we became an independent company in 2015 with a strong group of investors including Nintendo, The Pok\xc3\xa9mon Company, and Alsop Louie Partners. Our current titles include pioneering global-control game Ingress, record-breaking AR game Pok\xc3\xa9mon GO, and recently released third title, Harry Potter: Wizards Unite.\n\nNiantic is an Equal Opportunity and Affirmative Action employer. We believe that cultivating a workplace where our people are supported and included is essential to creating great products our community will love. Our mission emphasizes seeking and hiring diverse voices, including those who are traditionally underrepresented in the technology industry, and we consider this to be one of the most important values we hold close.\n\nWe\xe2\x80\x99re a hard-working, fun, and exciting group who value intellectual curiosity and a passion for problem-solving! We have growing offices located in San Francisco, Sunnyvale, Bellevue, Los Angeles, London, Tokyo, Hamburg, and Zurich.'"
b'Jr Software Engineer',b'The Forum Group',"b'Santa Monica, California, United States'","b' Jr Software Engineer\n12 + month contract\n  No 3rd parties or C2C !!!!!\n  Description:\nPart of an engineering team supporting front office business users. Combining elements of a developer, data engineer and production support. A good chance to get exposure to a variety of tools, gain an understanding of capital markets instruments and asset management and learn the data behind the business.\nTechnical Skills:\nRequired:\nProficiency in SQL and data analysis\nExperienced in basic programming, preferably C#\nDesired:\nMicrosoft Development Suite\nMicrosoft build tools\nMicrosoft Office skills particular in Excel\nAngular (or comparable Java script framework, e.g. React, etc.)\nNice to have:\nGraphQL, Git, Python, Power BI\nExperience or education in finance domain\nBloomberg, Blackrock Aladdin\nQualifications:\nCollege degree, preferably in technologies\n2-3 years hands-on technical experience\nAdditional Skills:\nGood communication skills\nCritical thinking skills\nPassionate in programming\nAttention to details\nStrong desire to learn\nPositive attitude and team player\n   '"
b'Software Engineer',b'Jobot',"b'Irvine, CA, US'","b'Software Engineer\n\nThis Jobot Job is hosted by Nadeem Chaudhry\nAre you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume.\nSalary $60,000 - $160,000\n\nA Bit About Us\n\nAt Jobot, we are building a world class engineering team consisting of top software engineers focused on intelligent technology that unlocks human potential in our recruiters\' lives, in our candidates\' careers, and in our clients\' missions. If you believe software can be poetic, that the focus should always be on the solution rather than the problem, and that what you build should make a difference, then Join Us! TEST\n\n\n\nWhy join us?\n\nCompetitive Base Salary!\nExtremely Fun and Passionate Culture!\nFlexible Work Schedules!\nAccelerated Career Growth!\n\nJob Details\n\nIs your background a fit? Apply if you meet this criteria\nBachelor of Science in Computer Science or Engineering with professional software engineering experience.\nExperience with one or more of the following Golang, Python, Java, or C# .NET Core.\nExperience with microservices and APIs, preferably with a React frontend.\nWe may thrive on human and artificial intelligence, but our values provide the roadmap that informs every interaction.\n\nWho are we?\nWe take the job very seriously but do not take ourselves seriously.\nWe believe that kindness is still completely relevant.\nWe believe transparency and a strong team brings the best results for everyone.\nOur Get a Job Give a Job program helps increase employment across the globe.\nWe use the latest technology combined with a great company culture to give you the ability to succeed and grow as a developer, earn a great living and... get this...take every other Friday off. Yes, every other Friday. So... that means you have 26 3-day weekends a year. Twenty-six.\n\nInterested in hearing more? Easy Apply now by clicking the ""Apply"" button.'"
b'Software Engineer',b'Sony Pictures Entertainment',b'Greater Los Angeles Area',"b'Funimation, a Sony Pictures Television Networks Company, is the go-to destination for extraordinary anime. By combining its integrated in-house studios along with its technology and distribution partnerships, Funimation leads the industry with its omnichannel approach to offering anime to fans \xe2\x80\x93 from streaming and home entertainment to theatrical distribution and broadcast television. The company\xe2\x80\x99s next generation streaming service provides subscribers with instant access to their favorite sub and dub shows in ad-free HD on the widest array of devices and platforms \xe2\x80\x93 from smartphones and tablets to TV\xe2\x80\x99s and gaming consoles.\nFunimation is looking for Software Engineer to join our growing Engineering and technology team.\n\nResponsibilities:\nDesign, develop and deploy integrated solutions\nOwn front-end and back-end development for your application\nBuild and maintain API infrastructure that allows for standard integration methodology between applications and any third party services\nCollaborate effectively with product managers, designers, Engineering Managers and stakeholders on the projects\nCommunicate technical ideas and work with minimal oversight on projects with a focus on solving business challenges\nCollaborate and lead other vendor/off-shore app development team ensuring all efforts are adhere to industry standard and internally defined best practices\n\nRequirements:\nBS/MS in Computer Science or related field, or three to five years of applicable experience, especially with Video, high-volume platform/software environments and platform development in a media/entertainment-related role\nfull stack engineer with 5 years of experience\nExperience in Java, Javascript, CSS, HTML, React, Node.JS or other Javascript frameworks\nStrong in .Net core framework\nExperience integrating with internal and third party services\nExperience building restful APIs for internal and external products\nAbility to work closely with internal stakeholders and vendors to understand their systems, build custom solutions, integrate with these systems and deploy the solution\nExcellent communication skills and being able to work independently or in a full team\nDemonstrated ability to document code as needed\n\n*Sony Pictures Entertainment is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, national origin, disability, veteran status, age, sexual orientation, gender identity, or other protected characteristics.'"
b'Software Engineer',b'Caltech',"b'Pasadena, CA, US'","b""Caltech is a world-renowned science and engineering institute that marshals some of the world's brightest minds and most innovative tools to address fundamental scientific questions. We thrive on finding and cultivating talented people who are passionate about what they do. Join us and be a part of the diverse Caltech community.\n\nJob Summary\n\nDo you love translating mathematical concepts into code? Do you find shaving microseconds off your function calls satisfying? Are you tenacious in tracking down obscure bugs? Can you build high-level abstractions without sacrificing performance? Have you helped maintain large shared codebases, shepherding changes while keeping continuous integration tests passing? Do you enjoy learning about new technologies and pushing their limits? Are you interested in joining world-leading experts to help solve one of the most important scientific problems of our time?\n\nIf you answered yes to some of these questions, the Climate Modeling Alliance (CliMA) at Caltech would like to hear from you. CliMA is a multi-disciplinary team of engineers and scientists developing a new class of Earth system models to predict future climate conditions with calibrated uncertainties. Our model is the first that automatically learns from global observations and targeted high-resolution simulations of clouds and other elements of the Earth system to provide the actionable information we need to mitigate and adapt to climate change.\n\nJob Duties\n\nAs a Software Engineer in the CliMA team at Caltech, you will work with climate scientists and experts in numerical techniques, GPU programming, and high-performance computing to develop and implement open-source software solutions to problems in climate modeling.\n\n\xe2\x80\x93 Implement software solutions at the interface of computational science and Earth system science.\n\xe2\x80\x93 Design and develop innovative high-performance software suitable for the next-generation of supercomputing hardware with heterogeneous manycore architectures.\n\xe2\x80\x93 Develop and implement innovative software solutions to climate modeling problems in collaboration with experts in GPU programming, language design, compiler development, parallel high-performance computing, and numerical techniques.\n\xe2\x80\x93 Contribute to the design, specification, and development of an integrated open-source software system using modern languages and development techniques to ensure code health, scalability, and robustness.\n\xe2\x80\x93 Consult with scientific users, management, and engineers to determine computing needs and software system requirements.\n\nYou will work in a friendly and diverse environment inside a renovated mid-century house on the edge of the Caltech campus in Pasadena. As a member of the Caltech community you will have access to health and disability insurance, retirement benefits, an on-campus gym, and more.\n\nBasic Qualifications\n\n\xe2\x80\x93 Bachelor's or higher degree in a technical discipline (e.g., computer science, physical science, engineering, mathematics), or equivalent experience.\n\xe2\x80\x93 Demonstrated expertise in numerical algorithms, for example through coursework, or research in topics such as linear algebra, differential equations, or computational fluid dynamics.\n\xe2\x80\x93 Experience with at least two programming languages (e.g., C, C++, Fortran, Python, Julia, Matlab/Octave).\n\xe2\x80\x93 Experience developing collaborative software projects, for example contributions to an open source project with distributed contributors.\n\nPreferred Qualifications\n\n\xe2\x80\x93 Research experience in applied mathematics, physics, computational fluid dynamics, or other relevant areas.\n\xe2\x80\x93 Experience developing numerical software.\n\xe2\x80\x93 Experience with high-performance computing technologies, including MPI, multicore processors and GPU or other accelerators.\n\xe2\x80\x93 Familiarity with the Julia language.\n\xe2\x80\x93 Experience developing and maintaining computational research infrastructure, such as version control repositories, continuous integration services, cluster and cloud deployment tooling.\nRequired Documents\n\xe2\x80\x93 Resume\n\xe2\x80\x93 Cover Letter"""
b'Frontend Software Engineer',b'Liferay',"b'Diamond Bar, CA, US'","b'About Liferay \n\nLiferay is a uniquely profitable open source software company with 850+ fiery-eyed employees scattered across the known world. Our flagship product is Liferay Digital Experience Platform which companies like HP, Barclays, and Coach use to build great web experiences for their customers and employees. Along with making cool software, we have a greater-than-profit vision that fuels us. We give employees 5 days paid off to volunteer at charities they\xe2\x80\x99re excited about and we donate a portion of our profits to various charities around the world each year. Oh, we\xe2\x80\x99re also self-funded which gives us the freedom to work on whatever we think brings the most value to customers and communities in the long run. \n\n\nAbout You and this Role\n\nYou love the ability to work on a diverse set of applications that are all interconnected. You thrive in a team environment and believe that software development is a team sport. Our development team works on so many solutions it can be dizzying but with every feature shipped and bug squashed we empower our marketers to do amazing things.\n\n\nKey Objectives\n\nHelp build and maintain a diverse set of applications that supports Liferay Marketing.\nMaintain data that helps our internal teams to gain insights on how to best serve our users.\nAnalyze requirements from our stakeholders and provide guidance for solutions.\nRequired Qualifications\n\n2+ years of relevant experience with a BS/BA in Computer Science or 4+ years of relevant experience.\nProficient in HTML, CSS and Javascript.\nAbility to develop and maintain a large set of applications.\nAbility to develop and maintain complex integrations.\nStrong communication skills.\n\nPreferred Qualifications\n\nExperience with Linux and Bash.\nExperience with Git or similar VCS.\nExperience working within the Scrum framework.'"
