title,company,location,job description
b'Software Engineer - C++ - Startup!',b'TEEMA Solutions Group',"b'San Diego, California, United States'","b'This is a great opportunity to help build a startup!  \n  WHAT YOU WILL BE DOING:\nWill work across team boundaries \xe2\x80\x94 Other Engg groups, QA, Documentation, Services, Product Marketing, Product Management\nHighly motivated, high energy individual who can work independently and with good dose of curiosity to learn and implement new & emerging technologies\nOpportunity to closely work with highly successful senior team members who were instrumental in building several large-scale Database Engines \nSupport of the OpenCypher query language\nReal-time replication of data from/to other data systems like Hadoop\nLoading/storing data to/from various cloud bucket systems and Hadoop\nCreation of API and query language extensions to allow direct programming of the MPP cluster by customers\n\nMUST HAVES:\nBachelor\xe2\x80\x99s in computer science, Engineering, or equivalent\n3-5 years experience or 7-10 years for Senior level role\nStrong in C++\nDatabase internals experience - building a database\nParallel or distributed systems experience\nLoves learning, being creative to find a solution and thrives on being challenged'"
b'Software Engineer',"b'BioTelemetry, Inc.'","b'San Diego, California, United States'","b""BioTelemetry is looking for a contrat to hire Software Engineer to join our growing team in San Diego, CA!\n\nThe Software Engineer will provide technical expertise to an agile development team to be a trusted team member, to refine the product backlog and to create, enhance, and maintain an application portfolio. The Software Engineer II should be able to successfully collaborate with business stakeholders as well as external vendor development and support personnel.\nJob type: Contract to hire\n\nEssential Duties/Responsibilities\nDeveloping robust, fault tolerant software solutions that deliver business value while adhering to Quality System Procedures governing software version control, configuration management and the Systems Development Life Cycle (SDLC), with a focus on ease of maintenance and extensibility\nOperates in full compliance with internal policies and procedures as well as applicable regulations and laws, including but not limited to FDA requirements. Responsible to report any procedure or process that doesn\xe2\x80\x99t meet regulatory requirements, whether suspected or confirmed, to management. This reporting can be done directly to any member of management, including Human Resources.\nFollowing organizational practices in version control, software development and configuration management, including key performance indicators for the management of software development\nIntegrating applications with other corporate systems and with third party software\nPerforming data migrations\nFostering a collaborative team environment\nInvestigating and resolving issues escalated by application support team in a timely manner to the satisfaction of the business stakeholders\nAssisting in the authoring and reviewing of technical documentation regarding the design, configuration, creation, installation and maintenance of application components\n\nEducation and Experience Requirements\nEducation: Bachelor's Degree in Computer Science, a technical or business discipline preferred\nRelevant Work Experience:\nThree to five years of job-related, hands-on experience, developing and documenting the design of applications with Java programming language\nUser interface development using Swing (or similar)\nJ2EE development including EJB, JMS, servlets and JSP\nJBoss application server with Jasper reports, a plus\nJUnit testing\nThree to five years of job-related experience with relational database storage technologies\nThree to five years of hands-on experience troubleshooting and maintaining applications in a Windows environment\nExperience with automated testing tools\nDesirable:\nExperience with Test Driven Design\nExperience working with vendors and third-party consultants\nExperience with development, deployment and support of software applications in a regulated business environment, a definite plus\n\nRequired Knowledge, Skills, and Abilities\nKnowledge/Abilities \xe2\x80\x93Technical Skills:\nSolid understanding of the following:\nObject-oriented design\nRelational databases\nData modeling principles\nIntegrating applications using web services/APIs like REST or SOAP\nDesire to identify and leverage appropriate new technologies\nCommunication Skills (Verbal/Written):\nStrong communication and problem solving skills:\nAbility to think analytically and critically and effectively communicate with customers and other personnel in order to translate and synthesize business needs into solutions\nAbility to develop robust, fault tolerant systems\nAbility to be flexible in approach toward software design\nAbility to effectively investigate technical issues with vendors and non-technical customers in order to solve reported issues\nAbility to become a respected, trusted advocate for technology within the enterprise\nOther:\nStrong business acumen:\nAttention to detail\nAbility to meet demanding deadlines\nAbility to organize own work and prioritize multiple project commitments\nAbility to work independently\nAbility to work collaboratively with a team \xe2\x80\x93 including with team members who are geographically dispersed\nCommitment to quality, including thorough testing of own work products\nAbility to author and present system documentation deliverables such as design documentation for software applications in clear, straightforward language\nApplies technical best practices and relevant industry standards, as well as experience in developing or updating business procedures\n\nEEO/AAP - Biotelemetry provides equal employment opportunity to all individuals regardless of their race, color, creed, religion, gender, age, sexual orientation, national origin, disability, veteran status, or any other characteristic protected by state or federal law.\nNOTE: This job description is not intended to cover or contain a complete listing of all duties or responsibilities that are required of the employee. Other duties, responsibilities and activities may change or be assigned at any time with or without notice."""
b'Software Engineer',b'National Computer Systems',"b'San Diego, CA, US'","b'Job Title Software Engineer (Tool) Location San Diego,CA Duration Long Term Position Overview Part of the software tools team to develop tools that help in provisioning and upgrading Firmware. Responsibilities Strong hands on analytical and problem-solving ability Able to manage short term challenges and obstacles as well as keeping a focus on the long term strategic and product innovation needs. Able to deliver software under tight deadlines. Have experience with agile development practices and a great team builder and player ExperienceRequirements At least 2 years hands-on experience in software tools development using CC++ and .NET framework. Must have strong programming experience in C, C++, C, scripting languages, python, Must have experience using tools such as Jira, SVN, Code Collaborator. Must have strong knowledge of SQL and databases such as MySql and MS-SQL Effective communication and working skills. Education Minimum Bachelorrsquos Degree in Computer Science or equivalent.'"
b'Software Engineer',b'PointPredictive Inc.',"b'San Diego, California'","b'We are looking for a junior to mid-level software engineer, whose core skills being Python and experience with Amazon Web Services in Our San Diego Offices.\n\nThis person will act as a generalist supporting senior staff, and will contribute in the following areas:\n\nHelp optimize Python analytics applications and AWS infrastructure for performance.\nBuild-out a robust software testing and release pipeline.\nDevelop automated code tests.\nResearch and develop production monitoring tools.\nContribute partially in a DevOps role.\nDevelop production-level data pipelines for company-critical data science and machine learning solutions\nDevelop tooling, optimization, and testing around core data science work\nBuild and maintain production-level python libraries for the data science team\nLeverage open-source tools and cloud computing technologies comfortably\nExecute best practices in version control and continuous integration/delivery\nOwn and drive projects from conception to completion \n\nIdeally, prior experience includes:\n\n1-5 years as software engineer, with Python as a primary language. Familiar with the Pandas library would be helpful.\nSome experience working in an analytics or data science environment, or exposure to machine-learning.\n1-5 years experience with several AWS services, preferably some of Lambda, EC2, S3, Cloudwatch, API Gateway, and S3.\n1-2 years experience with relational (MySQL, PostgresQL) and NoSql databases (AWS Dynamo DB, MongoDB).\nFamiliarity with version control principles, ideally git.\n\nBonus Points for:\n\nKnowledge of AWS Networking: Virtual Private Cloud (VPC), Subnets, Network Address Translation (NAT) services.\nWindows developer or system administrator skills (Windows Server 2012 or greater, ideally Windows Server 2016)\nExperience with Node.js and Nginx.\nAbility to administer an SFTP server, add users, create keys/credentials'"
b'Software Engineer',b'Nextgen Technologies Inc',"b'San Diego, CA, US'","b""Role : Sr Software Engineer-IC3()\nLocation : 4810 Eastgate Mall, San Diego, CA 92121\n\nDuration : 12 Months Contract\n\nClient : ServiceNow Inc,\n\nInterview mode: In-Person Interview / Phone\n\nDuties\nSoftware Development Engineer: Plans, designs, develops and tests software systems or applications for software enhancements and new products. Most companies should be able to match to a specific software development engineer position. Use this position if company does not breakout software development positions such as Software Engineer (Applications) (5141-5146) or Software Engineer (Systems) (5161-5166). Survey Tip: If company does not identify software development engineers by functional designation described above, report to this Software Development Engineer (5101-5106) generic family.\nThis position reports to: Senior Manager, SDE\nServiceNow is changing the way people work. With a service-orientation toward the activities, tasks and processes that make up day-to-day work life, we help the modern enterprise operate faster and be more scalable than ever before.\nWe're disruptive. We work hard but try not to take ourselves too seriously. We are highly adaptable and constantly evolving. We are passionate about our product, and we live for our customers. We have high expectations and a career at ServiceNow means challenging yourself to always be better.\n\nWhat You Get To Do In This Role\nAs a Software Development Engineer, focused on cloud infrastructure automation, you will be responsible for designing and developing tools to support the cloud infrastructure, Server Deployment and Configuration, Ops automation, QE/devops applications, and other areas related to Cloud Infrastructure. You will define and execute innovative ways to deploy, operate and monitor systems at scale. In addition to tools and automation, your work will involve coordinating efforts with other members of the infrastructure organization and the ServiceNow development teams.\n\nSkills: Required Skills\nStrong operations automation background\nAt least 5 years of proven, related experience\nStrong knowledge on backup strategies and storage arrays\nAdvanced programming skills with a background in an object oriented language such as C# or Java\n\nStrong Scripting Skills And Experience In Bash/Rubyy/JavaScript/Python Programming Languages\n\nStrong system debugging skills\nDevelopment of web-based database applications using MySQL or other relational databases\nProficient with web technologies e.g. JavaScript, AJAX, AngularJS\nProficient with Linux systems with emphasis on methods for automating operations in a high-availability cloud environment\nExperience integrating software and services using common API techniques (SOAP, REST, XML, etc.)\nWorking knowledge of Git, Gerrit\nWorking knowledge of test frameworks such as QUnit or PyUnit\nExcellent analytical, strategic planning, written and oral communication skills\nGood team player, attention to detail and ability to work well with others\nEducation: Desired Skills\nServiceNow platform administration and development knowledge would be a plus\nFamiliarity with virtualization and cloud infrastructure technologies\nMS Degree in Computer Science or related field"""
b'Software Engineer 1',b'Illumina',"b'San Diego, CA, US'","b'Position Summary\n\nWe are looking for a highly driven and talented software engineer to join our sequencing instrument development team. This team creates new platform technologies to support Illumina\xe2\x80\x99s growing fleet of DNA sequencers. The role will focus on developing software solutions that bridge between the hardware and informatics pipelines, including Illumina\xe2\x80\x99s cloud ecosystems. Collaborating with engineers from various hardware, software, and UX disciplines is a daily occurrence.\n\nSoftware Engineer 1\n\nResponsibilities\nDesign and develop world-class software applications to control DNA Sequencing devices\nEnsure software architecture aligns with user needs to bring high-value products to market\nComfortable working in an Agile team environment\nLeverage expertise in investigation and resolution of technical problems within the department\nMaintain awareness of industry trends and evaluate the applicability of new software technologies to the latest Sequencing platforms\nDrive innovation at a software product level and contributes ideas to software road mapping\n\nRequirements\nKnowledge and experience with C# and .Net Core\nExperience with C++, C, and embedded systems development a plus\nExperience designing and implementing software quality patterns and practices (continuous integration, static analysis, unit testing, integrated testing)\nUnderstanding of SOA, software security architecture, REST APIs, and other architectural patterns\nProficient with source control management repositories (such as GIT, SVN, etc.) and CM practices\nSolid understanding of object-oriented analysis and design\nExperience with or interest in developing software for hardware\nDemonstrated success in collaborating in a fast-paced team environment and delivering high-quality software products using established agile development methodologies (such as Scrum, Kanban, etc.) against formal schedules\n1-3 years of industry experience or a M.S. in Computer Science.\n\nDesired\nPossess proven troubleshooting skills\nBe curious, detail oriented, and analytical, with a proven ability to learn quickly\nBe customer-focused, team-oriented, and motivated, taking ownership of assigned tasks\nHave a proven ability to self-manage, as well as manage interdisciplinary relationships\nHave proven verbal and written communication skills\nExperience is Angular and/or Electron\nExperience with or interest in developing software solutions on Linux\nExperience with user interface development, web or desktop\nListed responsibilities are essential, but not an exhaustive list of the usual duties associated with the position. Changes to individual responsibilities may occur due to business needs.\nIllumina believes that everyone has the ability to make an impact, and we are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information. If you require accommodation to complete the application or interview process, please contact accommodations@illumina.com. To learn more, visit: https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf'"
b'Entry Level Software Engineer - C/C++',b'Volt Workforce Solutions',"b'San Diego, CA, US'","b""Major Technology company is seeking an Entry Level software Engineer. The ideal candidate will have extensive school project experience with C or C++. Under general supervision and with on-going review this position researches, designs, develops and/or modifies enterprise-wide end-user, system level, and data management software applications. Responsible for meeting software compliance standards; evaluates integration of software applications with the overall computing environment; and documentation, testing, maintenance, and software updates. Communicates with domain experts, users, and management throughout the software development lifecycle.\n\nDUTIES AND RESPONSIBILITIES:\n\nDetermine user requirements and specifications and plan for software development within the broader organizational scope. Software development includes end-user, system level, and data management applications.\nFormulate detailed plans for the implementation of software solutions. In addition to program design this includes determining language, platform, and resource requirements.\nImplementation of design including coding, testing, and documentation.\nDeployment of applications across the enterprise including cross- platform compliance and insuring availability of necessary resources.\nCode maintenance including debugging and updating to keep pace with the evolving environment.\nAssist in planning for future applications based on new developments in computer technology.\nCommunicate with the software developer group, with users, and with management as well as with the wider community.\nMaintain the strict confidentiality of sensitive information.\nPerform other duties as assigned.\nResponsible for observing all laws, regulations and other applicable obligations wherever and whenever business is conducted on behalf of the Company.\nExpected to work in a safe manner in accordance with established operating procedures and practices.\nQualifications Essential Qualifications Typically requires a bachelor's degree in computer science, information systems or related discipline. May substitute equivalent experience in lieu of education. Must have a basic understanding of software development concepts, principles, and theory and demonstrate the ability to follow and apply basic use of programming and analysis concepts. Must possess the ability to understand new concepts quickly and apply them accurately throughout an evolving environment. Good communication, computer and interpersonal skills are required to enable an effective interface with other professionals, to produce appropriate documentation, and to present results to a limited internal audience. The ability to work both independently and on a team is essential. Able to work extended hours as required.\n\nAdditional Qualifications - Typically requires a bachelor\xe2\x80\x99s degree in Computer Science, Computer Engineering, or related engineering discipline. May substitute equivalent experience in lieu of education.\n\n- Experience with C/C++\n\n- Experience with embedded systems a plus\n\nThis Job is Located In San Diego, you must be able to relocate to this area to be considered.\n\nVolt is an Equal Opportunity Employer"""
b'Software Engineer',b'General Atomics',"b'San Diego, CA, US'","b'Job Summary\n\nGeneral Atomics Aeronautical Systems, Inc. (GA-ASI), an affiliate of General Atomics, is a world leader in proven, reliable remotely piloted aircraft and tactical reconnaissance radars, as well as advanced high-resolution surveillance systems.\n\nWe recognize and appreciate the value and contributions of individuals with diverse backgrounds and experiences and welcome all qualified individuals to apply.\n\nGA-ASI\xe2\x80\x99s Software Engineers write code for small embedded processors for various components of GA-ASI\xe2\x80\x99s aircraft and ground station, as well as simulating various sensors and components within the aircraft. This position involves maintaining and adding trainer capabilities to our existing simulation systems, as well as working with new aircraft designs.\n\nCome join a team of professional engineers working in a highly dynamic environment with an incredible variety of work. The successful candidate will be expected to become familiar with the system and become proficient in writing requirements documents, design documents, test documents, and implementing code to fulfill those requirements before moving on to support larger efforts within the group. Experience with C/C++ and embedded systems is a plus!\n\nJob Qualifications\nRequires a bachelor\xe2\x80\x99s degree in Computer Science, Computer Engineering, or related discipline.\nExperience with C/C++ highly desired.\nMust possess the ability to understand new concepts quickly and apply them accurately throughout an dynamic and fast-pace environment.\nGood communication, computer and interpersonal skills are required to enable an effective interface with other professionals, to produce appropriate documentation, and to present results to a limited internal audience. The ability to work both independently and on a team is essential.\nAble to work extended hours as required\nAbility to obtain and maintain a DoD Security Clearance is required.\nU.S. citizenship required.\nJob Category\nEngineering\n\nExperience Level\n\nEntry-Level (0-2 years)\nFull-Time/Part-Time\nFull-Time Hourly\n\nTravel Percentage Required\n\n0% - 25%\nUS Citizenship Required?\nYes\nClearance Required?\nDesired\nClearance Level\nSecret\n\nThe General Atomics(GA) group of companies is a world renowned leader in developing high - technology systems ranging from the nuclear fuel cycle to electromagnetic systems; remotely operated surveillance aircraft; airborne sensors; advanced electronic, wireless, and laser technologies; and biofuels. We offer an excellent opportunity to realize your full potential and fulfill your career aspirations.Join the GA Team where you can make a difference! Equal Opportunity / Affirmative Action Employer'"
b'Software Test Engineer',b'Registry Ally',"b'San Diego, CA, US'","b'San Diego, CA\n\n8-Month Contract\n\n$42.00 - $57.00 per hour with Health Insurance\n\nRoles & Responsibilities\n\n(New Graduates with Internship Experience Welcome to Apply)\n\nCybersecurity testing/dev experience a huge plus\nSoftware development experience in one or more general purpose programming languages\nExperience working with two or more from the following: web application development, Unix/Linux environments, software drivers, distributed and parallel systems, networking, database development, and/or security software development\nFamiliarity with a Software Development Life Cycle and willingness to wear multiple hats within it\nWorking proficiency and communication skills in verbal and written English\nWork independently in cross-functional teams to lead the automated test scripting effort on multiple Data Analysis, and Bioinformatics type applications\nWork in a scrum environment with daily standups, bi-weekly demos and sprint planning meetings\nWork collaboratively with other Automation engineers to build a sustainable and transferrable architecture for Automation.\nWork with software developers, scientists and domain experts in understanding requirements of the software and translating test cases into automated test scripts.\nWork on manually executing test cases\nCollaborate with peers to identify opportunities for process improvement.\n\nRequirements\nExperience with one or more general purpose programming languages including but not limited to: C/C++, C#, Python\nExperience developing accessible technologies\nInterest and ability to learn other coding languages as needed\n0-5 years of experience writing automated test scripts on an agile software team or doing manual software testing. This could be undergraduate, internship or professional experience. (Candidates with 10+ years of experience are likely overqualified. Looking for recent graduates from top engineering programs).\nMust have some internship experience. Experience with multiple internships is ideal.\nMust have strong verbal and written communication and troubleshooting skills.\nBasic understanding of biology/genetics/NGS preferred, but not required\nExcellent cultural (fast-paced, collaborative, fun, adaptable) and technical fit a must.\nBachelor or Master\xe2\x80\x99s Degree (or higher) in Computer Science, Bioinformatics, Bioengineering, Computational Science, or related field from an accredited university.\nPlease Call Registry Ally at (424) 488-2577 and or email your resume to jobs@registryally.com'"
b'Software Engineer',b'LabCorp',"b'San Diego, CA, US'","b""Work with software development team in Bioinformatics to build varied analytic tools to process genomic data. Develop sample management systems. Assemble analytics pipelines for processing next-generation sequencing data. Perform sequencing data analysis in R&D. Provide user support on the applications. Work with software engineers in developing enterprise applications. Communicate with laboratory scientists and understand requirements collected from end-users or documented in blueprints. Adopt modern and cutting-edge technologies in software development. Work with R&D scientists, clinical scientists, and lab directors to gather and document user requirements. Develop web applications, standalone software applications, and assemble data analysis pipelines. Maintain existing applications and provide user support.\n\nRequirements\n\nMaster's degree in Computer Science plus two (2) years of experience as a Software Developer or Software Engineer. Position also requires two (2) years of experience with software development and one (1) year of experience in each of the following: Web application development; Java; JavaScript; SQL; Shell script; HTML; Css; Unit testing; Apache Tomcat; Angular; Spring Framework; SVN; and Eclipse.\n\nShift\n1\n\nSchedule\n40 hrs/wk,"""
