title,company,location,job description
b'Software Engineer',b'Apple',"b'Cupertino, CA, US'","b""Summary\n\nImagine what you could do here. At Apple, phenomenal ideas have a way of becoming great products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish.\n\nKey Qualifications\n\nA successful track-record and proven experience as a backend internet services software developer.\nProven aptitude for building, launching and operating very large-scale production internet services.\nDescription\n\nWe are building, and supporting new, critical infrastructural systems and frameworks which provide and support services like structured and unstructured storage, caching, queueing, searching, and much more. These form the platform upon which many iCloud and other backend systems at Apple are built.\n\nThe team is responsible for the next generation platform that will power Apple\xe2\x80\x99s infrastructural services. These services have huge scale and store hundreds of petabytes of data. The platform will support a variety of services based on open-source software, such as Apache Cassandra, SOLR, Zookeeper, Kafka, Redis, etc.\n\nWe are looking for a strong, enthusiastic developer to join as a member of this group. This person will have a tremendous amount of individual responsibility and influence over the direction the backend of many critical Apple internet services take for years to come. You are someone with ideas and real passion for software delivered as a service to improve reuse, efficiency, and simplicity. This engineer\xe2\x80\x99s work will affect hundreds of millions of users and be essential to the success of some of the most visible current and future Apple features.\n\nEducation & ExperienceBS or MS in Computer Science or equivalent work experience."""
b'Software Engineer',b'Couchbase',"b'Santa Clara, CA, US'","b""At Couchbase, big things happen. Every day, we\xe2\x80\x99re translating vision into reality by tackling innovative and exciting challenges head-on with a team that prioritizes honesty, transparency, and humility. This is a breakthrough stage in our company, where the enthusiasm of our employees and leadership team is infectious and growing. You\xe2\x80\x99ll have the opportunity to learn new skills, grow your career, and work with the smartest, most passionate people in the industry. At Couchbase, you can go home knowing that you have an impact. What we do matters. Enjoy the journey.\n\nWhat are we up to?\n\nIf you like working on high performance enterprise software, then you\xe2\x80\x99ll like this! As a Software Engineer in our R&D team, you will help build cutting-edge distributed, shared-nothing architecture of our NoSQL software. You will be part of a team creating NoSQL database products used by hundreds of modern enterprises and applications, tackling the hardest problems our customers have, and employing your skills in - Golang, Java, C/C++, Erlang, JavaScript and/or Python (with possibly a few other languages thrown in for good measure). This is a very exciting time to build something new and innovative for the databases of the future. Like open source? So do we: Couchbase and its engineers are active open source contributors for Couchbase, memcached, and other projects.\n\nWhile other NoSQL vendors may experience architectural limitations, Couchbase architects all of its own systems with a laser-focus on high performance use cases for largest modern enterprise applications. Your engineering contributions will be the key in helping Couchbase to keep our performance advantage over the competition.\n\nRESPONSIBILITIES - You Will\n\nTranslate product requirements into engineering requirements and write high quality performing code.\n\nDesign and implement mission-critical code coverage as it pertains to the data model for a scale-out database.\n\nDebug and fix issues by participating in high quality code reviews\n\nAlign with Indexing, Support, Mobile, Search, Storage and Clustering teams to integrate new features into our data platform.\n\nEngineer needle-moving tools and features with simplicity, elegance and economy.\n\nBe agile! Think quality! Think leverage!\n\nPreferred Qualifications\n\nYou are passionate about database architecture and systems\n\nYou can hack in several of your preferred languages from C/C++, Java, and Python to Erlang and Go\n\nYou have multiple years of commercial and/or open source software experience\n\nYou think that distributed systems are amazing\n\nYou\xe2\x80\x99re self-motivated, independent and a quick learning person who likes to take on challenges\n\nYou like working in organizations that strive to stay ahead of the curve by rapidly moving the technological innovation.\n\nMinimum Qualifications\n\nBachelor Degree in Computer Science or commensurate experience\n\nYou\xe2\x80\x99re an excellent teammate\n\nExcellent written and verbal communication skills\n\nAbout Couchbase\n\nUnlike other NoSQL databases, Couchbase provides an enterprise-class, multicloud to edge database that offers the robust capabilities required for business-critical applications on a highly scalable and available platform. Couchbase is built on open standards, combining the best of NoSQL with the power and familiarity of SQL, to simplify the transition from mainframe and relational databases.\n\nCouchbase\xe2\x80\x99s HQ is conveniently located in Santa Clara, CA with additional offices throughout the globe. We\xe2\x80\x99re committed to a work environment where you can be happy and thrive, in and out of the office.\n\nAt Couchbase, You\xe2\x80\x99ll Get\nA fantastic culture\nA focused, energetic team with aligned goals\nTrue collaboration with everyone playing their positions\nGreat market opportunity and growth potential\nTime off when you need it.\nRegular team lunches and fully-stocked kitchens.\nOpen, collaborative spaces.\nCompetitive benefits and pre-tax commuter perks\nWhether you\xe2\x80\x99re a new grad or a proven expert, you\xe2\x80\x99ll have the opportunity to learn new skills, grow your career, and work with the smartest, most passionate people in the industry.\n\nRevolutionizing an industry requires a top-notch team. Become a part of ours today. Bring your big ideas and we'll take on the next great challenge together.\n\nCheck Out Some Recent Industry Recognition\nWealth Front Career-Launching Companies List 2020\nCouchbase Named a Leader: Forrester Wave Big Data NoSQL Report\nDeloitte Technology Fast 500 2019\nForbes Next Billion-Dollar Startup 2018\n2018 DBTA Readers\xe2\x80\x99 Choice Award for Best In-Memory Solutions\nBig Data 100: 35 Coolest Data Management And Integration Vendors\nNo. 17 on Forbes\xe2\x80\x99 list of Best Big Data Companies to Work For in 2017\nWant to learn more? Check out our blog: https://blog.couchbase.com/\n\nCouchbase is proud to be an equal opportunity workplace and is dedicated to pursuing, hiring and developing a diverse workforce. Individuals seeking employment at Couchbase are considered without regards to age, ancestry, color, gender (including pregnancy, childbirth, or related medical conditions), gender identity or expression, genetic information, marital status, medical condition, mental or physical disability, national origin, protected family care or medical leave status, race, religion (including beliefs and practices or the absence thereof), sexual orientation, military or veteran status, or any other characteristic protected by federal, state, or local laws."""
b'Software Engineer',b'PayPal',"b'San Jose, CA, US'","b""Who We Are\n\nFueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal\xe2\x80\x99s 286 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom, enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.\n\nWhen applying for a job you are required to create an account, if you have already created account - click Sign In.\n\nCreating an account will allow you to follow the progress of your applications.\n\nNote\n\nProvide full legal first Name/Family Name\nDO: Capitalize first letter of First and Last Name. Example: John Smith\nDON'T: Capitalize entire First and/or Last Name. Example: JOHN SMITH\nNOTE: Use correct grammar for Names with multiple cases. Example: McDonald or O'Connell\n\nProvide full address details\n\nResume Is Required\n\nMultiple attachments can be uploaded including Resume and Cover Letter for each application\n\nJob Description Summary\n\nPayPal Tokenization Payment team is looking for talented, creative, and passionate Java engineer to help design and build a new products in transaction processing platform\n\nJob Description\n\nInT(Issuance and Tokenization) is a PayPal unit specializing in tokenizing wallet and instrument to enable user to use their wallet/instrument anywhere any merchant. We have two major parts in it\n\nIssuing tokens/card\nProcess payment ISO message(transaction) when token/card is used for payment\n\nTransaction processing includes switch, core payment processing (ledger entry) and settlement. We are looking for a java engineer who can understand and work in full payments stack. Services in payment stack are written in Java and we are using Oracle as database to store the data\n\nYour Primary Responsibilities Include\n\nDesign, develop and test high throughput issuance transaction processing system\n\nDevelop efficient, elegant, clean code with no unnecessary complication or abstraction\n\nDeliver code in an agile team environment - you will operate in the bi-weekly scrum model\n\nAbility to lead 3 members team to deliver project in end-to-end\n\nDomain knowledge in Payments\n\nPassionate about low latency systems\n\nQuick action on live issues, jump and deep dive on live issues analysis\n\nCollaborate with other engineers, architects and cross vertical team\n\nCollaborate with Product Managers\n\nBackground We Are Looking For\n\nYou to take lead on project delivery which includes design discussion, collaborate with cross vertical team, work with the team and deliver high quality software\n\nYou love solving problems and building solutions.\n\nYou\xe2\x80\x99re self-motivated and have a demonstrated track record of self-learning and going above and beyond\n\nYou\xe2\x80\x99ve designed and clearly understand concepts like Web Services, SOA, REST APIs, SPRING Framework.\n\nYou know the fundamentals of Object-Oriented Programming using Java, C++; familiarity with additional development tools such as JUnit, Maven & Jenkins is a plus.\n\nRequirements\n\nBachelor\xe2\x80\x99s/Master\xe2\x80\x99s in Engineering, Computer Science or equivalent experience\n\n7+ years of experience in the IT industry\n\nExperience in object-oriented programming and concepts\n\nExperienced in Distributed System development using Java/J2EE/Web Technologies/C++.\n\nProven track record in delivering highly available, scalable systems on time\n\nConversant in design patterns\n\nGood understanding of web services and related standards like REST/JSON\n\nExperience In Spring Framework And Other Open Source Frameworks\n\nExperience developing data-driven applications using an industry standard RDBMS (Oracle, DB2, SQL Server, MySQL, Informatica, etc.)\n\nExperience in Unix based development environment\n\nExperience in both development and quality assurance activities\n\nExperience in QA methodologies, test automation and automation frameworks\n\nExperience in driving Integration testing, UAT with external vendors\n\nExperience in JUnit, Selenium is a plus\n\nExperience working in payments or financial services industry is a plus\n\nExposure to Agile Methodologies\n\nDomain knowledge in payments is an added advantage\n\nSubsidiary\n\nPayPal\n\nTravel Percent\n\n0\nPrimary Location:\nSan Jose, California, United States of America\nAdditional Locations:\nBachelors Degree or Equivalent: Computer Engineering\nWe're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.\n\nPayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com .\n\nReference Number: R0052010"""
b'Software Engineer',b'Pocket Gems',"b'San Francisco, CA, US'","b'Pocket Gems seeks to build the greatest games and most compelling interactive entertainment in the world. That\xe2\x80\x99s the mission our founders began with in an apartment above a pizza shop back in 2009 and it continues to inspire us today. Since then, we\xe2\x80\x99ve grown to over 200 people in San Francisco, and with $155 million in backing from Sequoia Capital and Tencent, we\xe2\x80\x99re constantly breaking new ground in mobile entertainment.\n\nOur products have been downloaded over 450 million times by players around the world. In recent years, we\xe2\x80\x99ve launched Episode, a mobile storytelling network and platform, and War Dragons, a visually stunning 3D real-time strategy game. As our community of players continues to grow, we\xe2\x80\x99re committed to building diverse and inclusive environments across our teams, and in our games.\n\nAs a Software Engineer at Pocket Gems, you will develop and code innovative features using groundbreaking technologies while making world class games. Help us continue to be leaders in mobile entertainment, while being able to show your family and friends the games you make!\n\nWhat You\xe2\x80\x99ll Do\nCollaborate closely in small, nimble, cross-functional teams with product managers, artists and designers to define our next generation of games\nParticipate in all aspects of the project life-cycle, from ideation to specification to release\nDesign and implement scalable, reliable, and maintainable technologies for our iOS and Android gaming platforms\n\n\nWhat You Bring To The Engineering Team\nMinimum of 2 years of professional experience\nBA, BS, MS or PhD in Computer Science or related technical discipline\nSolid foundation in computer science, with strong competencies in data structures, algorithms, software design, and OOP\nNote: Prior mobile/gaming experience is NOT required\n\n\nExtra Gems For\nProgramming experience in one or more of the following: C/C++, Objective-C, Java, Python, JavaScript, Mobile Software Development (iOS, Android)\nYou love games and mobile entertainment!\n\nPocket Gems is an equal opportunity employer. We do not discriminate based on race, color, ethnicity, ancestry, national origin, religion, sex, gender, gender identity, gender expression, sexual orientation, age, disability, veteran status, genetic information, marital status or any legally protected status.\n\nPursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.'"
b'Software Engineer',b'Belcan',"b'San Jose, California, United States'","b'A Software Engineer job is available with a growing client despite the current pandemic in the North San Jose, CA area. In this role, you will assist in the daily work involved with the development, testing and release of carrier-level software. Responsibilities would include daily build verification, creating process automation and scripts, and Linux system maintenance.\n\nRESPONSIBILITIES:\nLinux system administration and maintenance.\nDesign, document, implement, and unit-test build automation scripts and other tools used during the software development process.\nWork with software engineers to improve the build system.\nWork with other release engineers to support a geographically diverse engineering team.\nAbility to document work, particularly in Wiki\xe2\x80\x99s\n  REQUIREMENTS:\n1-5 years\xe2\x80\x99 experience scripting with Python or similar scripting languages.\nExperience with IP networks and Linux environments.\nExperience with software development, tools and software lifecycles, including CI/CD.\nExperience with revision control systems, such as Subversion or GIT.\nFamiliarity with virtual machine life cycles \xe2\x80\x93 creating, monitoring, stopping.\nExposure to system monitoring systems (Monit, Zabbix, Nagios)\nExperience administering Jira, Jenkins, Apache HTTPD\nExposure to database scripting (SQL)'"
b'Software Engineer',b'Shippo',"b'San Francisco, CA, US'","b""Before you read on, take a look around you. Chances are, pretty much everything you see has been shipped, often multiple times, in order to get there. E-commerce is exploding, and with it, parcel shipping is becoming a meaningful factor in a business' ability to succeed. Creating a compelling shipping experience for customers is hard but necessary.\n\nAt Shippo, our goal is to level the playing field by providing businesses access to shipping tools and terms that would not be available to them otherwise.\n\nBy lowering the barriers to shipping, businesses, marketplaces, and platforms are able to connect to multiple shipping carriers, get shipping rates, print labels, automate international documents, track shipments, and facilitate returns.\n\nAbout The Role\n\nAs a software engineer, you will extend Shippo\xe2\x80\x99s reach by implementing integrations for new carriers and order management platforms to the Shippo network. The software engineer will have end-to-end ownership over design, implementation, and testing of new integrations and additions to existing integrations.\n\nResponsibilities\nProvide early input to design team to streamline designs for implementation, participate in design reviews for new features, products, and systems\nCollaborate with the design team to build a tool for creating interactive interfaces and create rapid prototypes of design concepts as well as responsive and accessible designs\nArchitect UI layer to maximize design and code reuse, lead in the implementation of a UI testing framework and tests, deploy new pages and features\nMentor other team members and grow UI competencies in the engineering team, provide feedback to improve the usability of the product and reduce the complexity of the user interface\nKeep up-to-date with high performance best practices, conduct performance tests regularly, and optimize web pages continuously and evangelize the adoption of developments of HTML, CSS, and JS\nRequirements\nBS in Computer Science, Engineering, or equivalent\nAt least 1+ years of full time software engineering experience\nExtensive knowledge of programming languages (Go, Python, Java, C/C++) as well as database languages (SQL); solid understanding of object-oriented programming\nExperience with Single Page Application development (React, Vue) a plus\nCoding experience in server-side programming (Python, Java, Scala)\nExceptional verbal, written, and interpersonal communication skills\nInterest in and understanding of security practices and test automation\nBonuses\nExperience with our application stack: Django and Ember.js\nExperience with D3 or other data visualization libraries\nBenefits\nBenefits: medical, dental, vision, (90% covered by the company, incl. dependents), and pets coverage\nFlexible PTO + work hours\nDog are welcomed in the office\n3 VTO days for ShippoCares volunteering events\n$2,500 yearly learning stipend for your personal growth\nFree lunch / drinks / snacks\nFun team events outside of work hours - happy hours, \xe2\x80\x9cescape room\xe2\x80\x9d adventures, hikes, and more!"""
b'Software Engineer',b'Zendesk',"b'San Francisco, California, United States'","b'Zendesk is constantly expanding its product offering to meet the growing demands of our customers and our customers\xe2\x80\x99 customers. We are the team building a platform to orchestrate all of the capabilities Zendesk has to offer in a simple, flexible, and scalable service. Our vision is to enable our customers to build any workflow they need with first-class integration using all Zendesk products as well as critical 3rd party integrations our customers need to simplify their CRM.\n\nWhat we\xe2\x80\x99re looking for:\n\nA developer with an impeccable sense of craft, to help us fill out all aspects of our UI component library. Your standards are pixel-perfect, and your results are intuitive. At Zendesk, you have the unique opportunity of joining an engineering team that works closely with product designers to build the Design System paradise we call \xe2\x80\x9cGarden\xe2\x80\x9d. You appreciate the value of rigorous consistency coupled with the ability to remain flexible enough to accommodate critique and change \xe2\x80\x94 a Zendesk brand attribute we call \xe2\x80\x9chumblident.\xe2\x80\x9d\n\nWhat you get to do every day:\n\nBe a key player on a small-but-mighty team that makes an outsized impact\nBuild out our shared UI component system, where common product design patterns become reusable artifacts precision-engineered for web usage\nConnect with global design and engineering teams to identify and embrace common UI components\nTake ownership of projects from implementation to delivery and solutions consultation\nBring good vibes to the larger team\n\nWhat you bring to the role\n\nExpertise with JavaScript, HTML, and CSS\nExperience with JavaScript testing (unit and functional)\nWorking knowledge of modern React\nFamiliarity with popular front-end patterns and developer tools\nCuriosity around emergent tools and technologies in the ever-evolving React ecosystem\nFocus on quality and sweating the details\nFull-stack development in one or a combination of Node.js-, Ruby-, or Python-based application frameworks\nA desire to provide well-documented, easy-to-consume components to the engineering organization and learning to think of APIs as contracts\nA strong empathy for usability and visual design; practical, not elaborate\nFamiliarity with accessibility guidelines (WCAG 2.0) and implementation (when and when not to use WAI-ARIA)\nPast contributions to open source considered a plus\n3-5 years professional experience\n\nZendesk builds software for better customer relationships. It empowers organizations to improve customer engagement and better understand their customers. Zendesk products are easy to use and implement. They give organizations the flexibility to move quickly, focus on innovation, and scale with their growth. Based in San Francisco, Zendesk has operations in the United States, Europe, Asia, Australia, and South America. Learn more at www.zendesk.com.\nIndividuals seeking employment at Zendesk are considered without regard to race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, or sexual orientation.'"
b'Software Engineer',b'ABB',"b'San Jose, CA, US'","b""Join ABB and work in a team that is dedicated to creating a future where innovative digital technologies allow greater access to cleaner energy.\n\nABB (ABBN: SIX Swiss Ex) is a technology leader that is driving the digital transformation of industries. With a history of innovation spanning more than 130 years, ABB has four customer-focused, globally leading businesses: Electrification, Industrial Automation, Motion, and Robotics & Discrete Automation, supported by the ABB Ability\xe2\x84\xa2 digital platform. ABB\xe2\x80\x99s Power Grids business will be divested to Hitachi in 2020. ABB operates in more than 100 countries with about 147,000 employees. www.abb.com\n\nABB is seeking a Software Engineer for its San Jose, California location. This role is responsible for providing technical expertise in programming for 24x7 Energy Market Management Systems (MMS). The candidate will be expected to make a significant individual contribution as well as working effectively as part of the development and customer support teams.\n\n\nYour Responsibilities\nWork with technical leads to develop/write software requirements and design specifications.\nWork with project managers and technical leads to create a development plan, delivery timeline and provide cost estimates.\nDevelop/Unit Test/Integrate Software needed to meet the design and functional requirements.\nTroubleshoot customer issues and fix software defects.\nMaintain and support various modules of the MMS.\n\nYour background\nMaster's degree in Computer Science (or an equivalent STEM degree) from a recognized university and a minimum of two (2) years of work experience in a developer role.\nCandidate must already have a work authorization that would permit them to work for ABB in the United States.\nExceptional programming skills in Java with a passion for programming\nStrong Java Swing and HTML knowledge and experience\nC/C++ programming, knowledge and experience a plus\nSystems level knowledge of at least one major Unix OS/Linux\nMust have knowledge of object oriented software design, design patterns, data structures, and algorithms\nGood knowledge of synchronization and multi-core/multi-threaded programming\nComputer performance tuning knowledge\nRelational database access programming essential\nUnderstanding of Energy Market operations a plus.\n\nMore About Us\nBring your very own sense of pride and purpose as you help us drive forward the Fourth Industrial Revolution \xe2\x80\x93 creating a sustainable future for our planet, and your career. Join ABB and harness the power of our diverse global network, as you collaborate with and learn from our world-class teams. Above all, challenge yourself every day. Let\xe2\x80\x99s write the future, together.\n\nEqual Employment Opportunity and Affirmative Action at ABB\n\nABB is an Equal Employment Opportunity (EEO) and Affirmative Action Employer encouraging diversity in the workplace.\n\nAll qualified applicants will receive consideration for employment without regard to their race, creed, color, ancestry, religion, sex, national origin, citizen status, age, sexual orientation, gender identity, disability, marital status, family medical leave status, or protected veterans status. For more information regarding your (EEO) rights as an applicant, please visit the following websites:\nhttp://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf\nhttp://www1.eeoc.gov/employers/poster.cfm. http://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf\n\nAs an Equal Employment Opportunity and Affirmative Action Employer, applicants may request to review the Affirmative Action Plan of a particular ABB facility between the hours of 9:00 A.M. - 5:00 P.M. EST Monday through Friday by contacting an ABB HR Representative at 1-888-694-7762.\n\nProtected veterans and qualified individuals with a disability may request a reasonable accommodation if you are unable or limited in your ability to use or access ABB's career site as a result of your disability. You may request reasonable accommodations by calling an ABB HR Representative at 1-888-694-7762 or by sending an email to US-AskHR@abb.com. Resumes and applications will not be accepted in this manner.\nGrid Automation"""
b'Software Engineer',b'Gladstone Institutes',"b'San Francisco, CA, US'","b""San Francisco\nFull time\nREQ-266\n\nCategory:\n\nScience\n\n\nLab/Area:\n\nPico Area\n\nDescription:\n\nWe are seeking a talented software engineer to develop compelling technology for network biology and biomedical research. You will be working with established local and distributed teams of open source software developers dedicated to putting tools in the hands of biomedical researchers and clinicians. We will be developing network visualization and analysis tools and resources to elucidate molecular profiles underlying major diseases.\n\nYou must have demonstrated experience with modern software engineering practices for developing web applications and web services. Your experience should be sufficient to inform project-specific implementation decisions regarding:\n\n\nJS environments and specifications (Node, ES2015+, TypeScript)\n\nJS Frameworks and Architectures (React, Angular, Redux)\n\nJS Bundlers/Transpilers (Webpack, Babel)\n\nJS Design systems (Material UI, Styled Components)\n\nAPI definition, deployment and maintenance (REST, Swagger, JSON)\n\nScripted data processing and pipelines (R, Python, Jupyter notebooks)\n\nAlgorithm implementation and optimization (C++, Java, Python)\n\n\n\n\nAdditionally, you should be knowledgeable about deployment, continuous integration, testing, database and DevOps technologies. You are expected to be proficient at leveraging Amazon, Google and HPC systems for custom computing and service deployment (PaaS, GCP, AWS, containers). Prior experience with Java application development, including OSGi and Maven, is also desired. Familiarity with high-throughput biomedical data (e.g., scRNA-Seq and proteomics), network models of biology or Cytoscape/cytoscape.js is a plus.\n\nYou will be working with a lean, distributed team of agile developers with varying degrees of biology expertise, led by a PhD biophysicist and lifelong programmer (who still writes code) and organizes development communities for multiple open source software projects. All of our coding projects are open source. The work most relevant to this position can be found among the repos at https://github.com/cytoscape.\n\nThe Gladstone Institutes is an independent, not-for-profit research organization affiliated with the University of California San Francisco (UCSF), contributing to the health and well being of all people through medical research, education, and outreach in the areas of heart disease, HIV/AIDS, and neurological disease. Gladstone Bioinformatics hosts a convergence of cutting-edge research, omics analytics, biostatistics and technology development, and is one of the primary centers for the National Resource for Network Biology, an NIH-sponsored resource for broadly distributed network biology software and methods. Gladstone's approximately 550 employees receive exceptional benefits. We are located in an award winning building adjacent to UCSF's Mission Bay Campus.\nDesired Skills and Experience\nAdditional Information:\n\n\n\nTitle and salary will be commensurate with education and title.\n\nBe a part of big ideas and consider Gladstone. Your difference will make a difference in human health.\n\nGladstone is an equal opportunity employer.\n\nPI119536445"""
b'Software Engineers',b'Elsevier',"b'Berkeley, California, United States'","b'Multiple Software Engineers- Berkeley California\n  Elsevier\xe2\x80\x99s Digital Commons is currently seeking a full-stack software engineers to join our team and contribute to our suite of market leading products and to support the transformation of our technology. \xe2\x80\xafWe build Open Access digital library products to help academic communities share their research and teaching materials, showcase their achievements and academic quality, and promote their value across the educational space. \xe2\x80\xafOur products support a major portion of the universities and colleges in the United States, including large state research institutions, Ivy League colleges, Liberal Arts colleges, law schools, business schools, community colleges, and medical schools and health centers.\n \nWhat we are looking for: \nProven experience with large scale platforms and integrations with other technologies\nStrong Agile experience  \nStrong communication skills both written and verbal skills with the ability to breakdown complex engineering solutions into clear requirements\nSupporting a technology that serves a large customer base including some of the top institutions around the world\nAbility to take technology ownership of features and projects and to see them through from discovery to release\nWork closely with Product to provide features and products that satisfy customer needs for existing and new implementations\nMigration of legacy applications into the latest services-based structure in AWS\nWork in a senior role with a small, talented, cross-functional team  \nContribute to our commitment to continual process improvement and technology innovation\nWork hand and hand with Product, CS, UI/UX, QA and Devops\nDefine and implement integrations and API\xe2\x80\x99s to help connect Elsevier\xe2\x80\x99s suite of products\n\nWhat you will be doing:   \nDeveloping new user-facing features.\nBuilding and maintaining reusable code and libraries.\nConsulting on the technical feasibility of UI/UX designs.\nOptimizing web applications for maximum speed and scalability.\nCollaborate with Elsevier departments for shared UI and branding considerations.\nGood understanding of web accessibility guidelines and how to implement them.\n\nWhy you will like working for us: \nLocated in the wonderful downtown of Berkeley  \nTo work for an organization that is making a difference by improving the world of scientific research\nGreat work life balance\nWorking with a great team of dedicated engineers\n     \n \n\nhttps://www.elsevier.com/connect/coronavirus-information-center'"
