title,company,location,job description
b'Software Engineer (6228)',b'Avalara',"b'Seattle, WA, US'","b'Description\n\nJob Summary\n\nAvalara is looking for a Software Engineers to work on our on-premise platform for tax determination at the edge to complement our cloud offering. We are evolving our on-premise platform and looking for motivated people to join us on this journey. Come be part of it! A successful candidate will be a well-rounded software engineer with a proven track record of delivering software at scale in an agile environment.\n\nJob Duties\nWork smart and understand how your solutions impact the goals of the business\nBe introspective, always trying to improve yourself and the team around you\nImplement best practices for coding as well as development processes\nParticipate on an agile team \xe2\x80\x93 including design, development, test automation, planning, backlog grooming and support\nDesign and develop scalable software components\nDesign and develop integrations with other systems at Avalara and with external financial institutions.\nSupport our production platform, including troubleshooting & bug fixes\nCommunicate potential risks, delays, concerns and status to stakeholders\n\nQualifications\n1-3 years software development experience in (C#, Java)\nProblem solving and debugging skills\nGood understanding of object-oriented design & development and common design patterns\nAbility to clearly communicate\n\nAbout Avalara\n\nAvalara helps businesses of all sizes achieve compliance with transaction taxes, including sales and use, VAT, excise, communications, and other tax types. The company delivers comprehensive, automated, cloud-based solutions designed to be fast, accurate, and easy to use. The Avalara Compliance Cloud\xc2\xae platform helps customers manage complicated and burdensome tax compliance obligations imposed by state, local, and other taxing authorities throughout the world. Avalara offers more than 600 pre-built connectors into leading accounting, ERP, ecommerce and other business applications, making the integration of tax and compliance solutions easy for customers. Each year, the company processes billions of indirect tax transactions for customers and users, files more than a million tax returns, and manages millions of tax exemption certificates and other compliance documents. Headquartered in Seattle, Avalara has offices across the U.S. and overseas in the U.K., Belgium, Brazil, and India. More information at www.avalara.com\n\nAvalara is an Equal Opportunity Employer committed to a diverse, inclusive, and innovative environment. Avalara does not discriminate against any employee or candidate based on age, ancestry, race, color, national origin, religion, gender identity or expression, sex, sexual orientation, disability, veteran status, or any other characteristic protected by applicable laws.'"
b'Frontend Software Engineer - Reporting Platform',b'Qualtrics',"b'Seattle, WA, US'","b'Company Description\n\nAt Qualtrics, our mission is to close experience gaps\xe2\x80\x94the costly differences between what customers and employees expect, and what they\xe2\x80\x99re receiving.\n\n9,000+ organizations worldwide and more than 80% of the Fortune 100 rely on the Qualtrics Experience Management Platform\xe2\x84\xa2 to collect, analyze, and act on feedback\xe2\x80\x94more feedback than they ever thought possible. With Qualtrics XM, organizations can manage the four core experiences of business\xe2\x80\x94customer, employee, product, and brand experience. Organizations can be at every meaningful touchpoint, for every experience, and predict what will resonate most with customers and employees.\n\nA Day In The Life\n\nAs a Software Engineer on our Reporting Platform team, you would apply your distributed-systems knowledge, familiarity with frontend development, databases, various storage-engines, and web-services design and implementation to craft outstanding software and services. You would have the opportunity to work on our reporting platform, which includes a flexible widget-framework for building dashboards, software for generating beautiful reports and powerful statistical analysis tools. We at Qualtrics have the freedom on choosing the stack on each project, allowing engineers to experiment and learn new, up and coming technologies like, reactjs, GoLang, Scala, Spark and Galera. Primarily, our stack includes AngularJS, node.js, Java, PHP, JavaScript, mongoDB, MySQL, and Cassandra.\n\nYou should love data visualization and love building simple solutions to solve hard customer problems. We craft systems in an agile environment to withstand hyper growth. You will learn to Own quality from end to end is a rewarding challenge and one of the reasons Qualtrics is such an exciting place to work!\n\nIn Addition, You Will\nDevelop scalable, fast, robust, and simple web-based methods to tackle complex business problems\nImplement new features and optimize existing ones to drive maximum performance\nHave worked on frontend development and have familiarity with backend services\nWork closely with, and incorporate feedback from other specialists, tech-ops, and product managers\nAttend daily stand-up meetings, collaborate with your peers, prioritize features, and work with a sense of urgency to deliver value to your customers\nExperience required:\nBachelor\xe2\x80\x99s degree in Computer Science\n2-6 years of meaningful experience\nStrong level of curiosity and interest to learn\nStrong algorithms, data structures and coding background\nDisciplined approach to testing and quality assurance\nExperience with web infrastructure and distributed systems\nExperience with software engineering standard methodologies (e.g. unit testing, code reviews, design document)\nWhat differentiates us from other companies\nWork life integration is deeply important to us - we have frequent office events, team outings, and happy hours.\nWe take pride in our offices design aiming at cultivating creativity from our rooftop views to an open and collaborative work space.\nOn top of standard benefits package (medical, dental, vision, life insurance, etc) we provide snacks, drinks, and free lunches in our office.\nWe believe in sharing Qualtrics success which is part of the compensation for all employees.'"
b'Software Engineer (Multiple)',b'ExtraHop',"b'Seattle, WA, US'","b'Do you know how to program and have a strong problem-solving ability?\n\nDo you get things done?\n\nDo you play well with others? We really wanted to say, \xe2\x80\x98don\xe2\x80\x99t be a jerk\xe2\x80\x99, but HR would not let us. All jobs at ExtraHop require a sense of humor.\n\nWe are building the world\xe2\x80\x99s premier real-time wire data analytics product. Quite a mouthful of marketing. We take packets in at up to 40Gb/s, analyze them, and produce metrics. Then we slice and dice the metrics, allowing our customers to visualize and build applications around their wire data.\n\nWe work from the bare metal all the way up to a beautiful user interface running in a browser. We get to work on interesting problems in high-performance computing, security, clustering, scalability, platform development, and user interaction. We use C, Go, Python, and JavaScript/HTML.\n\nWe want you to join our growing team.\n\nAbout Extrahop\n\nExtraHop is an enterprise cyber analytics and performance monitoring company helping the world\xe2\x80\x99s leading organizations understand and secure their entire environment from the core to edge to the cloud. Our breakthrough approach to analytics and machine learning helps our customers investigate threats, ensure the delivery of critical applications, and secure their investment in the cloud, resulting in 95% faster threat detection and reducing unplanned downtime by 86% while providing the best possible customer experience.\n\nExtraHop is recognized by leading organizations for both its innovation in the market and its commitment to building a world-class team. We\xe2\x80\x99ve been named to Wealthfront\xe2\x80\x99s Career-Launching Companies list for the last four years, and JMP Securities put ExtraHop on its 2019 Elite 80 List as one of the most strategically positioned private companies in the cybersecurity industry. Credit Suisse recognized ExtraHop as a member of its inaugural Disruptive Technology Recognition Program, and SC Media named ExtraHop a 2019 Industry Innovator for enterprise network traffic analysis.\n\nWith well over $150 million in bookings in 2019 and 40% year-over-year growth for the last two consecutive years, the opportunity with ExtraHop has never been greater. Are you ready to rise above the noise?\n\nExtraHop is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, disability, military status, or national origin or any other characteristic protected under federal, state, or applicable local law.'"
b'Software Engineer',b'Microsoft',"b'Redmond, WA, US'","b'The E+D engineering team owns pretty much the whole stack behind the support experience starting from customer opening the support ticket, routing the ticket to the best suited agent, and finally the interaction between the agent and customer to quickly resolve the problem, which includes all the agent side tools to make the agents super-efficient. We are heavily invested in modern web development, experimentation, and large-scale Azure services.\n\nWe are seeking a talented and motivated Software Development engineer to join our open, friendly, and agile team with a culture that ensures you will learn a lot and grow fast!\n\nResponsibilities\n\nResponsibilities:\nFull stack software development - UX and business logic for a broad set of features\nDesign, development, and testing of features\nData analysis and experimentation to make recommendations for improvement in the product\nQualifications\n\nRequired Qualifications:\nMinimum Bachelor\xe2\x80\x99s degree in Computer Science, Math, or Engineering\nAt least 1 year of experience in a Software Design, Development, Programming or Engineering role\nOther Qualifications\nSolid Object-Oriented Design and Programming skills\nExperience in web and RESTful services\nKnowledge of any or all of the following: c#, .net, angular.js, react\nStrong problem solving skills, great teamwork, and passion to delight customers\nRequirements\n\nThese requirements include, but are not limited to the following specialized security screenings\n\nAbility to meet Microsoft, customer and/or government security screening requirements are required for this role.\n\nMicrosoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.\n\nMicrosoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.\n\nBenefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.'"
b'Software Engineer',b'Marchex',"b'Seattle, Washington, United States'","b'Job Overview\nResponsible for the design, development and maintenance of Marchex\xe2\x80\x99s software, services, and applications.\n Job Impact\nAs a Software Development Engineer on the Core Technology Platform at Marchex, you will design and develop innovative systems and solutions used daily in our conversation platform that utilizes both VoIP and SMPP technologies. You will help to apply those leading-edge solutions to solve real world problems with long-running, scalable software applications that will maintain the highest levels of availability and satisfaction among our clients, both internal and external.\n Team \nWe make sure calls always connect! Our team is at the core of what Marchex does; connecting callers to our advertisers. Our VoIP technology stack is incredibly reliable and enables deep analytics and thoughtful insight to be derived from phone calls.  In charge of Marchex\xe2\x80\x99s most mission critical software, we are a highly collaborative agile team that is empowered to create high quality services that are well tested and robust to almost every failure. It\xe2\x80\x99s critical to the success of every product and every partner and client Marchex has. \n Outline of Duties and Responsibilities\nDesign and develop components for major business systems and applications based on corporate objectives and assigned tasks.\nWrite maintainable, efficient, and well-documented code using engineering best practices.\nAdhere to company-wide coding standards for enhancing code readability, supportability, and extensibility. Analyze, propose, and develop solutions for technical problems and issues with assistance from peers or supervisors.\nCreate and maintain high-quality technical documentation for all relevant specifications, systems, and procedures.\nMeet all development milestones and business objectives on schedule.\nParticipate in team-based code reviews; provide feedback and suggestions to other members of the development team and incorporate ideas from members of the team into developed applications.\nCollaborate with other Marchex employees and teams to ensure strong products and that all functional concerns are addressed.\nSupport the Guiding Principles and vision of the company and the team through role modeling and encouraging desired behaviors.\nParticipate in various company initiatives and projects as requested.\nSupport the vision and values of the company through role modeling and encouraging desired behaviors.\nParticipate in various company initiatives and projects as requested.\n Experience, Skills and Qualifications\nBS or advanced degree in computer science, engineering, or related technical field or equivalent professional experience.\n3+ years full time professional experience in software design and development using a diverse set of programming languages, frameworks, and systems.\nTelephony and UDP based network protocols are a plus but not required.\n3+ years of experience implementing database-driven, web-based applications, Demonstrates clear understanding of TDD, knowledge of SQL relational databases and NoSQL databases. Knowledge or experience with Kafka is a big plus.\nDemonstrated experience developing RESTful services.\nPassionate about working with agile development practices with a focus on delivering proven features frequently.\nA strong desire to learn new technologies.\nStrong analytical skills with the ability to resolve a wide range of issues in imaginative and practical ways. Must demonstrate the ability to select best methods and techniques for solving complex problems.\nUnderstanding of Object Oriented design, algorithms, data structures, data modeling & optimization.\nA demonstrated desire to build software without fear, taking pride in what you create.\nAbility to communicate professionally and effectively with technical and non-technical staff across the entire company, including product managers, business management, leads, and peers.\n  '"
b'Software Engineer',b'Populus Group',b'Greater Seattle Area',"b""As a Software Engineer,  you\xe2\x80\x99ll impact our client by ensuring multidisciplinary approaches and collaboration with cross functional teams and business users.\n\nDescription:\nThis is a great opportunity for an experienced, passionate developer to apply your skills and leadership to highly visible and customer facing projects. Looking for a Senior C# Developer who can help impact their Next Gen Personalization project which is aimed to focus on creating a more 1-1 marketing strategy as they reach out to their customers. This is an exciting opportunity to build out a cutting edge marketing platform.\n\nTop Skills Details:\nExpert design and coding ability in C#. Ability to develop customer facing API's scratch in a .NET environment using OO Design Patterns (8+ years)- This engineer should have experience solving scalability problems and understand how to optimize code/ API's to handle an increase in users\nExperience implementing asynchronous messaging within an environment (Azure Service Bus, Kafka, or equivalent messaging)\nExpert experience designing large scale distributed systems\n  Candidate Requirements:\nLooking for 8-10 years of experience\nC#, database, design, distributed processing and messaging\nAzure / AWS or Google Cloud\nWeb API and REST\n.NET/Service Oriented models, .NET framework, CLR\nDesign patterns and OO design principles\nNoSQL databases such as MongoDB a plus \nAzure Devops Pipeline\nOperating systems, tools and utilities, software integration, systems design, application design and development methods.\nExperience with business requirements analysis, operational readiness, service level agreements and system support of a continuous operating environment \nWorking with process owners and identifying information technology solutions \nMentoring developers in process\nCloud Experience - Azure preferred"""
b'Software Engineer',b'Brunel',"b'Seattle, Washington, United States'","b'Software Engineer (Graphics)\nFairfax, Virginia OR Seattle, Washington\n  We are hiring a Software Engineer (Graphics) to help bring our client\xe2\x80\x99s massively multiplayer online role-playing game to life. This position would be at either our client\xe2\x80\x99s Fairfax, Virginia Headquarters, or the Seattle, Washington satellite office.\n   Responsibilities\nWork closely with technical leadership and other engineers to identify and resolve issues\nResearch and implement new features in our proprietary rendering environment\nHelp drive superior visual quality of our game.\nDevelop superior code practices.\nMaintain a quality code base.\nHelp junior engineers grow.\n\nRequirements\n2+ years of experience with graphics and rendering.\n5+ years of game development experience required.\nExperience with HLSL Shader Development, DirectX 11, and Game rendering pipelines.\nStrong C++ knowledge, especially C++ 14.\nStrong understanding of 3D mathematical concepts in rendering.\n\nNice to Have\nGPU memory optimization and allocation\nExperience in any of the following:\nPhysically based Rendering, Global Illumination, GPU performance optimization, DX12\\Vulcan, Particle systems, and Custom rendering pipelines.\nMMO client experience\nStrong knowledge and understanding of PC Graphics chipsets, drivers and APIs.\nDeep passion for implementing cutting edge real time rendering algorithms.'"
b'Software Engineer',b'Jobot',"b'Seattle, WA, US'","b'Exciting Software Engineer w/ Kubernetes opportunity with a leader in Digital Technology Services\n\nThis Jobot Job is hosted by Samuel Lim\nAre you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume.\nSalary $130,000 - $160,000\n\nA Bit About Us\n\nWe are a leader in Digital Technology Services, providing cutting-edge solutions to some of the top companies around the world. We have a number of next generation offerings which include Cloud, Cyber Security, Application Development, and many others. With consistent growth and a deep project pipeline, we are always looking to built our Digital Services team with talented individuals in this space.\n\nWe\'re currently hiring a DevOps Engineer with Kubernetes experience. If this sounds like you, then please read on...\n\n\n\nWhy join us?\n\nCompetitive Base Salary!\nAccelerated Career Growth!\nExcellent Benefits!\nExciting Projects!\n\nJob Details\nHave a deep understanding of Kubernetes, and are excited by the prospect of helping us taking the platform even further\nFamiliar with the inner workings of Kubernetes, and/or perhaps similar systems like Swarm, Nomad and Marathon etc.\nExpert in Golang, or can demonstrate the ability to quickly ramp up\nExperienced in automation and orchestration of Docker containers with Kubernetes\n\nInterested in hearing more? Easy Apply now by clicking the ""Apply"" button.'"
b'Siri - Software Engineer',b'Apple',"b'Seattle, WA, US'","b'Summary\n\nWe are looking for engineers with a passion for using machine learning to create intelligent applications. In this highly accomplished, deeply technical and close-knit team of data scientists and machine learning engineers, you will create tools that are used by millions of people. You will design and implement new machine learning algorithms and techniques and collaborate with the most innovative product development teams in the world. Our team researches new machine learning algorithms, models and techniques that will power amazingly intelligent user experiences. We want new ambitious team members to join our research ML group. In this role, we create new models and algorithms, and actively engage with the academic community by publishing your work and participating in academic efforts. You will also have the opportunity to contribute to cool projects around Apple, and use your data science, machine learning and artificial intelligence skills to transfer your ideas into solutions for some of the most challenging technical problems in the next generation of products that will delight millions of people.\n\nKey Qualifications\n\nStrong academic and publication record\nDeep technical skills in machine learning, deep learning, computer vision, natural language processing, or artificial intelligence\nA passion for creating innovative techniques and making these methods robust and scalable\nAbility to explain and present deep technical ideas Creative, collaborative, & innovation focused\nYour Responsibilities Include\n\nDescription\n\nAs a member of the ML team, you have the opportunity to design and evaluate new algorithms, models and methods that will impact Apple and the broad ML community. You will also collaborate with teams across Apple, who are building the newest, most compelling intelligent applications in the world. You will also be a trusted advisor for machine learning development.\nResearching, nurturing, developing and implementing innovative machine learning, artificial intelligence, computer vision and NLP techniques\nPublishing papers, software and creating presentations\nTransferring machine learning solutions to data scientists and engineers on product teams\nProviding technical guidance to product teams on the choice of machine learning approaches appropriate for a task\nProviding architectural guidance on transitioning prototypes to high- performance production models\nProviding feedback on tools and new features needed back to platform development teams Education\nEducation & ExperienceMS or Ph.D in Computer Science, Machine Learning or related field'"
b'Software Engineer',b'NEO Tracker',"b'Seattle, Washington, United States'","b""About Us:\nNEO Tracker Corp is a blockchain startup and develops and maintains two products for the NEO Blockchain Ecosystem: NEO Tracker (neotracker.io) and NEO\xe2\x80\xa2ONE (neo-one.io). Our products are used by thousands of users, developers, and investors who are interested in blockchain technology in general and the Neo blockchain in particular.\n\nNEO Tracker (github.com/neotracker/neotracker) is the leading blockchain explorer and web wallet for the Neo blockchain. It allows users to view blockchain activity and access their funds, including NEO, GAS and other tokens, through the NEO Tracker wallet.\n\nNEO\xe2\x80\xa2ONE (github.com/neo-one-suite/neo-one) is a full end-to-end toolkit for building decentralized applications for the Neo blockchain. From developing a smart contract, to testing, to interacting with it from your front-end, the entire dapp lifecycle is covered. NEO\xe2\x80\xa2ONE can be used by developers of any skillset as it offers extensive documentation, courses, tutorials and more.\n\nJob Description:\nNEO Tracker is looking for a full-stack developer with at least 1-2 years of experience in software development to work with us on NEO Tracker and NEO\xe2\x80\xa2ONE. Ideally you are a self-learner and problem solver, who can quickly pick-up on our large code-bases. We offer a competitive salary, with 5 weeks of annual vacation time, and a full suite of benefits, including paid medical, dental, vision and commuter benefits.\n\nRequirements:\n- Bachelor's Degree\n- 1-2 years experience in professional software development\n- Javascript ecosystem experience\n- Front-end experience in React\n- Ability to work in a small team with relative independence\n- Strong analytical and critical thinking skills\n\nNice to Haves:\n- Experience with Typescript\n- Experience with GraphQL, React-Relay, Apollo GraphQL\n- Experience with Docker containers\n- Knowledge of Kubernetes deployments\n- Blockchain knowledge / familiarity"""
