title,company,location,job description
b'Web Developer',b'Eliassen Group',"b'Boston, Massachusetts, United States'","b""Our client is seeking a talented Web Developer to work with them in Boston, MA.\n\nWe will accept corp to corp or w2 contractors. For our w2 consultants, we offer a great benefits package that includes Medical, Dental, and Vision benefits, 401k with company matching, and life insurance.\n\nResponsibilities of the Web Developer:\n\nCoordinate with client dept and UX designers on technical website issues\nUpgrade sites in tandem with clients and vendors\nProvide tech support and represent client departments in vendor meetings\nManage QA and testing of sites\nTrain and mentor staff on how to use and edit websites\nOversee website and content hosting to improve the architecture, content hosting, and usability of website\n\nRequirements of the Web Developer:\n\nKnowledge of standard web technologies like HTML, CSS, JS, etc and WordPress.\nKnowledge of mainstream desktop technologies, such as Chrome, Firefox, IE, Google's G Suite, Windows, and MacOS\nAt least 3 years of Web-related development and production experience\nExperience developing on new platforms\nExperience utilizing social media platforms\nExcellent communication and interpersonal skills\n\nKeywords: Web Developer, HTML, CSS, WordPress, Chrome, IE\n\nJob ID: 336111"""
b'Web Developer - Contract',b'Roku Inc.',"b'Boston, MA, US'","b'The ideal candidate will have experience in understanding and developing web landing pages and responsive emails. This person will know how to write HTML, CSS code and CSS style sheets, someone who is well familiar with media queries. Someone who ensures that email best practices are followed, including inbox deliverability, monitoring & email rendering testing. Is an expert in Dreamweaver as well as Photoshop. Ability to communicate, work well with others, concept and develop is a must.\n\nEssential Duties And Responsibilities\nDeep understanding of web development concepts and principles is a must\nWrite HTML and CSS code\nCreate CSS style sheets\nExpert in developing responsive design\nDevelop responsive email templates\nDevelop responsive landing page templates\nExcellent trouble shooting and debugging skills\nExperience in concepting layout design\nExpert Adobe Creative Suite (Photoshop and Dreamweaver)\nKnowledge of UX best practices\nExcellent organization and communication skills\nHas experience in working with Design band Marketing team\nHigh attention to detail\nWrite JavaScript code\n\n\nQualifications Desired\nExperience in working in Salesforce (Pardot) is a huge plus.'"
b'Web Developer',b'Virtual',"b'Wakefield, MA, US'","b""TITLE: Web Developer\n\nCLASSIFICATION: Full Time, Exempt\n\nLOCATION: USA,Remote (Work from home);Must be currently authorized to work in the United States\n\nBENEFITS: Comprehensive Medical, Dental & Vision, Life Insurance, Short & Long Term Disability, 401k, Pet Insurance, Employee Assistance Services, Educational Reimbursement, & Flexible PTO.\n\nThe Role\n\nThe Web Developer is a technical position responsible for developing, documenting, implementing and administering internal and external websites and web-based applications. In this role, you will serve on a team as a technical resource with responsibilities for the development, governance, quality and security of the online user experience. With guidance, you will be expected to manage and develop websites, proactively monitor sites for issues, produce analytics and publish online content. The Web Developer will be responsible for developing and managing all aspects of the online presence, and focuses on meeting project commitments and deadlines, including communications with clients and internal stakeholders.\n\nKey Responsibilities\nParticipate in web projects, in close coordination with Technology Solutions and Marketing teams to develop, document and implement new web projects along with maintaining existing websites\nInteract with clients, business stakeholders and management to review incoming project requests to identify project scope, timelines and budgets\nCMS (both WordPress and AMS systems) development including setup of sites, options, plugin installation, configuration and maintenance\nWork with other members of the Technology Solutions team to ensure that CMS platforms meet business requirements, are scalable and meet established design and security standards\nEnsure that software code, mobile applications, blogs and web components are up-to-date on all web properties\nProvide project status reports to management by collecting, analyzing and summarizing project data and trends\n\nSkills And Abilities Required\n3+ years professional experience in web development and web administration. Bachelor's degree in Computer Science or related field a plus.\nExperience managing content and production for high traffic websites and managing increasingly complex technical projects in a client facing environment.\nExperience developing for WordPress, applying and updating themes and plugins and general familiarity with content management systems\nWeb programming skills including: HTML, CSS, PHP, JavaScript, XML and SQL.\nKnowledge of the software development lifecycle, QA and test processes and experience through all phases of the SDLC.\nStrong communication and organizational skills.\nAbility to effectively share technical information with non-technical people within the company and our clients.\nAbility to work effectively within a cross-departmental team.\n\nAbout Virtual Inc\n\nWe're a leading professional services firm focused on technology consortia and associations.Our clients include organizations led by companies like Google, Facebook, Microsoft and more, as well as organizations that are tackling some of the biggest problems in the world today, from eating disorders, to space travel to noise pollution. We have decades of experience behind us but we're still growing fast, having fun, and doing new things every day.\n0"""
b'Web Developer',b'Upserve',"b'Providence, Rhode Island'","b'About the Web Developer Role\nUpserve is looking for a seasoned website developer who has extensive experience with WordPress and loves creating custom web experiences. Making intuitive, responsive, user-friendly websites and microsites is a passion. Collaboration is key, working lockstep with the Marketing team and other internal stakeholders to gather requirements and plan web projects. Day to day, this means:\n-Developing custom, often complex WordPress-based solutions along with general PHP framework-based solutions\n-Providing guidance and suggestions when finding or developing new technologies and methods to advance the Upserve web offerings\n-Adapting layered design files into responsive HTML / Theme Files\n-Creating plugins & themes from scratch\n-Planning and implementing A/B tests\n-Keeping web properties up to date with latest SEO practices\n-Keeping software up-to-date and secure\n-Developing custom web applications\n-HTML email templating\n-Scoping website needs\n-Hitting deadlines\n-Exercising analytical thinking and judgement \n Required Skills and Experience\n-Advanced knowledge of self-hosted WordPress (Experience with Multisite WordPress instances a plus)\n-Strong understanding of PHP back-end development\n-Proficient with front-end development, including HTML5, CSS3/SASS, JavaScript and jQuery\n-Experience using a modern front-end development workflow including Node.js, gulp & bower\n-Experience with front-end frameworks such as Bootstrap\n-Comfortable working with version control software\n-Experience working with marketing automation tools (Marketo prefered)\n-Experience with Google Analytics, Google Tag Manager & Google Cloud\n-Experience with Adobe Cloud or equivalent cloud-based design tools\n-Comfortable developing with APIs\nABOUT UPSERVE\n Upserve is the magic ingredient that helps restaurateurs thrive by putting everything they need in one place. We are a leading restaurant management platform with a cloud-based Point of Sale (POS) system, data and analytics, inventory management and payments processing for small to midsize restaurants. Thousands of restaurants use Upserve to manage relationships with more than 57 million active diners, process over $12 billion in annual sales, and to serve over 36 million meals per month. Being a part of the Upserve team brings a plethora of amazing benefits and here are a few:\n We\xe2\x80\x99ll invest in your career. Upserve is growing quickly, and we\xe2\x80\x99ll give you the opportunity to do the same. Through our internal learning and development resources and our partnership with Vista Equity Partners, you\xe2\x80\x99ll have access to a number of professional development opportunities so that you can keep up with the company\xe2\x80\x99s evolving needs. We care about your wellbeing.\n We offer a very robust medical and dental insurance coverage plan, offer tax savings plans for retirement and dependent care, subsidize your transportation costs, offer a generous and inclusive parental leave, and provide catered lunches/meal allowances.\n We offer competitive compensation packages. Our people matter! We don\xe2\x80\x99t ignore the role that compensation has on motivation and performance so we strive to equitably compensate our people.\n We\xe2\x80\x99ve created an inclusive environment where everyone can thrive. Our customers are a diverse group, so we\xe2\x80\x99re building a team that is too. Through our various D&I recruitment partnerships, intramural sports, quarterly engagement and feedback surveys, and more. We\xe2\x80\x99re building an organization that provides our employees with the emotional and physical space to bring their best selves to work.\n  Want to know what it\xe2\x80\x99s like to work at Upserve? Check out our Instagram, Inside Upserve.\nUpserve is proud to be an Equal Opportunity Employer. We strive to have a team that is as diverse as the industry we serve. We partner with a number of local organizations working to improve access to the tech industry for underrepresented groups. All qualified applicants will receive consideration for employment without regard to their race, color, religion, national origin, sex, sexual orientation, gender identity, protected veteran status or disability.'"
b'Web Designer',b'LTC Partners',"b'Portsmouth, New Hampshire'","b""We have an exciting opportunity for the right candidate to join our User Experience team. The right candidate needs to have a balance of creative and technical skills. This position is focused on developing intuitive and effective digital experience across all applicable devices and form factors. Our UX team leverages a variety of methods to obtain data for making informed design choices. We synthesizes and use that information to create solutions capable of combining user feedback, business requirements, behavior analytics research to enable users to accomplish the desired product goals.  \n\nThe Web Designer is responsible for developing intuitive, effective web solutions based on approved user stories and wireframe flows that facilitate user-centered solutions suited to creating responsive, simple, and intuitive digital experience across all applicable devices and formfactors. The Web Designer synthesizes and uses that information to plan, design, evaluate, develop, test, edit, and maintain optimal digital experience. The Web Designer supports team operations by developing client side code for both external and internal websites for application development.  \n  Required \n3+ years\xe2\x80\x99 experience with HTML development and troubleshooting. Experience in visual design, user interface, and front-end best practices. Strong knowledge of hand coding HTML5, CSS3, JavaScript and jQuery. Experience on Adode Creative Suite. Experience working on an Agile/SCRUM project methodology. Comfortable working in a collaborative team with shared roles and responsibilities. Ability to work independently across multiple functional groups. High School diploma or equivalent.  \n  Preferred  \nExperience publishing code via Eclipse, Jenkins and GitHub a plus. BA/BS in Digital Communications or Computer Science.\n  LTC Partners is an equal opportunity employer. Our company is a Vietnam Era Veterans' Readjustment Assistance Act (VEVRAA) federal contractor and committed to hiring veterans.  """
b'Web Developer',b'The Judge Group',"b'Providence, Rhode Island, United States'","b'The Judge Group is seeking a Full Stack Developer. In this role you will be involved in researching, designing, and implementing digital applications and platforms.You will have the ability to bring cutting edge technology to the forefront of your digital designs and work collaboratively on building out enterprise wide digital platforms that will be highly impactful.\nThis role has a great deal of autonomy to bring new technical skills and ideas to the table each day. \n\n Job Requirements:\n Understanding of or interest in object-oriented programming practices. \n Experience with the migration from monolithic application development to micro-services preferred. \n Experience with Agile development incorporating continuous integration and continuous delivery, utilizing technologies such as Git, Maven, Jenkins preferred. \n Experience with application development frameworks and version control tools such as  React, Vue preferred. \n Experience with languages, such as Java, Javascript, ES6, Node JS, React preferred.\n Experience with or interest in RESTful APIs utilizing structured data formats such as JSON and  JavaScript frameworks such as Node, Vue, React and/or Angular.\n Experience or interest in architecting and building highly interactive user interfaces and RESTful APIs.'"
b'Web Analytics Developer',b'ASICS Digital (formerly Runkeeper)',"b'Boston, Massachusetts, United States'","b""Are you passionate about both software engineering and consumer marketing data analytics? ASICS Digital, formerly Runkeeper, is looking for a Web Analytics Developer. This person will play a vital role in driving growth of Runkeeper, ASICS Studio and ASICS online properties, including ASICS, ASICS Tiger, Onitsuka Tiger, Haglofs, marketplaces, and other digital commerce consumer engagements.\n\nASICS Digital is based in Downtown Crossing, Boston, Massachusetts. We are a division of ASICS, based out of Kobe, Japan. Our goal is to \xe2\x80\x9cget the whole world moving\xe2\x80\x9d by developing innovative direct-to-consumer personalized experiences that truly improve the entirety of our customers lives. We are responsible for the continued development of mobile-fitness solutions such as ASICS Runkeeper and ASICS Studio, global e-commerce platforms, and other digital services that encourage people to move, get fit, and stay balanced.\n\nWhat You'll Do\nWork with different(marketing, analytics, development) teams across the organization and tackle pixel/tag implementation requests in an efficient way within a tag manager (TealiumIQ)\nUse browser web debugging tools to perform tag validation and QA\nPerform Tagging audits/data integrity checks on a regular basis to have better control over the tags deployed across the sites\nDocument and maintain a copy of tagging requests from the different teams\nUse mobile proxy tools like Charles/Fiddler to validate analytics tagging across mobile applications and mobile web tagging\nCollaborate with different vendors(marketing, social media, affiliates, etc.) to understand different analytics implementation techniques and suggest implementation best practices based on well defined organization standards\n\nWhat You've Done\n1-2 years of years of web development/web analytics implementation experience.\nStrong frontend HTML5, CSS, Javascript & jQuery experience. Knowledge of Google Analytics.\nExperience working with browser debugging tools(UDO debugger, network tools, wasp, etc.).\nExperience working with tag management tools(Tealium, Google tag manager, DTM/Adobe Launch). Tealium experience is a plus. \nExperience working with analytics tools such as Google analytics, Adobe analytics.\nExperience with technologies such as: Angular JS, nodeJS, python is a plus.\nExperience working in an agile environment and with tools like JIRA\n\n*This role is not eligible for visa sponsorship or visa transfer.*\n\nASICS Digital is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, veteran status, or fitness level."""
b'Web Engineer - Editorial Team',b'Spotify',"b'Boston, MA, US'","b""The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Daily Mix to Discover Weekly, we\xe2\x80\x99re behind some of Spotify\xe2\x80\x99s most-loved features. We built them by understanding the world of music and podcasts better than anyone else. Join us and you\xe2\x80\x99ll keep millions of users listening by making great recommendations to each and every one of them.\n\nWe are looking for a Web Engineer to help support and grow the tooling Spotify\xe2\x80\x99s Editorial team uses to create playlists that millions of users listen to every day. We want to enable Editors to create compelling playlists by providing them with the tools and the insights to best leverage their music knowledge.\n\nWhat You'll Do\nBe a valued member of an autonomous, cross-functional agile team to continuously experiment, iterate and deliver on new product objectives as well as improving existing architecture.\nBe a strong participant in the Spotify-wide web developer community affecting and driving web engineering across the company.\nBe a technical leader within the team you work with and within Spotify in general.\nFacilitate collaboration with other engineers, product owners, and designers to solve interesting and challenging problems for delivering various media worldwide.\nHack on what you want during regular hack days and bi-annual hack weeks.\n\nWho You Are\nYou\xe2\x80\x99re an experienced Javascript developer with at least 4+ years of experience, who has been involved in a number of large-scale, consumer facing web projects.\nYou have a deep understanding of JS design patterns, data structures, and web architecture and understand how to apply them to design pragmatic solutions. You are proficient in some of the following: JavaScript, TypeScript, React, Styled Components.\nYou are interested in keeping up with current best practices in your areas of expertise.\nYou are experienced working with modern infrastructure and tools.\nYou know and care about sound engineering practices like continuous delivery, defensive programming and automated testing.\nYou\xe2\x80\x99re familiar with designing and building distributed and scalable systems and enjoy seeing millions of users running your code.\n\nYou are welcome at Spotify for who you are, no matter where you come from, what you look like, or what\xe2\x80\x99s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be brilliant. So bring us your personal experience, your perspectives, and your background. It's in our differences that we will find the power to keep revolutionizing the way the world listens.\n\nSpotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world\xe2\x80\x99s most popular audio streaming subscription service with a community of more than 271 million users."""
b'Web Developer',b'Allego',"b'Needham, MA, US'","b'Allego is a RAPIDLY growing SaaS technology company who pioneered a modern approach to sales learning and coaching. Our technology ensures that sales teams have the skills and knowledge to make the most of every selling situation. With over 200,000 users relying on Allego\xe2\x80\x99s modern sales learning and readiness platform, we\xe2\x80\x99ve experienced triple digit growth every year since our founding in 2013. Not only are we growing quickly, but The Boston Business Journal has named us a Best Places to Work honoree for the past two years.\n\nWe\xe2\x80\x99re looking for an experienced, creative, strategic-thinker to join our Web Development team. and help grow our product to the next level. In this role, you will develop the next generation of a Software-as-a-Service (SaaS) web application that is used by end users of Allego\xe2\x80\x99s Sales Learning platform and by administrators and supervisors who configure the advanced features of the system.\n\nWe offer a flexible, collaborative work environment, working closely with a multi-disciplined team to bring great products to our customers. Along with the essential qualifications listed below, the ideal candidate will be someone looking to rapidly build their technical skills in a challenging new product space.\n\nRequirements\n\nPassion for web development and cross-browser compatibility\n\nStrong working knowledge of JavaScript, HTML, CSS, JSON, and server side Java and JSP\n\nAbility to independently diagnose and solve code problems using sites like MDN and Stack Overflow\n\nExperience using browser dev-tools for debugging problems\n\nPreferred Experience\n\nA history of contributions to open source projects\n\nA creative / design background\n\nExposure/experience with jQuery (or a similar framework)\n\nExposure/experience with a modern front-end build pipeline (gulp / webpack / npm / babel / sass / scss / etc)\n\nExposure/experience with Git (or a similar version control system)\n\nExposure/experience with Node.js\n\nBenefits\n\nAllego offers a comprehensive and competitive benefits program that enables employees to choose the benefits that best fit their needs and the needs of their families. Full time new hires are eligible for most benefits on the first day of employment. The following is a summary of the benefits offered to Allego employees.\n\nHealth and wellness\n\nMedical\n\nDental\n\nVision\n\nGenerous time off policy\n\nEmployee Assistance Program\n\nSecurity and savings\n\nDisability\n\nLife insurance\n\nHealthcare Reimbursement Arrangement (HRA)\n\n401(k)\n\nFlexible Spending Accounts (FSA)\n\nCulture and Values\n\nOur Core Values, better known as Allego\xe2\x80\x99s Operating Principles, are at the heart of our business. They are the fabric of our culture and central to our approach to work, our customers and with each other.\n\nSeeking Truth\n\nProblem Solving\n\nEmbracing Mistakes\n\nCustomer Focused\n\nExecution Excellence\n\nGrowth Mindset\n\nExtra Mile'"
b'Web Developer',b'Ascensus',"b'Newton, MA, US'","b'Section 1: Position Summary\n\nDevelop web and mobile\n\nexperiences that help millions of people achieve their financial goals. Help take new features and designs from concept to completion using Jahia, an enterprise level content management system, and modern web practices. Collaborate with UX Designers, Back-End Developers, Product Owners, Marketing, and Business Analysts to create experiences our customers love and that drive results for the business. Serve as a subject-matter expert for web development and using Jahia as a templating and content distribution tool.\n\nSection 2: Job Functions, Essential Duties and Responsibilities\n\nUse web development expertise to build compelling web and mobile experiences that are clear, beautiful, and effective.\nSolve problems. Partner with UX design, back-end development, marketing, business, analytics and customers on strategy, execution, and troubleshooting of solutions.\nBuild strong, collaborative relationships. Manage expectations within the team and with customers.\nDevelop and implement code as templates and modules using Jahia.\nPartner with content authors to manage work streams of content and design update requests from stakeholders.\nPatch updates using a multi-server promotion process\nCreate and manage API connections to and from the Jahia platform.\nAssist with other tasks and projects as assigned.\nResponsible for protecting, securing, and proper handling of all confidential data held by Ascensus to ensure against unauthorized access, improper transmission, and/or unapproved disclosure of information that could result in harm to Ascensus or our clients.\nOur I-Client service philosophy and our Core Values of People Matter, Quality First and Integrity Always\xc2\xae should be visible in your actions on a day to day basis showing your support of our organizational culture.\n\nSupervision\n\nPosition will report to Director, UX in Newton, MA.\n\nSection 3: Experience, Skills, Knowledge Requirements\n\nUndergraduate degree or equivalent experience.\nFluent in the following technical skills:\nModern HTML, CSS, JavaScript\nBasic Java and OOP design patterns\nExperience with Agile Development Practices\nUnderstanding of Responsive Interface and Component Design\nCMS Development (Jahia is preferred)\nExperience with Hybrid/Mobile Application Development is a plus\nProgressive Web Application Development is a plus\nExcellent collaboration and communication skills. Able to present ideas and influence teams.\nStrong focus on user experience, a passion for good design and for building solutions using the latest technologies and best practices.\nAbility to understand business requirements and concepts and translate those into technical solutions.\nAttention to detail.\nExcellent organizational skills. Able to switch between tasks and across projects.\n\nWe are proud to be an Equal Opportunity Employer\n\n\nAscensus is a place to have a career, not just a job. As the largest US independent retirement and college savings services provider, we put our focus on people. Our culture is guided by sound principles, is committed to high standards, operates with transparency, and welcomes diversity. When you join our team, you get to go to work every day knowing that you help over 10 million Americans save for retirement and college.\n\nAscensus is an Equal Opportunity Employer and does not discriminate on the basis of race, color, creed, national origin, ancestry, religion, age, citizenship, sex, marital or veteran status, disability or handicap, sexual orientation or any other basis prohibited by applicable law. Ascensus also takes affirmative action to employ, and advance in employment, qualified women, minorities, and covered veterans. Ascensus also makes reasonable accommodations for qualified individuals with disabilities, in accordance with the Americans with Disabilities Act and applicable state laws'"
