title,company,location,job description
b'WEB API Developer',b'NIC INFOTEK',"b'Chicago, Illinois, United States'","b'Web API Developer\n6+ months\nRosemont, IL\nJob Address:\n8410 W Bryn Mawr Ave\nChicago, IL 60631\n\n\nThe top requirement is 5+ years of api , and ibm controld desk preferably experience.\n\nManger of team \xe2\x80\x9ctools and integration\xe2\x80\x9d\nConfiguration Management \xe2\x80\x93 systems they use to extract configuration data or do planning of the configuration network elements that support US cell wireless network\nFault Management \xe2\x80\x93 IBM net cool, understand what happened in the network and call attention to\n\nNEED: API dev to support product called IBM Control Desk\nOn operations team, entering data into IBM Control Desk \xe2\x80\x9cICD\xe2\x80\x9d\xe2\x80\x93 they want to push data into the system\nCustomized vertical solution using \xe2\x80\x9cIBM Maximal Platform\xe2\x80\x9d\nAPI Development Skills 5+ YEARS\n3 scale API Gateway SQL system platform\nHTML 5, Jython, XML 5\n\nOnsite M-F? In the future, yes\nStart Date: \xe2\x80\x9cyesterday\xe2\x80\x9d\n\nYears of experience: 5+ years API experience'"
b'React/ Front End Developer',b'Forbes Technical Consulting',b'Greater Chicago Area',"b""Sr. React Developer\n6+ month contract\nChicago, IL\nPlease send resumes to Aleta at Aleta@forbestc.com.\nRequirements and Responsibilities:\nTop skills/ Relevant Stack: TypeScript, React, Redux, Node.js\nResponsibilities\nAs a UI Software Developer, you will be working on digital transformation initiatives for our next generation trading platform using the latest emerging technologies. Use best practices in web development to translate UI designs and workflows into a working, interactive, performant application experience. Actively work to improve quality, efficiency, and maintainability of the existing codebase. Share your knowledge and mentor junior developers.\nRequirements\nMinimum of 5-7 years of professional experience in web development\nProfessional experience with Typescript, React, Redux, NodeJS\nProfessional experience writing single page apps utilizing modern Javascript frameworks\nExcellent grasp of OOP and how it is applied in Javascript.\nProfessional experience working on complex UI platforms with custom components and features and the highly complex domain model\nFull knowledge of RESTful and web-socket protocols\nExperience with Test Driven Development (We take full ownership of our code and it's quality and use Cypress, Jest and Enzyme)\nSolid understanding of using Git, Github, and continuous integration tools.\nDesign Thinking, Lean, and/or Agile experience\n4 year college degree; Computer Science or related discipline or equivalent experience\n\nContact:\nAleta Giordano Ross\nSenior Recruiting Consultant \nForbes Technical Consulting LLC | 401 N. Franklin |Suite 3S | Chicago, IL 60654\nE:  aleta@forbestc.com"""
b'Web Developer',b'ettain group',"b'Glenview, Illinois, United States'","b'Web Developer \n\n \nEssential Duties:\n\xc2\xb7       Take responsibility for product delivery success\n\xc2\xb7       Able to work individually or as team contributor\n\xc2\xb7       Self-Starter, able to work Remote (Home Office)\n\xc2\xb7       Ensure milestones are reached and deadlines are met\n\xc2\xb7       Manage partnerships and delivery with internal and external parties.\n\xc2\xb7       Follow defined Software Development Life Cycle and coding standards\n  Required Skills/Experience\n\xc2\xb7       Bachelor\xe2\x80\x99s Degree in a related field\n\xc2\xb7       5 + Years ASP.net C# Web Development\n\xc2\xb7       5 + Years SQL server\n\xc2\xb7       HTML5, CSS3, JavaScript\n\xc2\xb7       Strong analytical and problem-solving skills\n\xc2\xb7       Strong Documentation skills\n\xc2\xb7       Strong Communication skills\n  Desired Skills\n\xc2\xb7       Distribution Industry experience\n\xc2\xb7       Infor SX Enterprise Experience\n\xc2\xb7       Oracle\n\xc2\xb7       XML, Json and SAML\n\xc2\xb7       Progress PASOE\n\xc2\xb7       Rest APIs\n\xc2\xb7       Excel Experience'"
b'Web Developer',b'Luxor',"b'Gurnee, Illinois'","b""GENERAL PURPOSE: \nThe Web Developer role is part of the ecommerce and web development team within the IT department responsible for supporting existing suite of ecommerce websites under the Luxor brands to help us grow, expand and enhance our ecommerce presence and strategic initiatives. This position is responsible for developing engaging, responsive design for our websites, integration work with ERP, database and 3rd party services, and collaborating with IT and business teams.\n  ESSENTIAL DUTIES AND Responsibilities:\nDesign and develop customer-facing mobile and desktop e-commerce sites using HTML5, CSS, PHP, JavaScript and/or other related programming and scripting languages.\nMaintain and enhance systems based on business requirements, using approved technologies and coding standards.\nParticipate in requirements analysis, testing, documentation, application and data support for ecommerce sites.\nCommunicate with business analysts and stakeholders to gather accurate specifications for new enhancements and applications and translate requirements into functional code.\nPerform code deployments & ensure proper change management practices are followed.\nCollaboration with other team members on best practices for web development, integrations with 3rd party systems and digital marketing strategies and objectives.\nMonitor and optimize systems to ensure they perform well, including performance testing, multiple browser testing, mobile interface testing, etc.\nMaintain continuous improvements related to user experience, site performance, SEO, and other best practices.\nIncorporate data-driven insights to inform design decisions and recommend short/long term actions.\n  OTHER DUTIES AND RESPONSIBILITIES: \nAttend webinars and conferences and initiate online training and research to stay current on trends, best practices, industry standards, and software\nDevelopment and support for A/B tests to continually test enhancements and features that drive higher conversion rates, overall site and/or campaign performance.\nDevelop, test, and troubleshoot across multiple browsers, platforms and devices, including tablets and smartphones, to support a consistent and positive customer experience and maximize conversion rate on our eCommerce properties.\nPartner with EBSCO (Parent company) Corporate IT Web Development team to continually refine and document front and back end development best practices\n  SKILLS AND ABILITIES REQUIRED:\nProven expertise developing and designing ecommerce websites and application development\nSolid understanding of relational database systems and developing/scripting t-SQL\nSystem integration experience with Web Services technologies (JSON, XML, APIs, etc.)\nExperience supporting and developing server-side application logic, FTP, networking and integrating ecommerce applications with ERP systems\nExperience with ecommerce and digital marketing concepts (CRM, analytics, email, SEO, optimizing content, etc.)\nEffective communicator of technical issues to non-technical teammates\n\xc2\xb7       Creative problem-solver with ability to foster and develop ideas\n\xc2\xb7       Strong time management skills with ability to handle multiple projects and changing priorities in a highly fluid environment\n\xc2\xb7       Proactive, resourceful, detail oriented, collaborative, and accountable\nAbility to work as a member of an integrated team in an open office environment\n\nEDUCATION AND EXPERIENCE REQUIRED: \n\xc2\xb7       Work History Requirements:\no   Minimum of 3 years directly related work experience with eCommerce web development\n\xc2\xb7       Education Requirements:\no   Bachelor's degree in Computer Science, Web Design or equivalent work experience (minimum 5-7 years) in directly related roles\n  Computer equipment and level of software requirements: \n\xc2\xb7       Intermediate to advanced level HTML, CSS, PHP, Javascript, Java, jQuery\n\xc2\xb7       Experience with Adobe Creative Suite applications\n\xc2\xb7       SQL development and basic level database understanding\n\xc2\xb7       Deep understanding of current and past web browser technologies, versions, and challenges faced by web eCommerce storefronts from client browser compatibility\n\xc2\xb7       Understand and use common code/application change control platforms and ticket systems\n\xc2\xb7       Magento (Version 2 experience a plus)\n\xc2\xb7       ShopifyPlus experience a plus\n  Specific Knowledge, licenses, certifications REQUIRED:\n  Certification in any ecommerce or web-based application technologies is a plus.\n  SUPERVISORY RESPONSIBILITIES:\n  None\n  TRAINING REQUIREMENTS:\n  \xc2\xb7       General Workplace Safety\n.\nPHYSICAL DEMANDS:\n  None\n  PHYSICAL PROTECTIVE EQUIPMENT:\n  None\n  WORK ENVIRONMENT:\n  Usual office working conditions"""
b'Web Developer',b'Orion Business Innovation',"b'Chicago, Illinois, United States'","b'Job Title :   Web Developer(remote) and Multiple location\nJob Location:  Chicago, IL, Dallas, TX, St Louis, MO\n  Description\nI am reaching out to you for an exciting job opportunity that matches your Skills\n \nIf available and interested in the role, please forward me your updated resume and I shall get in touch with you.\n \nAlso be free to circular this role to friends or colleague looking for new opportunities.\n \nAbout Orion\nFounded in 1993, Orion provides innovative IT services and solutions to global industry leaders as well as millennial companies to help them achieve business transformation. With a consultative approach and solutions driven mindset, we reinvent your business processes with new and better ways of working. We do this by enabling the use of enterprise data, the cloud and digital technologies.\n    What\xe2\x80\x99s in it for you?\nA platform to unleash your skills and transform the world around you\nA team of like-minded professionals\nAn opportunity to shape the technology of tomorrow, while working with the latest technologies\n\nJob Title :  Web Developer(remote opportunity) and Multiple location\nJob Location: Chicago, IL, Dallas, TX, St Louis, MO\n\nTechnical Skills:\n\n\xc2\xb7         Understanding of supporting browser based applications and debugging (Chrome, IE, HTML, HTML5, XML, Javascript)\n\xc2\xb7         Experience with Programming languages .NET/C# and scripting language like PowerShell Strong Knowledge of troubleshooting & supporting applications running on Windows server OS applications, IIS (Ideally based on .Net)\n\xc2\xb7         Ability to perform data analysis, develop SQL database queries in MS SQL Server and experience in using SQL Profiler\n\xc2\xb7         Experience in infrastructure concepts related to distributed applications (Load balancers, Networking. Firewall, NAT, Virtual servers, SAN) so you can engage with other infrastructure teams.\n\xc2\xb7         Understanding of various protocols, TCP/IP, HTTP(S), SSL, WWW, Telnet, DNS, DHCP, RDP Exposure to industry standard ITSM tools to monitor and track Incidents, Problem, Change, Requests (ServiceNow strongly preferred) Experience in Azure cloud console, Azure ILB, Azure Application Gateway Experience providing application support to end users both in person, remotely, via IM, phone and email\n '"
b'Web Developer',b'Epic',"b'Chicago, IL, US'","b""TL;DR\n\nHigh-impact software development jobs for smart people.\n\nCode that saves lives.\n\nAs a software developer at Epic, you\xe2\x80\x99ll write software that impacts the lives of 75% of Americans and 250 million patients around the world. Working in your own office, surrounded by thousands of high-caliber developers, you\xe2\x80\x99ll use modern development methodologies and employ user-centered design, analytics, and machine learning tools to drive innovation in healthcare. Using leading-edge technologies and languages like JS, TS, and C#, you\xe2\x80\x99ll invent better ways to reduce medical errors, streamline record sharing between hospitals, and provide the quality of care a patient deserves.\n\nWrite software for the most innovative health systems on the planet.\n\nAll the Top 20 health systems in U.S. News and World Report are Epic customers. Our community includes major systems like the Mayo Clinic, Johns Hopkins, Cleveland Clinic, and Kaiser Permanente, as well as leading academic medical centers at the University of Wisconsin, University of Michigan, University of California, University of Texas, The Ohio State University, and many more.\n\nWork in your own office, eat delicious food, and travel the world.\n\nWe don\xe2\x80\x99t believe in cubicles. (Well, we believe they exist, but\xe2\x80\xa6) You will work in an individual office that will heighten your ability to get stuff done. For lunch, visit King\xe2\x80\x99s Cross or Cassiopeia for a wide array of meal options, or go to one of our smaller, themed bistros, featuring wood-rotisserie, pan-Asian, and Latin-inspired cuisine. All meals are restaurant-quality but cost only a few dollars, and they\xe2\x80\x99re prepared by a team comprised of kitchen talent from restaurants around the country. And, after five years here, you\xe2\x80\x99ll earn a four-week sabbatical anywhere in the world. Staff have kayaked in Patagonia, attended a Beyonc\xc3\xa9 concert in Ireland, built a library in Tanzania, and run a marathon in Antarctica.\n\nLive affordably in a city known for its rising tech talent.\n\nEpic is located just outside Madison, Wisconsin the second fastest growing market for tech talent in the United States and home to the state capital and the University of Wisconsin. Madison, a city surrounded by water, has received accolades for being the greenest city in America (NerdWallet), the best city for renters (SmartAsset), fittest city in America (Fitbit), and, for the gamers, is one of a handful of US cities to have a Killer Queen arcade game, located at Madison\xe2\x80\x99s first arcade bar.\n\nMore than just important work.\n\nWe offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity/Affirmative Action (W/M/Vets/Disability) employer. Please see our full non-discrimination statement at https //careers.epic.com/EEO.\n\nRequirements\n\nOpen to relocation to the Madison, WI area (we will bring you here to explore the city for yourself)\nBS/BA or greater in Computer Science, Mathematics, Software Engineering, Computer Engineering, or a related field\nA history of academic excellence or professional success\nEligible to work in the United States without visa sponsorship (persons with appropriate qualifications and eligible for TN status under NAFTA may apply)"""
b'Frontend Developer',b'Parts Town',"b'Addison, Illinois, United States'","b""See What We\xe2\x80\x99re All About\nAs the fastest growing distributor of foodservice equipment parts, we like to do things a little differently. We believe our team should be like family. Not like a second cousin, twice removed, but more like the family you choose to be with every day. First, you have to demonstrate our core values and keep safety as your #1 priority, that\xe2\x80\x99s key. But we\xe2\x80\x99re also looking for unique enthusiasm, high integrity, courage to embrace change\xe2\x80\xa6and if you know a few jokes, that puts you on the top of our list.\n Do you have a genius-level knowledge of foodservice equipment parts? If not, no problem! We\xe2\x80\x99re more interested in passionate people with fresh ideas from different backgrounds. That\xe2\x80\x99s what keeps us at the top of our game. We\xe2\x80\x99re proud that our workplace has been recognized for its growth and innovation on the Inc. 5000 list, eleven years in a row and the Crain\xe2\x80\x99s Fast 50 list seven times.\n If you\xe2\x80\x99re ready to roll up your sleeves, go above and beyond and put your ambition to work, all while having some fun, let\xe2\x80\x99s chat \xe2\x80\x93 Apply Today!\n Perks\nParts Town Pride \xe2\x80\x93 check out our culture !\nQuarterly profit sharing bonus\nFitness center, game room and on-site food market\nTeam member appreciation events and recognition programs\nVolunteer opportunities\nCasual dress code\nAll the traditional benefits like health insurance, 401k/401k match, employee assistance programs and time away \xe2\x80\x93 don\xe2\x80\x99t worry, we\xe2\x80\x99ve got you covered.\n\nThe Job at a Glance\nAs a Front End Web Developer (internally known as a Software Ninjaneer) you\xe2\x80\x99ll be responsible for bringing to life the desktop and mobile user experience for our customers. You get to build and fine tune the customer-facing user interface that generates hundreds of millions of dollars in revenue and helped make Parts Town an 11-time Inc. 5000 winner. You will leverage cutting edge UX technologies to develop and deploy never-before-seen capabilities to the foodservice industry. The websites you build and support will help fuel the incredible growth of Parts Town for years to come.\n A Typical Day\nDesign and develop UX features for Partstown.com and other supported websites that target our key customer segments and partners\nContinuously refine our development process to deliver value faster and improve the quality and sustainability of our applications\nAny other duties needed to help drive our Vision, fulfill our Mission and support our Core Values\nWorking from home flexibility is available\n\nTo Land This Opportunity\nYou have a Bachelor's Degree in Computer Science or a related field, or 3+ years relevant work experience\nYou are successfully practicing your skills of HTML, CSS, and JavaScript for more than 3 years\nYou have experience working on React/Angular applications.\nYou are mastering web application code design and architecture for more than 2 years\nYou are a Pro in 1 or more core languages like Java, C++, Python, Ruby, Node.js and version control software platforms like git, Subversion, Mercurial\nYou know all the \xe2\x80\x9chows\xe2\x80\x9d to convert a design document into a working user interface with no loss in fidelity\nYou are a wizard of usability principles, responsive web design, cross-browser compatibility, and HTML document architecture\nYou successfully delivered one or more production web applications (500+ users) using a contemporary JavaScript framework like Angular, React, Backbone, Ember, Meteor, jQuery\nYou\xe2\x80\x99re an all-star communicator and are fluent in English (both written and verbal)\nYou ask A LOT of questions \xe2\x80\x93 And you rarely get discouraged\nYou work well with small teams \xe2\x80\x93 You love collaborating with various teams to come up with the best solution, and people love having you involved in their projects\nYou have some other relevant experience \xe2\x80\x93 E-commerce and/or distribution experience is a plus\n About Your Future Team\nThe Ecommerce team is a highly capable group that embraces the rapid change that comes with incredible growth. We bring our whole selves to work each day - personality and all - in true Parts Town style.\n Parts Town welcomes diversity and as an equal opportunity employer, all qualified applicants will be considered regardless of race, religion, color, national origin, sex, age, sexual orientation, gender identity, disability or protected veteran status."""
b'Web Developer',b'VTEKH',"b'Buffalo Grove, IL, US'","b'Job Description\n\nWe are seeking a Web Developer. The job duties for the web developer include but are not limited to: Collaborate closely with design team to create beautiful, intuitive and effective user interface from scratch. Building custom web applications from scratch. Support and bug-fixing of existing web applications.\n\nThe web developer will possess knowledge of web standards, responsive design, and cross browser compatibility. Expereince with Javascript, jQuery, Ajax, Json is required. Expereince with backend development using PHP/MySql is required. Expereince with VB.Net or .Net is a plus. Working in a team environment is required.\n\nAttention: This is not a consulting or sub contracting position. It is a full time position working from our Buffalo Grove Office IL Strictly no third parties please.\n\nAre you fresh out of college?\n\nIf you have analytical skills, quick learner, love to code, Freshers can also apply for this position.\n\nWe also sponsor for the right candidate.\n\nIdeal candidate can write/ program everything from Scratch and interact with business users.\n\nJob Type: Full-time\n\nWe are working on Mortgage related projects from past 17 years. Our Mortgage IT division url: www.techniecode.com.'"
b'Web Application Developer',b'Keypath Education',"b'Schaumburg, Illinois, United States'","b'We are looking for the right developer to build applications for online learning\n\nThrough this opportunity you\xe2\x80\x99ll have a chance to impact students around the world. Keypath Education is making a global impact in online education. We are looking for a candidate that is passionate about technology with the skills to provide an incredible user experience for students.\n\nResponsibilities Include, But Are Not Limited To: \nWork in a creative team environment to build full stack applications for student engagement\nDevelop responsive html/CSS/JavaScript (jQuery) code to form page templates, prototypes and production code, that is performant and accessible across all common browsers\nProvide diligent user testing and ensure your work delivers an intuitive and memorable user experience\nAdvise on user interface best practices to meet performance and client requirements\nDevelop images for courseware through image creation/manipulation software packages\nDevelop animations and interactive elements to enhance student engagement within the online environment\nMentor Front End Web Developers\nContribute to continuous improvement\n\nThings That Should Be in Your Background:\nBachelor\xe2\x80\x99s degree preferred\nMinimum of 3+ years professional experience with PHP\nMinimum of 1+ years professional experience with Laravel or similar framework\nProficient in client-side technologies including (X)HTML5, CSS3, JavaScript (jQuery)\nDemonstrated experience in server-side development with PHP, Node, and other languages.\nDemonstrated experience in Database development with MySQL, PostgreSQL, MongoDB,  or equivalent\nGood working knowledge of Adobe Creative Suite with expertise in Photoshop and Illustrator in particular\nExperience in working collaboratively with wireframes and technical specifications for interactive websites\nStrong HTML skills, and an ability to create elegant, semantically clean mark-up\nStrong understanding of CSS, its cross-browser quirks and a keen eye for details\nDemonstrated experience in managing maintainable, scalable, cross-browser code that is a delight to experience on any device\nKnowledge of Web Accessibility Standards\nExperience working with learning management systems such as Blackboard, Moodle, Canvas and others is strongly preferred\nAbility to work with multiple deadlines and multiple projects simultaneously in a fast-paced, changing environment\nAbility to adapt and to solve problems proactively and creatively\nUnderstanding of the Higher Education Sector is preferred\n \n About Keypath Education:\n Keypath Education is dedicated to creating global access to high-quality online education by partnering with the world\xe2\x80\x99s best universities to launch and grow high-quality degree programs with its online program management (OPM) services. Through OPM partnerships, Keypath acts as an extension of the university\xe2\x80\x99s team, keeping its brand and academic rigor intact while accelerating the growth and quality of the university program portfolio and providing an exceptional student experience through industry-leading technology. Services provided include market research, capital investment, program development, marketing, student recruitment, retention and course development. The company supports more than 20+ partners and 80+ online programs worldwide via its offices and teams in the United States, Canada, the U.K. and Australia. Learn more at keypathedu.com.\n Why It Is So Great to Work at Keypath Education:\n Keypath offers a high-energy culture that is team-focused, data driven, challenging and exciting. We work hard, but our offices filled with people who like working together. People understand what is expected of them and are empowered to make the right decisions that achieve results in an ethical way.\n Benefits\nKeypath offers a comprehensive benefits package:\nMedical, dental and vision coverage\nLife insurance, disability and 401K\nGenerous paid leave policies\nTuition reimbursement program\nOnsite Fitness Center\n Note: The above statements outline the nature and level of work performed by individuals assigned to this position and are not intended to be an exhaustive list of all responsibilities and skills required. All employees may be required to occasionally perform duties outside of their normal responsibilities as needed.\n Keypath Education is an equal opportunity employer that does not discriminate against applicants or employees and ensures equal employment opportunity for all persons regardless of their race, creed, color, religion, sex, sexual orientation, pregnancy, national origin, age, marital status, disability, citizenship, military or veterans\xe2\x80\x99 status, or any other classifications protected by applicable federal, state or local laws. Keypath\xe2\x80\x99s equal opportunity policy applies to all terms and conditions of employment, including but not limited to recruiting, hiring, training, promotion, job benefits, pay and dismissal.'"
b'Web Developer',b'Zacks Investment Research',b'Greater Chicago Area',"b'Web Developer\nThe ideal candidate would have experience as an engineer and architect for object oriented solutions using PHP and Python, preferably with Oracle/MySQL/Postgres and Linux. Strong experience with engineering, developing and coding sites is a plus.\nThe developer will plan, research, develop logic, code, and test and deploy several web projects with minimal assistance. They will need to know how to build a web application from the ground up, as well as modify and build upon an existing codebase.\nRequirements:\n\n5+ Years in web development using PHP/Python for customer facing and/or commercial websites\n3+ years utilizing objects in PHP/Python\n3+ years utilizing object oriented design and development\n3+ years utilizing web frameworks such as Angular, Node, jQuery or others\nKnowledge of XHTML is required\nExperience in development and maintenance of applications and Web Services using LAMP\nUnderstanding API structures and REST architecture\nExperience interfacing with relational as well as NOSQL databases is a plus\nUnderstanding XML and JSON data structures\nAbility to read and understand database structures\nExperience in e-commerce applications development\nDemonstrated excellent analytical, decision-making skills and willingness to take on big challenges and solve complex problems\nAbility to think strategically about business issues, manage deadlines, drive closure between cross-group teams, and communicate recommendations\nAbility to make strategically-sound decisions with little information in an fast moving environment, and be able to influence change and drive process and structure\nExcellent communication, team-work and problem solving skills\nExperience working with trading and investment data is a plus\n '"
