title,company,location,job description
b'Full Stack Web Software Developer',b'ServerLogic Corporation',"b'Denver, Colorado, United States'","b""ServerLogic has partnered with a growing company with offices in Denver, to identify a Full Stack Web Software Developer for this direct hire opportunity.\n  In this role, you will own some of the company\xe2\x80\x99s web applications to deliver and manage existing and new Internet products. The ideal candidate has a passion for building maintainable and scalable applications, solving problems, and delighting customers and business stakeholders.\n\nYou are able to break down complex problems and you design elegant, easy-to-maintain solutions that are resilient and robust. You are comfortable working in an existing codebase and have the judgment to make necessary changes to existing code while managing risk. You also have the ability to gather requirements from business managers, gain insight into business processes, and communicate ideas clearly to team members in order to support multi-person projects.\n\nResponsibilities:\nDevelop scalable and maintainable web applications. Products may include user interfaces, integrations with third party web services and new or existing databases.\nDevelop functional prototypes and beta web applications quickly to support market trials.\nSupport existing web applications including troubleshooting, bug fixing, required upgrades and modifications to existing functionality.\nWork with business stakeholders to define/clarify project requirements and acceptance criteria, define success metrics for features to be delivered\n\nRequired Skills/Experience:\nBachelor's or advanced degree in computer science, engineering, or mathematics.\n3+ years developing web applications with C#, ASP.NET MVC, JavaScript, Node, and JS frameworks (Angular/react/Vue)\nExperience developing business applications using SQL Server or other RDBMS and NoSQL databases.\nKnowledge of current best practices of web application development using HTML 5 and CSS.\nStrong understanding of software engineering best practices such as SOLID principles and design patterns.\nDevelopment experience under an agile development methodology and process\nStrong written and oral communication, documentation and interpersonal skills.\nExperience building and consuming microservices such as Rest or GraphQL\nExperience with unit testing and test-driven development.\nExperience using tools Jira, Visual Studio, Git, VS Code, VSTS\nStrong collaboration skills and a desire to help and learn from other developers\nAbility to grasp complex business logic and project requirements\nA willingness to question things and voice your opinion\nAzure Platform (Provisioning, monitoring performance, Application Insights, etc)\n\nBonus Skills/Experience:\nDevelopment experience of mobile-first user interfaces\n\nAll job offers are contingent upon passing a background check."""
b'Full Stack Web Developer',b'QSC',"b'Boulder, CO, US'","b""QSC thrives where innovative technology and compelling audio-visual experiences intersect. For over 50 years, QSC has pioneered the technology and solutions that enable immersive cinema, live performance audio, themed entertainment, digital collaboration and meeting experiences for our customers and partners around the world. A globally recognized innovator in the design, engineering, and manufacture of category leading high-performance loudspeakers, digital mixers, power amplifiers, audio processors, digital cinema solutions, and the Q-SYS\xe2\x84\xa2 software-based audio, video and control Ecosystem.\n\nBy joining the QSC team, you will be in a challenging, collaborative, fun, and innovative environment. We encourage employees to take ownership, to color outside the lines, and to imagine possibilities. Our culture is casual but dynamic, with cross-functional teams collaborating on creating memorable audio-visual experiences that deliver joy to people, wherever they are. At QSC, fun and hard work go hand in hand. Join us and make a difference in the way people experience movies, meetings, presentations, live performances, and much more.\n\nThe Full Stack Web Developer will employ front-end web technologies and Node.js in an embedded and cloud environment to bridge our Q-SYS platform to the connected world. Q-SYS is a fast growing, award winning, software and hardware platform encompassing cutting-edge audio, video and control products. You will creatively leverage web technologies to develop a leading web monitoring and management platform while respecting the unique requirements and challenges of a real-time distributed embedded system.\n\nThis position is based in Boulder, Colorado.\n\nResponsibilities\nApply good software design and development practices in an agile scrum environment\nWork with Software Quality Assurance to develop appropriate test strategies\nPerform other duties as assigned\nQualifications\nB.S. in Computer Science, or other STEM field with appropriate experience\nMinimum 8 years' experience developing web applications\nMinimum 3 years' experience with Node.js\nStrong expertise in JavaScript/ES6\nExpert knowledge of Node.js and the Node.js ecosystem\nIn-depth experience with front-end web technologies: HTML5, CSS, React/Redux, WebSockets\nDemonstrated ability to deliver product features to customers in a production environment\nDeep understanding of RESTful design principles and experience creating and consuming APIs\nSolid understanding of web security fundamentals\nExperience with revision control and CI tools\nExperience with at least one cloud environment such as AWS, GCP, or Azure\nFamiliarity with databases and message brokers\nFamiliarity with container technologies and microservices architectures\nFluency with Linux command line tools\nC++ development experience a bonus\nFamiliarity with professional audio and video products a bonus"""
b'Web Developer',b'Automox',"b'Boulder, Colorado, United States'","b""WHO YOU ARE\nYou are a skilled Web Developer who is motivated to combine the art of design with the art of programming. Responsibilities will include translation of UI/UX design prototypes to actual code that will produce visual elements of Automox.com and other digital experiences. You will work with the UI/UX designer and bridge the gap between graphical design and technical implementation, taking an active role on both sides and defining how the Automox digital experience looks as well as how it works. This is a high visibility and fast-paced environment where you will make a direct impact on the customer experience and the bottom line of the company.\n WHAT YOU WILL DO\nOwn the Frontend architecture\nDevelop new customer features\nBuild reusable code and libraries for future use\nEnsure the technical feasibility of UI/UX designs\nManage complex interactions and data flows\nOptimize the Automox website for maximum speed and scalability\nContribute to the continuous improvement of the development process.\nStay on top of current UI trends and help drive strategic planning for future\n\n REQUIRED SKILLS\nStrong development experience in Frontend technologies \nExperience working with advanced JavaScript libraries and frameworks, such as Next.js, React, Redux, ES6, Vue.js\nStrong HTML5, CSS, JS, AJAX, JSON skills\nExperience with modern build and testing tools such as Gulp, webpack\nExperience in designing & developing reusable frontend frameworks, node modules, and tools\nExperience with implementing external API's\nExperience with creating API endpoints and maintaining them.\nExperience developing in Node.js/Express.\nExperience in developing enterprise level single page applications that are highly responsive\nStrong quality focus, including success with design reviews, code reviews, unit testing, integration testing, etc.\nOwn and manage the delivery of features with geographically distributed teams\n\nWHY AUTOMOX\nAt the top of the list is simply that you will have a will have a voice and an impact on the success of Automox and on the security of customers like NASA, Xerox, DollarShaveClub, TripAdvisor, GE Healthcare and more.  \nA strong proven leadership team backed by founders of Tenable, Carbon Black, RSA, AlienVault, Internet Security Systems, ThreatGrid, Phantom Cyber along with world-class venture capital.  \nGreat downtown Boulder HQ - (Walk to lunch!)\nDowntown Parking\nFree Eco Bus Pass - (Office is right across the street from the Boulder bus station)\nHealth/Dental/Vision/Insurance Benefits\nParticipation in Automox Incentive Stock Option Plan\nOpen vacation policy - (take what you need to stay energized)\nStandup desks, quiet spaces, and snacks and yes\xe2\x80\xa6 coffee.\nRooftop deck and amazing views (we celebrate victories both big and small)\nMonthly team-building rituals (hikes, ice cream breaks, lunch and learns, cross-team opportunities)\n Come join the adventure!"""
b'Web Developer',b'Epic',"b'Denver, CO, US'","b""TL;DR\n\nHigh-impact software development jobs for smart people.\n\nCode that saves lives.\n\nAs a software developer at Epic, you\xe2\x80\x99ll write software that impacts the lives of 75% of Americans and 250 million patients around the world. Working in your own office, surrounded by thousands of high-caliber developers, you\xe2\x80\x99ll use modern development methodologies and employ user-centered design, analytics, and machine learning tools to drive innovation in healthcare. Using leading-edge technologies and languages like JS, TS, and C#, you\xe2\x80\x99ll invent better ways to reduce medical errors, streamline record sharing between hospitals, and provide the quality of care a patient deserves.\n\nWrite software for the most innovative health systems on the planet.\n\nAll the Top 20 health systems in U.S. News and World Report are Epic customers. Our community includes major systems like the Mayo Clinic, Johns Hopkins, Cleveland Clinic, and Kaiser Permanente, as well as leading academic medical centers at the University of Wisconsin, University of Michigan, University of California, University of Texas, The Ohio State University, and many more.\n\nWork in your own office, eat delicious food, and travel the world.\n\nWe don\xe2\x80\x99t believe in cubicles. (Well, we believe they exist, but\xe2\x80\xa6) You will work in an individual office that will heighten your ability to get stuff done. For lunch, visit King\xe2\x80\x99s Cross or Cassiopeia for a wide array of meal options, or go to one of our smaller, themed bistros, featuring wood-rotisserie, pan-Asian, and Latin-inspired cuisine. All meals are restaurant-quality but cost only a few dollars, and they\xe2\x80\x99re prepared by a team comprised of kitchen talent from restaurants around the country. And, after five years here, you\xe2\x80\x99ll earn a four-week sabbatical anywhere in the world. Staff have kayaked in Patagonia, attended a Beyonc\xc3\xa9 concert in Ireland, built a library in Tanzania, and run a marathon in Antarctica.\n\nLive affordably in a city known for its rising tech talent.\n\nEpic is located just outside Madison, Wisconsin the second fastest growing market for tech talent in the United States and home to the state capital and the University of Wisconsin. Madison, a city surrounded by water, has received accolades for being the greenest city in America (NerdWallet), the best city for renters (SmartAsset), fittest city in America (Fitbit), and, for the gamers, is one of a handful of US cities to have a Killer Queen arcade game, located at Madison\xe2\x80\x99s first arcade bar.\n\nMore than just important work.\n\nWe offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity/Affirmative Action (W/M/Vets/Disability) employer. Please see our full non-discrimination statement at https //careers.epic.com/EEO.\n\nRequirements\n\nOpen to relocation to the Madison, WI area (we will bring you here to explore the city for yourself)\nBS/BA or greater in Computer Science, Mathematics, Software Engineering, Computer Engineering, or a related field\nA history of academic excellence or professional success\nEligible to work in the United States without visa sponsorship (persons with appropriate qualifications and eligible for TN status under NAFTA may apply)"""
b'Javascript Developer',b'Access Data Consulting Corporation',"b'Denver, Colorado, United States'","b'Access Data is seeking JavaScript Developers for a large telecom client in the Denver Tech Center.  Open to candidates of all levels, with at least 2 years of experience.\n\nJOB SUMMARY\nThe incumbent will build moderate to complex products and features that directly impact the consumer experience. The role will create innovative solutions by developing and implementing applications.\n\n\nMAJOR DUTIES AND RESPONSIBILITIES\nActively and consistently support all efforts to simplify and enhance the consumer experience\n\nDesign, implement, and deliver complex products for users\n\nActively and independently acquire knowledge of new development technologies in areas such as mobile, video, second screen, social media and other niches\n\nWork closely with the development team to respond, clarify or define specific application behavior, look/feel and function\n\nDiagnose complex issues, evaluate, recommend and execute the best resolution\n\nManage detailed application requirements and collaborate with project /development teams to ensure quality function, features and user experience\n\nDevelop, modify, enhance and implement software systems designed to support new or existing business initiatives\n\nDesired Skillsets:\n\xe2\x80\xa2       Frontend JavaScript Web Developer (ES6 / React / Redux)\n\xe2\x80\xa2       Someone with around 2 years of JavaScript, HTML, CSS (Will look at some a bit more on the junior side based upon their drive and ability to learn.)\n\xe2\x80\xa2       Anyone with ReactJS (including self study) vs. Angular would be a great fit\n\xe2\x80\xa2       They will be creating a customized framework for TV\n\xe2\x80\xa2       Previous experience building web clients against RESTful APIs\n\xe2\x80\xa2       Ability to create single page websites while demonstrating solid architecture patterns around data loading and UI\n\xe2\x80\xa2       Video Streaming technology experience is a plus\n\xe2\x80\xa2       HLS, DASH, Smooth Streaming\n\xe2\x80\xa2       Self learners, confident, will ask questions, love to learn\n\xe2\x80\xa2       Experience working in an Agile environment\n\xe2\x80\xa2       Strong verbal and written communication skills\n\xe2\x80\xa2       Team focused mentality\n\n\nLocal candidates strongly preferred.\n\nQualified candidates, please email Jamie Olberding, Senior Technical Recruiter, at jolberding@adcc.com or apply through LinkedIn.'"
b'Developer',b'Computershare',"b'Highlands Ranch, CO, US'","b'We have a unique opportunity for someone to contribute their talents and strengths as a Developer\n \nA COMPANY TO BE PROUD OF\nAt Computershare we invite you to share our vision and commitment to excellence in everything that we do. Our 12,000 people around the globe are entrepreneurial and innovative, serving 16,000 clients and customers with precision and reliability because they count on us to deliver, every time. \n \nComputershare (ASX: CPU) is a global market leader in transfer agency and share registration, employee equity plans, mortgage servicing, proxy solicitation and stakeholder communications. We also specialize in corporate trust, bankruptcy, class action and utility administration, and a range of other diversified financial and governance services.\n \nFounded in 1978, Computershare is renowned for its expertise in high integrity data management, high volume transaction processing and reconciliations, payments and stakeholder engagement. Many of the world\xe2\x80\x99s leading organizations use us to streamline and maximize the value of relationships with their investors, employees, creditors and customers.\nComputershare is represented in all major financial markets and has over 12,000 employees worldwide.\n \nDIVERSITY IS A STRENGTH\nAcross our global team, we see diversity as a source of strength. The more perspectives we have, the better equipped we\xe2\x80\x99ll be to meet the demands of our diverse global customer base. We want every person who joins out team, every customer and every supplier to feel welcome. We are an Equal Opportunity Employer and believe in equality for everyone, regardless of age, national or ethnic origin, sex, gender identity or expression, race, color, religion, disability, sexual orientation, protected veteran status or other characteristics protected be applicable law. That applies throughout our company, around the world with no exceptions, regardless of differences. We will hire, develop, reward, promote and retain people purely on the basis of their talents, commitment, potential and the results they achieve. We will work hard to make sure everyone is included within our organization, removing barriers and obstacles to give everyone an equal opportunity to succeed.\n \nOUR VALUES\nOur key values \xe2\x80\x93 Certainty, Ingenuity and Advantage \xe2\x80\x93 drive everything we do: you can count on us to deliver with precision and reliability, every time. We look beyond today\xe2\x80\x99s problems to find tomorrow\xe2\x80\x99s solutions, focusing on finding new and better way to unlock your competitive edge and help you achieve your business goals.\n \nA ROLE YOU WILL LOVE\nUnder general supervision, develops, codes, test, and debugs new software or enhancements to existing software customers. Requires good understanding of business application. Works with technical staff to understand problems with software and resolve them. Resolves customer complaints with software and responds to suggestions for improvements and enhancements from customers. May assist in development of software user manuals. Demonstrates software.\n \nPrimary Accountabilities\nResponsible for programming, maintenance, technical support, documentation and administration of core applications, databases, and utilities.  Support the complete software development lifecycle, including requirements gathering, design, specifications, development, change management, testing and deployment activities in accordance with Best Practices and Code Standards. \nWork collaboratively with team members and business partners in defining, designing, developing and implementing technology solutions to improve business functions.  Provides analysis and design support in identifying, evaluating, and developing systems and procedures which are cost effective and meet user requirements.  Analyze applications and implement improvements to optimize performance.\nParticipate in the planning and implementation of projects, which includes the design and execution of acceptance test plans to ensure a successful implementation.  Perform thorough testing your own and other team members\xe2\x80\x99 developed code.   Develop system documentation for all developed applications, including design and technical specifications.\nDisplay understanding of IT computing environment and daily operations and understands the impact of planned changes.  Provide tiered production support including limited on-call and participate in design and technical meetings.\nTrack and report development progress and performance on a regular basis.\nOther duties or tasks as assigned by management.\nWHAT WE NEED FROM YOU\nRequired:\nThe ability to function as a team player and lead team members in small projects\nAbility to work in a collaborative, dynamic team environment and interact at all levels to ensure reliability, availability, scalability, and performance of applications\nAbility to meet deadlines in a fast-paced environment\nExcellent organizational, time management and project planning/strategizing skills\nStrong analytical and problem resolution skills\nStrong verbal and written communication skills\nMust possess strong attention to detail, excellent relationship management skills, and the ability to effectively facilitate and lead design and implementation of software systems with development teams\nProficient in identifying project needs, estimating and prioritizing tasks, setting intermediate goals and milestones to accomplish the final outcome\nKEY QUALIFICATIONS\nTo perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.\n \nEducation and Experience\nRequired:\n3-5 years of professional, technical experience in a developer role\nDemonstrated experience with adhering to usability, design and development standards\nDemonstrated experience with all aspects of unit testing, performance testing and user acceptance testing\nProficiency or knowledge in the following:\nHTML/CSS/Javascript.\nMicrosoft Windows environment development.\nC#, ASP.Net MVC framework and/or .Net Core, JQuery. \nCross-browser development and design.\nOWASP top 10 and general secure development principles. \nUnit testing principles. Version control principles.\nPreferred:\nExperience with developing web services in an enterprise production environment\nExperience with varied source and version control systems, caching frameworks\nIn-depth experience with various SDLCs, Waterfall and Agile methodologies (Scrum, Kanban, Hybrid)\nProficiency or knowledge in the following:\nAdaptive/Responsive web design.\nFrontend frameworks such as AngularJS & Bootstrap. \nCSS Preprocessors.\nMicrosoft Azure or general cloud development.\nRESTful APIs.\nT-SQL.\nScalable and secure web architecture.\nMS accreditation would be beneficial.\nPreferred:  Microsoft Certified Professional Developer (MCPD)\nTravel Required\nIt is expected that this position may include travel up to 10% of the time.  This is subject to change based on many factors, including business needs.\n \nLanguage Ability\nAbility to read/analyze/interpret business periodicals/ journals/technical procedures/gov. regulations; write reports/business correspondence/procedure manuals; effectively present information/resp\nond to questions from managers/clients/customers/public.\n \nMathematical Ability\nAbility to work with mathematical concepts such as probability and statistical inference, fundamentals of plane, and solid geometry and trigonometry.  Ability to apply concepts such as fractions, percentages, ratios, and proportions to practical situations\n \nWork Environment\nThe work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.\nThe noise level in the environment is moderate\nPhysical Demands\nThe physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.\nSedentary work: Exerting up to 10 pounds of force occasionally and/or a negligible amount of force frequently or constantly to lift, carry, push, pull or otherwise move objects. Sedentary work involves sitting most of the time. Jobs are sedentary if walking and standing are required only occasionally and all other sedentary criteria are met.\nREWARDS AS UNIQUE AS YOU\nA choice medical insurance plans designed to meet your needs\nDental & Vision insurance\nLife & Disability insurance\nFlexible spending and health savings accounts\nEmployee Stock Purchase Plan\nPaid time off - You\xe2\x80\x99ll accrue 3 weeks your first year!\nNine Holidays\n$1,000 Employee Referral Program\nWellness programs\nMatching 401(k)\nTuition Reimbursement\nBanking and investments plans\nRewards and recognition programs\nEmployee discounts for wellness, auto & homeowners insurance, wireless service and more\xe2\x80\xa6\nTo learn more, visit us at www.computershare.com/mycareer.\n \nYour career is waiting.\n \nComputershare is an Equal Opportunity Employer.  Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or expression, national or ethnic origin, age, disability, protected veteran status, or other characteristics protected by applicable law.\n \n#CPUIT\n*CB'"
b'Junior Web Developer',b'Kroenke Sports & Entertainment',"b'Denver, CO, US'","b'JUNIOR WEB DEVELOPER, OUTDOOR SPORTSMAN GROUP\n\nWe will be accepting applications until the position has been filled.\n\nAbout Us\n\nKroenke Sports & Entertainment (KSE) is an American Sports and entertainment holding company based in Denver, Colorado. Kroenke Sports & Entertainment is committed to providing world class sports and entertainment for both live and broadcast audiences. We will welcome fans into our venues as family, providing respect and care from the purchase of a ticket, to the drive home. We will celebrate the best in sport and entertainment by recognizing the diversity and human spirit around us, and by working within our community to improve the lives of all those within the community. We will strive to perform this mission within a viable and self-sustaining business model.\n\nAbout Our Job\n\nThis Junior Web Developer is responsible for maintaining and developing new features on the Outdoor Sportsman Group family of websites.\n\nJob Responsibilities Will Include\nDeveloping site features and functionality for our family of websites.\nPerforming site maintenance including bug fixes.\nEvaluate scope and requirements based on project documentation.\nFollow documented deployment procedures.\nDevelop user testing procedures.\nDocument internal processes.\nAbout You\n\nOur ideal candidate will have the following:\nKnowledge, Skill and Ability: ASP.Net C#, HTML, CSS, JavaScript, jQuery, SQL and general database knowledge, Version Control (Git)\nCreating and consuming REST services a plus\nExcellent interpersonal skills including strong verbal, listening, and written communication\nSelf-motivated with the ability to handle multiple ongoing projects in a fast-paced team environment\nAbility to work independently on projects as well as collaborate with the team\nExcellent attention to detail, flexible, and adaptable to changes\nAbility to operate under pressure and meet or exceed deadlines\nQualifications\n\nWe appreciate your interest in working with KSE but please do not apply if you do not have the following required minimum qualifications\nEducation Requirement - Bachelor\xe2\x80\x99s degree in computer science or equivalent.\nExperience Requirement - Two or more years of experience developing websites.'"
b'Javascript Developer',"b'DIVERSANT, LLC'","b'Denver, Colorado, United States'","b'Immediate Need!! Apply today. Interview tomorrow.\n\nJavaScript Developer\nIn this role you will be supporting some new features coming from the web and working with new video technology.\n  Technical Skills\nFront End JavaScript Web Developer (React / Redux)\nIdeal Candidate has experience with ES6 (ES5 or ES7 is ok too)\nPrevious experience building web clients against RESTful APIs\nExperience with Video Streaming Technologies preferred\nAbility to create single page websites while demonstrating solid Client Server architecture patterns around data loading\nCSS, HTML, and JavaScript proficient\nSoft Skills\nStrong verbal and written communication skills\nExperience working in an Agile environment\nTeam focused mentality'"
b'Web Developer',"b'Velocity Global, LLC'","b'Denver, Colorado, United States'","b'POSITION SUMMARY:\n\nVelocity Global is one of the fastest growing self-funded companies in the country and hands down one of the greatest places to work anywhere in the world. But it\xe2\x80\x99s not for everyone. There are certain qualities and passions you must have to fit into our \xe2\x80\x9cTeam of 10\xe2\x80\x99s\xe2\x80\x9d:\nWe move with VELOCITY and you have to relish in a fast-paced, high-growth environment\nWe believe in being of service, which means you have to check your ego at the door\nWe believe in taking our work seriously but not being serious at work\nWe find passion in all things international business \xe2\x80\x93 it has to be in your bones\n\nIf you find the above personal attributes apply to you, continue reading.\n\nWe are looking for a creative and talented Web Developer to be based in our Denver, CO headquarters. This full-time position will be responsible for a wide variety of web development and design duties to enhance our corporate website and assist in marketing efforts. The successful candidate is proficient at coding/customizing open source CMS systems and turning unique designs into dynamic websites, microsites and online campaigns. This role requires a high level of creativity, attention to detail, and project management skills. This individual will report to the Creative Services Manager and will work closely with the marketing team and all sides of the organization.\n\nRESPONSIBILITIES:\nCreate custom-coded, engaging, web solutions using HTML5, CSS3/SASS, Javascript, and WordPress/PHP.\nDevelop, design, and continuously improve the corporate website, landing pages, microsites, etc. to support the overall marketing strategy and revenue goals\nWork closely with creative team to transform visual concepts into interactive, multi-media experiences\nCreate custom-code solutions for Marketing Automation Platforms and CRMs (HubSpot/Marketo/Salesforce) including landing pages, emails, campaigns.\nCreate interactive diagrams, dynamic maps, and animations using HTML5.\nDevelop code using best practices for mobile and responsive design.\nSet up and maintain Google Webmaster Tools, Google Tag Manager, Google Analytics, etc.\nImplement best practices for marketing analytics, SEO, and GDPR compliance.\nMake frequent enhancements and optimizations to web properties for optimal speed and security.\nDocument web development improvements and processes\nManage the host server, database, and ongoing maintenance.\nUnderstand our different audiences and buyer personas to help guide targeted web content that addresses their unique needs and concerns.\nEnsure that all projects are delivered in a timely manner.\nSupport brand consistency across all digital channels.\nWork closely with Digital Experience team to continually A/B test elements within our digital properties to optimize the user experience and drive conversions\nThe above statements are intended to describe the general nature and level of work performed by people assigned to this classification. They are not construed to be an exhaustive list of all job duties performed by the personnel so classified.\n\nQUALIFICATIONS:\nTo perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.\n\nEducation/Experience:\n3-5 years of experience in enterprise website development using WordPress.\nBachelor\xe2\x80\x99s degree or experience equivalent\nProficient in HTML5, CSS3/SASS, Javascript, and WordPress/PHP.\nAdept at mobile and responsive design, testing, and troubleshooting.\nSeasoned with WordPress creation of custom post types, Bootstrap framework, standard plugin understanding (Visual Composer, Gravity Forms, Advanced Custom Fields, Yoast)\nServer management: Domain control panels, DNS, website testing and launch\nProficient with Adobe Creative Suite, Google Analytics, Google Tag Manager, Microsoft Office and other analytics tools\nExperience optimizing digital channels for SEO, mobile, cross-platform and cross-browser issues\nMust have exceptional attention to detail and project management skills\nAbility to own a project from start to finish, working autonomously, but welcoming feedback and collaboration\nPassionate about branding, storytelling, and producing engaging content and campaigns.\nStrong communicator with the ability to prioritize and manage work effectively while adhering to critical timelines\nUI design experience a plus\nWordPress and HubSpot/Marketo experience required\n\nVelocity Global is an Equal Opportunity Employer. We do not discriminate on the basis of race, color, religion, national origin, sex, age, disability, genetic information, or any other status protected by State and/or Federal Law.'"
b'Web Developer',b'Matter Communications',"b'Boulder, CO, US'","b'Web Developer \xe2\x80\x93 Boulder, CO\n\nMatter Communications is an independent and thriving integrated marketing firm focused on what matters most: our people, our clients and our results. From fast growth startups to established brands, we work with B2B and B2C companies at all stages of development and across all industries.\n\nWe\xe2\x80\x99ve built and nurtured a team-oriented, supportive environment because we know that when we tap into our collective brainpower we come up with inspired solutions for our clients and because it makes for a happy place to work.  While we\xe2\x80\x99re serious about what we do, we try not to take ourselves too seriously. \n\nMatter is looking for an experienced Front-End Developer to join and grow our web development team. This position will lead and build digital web solutions for clients.  This person will play a key role as part of the digital marketing team and will help ensure our clients can deliver best in class digital experiences.  The ideal candidate is willing to roll up their sleeves in our fast-paced environment, will be an expert on all things development, and is able to thrive in client facing interactions.  \n\nResponsibilities:\n\nDay-to-day responsibilities include the development of web-based applications and websites\nIntegration of code with other technologies (web services, client backend systems, content management systems, etc.)\nOptimizing performance of frontend applications\nCollaborate with clients and internal teams to assist with briefs, gathering requirements and functional specifications\nEngage in brainstorming and collaborate with other developers on the team to solve problems and craft innovative, bespoke web solutions for our clients\nBe an internal expert on all things web development, mentor and share knowledge with staff\nContinually explore and evaluate new technologies, frameworks, and methodologies that Matter can leverage to improve both our own internal web development processes and the overall service we provide to our clients\nCollaborating with clients, digital marketing team, and creative group to develop web solutions for our clients\nAssist with updating and maintaining our portfolio of client sites, as well as Matter\xe2\x80\x99s own website\nDevelop, coordinate, and evolve quality assurance (testing) procedures to ensure error-free work product\nTechnical Requirements:\n\nPortfolio of web work in the B2B and B2C space\nAt least 2-4 years\xe2\x80\x99 experience in a digital agency or web development environment\nAt least 3-5 years of WordPress & PHP development experience\nWordpress Custom Theme Development & ACF Experience\nJavaScript & jQuery experience\nMySQL experience\nHubSpot COS experience\nExperience creating responsive, mobile friendly websites\nExperience working with graphic designers and converting designs to code\nExperience implementing analytics code and setting up analytic event tracking using various platforms (Google Analytics, HubSpot, Google Tag Manager, Marketo, etc.)\nEcommerce development experience\nMarTech integration experience\nNon-Technical Requirements:\n\nCollege graduate with B.A./B.S. degree\nAutonomous and driven to own deliverables from beginning to end with little direct supervision\nDemonstrated ability to project manage, set priorities, and solve problems\nDemonstrated experience supervising, mentoring, and leading other developers\nAbility to collaborate as part of integrated teams of non-technical colleagues.\nAbility to collaborate and participate in new business development efforts\nMatter provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws'"
