title,company,location,job description
b'Sr. Software Developer / Web Developer',b'Crescent Solutions',"b'92626, Costa Mesa, California, United States'","b""This is a permanent salary position with great benefits (stock options, 401k, health benefits, flexible time off, etc). Working with cutting edge technology in an exciting environment.\n  What You\xe2\x80\x99ll Do\nBuild solutions that meet our customer\xe2\x80\x99s needs and are maintainable, cost-effective and responsive.\nPartner with our product, design and infrastructure teams to build or enhance applications and services.\nOwn the reliability of the application and services by partnering. operations and infrastructure to build, scale and monitor services and applications.\nDesign, develop, test, debug and maintain software code for our high-performance business applications.\nAnalyze and optimize User Interface and Backend Application code for efficiency.\nWhat You'll Need\nAt least 5 years of professional experience building high-performance, reliable systems in a complex, multi-tiered and distributed environment.\nProven experience with a modern programming language,NodeJS.\n2+ years of experience building React-based web applications.\nDesign and implement services in a variety of programming languages including Nodejs, Golang.\nSuccessful deployment of production code at scale.\nProven track record of writing maintainable code which includes unit tests, readable code and decent implementations of design patterns.\nExpertise with learning new technologies and familiarity with our tech stack: JavaScript, Node.js, Go, React.js, ElasticSearch, NSQ, GraphQL and Postgres. GoLang is a plus (if you don't have experience, that's ok, you will get to learn it)"""
b'Lead Web and Mobile Developer',"b'Technical Connections Inc. - Technical Staffing and Recruiting (Executive, Retained, Contingency)'","b'90017, Los Angeles, California, United States'","b""Our client is a Los Angeles based global investment firm, one of the leaders in their industry. They are looking for a Lead Web and Mobile Applications Developer.\n\nWho are you?\nYou have a combination of technical development skills, project management, and leadership experience.\nYou love to code and have experience working with .net Core, SQL Server, Azure.\nDeveloping reports and applications is one of your talents, working with Visual Studio, and SSRS\nYou also have experience developing iOS mobile apps, preferably with Xamarin and Xcode.\nCI/CD and Azure is a plus.\nYou have experience leveraging SaaS and PaaS services such as App Services, Mobile Services, and Hybrid services from Azure.\nYou understand the importance of security and are in tune with any vulnerabilities that may affect the data or applications.\nBachelor's Degree is required.\nFinancial Services is a plus \n\nWhat\xe2\x80\x99s in it for you?\nA stable client who is hiring now! Very competitive compensation, total compensation is in the 170k+ mark, not to mention top-notch benefits, working with a sharp team, and adding an excellent client to your resume.\n\nPlease send your resume today!\n\nWe are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."""
b'Web Analytics Developer',b'XE.com',"b'Irvine, CA, US'","b""Xe has an exciting opportunity for a Web Analytics Developer to join the Web Analytics team! Web data analytics is a key element in Xe's performance. The Data Science and Web Analytics team develops new web data requirements, maintain automated dashboards, and analyze marketing and web/mobile performance to drive user experience and conversion rates.\n\n\nAs the Web Analytics Developer, you'll will be responsible for implementing analytics tools, instrumentation and tagging for all web/mobile products, the setup of automated reports, delivering dashboards, performing in-depth analysis, and drawing actionable insights that guide Marketing, Product and UX/Design decision making.\n\nResponsibilities:\n\nImplement, maintain and extend existing web analytics and 3rd party tags/tools, including: Tealium, Adobe Analytics (Omniture), Google Analytics\nImplement tagging for new site content and functionality while adhering to existing implementations and following vendor and industry best practices\nMust be able to identify gaps in the current data capture strategy and collaboratively apply enhancements; Work with internal teams to identify data enrichment opportunities\nSupport BI and Data Science teams throughout each phase of the ETL and analysis process\nWrite and manage user stories and acceptance criteria pertaining to analytics implementations\nBuild custom reporting while fielding ad-hoc analytics requests as needed\nProactively analyze user behavior using available data to recommend improvements on the website\nKeep up to date on 3rd party tool upgrades/changes in order to proactively ensure data continuity. Report any potential impacts to internal teams\n\nRequirements:\n\nMust have 3+ years of experience implementing tag management tools (Tealium, Google Tag Manager, Adobe DTM)\nMust have 2+ years of experience administering Adobe Analytics (Omniture) and Google Analytics\n4+ years of JavaScript, HTML and CSS\n2+ years working with 3rd party/vendor APIs\n\n\n\n\nNice To Have\n\nExperience with ETL tools and their usage, with a variety of source system platforms\n3+ years in a data analytics, reporting, data science or business intelligence role with an ability to blend and analyze multiple data sets\n2+ years of SQL experience\nExperience with ETL tools and their usage, with a variety of source system platforms\n3+ years in a data analytics, reporting, data science or business intelligence role with an ability to blend and analyze multiple data sets\nFamiliarity with A/B and MVT testing tools and principals (ie. Optimizely, etc.)\nFamiliarity with statistical packages and/or data visualization tools (R, Tableau, Qlikview, Qlik Sense, Power BI, etc.)\nExceptionally strong quantitative, analytical, and problem solving skills with a propensity to take things apart and see how they work\nPassion for the online space with a solid understanding of interactive channels (search, online media, website/mobile development, etc.) and direct marketing principles\nExcellent verbal and written communication skills, along with interpersonal and influencing skills (at all levels internally, externally and cross-functionally), including expert Excel and data display presentation\nSelf-directed and self-motivated with a demonstrated strength in planning, organizing and project management skills to meet deadlines\nExperience working with global, distributed teams\n\nBenefits:\n\nHealth Care Plan (Medical, Dental & Vision)\nRetirement Plan (401k, IRA)\nLife Insurance (Basic, Voluntary & AD&D)\nPaid Time Off (Vacation, Sick & Public Holidays) with free Birthday day off\nFamily Leave (Maternity, Paternity)\nTraining & Development\nFree Food & Snacks\nWellness Resources\nStock Option Plan"""
b'Web Developer',"b'Religio, Inc.'","b'Los Angeles County, California, United States'","b""We're seeking a front-end developer looking to gain valuable experience working for a startup.\n\nThis role can be the launch pad of your career! You will be expected to complete front-end coding tasks for our web-platform.\n\nYou set your own pace when working for us. The position will be fully remote; however, you will be expected to communicate regularly with management.\n\nThis role is intended for students/aspiring coders looking to put their skills to use, while simultaneously gaining valuable experience working for a company.\n\nThis position is equity only. Compensation outlined in your contract will be 5-10% equity in the company based on your skill set.\n\nResponsibilities:\nAdd new features to the web-platform\nUpdate/optimize existing features\nProperly test new/updated features\nCollaborate with our back-end developer\nCommunicate regularly with our team\nProvide feedback and suggestions\n\nQualifications:\nProficient with Javascript\nProficient understanding of client-side scripting and Javascript frameworks, including JQuery\nProficient with AngularJS\nProficient with HTML & CSS\nProficient with PHP\nProficient understanding of code versioning tools, such as Git/Github\nGithub/website with projects you have worked on"""
b'Web Developer',b'Paladin',"b'Orange County, California, United States'","b'Paladin is seeking a high-end web developer for a full-time position in the LA area. This person should be able to think outside the box and work cross-functionally. This individual must also have experience with WordPress, jQuery and Bootstrap.\n   Responsibilities and requirements:\nExpertise in PHP, JSON and working with APIs\nWork extremely well under pressure and adhere to deadlines\nAbility to work on multiple projects at a time\nBe organized and detail-oriented\nPossess excellent English written and oral communication skills\nBe able to perform with little supervision\nPositive attitude, work ethic, and ability to multitask\nComfortable working with WordPress builders (BB) a plus\nBack End development required, front end development a plus\n\nEqual Opportunity Employer/Veterans/Disabled\nTo read our Candidate Privacy Information Statement, which explains how we will use your information, please visit https://www.paladinstaff.com/candidate-privacy/\nThe Company will consider qualified applicants with arrest and conviction records.'"
b'Web Developer',b'TalentoHCM',"b'Los Angeles, California, United States'","b'Web Developer\n Talento has partnered with a $5B US retailer with 1,000 stores and a large eCommerce presence. They are looking for a Sr. Web Developer with extensive experience in eCommerce building API\xe2\x80\x99s  to improve functionality, reliability and usability to a business critical application.\n\nThis is a remote contract that will last 2-3 months. The organization uses APTOS CRM & POS for the eCommerce website and stores. The web developer will serve as an SME on APTOS to build a seamless and fast connection between Synchrony (credit card issuer), the POS and CRM.\n\nYou will come solve this problem: When a buyer applies for a credit card online, they get approved/declined, you need to build the connection that takes the data from Synchrony through a secure data packet, take that file, decode it, adjust format data appropriately and insert it into the CRM record in APTOS.\n Responsibilities\nDevelop, design, test and debug applications starting at their foundation up to their production environments\nevelop new application code as well as create integrations to pass data to and from internal/external systems like POS, Ecommerce, ERP, CRM and 3rd party vendors via ESB using multiple Restful APIs, web services, FTP files, etc.\nCoordinate development efforts with internal teams and external teams\nOptimize application for maximum speed and scalability while ensuring application security\nBuild reusable code and libraries for future use\nAbility to communicate technical issues effectively to non-technical parties\nTeam player mindset with ability to work independently and take initiative\n\nRequirements\n7+ years of web development experience\nExperience implementing APIs\n2+ years of recent experience of CRM development with APTOS\nStrong experience with HTML5, CSS3, JavaScript, and common JavaScript libraries such as jQuery required\nExperience with supporting and maintaining business critical applications\nAbility to prepare technical documentation\nMust have strong application testing discipline\nKnowledge of Search Engine Optimization (SEO) best practices is a plus\n\nTalento Human Capital Management provides talent and organizational solutions enabling businesses to evolve beyond tactical human resources management. Our footprint spans across the US with teams in Miami Chicago NYC Los Angeles and throughout South America and Asia in Lima & India.\n\nOur organization continues to thrive through our ongoing commitment to building an inclusive and diverse workforce from different backgrounds perspectives and skills. Talento Human Capital Management (HCM) is an equal opportunity employer and people are at the center of what we do!\n\nPeople + Passion + Perseverance = Progress'"
b'Junior Web Developer',"b'911MEDIA, a division of Trade News International, Inc.'","b'Burbank, CA, US'","b""Junior Web Developer\n\nWe are looking for a talented Junior Web Developer who will work closely with our Senior Web Developer on a variety of projects, including website development, content updates and maintenance.\n\nThe ideal candidate will be comfortable working in a fast-paced environment, detail- and process-oriented and eager to learn and develop new skills. They will also understand the importance of maintaining high standards of quality/testing.\n\nWe are a long-established and stable marketing communications firm offering custom print, website and social media development, and other collateral for a wide variety of clients such as labor associations, law enforcement groups, entertainment companies, retailers, etc. Our top priority is the client\xe2\x80\x99s satisfaction.\n\nResponsibilities Will Include, But Are Not Limited To\nWebsite development and updates\nConvert design mockups and graphics to functional layouts and pages\nCreate sitemaps and wireframes with visual layout tools\nDesign, build, and maintain efficient, reusable, and reliable code\nDevelop integrations with third party vendors\nBuild and maintain HTML based email marketing campaigns\nTroubleshoot and remedy defects, errors & bugs\nAssist with maintaining custom plugin repository\nPerform regular WordPress software and plugin updates and perform backups\nMonitor log files and check for PHP errors\nPerform speed tests and normalize site settings\n\nSkills Required\nProficient in HTML5, CSS and JavaScript\nExperience with WordPress is a must\nKnowledge of SASS\nHave a strong understanding of responsive web design\nExperience with web browser compatibility testing\nExperience with PHP, MySQL, cPanel and jQuery is preferred, but not required\nExperience with Google Analytics and DoubleClick for Publishers (DFP) is a plus\nKnowledge of SEO is a plus\nExperience with Creative Cloud, specifically InDesign and Photoshop is a plus\nExperience with installing and configuring SSLs is a plus\n\nWe Are Looking For Candidates With The Following Qualifications\nMinimum 3 years of experience\nDegree in Web/UI Development or equivalent work experience\nMust be highly motivated, creative and able to work independently as well as in a team environment\nMust have strong organization skills, be detail-oriented with the ability to follow strict design standards\nMust have excellent interpersonal and communications skills\nMust be able to multitask and meet deadlines\nEnthusiasm for keeping up with the latest in web technology trends\nPlease submit your resume, portfolio and URLs of your work, as well as SALARY REQUIREMENTS; all must be received in order for you to be considered for the position. Only candidates selected for an interview will be contacted.\n\nWe're an established, respected and stable custom publishing and marketing agency and provide a professional, fun work environment.\n\nOur in-house services extend from design to content development, production and delivery. We also offer web site development, hosting and management, as well as cross-promotion of print and online vehicles for maximum return. Because we help our clients succeed, they stay with us for many years."""
b'Web and Mobile Application Developer',b'Gresham Hunt',b'Los Angeles Metropolitan Area',"b'Web and Mobile Application Developer \nLos Angeles, California \n\nGresham Hunt are currently working with the CIO of a leading Financial Services firm in the search for an experienced Developer to join their growing IT Application team, based in Los Angeles.  \nThis is a newly created position and will suit a highly creative individual with a strong coding and programming background who has transitioned into a project and team management role in recent years.\n\nThe Successful Candidate will have:\n7+ years supporting application development, preferably within the Financial Services industry.\n3-5 years project/process management experience. Experience managing offshore teams is highly desirable.\nExtensive experience with SQL, C#, SSRS, .NET required. Mobile Programming would be a plus.\nKnowledge of developing native iOS mobile apps preferably using Xamarin and Xcode.\nKnowledge of developing reports and applications using Visual Studio, SQL Management Studio and SSRS.\nKnowledge of CI/CD using Azure DevOps is plus.\nBachelor\xe2\x80\x99s degree in Computer Science.\n\n***All Candidates must have the right to work in the United States. Sponsorship is unfortunately unavailable at this time.***\n\nFor a confidential conversation regarding the opportunity and organisation, please forward your CV to: tom.haussrer@greshamhunt.com'"
b'Backend Web Developer',b'Pacific Life',"b'Newport Beach, CA, US'","b""Job Description\n\nPacific Life is embarking on a multi-year initiative to invest in dynamic people and technology, ensuring a bright future for our customers and community. To support this process, we are looking for a skilled Back-End Web Developer\xe2\x80\xafto join our team in beautiful Newport Beach, CA.\n\nAs a Backend Web Developer, you will\xe2\x80\xafplay a key role in Pacific Life\xe2\x80\x99s digital and workplace transformation as part of the Customer Experience team responsible for designing and developing web applications for the Pacific Life customer-facing websites. You\xe2\x80\x99ll join a team that is focused on streamlining the experience for newly appointed advisors and new business submission, evolving how advisors engage with online resources and enhancing the digital experience for contract owners.\n\nIf you have significant hands-on, professional experience with web technologies and an ability to translate business needs into solutions, you\xe2\x80\x99re exactly who we\xe2\x80\x99re seeking.\n\nWhat You\xe2\x80\x99ll Do\nImprove customer experience by offering digital solutions to advisors and contract holders\nModernize legacy platforms to improve speed to market, leverage the latest automation technologies to increase efficiency\nDesign, document, develop, and implement/enhance highly scalable and secure Java Web Applications with focus on \xe2\x80\x9cback-end\xe2\x80\x9d development\nCollaborate with front-end developers to ensure that user-facing and server-side elements work together seamlessly to deliver web applications optimized for customer experience\nBuild reusable code and libraries for future use\nOptimization of web applications for performance and scalability\nDevelop automated tests to ensure business needs are met and allow for regression testing\nTech & Tools You\xe2\x80\x99ll Use\n\nAgile methodology, Weblogic, Tomcat, JBoss, REST web services, AWS web enabling technologies, Oracle, DB2\n\nFactors\xe2\x80\xaffor\xe2\x80\xafSuccess\nBachelor's degree (B.A. or B.S.) from four-year college or university; or equivalent experience\n5+ years web application design and development in a Java environment\nAWS developer and/or architect certifications a plus\nExperience using J2EE complaint application servers (Weblogic, Tomcat, JBoss)\nExperience developing REST web services\nExperience writing highly secure web applications\nExperience with core AWS web enabling technologies\nExperience with writing queries against relational databases (Oracle and DB2)\nExperience being part of an Agile software development team\nGrowth mindset, challenging status quo to find new solutions and drive out-of-the-box ideas\nSystem thinking and experiment-oriented mindset to drive innovation\nMotivated by working within a strong team-oriented environment, holding each other accountable\nReq Number\n5098BR\nPosition Location(s)\nNewport Beach, CA\nFull Time / Part Time\nfull time\n\nAbout Pacific Life\n\nAt Pacific Life, we know we\xe2\x80\x99re better when you can be your whole self \xe2\x80\x93 both in and out of the office. That\xe2\x80\x99s why we also allow employees to build flexibility into their work schedules, provided they consistently achieve their goals and provide demonstrable value for our policyholders.\n\nIn addition to the value we provide for our employees and policyholders, we are also renowned for our philanthropic work, having donated over $109M to nonprofits over the past 33 years. All this considered, it\xe2\x80\x99s no wonder we were named one of America\xe2\x80\x99s Best Mid-Size Employers by Forbes in 2019. Simply put, if you want to find fulfillment in both your career and your life, join our team at Pacific Life, where power meets purpose.\n\nBenefits\n\nFor more than 150 years, Pacific Life has offered our clients innovative products and services that help them to reach their financial goals and safeguard their futures. To ensure our next 150 years are as prosperous as our first 150, we\xe2\x80\x99re fostering a culture of shared values across our company by providing generous compensation and comprehensive benefits that allow our employees to find fulfillment and security in personal life and career alike. These include:\n\nCompetitive salary and bonus program\nMedical, dental, and vision as part our commitment to investing in the health and wellbeing of our employees\nTwo retirement savings plans: 401k savings plan with company match and Company Retirement Contribution (company-paid)\nGenerous vacation time and holiday pay\n\nFor additional information about open positions and other opportunities to join our team, visit www.pacificlife.com/home/Careers.html.\nEEO Statement\nPacific Life Insurance Company is an Equal Opportunity /Affirmative Action Employer, M/F/D/V. If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access our career center as a result of your disability. To request an accommodation, contact a Human Resources Representative at Pacific Life Insurance Company."""
b'Web Developer',b'T2 Tech Group',"b'Los Angeles, CA, US'","b'T2 Tech Group was founded in Southern California in 2006. Today, T2 Tech\xe2\x80\x99s Torrance office is located near the Del Amo Fashion Center and LAX airport. It is home to numerous experts in the field of management advisory and technology consulting, specializing in the healthcare services industry. T2 Tech\xe2\x80\x99s employees have worked on many large accounts, including Sharp HealthCare, Verity Health System, Children\xe2\x80\x99s Hospital Los Angeles, USC, and Saint John\xe2\x80\x99s Health Center. As part of their work, they have been an integral part of hospital construction projects with budgets in excess of 6 million. T2 Tech continues to work on some of the most prestigious hospital projects nationwide.\n\nWe pride ourselves on overcoming political and technical obstacles to succeed where others often fail. The work environment is results-driven with a focus on Agile principles. Our employees are frequently onsite at many of our development projects. At T2 Tech, employees will encounter some of the toughest challenges they\xe2\x80\x99ve ever faced, architecting and implementing integrated technology that enables our clients to deliver the highest quality of patient care in the nation.\n\nCandidate must be able to travel within the USA and must have reliable transportation to and from client locations.\n\nResponsibilities\n\nFront end languages and technologies:\nHTML\nCSS\nJavaScript\nBootstrap\nWordPress\n\nBack End Languages And Technologies\nPHP\nMySQL\nLinux/Ubuntu/Apache\nPython\nJoomla\nDjango\n\nInterpersonal Requirements\n\nSince our business is consulting, all applicants must have the following personal attributes:\nProper professional speaking etiquette\nAdmirable conduct\nProfessionally dressed\nEfficient and organized'"
