title,company,location,job description
b'Web Designer',b'',"b'11779, Ronkonkoma, New York, United States'","b'Web - UX Digital Designer to join a growing team within a growing consumer product client.  If you have experience in beauty, fashion or nutritional supplement or consumer products within the Interactive Web Space contact us asap. Great team that is Growing with Great Brands! Opportunity for growth! \n\n**Must have strong UX Design and E-Commerce experience\n\nIn this role you will be responsible  designing websites from start to finish as well as the following:\nCreate In-Store Assets for the Web\nDesigner for Social Media, E-Commerce.\nAnimation/GIFS\nSolid experience in Photo retouching - on model, lifestyle and product\nExperience with product photography\nAbility to multi-task and juggle several projects at once, some on tight deadlines\nAbility to conceptualize, design and execute creative design\nAbility to turnaround designs with quick deadlines while maintaining quality of work and brand aesthetic\nMust have grasp of social media platforms including Facebook, Twitter, Instagram, Pinterest, Snapchat, blogging, etc\n\nRequirements\nBachelors Degree Required.\nMin. 5+ years in a digital design environment.\nExperience creating responsive web, tablet, and designing interfaces for mobile apps\nExcellent in Adobe Creative Suite, specifically Photoshop, Illustrator, and InDesign\nExperience with HTML and CSS, advanced preferred\n\nCollaborative environment, must be adaptable and able to handle changing priorities. '"
b'Web Developer',b'',"b'Princeton, New Jersey, United States'","b""Position: Web Developer\nLocation: Princeton, New Jersey\nDuration: 6+ months contract\n  Skills:\nJob Summary:\n\xe2\x80\xa2 Designs, develops, tests, maintains and enhances application software programs for the retail energy industry.\n\xe2\x80\xa2 Must possess excellent communication skills as you will interact directly with our customers to determine requirements and deliver quality software which exceeds their expectations.\n\xe2\x80\xa2 Must have a strong desire to deliver defect-free, well-designed, and well-tested software.\n  Essential Duties/Responsibilities:\n\xe2\x80\xa2 Follow the team's Scrum development life cycle practices.\n\xe2\x80\xa2 Work independently for design, development and testing.\n\xe2\x80\xa2 Collaborate with team members to identify and prioritize/reprioritize work when necessary \xe2\x80\xa2 Facilitate requirements gathering efforts and clearly document system requirements.\n\xe2\x80\xa2 Develop strong working relationships with individuals at all levels of the company \xe2\x80\xa2 Anticipate and adjust for problems and roadblocks while eliminating roadblocks within control.\n\xe2\x80\xa2 Use appropriate change control procedures for implementing software enhancements.\n\xe2\x80\xa2 Remain abreast of current technologies and best practices as applicable to NRG.\n\xe2\x80\xa2 Conduct unit, functional, and integration testing to ensure application reliability.\n  Working Conditions:\n\xe2\x80\xa2 Team work environment in cube or open work area.\n\xe2\x80\xa2 Duties are performed during standard business hours and overtime based on project requirements.\n\xe2\x80\xa2 Must be willing to work longer hours as necessary, especially during critical issue resolution.\n\xe2\x80\xa2 Will need to attend meetings and respond to application problems for short durations at other corporate sites when necessary.\n  Minimum Requirements:\n\xe2\x80\xa2 Bachelor\xe2\x80\x99s degree in computer science, software engineering or relevant business discipline from an accredited four-year college or university or equivalent work experience is preferred.\n\xe2\x80\xa2 A minimum of 5 years professional application development and operation experience in a production setting working on Corporate-enterprise applications.\n  Preferred Qualifications:\n\xe2\x80\xa2 The ideal candidate will have solid experience developing web applications using open source technologies.\n  Additional Knowledge, Skills and Abilities:\n\xe2\x80\xa2 Thorough understanding of Python Development. Experience with Python Metaclasses, Django, Flask and Celery.\n\xe2\x80\xa2 Working knowledge of concurrency and multi-threading in long running daemon processes.\n\xe2\x80\xa2 In-depth understanding of Relational Database Management software, preferably PostgreSQL, MySQL, and MS SQL Server.\n\xe2\x80\xa2 Experienced in testing software all the way from unit testing to system testing to integration testing. A strong desire to build well-tested software.\n\xe2\x80\xa2 Strong knowledge of version control software, git preferred.\n\xe2\x80\xa2 Experience with Amazon Web Services (AWS), in particular EC2, EBS, S3, and SQS is a big plus.\n\xe2\x80\xa2 Understanding of batch oriented and event-based systems is a plus.\n\xe2\x80\xa2 Knowledge of .NET development, with an emphasis on C# .Net core using Entity Framework a plus.\n  Regards,\n  Hari Haran\nWise Men\nO: (281) 560-4020 Ext: 192\nO: (281) 957-5888 Ext: 192\nEmail: hari.haran@wisemen.com"""
b'Web Developer',b'',"b'New York City, NY, US'","b'If you are a Web Developer with experience, please read on!\n\nLocation: New York City (Financial District)\nContract to Hire OR Full Time\n\nSalary: $80,000 - $110,000\nHourly: $35-60\n\nTop Reasons to Work with Us\n27 days of PTO\n11 paid holidays\n80% paid for health/dental\nStrong 401k + match\nShort term disability up to 6 months with 100% of salary\nPaternity & Maternity leave\nWhat You Will Be Doing\nCreate WordPress websites with advanced functionality, including event registration, data visualization, complex search and filtering, blogs, and design new functionality as needed.\nDesign client-side and server-side architecture and work with other software engineers to integrate content and data feeds.\nPerform maintenance and updates to existing websites, and incorporate enhancements into the core code (i.e., parent theme).\nTroubleshoot, debug, and upgrade software.\nOptimize software and servers to ensure responsiveness, efficiency, security, and data protection.\nWork with external consulting teams on specialized functionality (e.g., e-commerce, e-learning, and other integrations).\nWork with designers and front-end developers to create innovative and responsive user interfaces using current user experience (UX) design standards and tools.\nAct as technical lead on select projects, working closely with team members from across the organization to develop detailed specifications, project deliverables, and timelines.\nMaintain thorough technical documentation.\nPerform other duties and special projects, as assigned.\nWhat You Need for this Position\nPHP\nProject Leadership\nWordpress or Drupal\nNice To Have\nContent Management System (CMS)\nJavaScript\nReact/Angular/Node\nSQL\nAWS\nSo, if you are a Web Developer with experience, please apply today! OR email your resume to erinn@cybercoders.com\n\nEmail Your Resume In Word To\n\nLooking forward to receiving your resume through our website and going over the position with you. Clicking apply is the best way to apply, but you may also:\n\nStephanie.Lilley@CyberCoders.com\nPlease do NOT change the email subject line in any way. You must keep the JobID: linkedin : SL9-1575268 -- in the email subject line for your application to be considered.***\nStephanie Lilley - Executive Recruiter - CyberCoders\n\nApplicants must be authorized to work in the U.S.\n\nCyberCoders, Inc is proud to be an Equal Opportunity Employer\n\nAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.\n\nYour Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.'"
b'Web Developer',b'',b'New York City Metropolitan Area',"b'Job purpose\nKey liaison with the Digital Marketing and Brand Marketing teams to deliver their demands on integration and Consumer data collection & activation\nTechnical support and expertise on various Digital projects (CRM, eCommerce, Websites, Marketing Analytics), leveraging the existing Pernod Ricard Group Digital engine\nTraining lead to educate Business users on Digital eco-system and IT solutions\n  Main roles and responsibilities\n\nIntegration \nBuild the technical integration from various online and offline touchpoints (webform, agencies, \xe2\x80\xa6) to the Pernod Ricard USA Consumer database, leveraging a large set of existing APIs and Python Notebooks.\nManage Pernod Ricard USA Digital Data Platform (Data lake, Databases, ETL, Python scripts and automations)\nSupport the relationship between IT, Marketing & Agencies according to the ways of working already in place\nConsumer Collection & Activation\nManage the various web tools and apps to capture new consumers: configuration, roll-out, support\nMaintain the content of the Pernod Ricard USA Consumer database: data cleansing, data entry business rules\nBuild complex audience segmentations and data sets through database queries to fuel highly targeted campaigns\nProvide advanced reports to the Marketing community\nWeb Development\nManage support requests on internal and external Pernod Ricard USA websites\nParticipate to the development of internal web tools, in collaboration with the other Digital Specialists within the team and in compliance with the global platforms/CMS\nProject Support\nAssist the Digital Project Manager on project delivery by acting as a Technical Subject Matter expert on integration and web development\nParticipate to business requirements gathering to develop and deliver robust digital solutions\nBuild test scripts and perform testing\nTraining & Adoption\nTake the lead in training and explaining Digital solutions & concepts to non-IT personnel\nMust Have\nA minimum of 2 years of experience on API and system integration, with a proven track record of participation to significant projects/programs\nA minimum of 2 years of experience in an IT support function for Marketing or Digital Marketing\nREST and JSON API\nDatabase query language (SQL)\nKnowledge of Web Development (HTML5, JavaScript, PHP)\nData driven & analytically heavy\nPassionate about the digital space and technology\nHighly organized and detail oriented\nDeadline oriented\nHighly organized, exceptional attention to detail\n            Good to Have\nKnowledge of email Marketing concepts \xe2\x80\x93 Experience on ExactTarget/Salesforce Marketing Cloud (SFMC and AMP Scripts) is a plus\nAzure Data Platform (DataBricks \xe2\x80\x93 Python - Spark, Azure Data Factory, ADLS - Azure SQL Database)\nWebsite development\nBusiness Intelligence solutions \xe2\x80\x93 Microsoft PowerBI is a plus\nDigital Analytics Tools \xe2\x80\x93 Google Analytics is a plus\nCMS frameworks: WordPress\nMiddleware: Mulesoft Anypoint\nTrack record of projects delivered in the Spirits & Wines industry\nExperience in Marketing functional area'"
b'Web Developer',b'',"b'New York City, NY, US'","b""TL;DR\n\nHigh-impact software development jobs for smart people.\n\nCode that saves lives.\n\nAs a software developer at Epic, you\xe2\x80\x99ll write software that impacts the lives of 75% of Americans and 250 million patients around the world. Working in your own office, surrounded by thousands of high-caliber developers, you\xe2\x80\x99ll use modern development methodologies and employ user-centered design, analytics, and machine learning tools to drive innovation in healthcare. Using leading-edge technologies and languages like JS, TS, and C#, you\xe2\x80\x99ll invent better ways to reduce medical errors, streamline record sharing between hospitals, and provide the quality of care a patient deserves.\n\nWrite software for the most innovative health systems on the planet.\n\nAll the Top 20 health systems in U.S. News and World Report are Epic customers. Our community includes major systems like the Mayo Clinic, Johns Hopkins, Cleveland Clinic, and Kaiser Permanente, as well as leading academic medical centers at the University of Wisconsin, University of Michigan, University of California, University of Texas, The Ohio State University, and many more.\n\nWork in your own office, eat delicious food, and travel the world.\n\nWe don\xe2\x80\x99t believe in cubicles. (Well, we believe they exist, but\xe2\x80\xa6) You will work in an individual office that will heighten your ability to get stuff done. For lunch, visit King\xe2\x80\x99s Cross or Cassiopeia for a wide array of meal options, or go to one of our smaller, themed bistros, featuring wood-rotisserie, pan-Asian, and Latin-inspired cuisine. All meals are restaurant-quality but cost only a few dollars, and they\xe2\x80\x99re prepared by a team comprised of kitchen talent from restaurants around the country. And, after five years here, you\xe2\x80\x99ll earn a four-week sabbatical anywhere in the world. Staff have kayaked in Patagonia, attended a Beyonc\xc3\xa9 concert in Ireland, built a library in Tanzania, and run a marathon in Antarctica.\n\nLive affordably in a city known for its rising tech talent.\n\nEpic is located just outside Madison, Wisconsin the second fastest growing market for tech talent in the United States and home to the state capital and the University of Wisconsin. Madison, a city surrounded by water, has received accolades for being the greenest city in America (NerdWallet), the best city for renters (SmartAsset), fittest city in America (Fitbit), and, for the gamers, is one of a handful of US cities to have a Killer Queen arcade game, located at Madison\xe2\x80\x99s first arcade bar.\n\nMore than just important work.\n\nWe offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity/Affirmative Action (W/M/Vets/Disability) employer. Please see our full non-discrimination statement at https //careers.epic.com/EEO.\n\nRequirements\n\nOpen to relocation to the Madison, WI area (we will bring you here to explore the city for yourself)\nBS/BA or greater in Computer Science, Mathematics, Software Engineering, Computer Engineering, or a related field\nA history of academic excellence or professional success\nEligible to work in the United States without visa sponsorship (persons with appropriate qualifications and eligible for TN status under NAFTA may apply)"""
b'Web Application Developer',b'WebMD',b'Greater New York City Area',"b""What You Will Be Doing at WebMD\nWebMD has updated its entire technology stack and you will be working the latest and most cutting edge technology. We are seeking a motivated, talented and spirited Web Application Developer to join our close-knit team of talented professionals dedicated to building and enhancing WebMD\xe2\x80\x99s next generation product portfolio, to include WebMD\xe2\x80\x99s enterprise web applications and WebMD Mobile. The ideal candidate has diverse experience engineering interactive, responsive, high-traffic web applications within an enterprise setting. We are seeking motivated engineers who are natural leaders to bring a fresh perspective and who thrive in collaborative team settings and want to learn with opportunities to work server-side development. This is a unique opportunity to impact and inspire ground-breaking product ideas with the latest in web technologies.\n\nWhat You\xe2\x80\x99ll Be Doing at WebMD\nBe part of a collaborative, friendly, and open environment with a team that offers high level exposure.\nWork with User Experience team to understand user needs.\nFrequently interact with a cross-functional team including product management, development, infrastructure, sales, and services\nDevelop responsive, multi-screen enterprise web and mobile web applications and APIs using modern web technologies (HTML5, CSS3, jQuery, VueJs, RequireJS)\nProject responsibilities include development, testing, documentation, implementation, and maintenance\nActively participate in and contribute to global site architectural discussions and initiatives\nActively contribute to and enforce best practices, group standards\nMentor other developers, including peer reviewing code and pair programming (shadowing)\nProactively keep up-to-date on industry trends and emerging technologies; drive adoption of new technologies and best practices\n\nWhat's In It For You\nBesides a competitive compensation package, you'll be working with a great group of technologists interested in always finding the right tool for the job in a culture that encourages innovation.  If you're ready to take on some new technical challenges at a well-respected company, we'd love to hear from you.\n  What You Need For This Position  (minimum qualifications)\n3+ years of experience delivering large scale web applications\n3+ years of Javascript/HTML/CSS development experience, VueJS is highly preferred.\nExperience working with HTML5 APIs (Video/Audio, Local Storage, History, Canvas Animation)\nExperience with basic jQuery, including writing modules\nExperience developing Responsive, multiscreen (desktop/tablet/mobile) layouts with HTML5/CSS3/VueJS.\nExperience programming using RESTful APIs.\n\n... and if you have the following, even better! (preferred qualifications)\nBachelor\xe2\x80\x99s degree in a technical discipline or equivalent work experience\nCommonJS/AMD modules with RequireJS or equivalent\nVueJS or another equivalent Javascript framework\nAgile development practices: Scrum, Kanban/Lean, test-driven development, continuous integration\nVersion control software, preferably Git\nSection 508 and WCAG accessibility standards\nMust provide code samples (examples: URLs with descriptions of which parts you developed, zip file, link to a github.com or equivalent profile)\n\nAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.\n\n """
b'Web Developer',b'New York University',"b'New York City, NY, US'","b""The Web Developer works with other developers and library staff to create, modify and monitor web based library applications that serve libraries staff and users. This work includes learning the architecture and interoperation of library systems and involves detailed technical coding, testing and monitoring of code and applications as defined by the Web Development manager and specific assigned projects. The developer will learn current and evolving technologies and seek to implement them when and where appropriate to enhance the operation and management of library systems. The developer will develop project plans for application updates; create time lines to meet departmental deadlines and goals, recommend technical improvements and implement modifications to websites and applications. He/she will serve as a liaison with staff, troubleshoot application code, collaborate with internal and external departments on websites, web based applications and tools, etc.\n\nRequired Education\n\nBachelor's Degree\n\nRequired Experience\n\n2+ years 2+ years of experience developing web-based applications or a combination of programming education and experience. Demonstrated technical ability to program and develop applications using current technology and frameworks.\n\nPreferred Experience\n\n2+ years 2 - 3 years experience developing/supporting web-based user-facing applications in an academic or non-profit environment using current technology/frameworks.\n\nRequired Skills, Knowledge And Abilities\n\nSkilled in Javascript front-end frameworks (e.g., React, Angular, Vue, etc.), Ruby/Ruby on Rails (or equivalent backend experience), HTML/CSS, microservices architecture, REST. Excellent interpersonal and communication skills. Strong interest in emerging technologies.\n\nPreferred Skills, Knowledge And Abilities\n\nDocker, AWS (EC2, Lambda, S3, etc.), Kubernetes, nginx, Apache, DevOps and Agile methodologies.\n\nNYU aims to be among the greenest urban campuses in the country and carbon neutral by 2040. Learn more at nyu.edu/sustainability.\n\nEOE/AA/Minorities/Females/Vet/Disabled/Sexual Orientation/Gender Identity"""
b'Web Developer',b'Rangam Consultants Inc.',"b'Princeton, New Jersey, United States'","b'Good time-management skills\nCritical thinker and problem-solving skills\nFamiliar with testing frameworks (Ex. Jasmine)\nExperience with RESTful services\nStrong expertise with HTML/HTML5, CSS/CSS3, and writing cross-browser compatible code.\nExperience working in an Agile team ex scrum\nExpert in any one of the modern JavaScript MV-VM/MVC frameworks (Angular2+, JQuery, NodeJS)\nHand on and implements complex Angular2+ applications, directives, components, services\nGood understanding of AJAX and JavaScript Dom manipulation Techniques\nExperience in JavaScript build tools like grunt or gulp\nTest runner framework (Ex. Karma)\nTeam player\nGreat interpersonal and communication skills'"
b'Web Developer',b'Options Group',"b'New York, New York'","b'Assured Guaranty is seeking a highly collaborative agile Developer to work closely with Business Analysts, Quality Assurance, and other Developers to deliver prioritized user stories in line of business applications.\nResponsibilities:\n\xe2\x80\xa2 Implement user stories\n\xe2\x80\xa2 Participate in team meetings\n\xe2\x80\xa2 Perform code reviews\n\xe2\x80\xa2 Help train the team\n\xe2\x80\xa2 Design performant technical solutions\n\xe2\x80\xa2 Fix defects\n\xe2\x80\xa2 Follow and propose technology standards\n\xe2\x80\xa2 Implement automated testing\n\xe2\x80\xa2 Work with project managers to achieve milestones and delivery Candidate Requirements\n\xe2\x80\xa2 Bachelor\xe2\x80\x99s degree or higher in Computer Science, Computer Engineering, or equivalent.\n\xe2\x80\xa2 5 years\xe2\x80\x99 experience in software development.\n\xe2\x80\xa2 Strong written and verbal communication skills.\n\xe2\x80\xa2 Experience building service-oriented architectures, domain models, and user interfaces.\n\xe2\x80\xa2 Experience building RESTful services on Windows using IIS, Web API, HTTP, ADO.NET/Entity Framework.\n\xe2\x80\xa2 Knowledge of design patterns such as MVVM and understanding of Web API pipeline.\n\xe2\x80\xa2 .NET, C#, HTML 5, CSS 3.0, JavaScript, jQuery required.\n\xe2\x80\xa2 Familiarity with Bootstrap, React, Kendo UI a plus.\n\xe2\x80\xa2 Knowledge of SQL Server and MongoDB a plus.\n\xe2\x80\xa2 Application Lifecycle Management using Visual Studio, SSDT, TFS, and Git.\n\xe2\x80\xa2 Knowledge of fixed income and insurance would be an asset.'"
b'Web Developer',b'Tatch',"b'New York, New York, United States'","b""We're looking for a smart and creative engineer to lead the development efforts of our healthcare professional-facing web interface. You will be designing and implementing the architecture and UI for a powerful, yet user-friendly application, capable of reviewing and handling millions of data points while maintaining a real-time profile and clinical precision.\n REQUIREMENTS\n5 years\xe2\x80\x99 experience as a software developer\n3 years\xe2\x80\x99 experience with HTML, CSS and JavaScript\nOutstanding UI design skills\n\nADVANTAGES\nExperience with the following technologies: React / Highcharts (or other charting engines) / AWS Services\nExperience in healthcare or other regulated industries\n\nABOUT TATCH\nTatch is transforming sleep diagnostics by shrinking an entire sleep lab to a single wearable patch, helping millions live better, longer lives. Our platform delivers consumer comfort with clinical performance by using cutting-edge sensor design, a cloud-native suite of state-of-the-art algorithms and a sleek mobile app, creating a seamless experience for both patient and doctor."""
