title,company,location,job description
b'Web Application Developer II',b'The Judge Group',"b'San Diego, CA, US'","b'Location: San Diego, CA\nDescription: The Judge Group is currently seeking a Web Application Developer II for a fantastic hospital facility in San Diego, CA!!\n\nColdFusion is a must\nProvides advanced level programming support, data analysis, system design, and new application development for all web applications. Mentors other developers and oversees their design and development work.\nFunctions as technical lead for medium to large projects. Ensures technical solution is aligned with business strategy and is consistent with team\xe2\x80\x99s technical direction. Design and development Performs comprehensive analysis, programming design and development activities associated with web application development.\nInterprets and translates functional specifications into appropriate technical specifications and database design documents using department standards. Utilizes sound knowledge of IS strategies and development tools to develop system solutions that meet business requirements. Demonstrates forward thinking by conducting thorough analysis of data requests and changes to implement proposed solutions.\nFollows SDLC process in code development and utilizes department naming standards. Creates technical documents using UML diagraming techniques, including Sequence Diagram, Activity Diagram, Class Diagram, etc.\nDesigns sound database structures by using Entity Relationship Diagram (ERD). Enforce standards and best practices regarding code review, secure programming, and performance testing. Demonstrates knowledge of software development methodologies (i.e. Waterfall, Agile, etc.).\n\nSkills\nSeven years of experience developing applications using technology used at Sharp (HTML, CSS, JavaScript, ColdFusion, others).\nThree years of experience designing technical solutions leveraging best practices as well as accepted patterns and principles. Experience with and knowledge of software development methodologies, processes, tools, and interfacing with both internal and third party APIs are required.\nFamiliarity with the concepts of secure programming and strategies for preventing common security vulnerabilities such as injection attacks and request forgeries is preferred. Experience in SQL as well as database design and development preferred.\nMust be able to calmly and professionally respond to frequent deadlines for reports and related tasks, and to prepare work and presentations on short notice. Must be able to respond calmly and professionally to telephone or face-to-face contact from angry or frustrated users/clients.\nEducation: Bachelor\xe2\x80\x99s degree in an applicable field such as Computer Science, Information Systems, Business Administration, or Health Care Administration preferred. Relevant experience in excess of seven years or appropriate certifications may be substituted.\nIf you would be interested to apply, please send your most updated resume to Jacob at jmaybrier@judge.com!\n\nContact: jmaybrier@judge.com\n\nThis job and many more are available through The Judge Group. Find us on the web at www.judge.com'"
b'Sr. Web Designer',b'Berkshire Hathaway HomeServices California Properties',"b'92123, San Diego, California, United States'","b'Berkshire Hathaway HomeServices California Properties, award winner of the Real Estate Agency Brand of the year in the 26th annual Harris Poll EquiTrend Study and a leader in the real estate industry, is currently looking for a Senior Web Designer. The Sr. Web Designer manages the design, development, and implementation of web-based solutions for both company-affiliated websites, company-branded sales associate websites as well as custom applications created for internal use.\n\nThe Sr. Web Designer will create new designs for internal and external digital marketing materials, which may include high quality, modern, clean and professional responsive website mockups for the company home page, interior pages and custom elements. Work closely with web development team to ensure proper implementation of design elements. Test and improve the design of websites and microsites. Design work may also include web site content, social media graphics, display ads, newspaper advertising, trade show exhibits, direct mail pieces, corporate identity work, flyers and other promotional and presentation materials.\n\nThe Sr. Web Designer will be responsible for graphic design projects from inception through successful and timely implementation. This individual will create presentation materials to support training, management meetings, and executive presentations. This role may also manage outside creative resources.\n\nResponsibilities:\nLead the planning, implementation and evaluation of company, special event and builder websites by providing input to and managing delivery of planned communication services. \nCoordinate the process of adding and updating information to the sites, including providing wireframes, sitemaps, design concepts, icons, navigational components, charts, etc. while maintaining style guide standards.\nMaintain and analyze user feedback, promoting the sites and evaluating their effectiveness. \nDesign and develop custom web media primarily delivered for Internet; HTML/CSS;\nDevelop professional, custom graphics deliverable in web format. \nProvide new, creative web design to websites, including both internal and external blog and additional development that extends open source platforms.\nContribute to increased site traffic by ensuring websites are user friendly, easily navigable, and are optimized for effective search engine use. Approach web solutions with a UX expert philosophy.\nDesign HTML based e-mail campaigns.\nMay troubleshoot, document, test and resolve reported software bugs. \nMay act as a resource to other designers or web support staff. Act as brand Creative Director for web presence.\nMay setup, maintain, update and administer agent and company websites, agent e-mail accounts and digital photo libraries. \nPerform any additional responsibilities as requested or assigned.\n\nRequired Education & Experience:\nBachelor\xe2\x80\x99s degree in information systems, computer science, web design or related field; or equivalent work experience and knowledge.\nA minimum of five years of related experience in web-related programming and website building.\nA minimum of five years\xe2\x80\x99 experience as a creative director.\nA minimum of two years personnel management experience.\nFour years\xe2\x80\x99 experience with database structures, designs, and usage.\nExperience in web administration and website design development.\n\nRequired Skills:\nExpert proficiency in design applications. Knowledge of HTML and CSS. A subject matter expert in Adobe Creative Suite: Adobe XD, Photoshop, InDesign, Illustrator, After Effects, and Dreamweaver (or equivalent).\nKnowledge of FTP (file transfer protocol) and other programs that enable media distribution functions to work.\nEffective customer service and communication skills.\nEffective analytical and problem-solving skills; detail oriented.\nAbility to prioritize and handle multiple projects concurrently. \nOrganized and able to meet multiple, concurrent deadlines.\nAbility to work well independently and as part of a team.\n\nWage:\nBenefits package may include: Medical/Dental/Vision/Life Insurance, EAP, 401K with employer match, Flexible Spending Account, PTO.\nLocation:\nSan Diego, CA 92130\n To Apply:\nPlease apply through the following link:\nhttps://recruiting2.ultipro.com/HOM1014HSOA/JobBoard/d27d99d8-885e-4297-8938-e885270d3c57/Opportunity/OpportunityDetail?opportunityId=47d65b4e-5cd4-43c4-bbcc-8e4712088741&sourceId=3e06798a-cf45-40ee-a403-8ff252aacf0a'"
b'Web Developer',b'eSUB Construction Software',"b'San Diego, CA, US'","b""eSUB is looking to fill a few Web Developer positions (all levels, including a Jr. Level role).\n\nA Web Developer at eSUB Construction Software works with a diverse team to create and extend a cloud-based solution for subcontractors. Our solution aims to empower subcontractors to get information to the right people at the right time, to bring the field and the back office closer together, and to enable greater efficiency and productivity. Successful engineers at eSUB work collaboratively, are self-motivated, and are always learning.\n\nIn this role, you will help expand eSUB\xe2\x80\x99s frontend architecture, delivering new features, writing unit tests, and creating modern UI\xe2\x80\x99s. This role works closely with our Backend engineers, QA team, UX designer, and Product Owners.oper positions (all levels, including a Jr. level position).\n\nResponsibilities & Duties\nWork independently on complex tasks\nHelp direct and review the work of more junior team members\nWrite reusable, modular, and scalable code\nWrite code that consumes REST services\nWrite unit tests and work with QA Engineers to automate the testing process\nImplement the web UI accurately, following high resolution mockups and templates created by the UX designer\nWrite high-quality code following OOP principles and best practices within the relevant frameworks\nParticipate in pair programming with other developers\nLead code reviews, design reviews, effort estimates, task breakdowns, and other team discussions\nFix software defects\nBreak down features into testable sub-tasks\nEstimate and commit to tasks and manage your time to deliver as committed\nMeaningfully test all your work including writing automated tests whenever possible\nFollow coding and other standards per team practices\nWork with the existing engineering team on continuously improving the performance, scalability, and reliability of eSUB products\nCollaborate with the product and engineering teams to design and deploy new features\nLearn about the latest tools and patterns consistent with your role\nParticipate in our Agile processes\xe2\x80\x94from updating Jira to reflecting meaningfully in retrospectives and everything in between\n\nQualifications\n5 to 8 years or more of experience in a Web development role\n5 years or more of experience in the following:\nJavaScript\nHTML and CSS\nConsume REST APIs\nCSS precompilers like Sass or LESS\n5 years or more of experience in the full software development lifecycle\n3 years or more of experience working with cloud technologies (plus for Microsoft Azure)\n5 years or more of experience in the following:\nAngular\nTypescript\nECMA Script\nUI frameworks (Bootstrap, Telerik, jQuery UI)\nKnowledge of responsive UI design practices\nExperience using with popular IDE\xe2\x80\x99s like Visual Studio and WebStorm\nDemonstrated mastery of OOP and commonly used design patterns\nExperience in at least one Agile software development methodology (e.g. Scrum, Kanban)\nStrong collaboration and communication skills\nAbility to engage throughout the department and the company to achieve goals\nBachelor\xe2\x80\x99s Degree in a relevant major or equivalent year of experience\nAny of the following would be a plus:\nConstruction industry knowledge\nExperience in B2B product development\nExperience in a CI/CD environment\nExperience with Web API, MVC, C#, SQL, Material Design\n\nAbout You\nYou respect and share our values\nYou love working with teams of smart and driven people who are excited to solve challenging problems\nYou can talk about complex software systems and have ideas on how to most effectively build quality, performant, and easily supportable software\nYou believe that code-reviews, giving them and asking for them, are important to delivering quality a product\nYou love to cover your code with adequate unit, integration, and performance tests\nYou are adamant about instrumenting and measuring the performance of code to find bottlenecks and improve performance\nYou exhibit dogged determination to get to the root of problems\nYou care about best-practices and evangelizing them with the team\nYou like to research and propose new techniques and methodologies to improve quality and efficiency of our software\nYou can clearly convey your thoughts, enjoy presenting what you\xe2\x80\x99ve done, and can cater your message to audiences both technical and non-technical\nBehavior and Scope\nYou understand the priorities and goals for the team.\nYou\xe2\x80\x99re thoughtful about process; proposes changes as needed for the whole team to execute more efficiently.\nYou hold your team accountable for their best possible efforts.\nWhen finding an issue in another team, you raise the matter tactfully with that team.\nWhen discussing work, you engage in discussion around business impact.\nYou can develop large parts of systems on your own to support products.\nYou routinely work without needing major direction or attention to achieve success in your role.\nYou typically work on systems in multiple domains; you may require some guidance to complete complex work to achieve success.\nYou own major functionality in a product and can diagnose issues, determine root cause, and recommend a resolution.\nYou mentor others when opportunities are presented.\nWork Environment\n\nThis position works in an office environment and work is mostly performed at the eSUB office when not travelling for business. This role routinely uses standard office equipment. A sit/stand desk can be provided.\n\nIf you're bold in your pursuits and passionate about change, then this might be the environment for you! eSUB provides world class, venture backed SaaS and mobile project management solutions to the skilled trades that build projects like the Freedom Towers, airports, major ballparks and tech campuses of the world. Our headquarters are located in the epicenter of San Diego's most desirable location, La Jolla / UTC. With a gym, food trucks, outdoor hammocks, barbecues, private shuttles to UTC Mall, in house ping pong, pool tables and open, collaborative space, we clearly value work/life balance and a commitment to the best. If you desire to be mentored by proven executives and collaborate with connected teams, consider joining our team."""
b'Web Developer',b'1Point21 Interactive',"b'San Diego, CA, US'","b'Are you looking for a web developer job in San Diego? Are you an HTML5 and CSS3 rockstar? Are you looking for a job with an amazing company culture? Then you just may be in luck. 1Point21 Interactive, recently listed as one of San Diego Business Journals 10 Best Companies to Work for in San Diego, is looking for a talented front-end web developer to join our team.\n\nJob Description\n\nTaking PSD files from our design team and creating pixel perfect, cross-browser tested and perfectly functioning websites.\n\nConverting PSD files into custom WordPress themes (if you have experience with developing WordPress sites from scratch, using Advanced Custom Fields, etc. that\xe2\x80\x99s a big plus in our book).\n\nBuilding responsive websites\n\nCreating interactive websites, animations and data visualizations\n\nWork with our design team to deliver projects on a timely basis\n\nThe Required Skills\n\n2+ years of experience using HTML, CSS, JavaScript and other front end development technologies\n\nExpert in building and customizing WordPress sites.\n\nExperience leveraging frameworks such as Bootstrap 3 or Foundation to build responsive websites beautifully and efficiently.\n\nExperience prototyping and working collaboratively with designers.\n\nAn extreme attention to detail and organization\n\nAbility to test and hand-code for all major browsers.\n\nProficiency in web standards including tabless layout and clean, lightweight, responsive code\n\nExpert in HTML5 and CSS3\n\nSense of humor\n\nBonus Skills\n\nJavascript\n\nHTML5\n\nCSS3\n\nSVG\n\nD3\n\nPing Pong\n\nCompany Perks\n\nBonuses\n\nIncredible company culture with laid back atmosphere\n\nWork with a great team of people\n\nFull benefits package including 401k matching\n\nIf you feel you are the perfect match for this job, please apply below!'"
b'SharePoint & Web Analyst/Developer',b'Scripps Research',"b'San Diego, CA, US'","b'Requisition Number 07387 Department Name: IT Services - CA Position Type: Full Time Position Title SharePoint & Web Analyst/Developer Position Summary:\nUnder general supervision provides day-to-day technical and operational support and programming for the content management system (CMS) of the institutes internal and external websites. As the sole technician for web services/content for both campuses, responsibilities include the planning and administration of site structure and access permissions, design and implementation of CMS features and user interfaces, development and testing, and troubleshooting website content and assurance of high availability web services through coordination with ITS Infrastructure group (virtual server environment) as well as secure web content and compliance with best web security practices. Programs in SharePoint,HTML/PHP and other coding/programming languages as needed. Provides technical and operational assistance to various departments. Monitors web servers for usage and adherence to policies. Provides web utilization statistics on a monthly basis by providing reports to management.\n\nPosition Description\n\nResponsibilities And Duties\nIndependently design, develop, and deliver scalable, secure SharePoint, Flow, PowerApp.\nSite Collection Administration and Management.\nBuild environments for creating and testing ""out of the box"" SharePoint solutions.\nConfigure standard and customized SharePoint team sites, libraries, lists, calendars, etc.\nCreate and maintain custom master pages and branding.\nCreate custom web parts.\nProvide user instruction and training as needed.\nCreate solutions in response to user requirements using the following tools and capabilities: SharePoint Designer, SharePoint Workflows, Vue.js, JQuery, JavaScript, HTML, PHP, and CSS.\nProvide end user technical support on every aspect of SharePoint including day-to-day issues regarding SharePoint usage, application maintenance and permission management.\nConduct formal meetings with key stakeholders, to gather, analyze, and translate functional business requirements and workflows into technical requirements. Analyze the feasibility and document the technical and end user specifications.\nEngage with management, team members, clients, and trade partners to build trustworthy, long term, mutually profitable relationships\nServes as the primary point of contact for the external and internal content management system (CMS).\nImplements and troubleshoots to ensure continuous, high availability web services through use of quality technology and constant attention to detail.\nMaintain knowledge of upgrades and user implementations to maximize utility and inspire enhancements.\nTranslate static design concepts into web page templates, applications, and features.\nDevelop and maintain workflows and administer access in accordance with institute guidelines.\nMaintain CSS and test and ensure compatibility with supported browsers.\nEnsure optimization of search function within the website through use of page tags, etc.\nProvide training, advice and support to departmental and laboratory personnel on the appropriate and effective use of web technology, especially through advocacy of using a consistent look and feel.\nImplement and troubleshoot web server security and stability.\nUses HTML/PHP and other programming/coding tools to support web content.\nAssist the Office of Communications and other departments (such as the Graduate School, Library, Human Resources, and others) in adapting content to the institutional web structure.\nWorking under the supervision of the Applications Engineering, Dir, develops and maintains a strategic plan for the Institutes internet presence, based on management priorities, policy directions, and goals.\nCreate enhancements and modifications to the web site by assessing new standards, technologies and trends, and formulates strategies and plans for enhancing the site; maintain cross-platform and cross-browser compatibility so that the web site is accessible from a variety of different environments.\nAnalyze traffic statistics and error logs, ensuring links are up to date.\nCheck bugs and problems, diagnose and fix, or escalate to appropriate support group.\nRespond to 2nd level tickets coming into the Issues Tracker for problem resolution, changes to new or existing sites, lists, libraries and solutions.\nPerforms other duties as assigned by User Support and management.\nLocation: San Diego, California Additional Information: Physical Requirements:\nThis position works in a typical office environment. With or without reasonable accommodation, employees in this position must be able to sit and type at a computer terminal for up to 8 hours per day with appropriate breaks and perform tasks that require fine dexterity and repetitive motions using the arms, hands, wrists and fingers. Further details of the physical requirements of established essential functions for this position will be addressed/discussed during the interview process.\n\nBasic Qualifications\nBachelors degree in information systems technology, computer science, or a related field, or an equivalent combination of education, training and/or experience from which comparable knowledge, skill and abilities have been attained.\nSharePoint Development: 5 years (Required)\nHands-on experience with Office 365/SharePoint Online or SharePoint 2016.\nKnowledge of the following tools and capabilities would be useful but are not required: WordPress, Drupal, Joomla, or another CMS. SQL, PowerBI, SQL Reporting Services (SSRS), SharePoint Object Model, SharePoint App Model, Client-Side Object Model, and REST API, Adobe Products.\nMinimum one year related experience with Windows and UNIX operating systems, including specific project experience in website programming or authoring required.\nKnowledge of web design, development, and implementation, including basic composition, page layout, and presentation packages such as Adobe.\nStrong verbal and written communications skills.\nKnowledge of HTML, CSS, XML, PHP, JavaScript, MySQL, Access and Apache.\nKnowledge of current trends and technology in the field of information systems.\nBasic knowledge of Linux for server side web maintenance.\nStrong analytical and problem solving skills and high attention to detail, and the ability to work independently.\nDemonstrated effective time management and organizational skills, and the ability to meet deadlines.\nStrong interpersonal and verbal communication skills and the ability to establish and maintain effective working relationships with web development project team members and institute staff.\nExperience with PHP or similar framework, XML and related technologies such as XPath, XSLT, XSL, content management systems, Linux Command Line, and/or photo editing, drawing, and multimedia software highly desired.\nKnowledgeable of what functionality can be configured out-of-the-box and what functionality requires extra customized development, while keeping in mind the integrity and stability of the SharePoint environment.\nAbility to influence people, build relationships, collaborate, and handle multiple projects simultaneously in a deadline driven environment.\nKnowledge of building web parts, page layouts and content types using the SharePoint user interface.\nExperience with SharePoints application services framework including implementation, configuration, and usages of Enterprise Search, Managed Metadata, and User Profile Services.\nPreferred Qualifications: Compensation: DOE Job Closing Date: Open Until Filled Yes Job Posting Category Scientific & Technical EEO Statement\nThe Scripps Research Institute is an Equal Opportunity Employer. All qualified applicants are encouraged to apply and will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other legally protected characteristic or status.'"
b'WordPress Developer',b'Visceral',"b'San Diego, CA, US'","b'About Visceral\n\nPlease apply on our website: https://www.thisisvisceral.com/job/wordpress-developer/\n\nVisceral is a creative agency that specializes in branding and digital design. We partner with organizations focused on social good: philanthropists, educators, conservationists, and social enterprises. As a Certified B Corporation, we strive to make a positive impact on our community, our environment, and our team. Above all, we exist to create world-class products with real-world impact.\n\nAbout The Position\n\nYou are more than a top-notch WordPress developer: You are a strategic thinker who understands the roles that planning and creativity play in the development of world-class digital products. You are a great communicator who loves contributing ideas and constantly strives to produce better products. Most importantly, you believe in the power of technology to move people.\n\nPlease note: This is an in-house position in San Diego. We are not looking for remote candidates at this time.\n\nYou Must Have\n3+ years of experience creating WordPress sites from scratch, developing custom themes, plugins, etc.\nExpert ability to create clean, efficient, well-documented code including HTML, CSS, PHP/MySQL, and Javascript\nExperience with modern WordPress development workflows such as Sass, package managers, Git, etc.\nParticipated in the full cycle of web-based projects and assisted in the creation of website architectures by creative ideas and technical\nExcellent communication skills and experience collaborating with clients and teams\nAn ability to identify development challenges, ask appropriate technical questions, and identify suitable solutions\nExcellent attention to detail\nThe desire to collaborate and constantly learn\nAn ability to effectively manage your time around multiple projects\n\nIt Would Be Great If You Have\nExperience working with CRMs such as Salesforce, HubSpot, Marketo, etc.\nExperience with the Sage starter theme and Laravel\nExperience with Google Analytics and Google Tag Manager\nA strong understanding of search engine optimization (SEO) principles and tactics\nExperience with website hosting setup including server configuration Experience with accessibility guidelines compliance including WCAG (Web Content Accessibility Guidelines), Section 508, etc.\n\nWhat You Can Expect\nA competitive salary\n100% coverage of medical, dental, vision,\nIRA match\nGenerous paid time off\nEducation opportunities\nMatched giving\nTeam outings and volunteer opportunities\nPlease apply on our website: https://www.thisisvisceral.com/job/wordpress-developer/\n\nVisceral is a creative agency that partners with social visionaries to design brands and experiences that challenge the world to be a better place. We\xe2\x80\x99re motivated by a love for our craft and our ability to solve complex social problems, not by design trends and financial gain. As a Certified B Corporation, we strive to make a positive impact on our communities, our environment, and our team. Above all, we exist to create world-class products with real-world impact.'"
b'Front-end Developer',b'Mindera',"b'San Diego, CA, US'","b'Why Join Us?\n\nHere at Mindera, we are continuously developing a fantastic team, and would love it for you to join us. As a Frontend Software Developer, you will be responsible for building fluid and responsive user interfaces for multiple platforms and devices.\n\nWe are looking for junior and experienced Developers with an appetite for solving complex problems and building seamless user interactions to world-class standards.\n\nExpected travelling time (UK, Porto, and USA):: 0%-15%, varies according to project/client.\n\nRequirements\n\nYou are good at\nAgile methodologies such as Scrum and Kanban;\nVanilla Javascript and modern frameworks and platforms such as AngularJS, ReactJS, Ember, Backbone and Node.js;\nAt least 1 year of Angular experience\nUser Interface Performance and Responsiveness.\n\nYou Rock at\nMore than one programming language such as Javascript, Java or Scala;\nMarkup and Styling with HTML5 and CSS 3;\nBeing self-driven, self-organized and working with little supervision towards a common team and company purpose.\n\n\nExperience\nJunior to mid-level of experience\n\nBenefits\n\nWe offer\nFantastic working environment built on the principles of lean and self-organisation;\nFun, happy and politics-free work culture;\nCompetitive salaries and benefits;\nPotential to international travel;\nWorking with high profile clients in consultancy environment;\nNo dress code, corporate speak or middle managers.\n\n\nAbout Mindera\n\nAt Mindera we use technology to build products we are proud of, with people we love.\n\nSoftware Engineering Applications, including Web and Mobile, are at the core of what we do at Mindera.\n\nWe partner with our clients, to understand their product and deliver high performance, resilient and scalable software systems that create an impact in their users and businesses across the world.\n\nYou get to work with a bunch of great people, where the whole team owns the project together.\n\nOur culture reflects our lean and self management attitude. We encourage our colleagues to take risks, make decisions, work in a collaborative way and talk to everyone to enhance communication.\n\nWe are proud of our work and we love to learn all and everything while navigating through an Agile, Lean and collaborative environment.\n\nCheck ot our Blog: and our Handbook:\n\nOur offices are located: Aveiro, Portugal | Porto, Portugal | Leicester, UK | San Diego, USA | San Francisco, USA | Chennai, India | Bengaluru, India'"
b'Web Developer- Apply now!',b'Doctor Multimedia',"b'San Diego, CA, US'","b'Do you WordPress? Did you spend hours crafting a skill that the rest of the world seems to think is useless? Is the fact that you majored in something stupid ruining your job prospects? Are your parents bothering you about doing something productive with all time you spend on the computer? If so, we have a job for you. We are looking to add an entry-level developer to our team. You must have strong WordPress knowledge, be comfortable building and maintaining websites, and able to find and fix errors. Advanced training is provided on the job, but you should be familiar with theme development as well as basic coding languages such as HTML, CSS, Javascript and PHP. The skills you actually need are attention to detail, the ability to stare at computer screen for hours on end, be able to communicate with our clients, and to learn from your mistakes quickly. The position is full-time and paid hourly. Benefits are provided. Job Requirements: Deploying websites and web based applications Use other appropriate web technologies Supporting code for web applications or web sites Implement web pages and entire web sites Write supporting code for web applications or web sites Using a broad range of web development technologies therefore a strong understanding of web development protocols Facilitate the success of web projects Work on applications using leading edge web technologies with a strong technical team Carry out web-based marketing activities Adapt, design, develop and evolve the company web technologies Debug, and document web sites, web applications, and web services Create, and maintain web sites and web applications Develop, and maintain web applications and web sites Express and demonstrate database & web software development skills Producing code on web sites Do you WordPress? Did you spend hours crafting a skill that the rest of the world seems to think is useless? Is the fact that you majored in something stupid ruining your job prospects? Are your parents bothering you about doing something productive with all time you spend on the computer? If so, we have a job for you. We are looking to add an entry-level developer to our team. You must have strong WordPress knowledge, be comfortable building and maintaining websites, and able to find and fix errors. Advanced training is provided on the job, but you should be familiar with theme development as well as basic coding languages such as HTML, CSS, Javascript and PHP. The skills you actually need are attention to detail, the ability to stare at computer screen for hours on end, be able to communicate with our clients, and to learn from your mistakes quickly. The position is full-time and paid hourly. Benefits are provided. Job Requirements: Deploying websites and web based applications Use other appropriate web technologies Supporting code for web applications or web sites Implement web pages and entire web sites Write supporting code for web applications or web sites Using a broad range of web development technologies therefore a strong understanding of web development protocols Facilitate the success of web projects Work on applications using leading edge web technologies with a strong technical team Carry out web-based marketing activities Adapt, design, develop and evolve the company web technologies Debug, and document web sites, web applications, and web services Create, and maintain web sites and web applications Develop, and maintain web applications and web sites Express and demonstrate database & web software development skills Producing code on web sites'"
b'Front End Developer',b'Energy Resourcing Canada Ltd.',"b'San Diego, California, United States'","b'Ou client  is looking for a front end developer to help architect and produce a specific software solution that will help accelerate the energy transition to a more distributed, affordable, low carbon future. You will be part of a cross- functional team that\xe2\x80\x99s responsible for the full development lifecycle, from concept to deployment.\n  As a front end developer, you need to be well versed with front-end architectures and programming languages. You should be knowledgeable about developer frameworks and third party libraries, create exceptional user interfaces, be able to work well with a close knit team, and be passionate about challenging limits, adapting purposefully, and co-creating a solution and company that we are proud to work for and that our partners, clients and community are thrilled to work with.\n  Responsibilities\n\xe2\x80\xa2 Front end web/mobile application design and development\n\xe2\x80\xa2 Implement responsible web design principles to ensure that our platform renders well across multiple browsers and devices\n\xe2\x80\xa2 Implement web or mobile interfaces using XHTML, CSS, and JavaScript\n\xe2\x80\xa2 Integrate third party web technologies into our solution\n\xe2\x80\xa2 Work closely with back end team to implement services\n\xe2\x80\xa2 Build high quality mockups and prototypes\n\xe2\x80\xa2 Optimize platform for maximum speed\n  Required Qualifications\n\xe2\x80\xa2 B.S. or M.S. Computer Science or related experience\n\xe2\x80\xa2 Proficiency with fundamental front-end languages such as HTML, CSS and JavaScript\n\xe2\x80\xa2 Proficiency with JavaScript frameworks such as Node.js, Angular, React and Ember\n\xe2\x80\xa2 Strong knowledge of TypeScript\n\xe2\x80\xa2 Excellent verbal communication skills\n\xe2\x80\xa2 Good problem-solving skills\n\xe2\x80\xa2 Attention to detail\n  Desired Qualifications\n\xe2\x80\xa2 Experience with web payment options\n\xe2\x80\xa2 Knowledge of Sketch and InVision for design and prototyping needs\n\xe2\x80\xa2 Scrum, Agile or Kanban experience\n\xe2\x80\xa2 Extensive use of APIs and understanding of REST architecture\n\xe2\x80\xa2 Knowledge of SEO principles\n\xe2\x80\xa2 Experience with graphics software such as Photoshop and Illustrator'"
b'Front-End Developer',b'Seamgen',"b'San Diego, CA, US'","b'Services\nFRONT-END DEVELOPERAre you passionate about creating beautiful and elegant user interfaces? Modern application design and natural user interfaces are transforming the web into highly interactive experiences. Seamgen is seeking an experienced Front-End Developer that has the ability to transform beautiful UI designs into working applications. The ideal candidate will have experience with HTML5, jQuery, JavaScript, AngularJS, and Bootstrap CSS.\n\nResponsibilities\nAbility to translate Wireframes and PSD Designs into functional web apps using HTML5, CSS and JavaScript\nBinding of UI elements to JavaScript object models\nWork in a cross-functional team to deliver a complete user experience\nTest and debug to ensure flawless functionality and performance of your design\nBe responsive to change requests and feature requests\nWrite code that is cross-platform and cross-device compatible\nAbility to wear many hats and learn new technologies quickly\n\nExperience\n2-3 years minimum in creating complex HTML based solutions\nDetail oriented experience as a Web Developer creating jQuery based solutions\nStrong visual and interaction design skills\nAbility to work both independently and in collaborative teams to communicate design and build ideas effectively\n\nRequirements\nFluent knowledge of latest HTML/CSS standards and best practices\nWorking knowledge of JavaScript/jQuery\nSolid Understanding of HTTP protocol and how server-side code is processed on the client\nSome experience with Photoshop or Sketch is a plus (creating sprites, optimizing, cutting or adjusting images)\nWorking knowledge of front end optimization and performance techniques\nObsession with lean, clean and organized front-end code\nCross-browser development and troubleshooting\nExperience building Responsive websites for web, tablet and mobile devices\nEye for details is crucial\nAble to handle multiple projects and competing deadlines\nGood understanding of overall web design including basic usability, accessibility, industry standards, architecture, and navigation\nPortfolio of work required. Include examples of all areas of interaction design (user flows, wireframes, final graphical display)\n\nPreferred Competencies\nExcellent communication and organizational skills\nExperience using asynchronous RESTful services (JSON)\nDeveloping for mobile platforms\nTwitter Bootstrap and LESS\nExperience with client side Javascript Frameworks\n\nApplication\n\nOur projects are big and our team is tight. While we may not always be actively hiring for each position listed, we\xe2\x80\x99d love to hear from you. Relevant experience is typically required, so please provide a cover letter addressing aspects of the position. Hold the phone calls, please!\n\nTo apply for this position, please submit your resume to click apply\n\nMust be available to work onsite in our downtown San Diego office. No relocation packages available.\n\n/\n\n185 W F Street, Suite 700, San Diego, CA 92101\n\n/'"
