title,company,location,job description
b'Web Developer',b'Databricks',"b'San Francisco, CA, US'","b""Mission\n\nThe Databricks marketing website is our single most important external communication tool. Databricks is looking for a knowledgeable, savvy Web Developer to join the Marketing Team and support all online initiatives. In this role, you will drive all aspects of maintaining and building out the main marketing website and other Databricks web properties, with an eye toward improving the web experience, and a strong comfort level with testing to improve web performance. You will also collaborate with the entire marketing team in the creation and implementation of web content such as landing pages, blog posts, website edits, press, and email marketing.\n\nOutcomes\n\nBuild And Maintain Databricks' Web Properties\nCreate new pages, drive consolidation & migration efforts of other existing Databricks properties\nApply security and plugin updates\nRegularly refactor and apply performance updates\nTroubleshooting and tracking issues, logging bugs, and collaborating with team to define key site changes\n\nDrive web performance\nWork across different internal stakeholder groups and SEO agency to implement tactics to grow site traffic\nPlan and execute A/B tests to optimize for conversions\nUnderstands design to help improve the user experience on the site\nTrack and report web metrics and provide insights to the team into site performance\n\nStaging and publishing web content\nCreate pages in WordPress\nEnsures pages are SEO optimized\nStaging and publishing of content - Blog posts, press releases, etc.\n\nCompetencies\nExtensive knowledge of WordPress CMS and theme/plugin development\nStrong front-end development background (HTML, JavaScript and CSS)\nKnowledge of Google Analytics and Google Tag Manager\nBackground developing landing pages and executing A/B tests\nExperience working with git version control software\nAble to self-manage projects and can provide input on new projects\nStrong analytical skills to deliver insights to improve performance\nAble to perform under pressure and deliver results in a demanding and fast-paced environment that requires fresh thinking and innovation\nWorks and communicates well with stakeholders across multiple groups\n\n\nBenefits\nMedical, dental, vision\n401k Retirement Plan\nUnlimited Paid Time Off\nCatered lunch (everyday), snacks, and drinks\nGym reimbursement\nEmployee referral bonus program\nAwesome coworkers\nMaternity and paternity plans\n\n\nAbout Databricks\n\nDatabricks\xe2\x80\x99 mission is to accelerate innovation for its customers by unifying Data Science, Engineering and Business. Founded by the team who created Apache Spark\xe2\x84\xa2, Databricks provides a Unified Analytics Platform for data science teams to collaborate with data engineering and lines of business to build data products. Users achieve faster time-to-value with Databricks by creating analytic workflows that go from ETL and interactive exploration to production. The company also makes it easier for its users to focus on their data by providing a fully managed, scalable, and secure cloud infrastructure that reduces operational complexity and total cost of ownership. Databricks, venture-backed by Andreessen Horowitz, NEA and Battery Ventures, among others, has a global customer base that includes Salesforce, Viacom, Shell, and HP. For more information, visit www.databricks.com.\n\nApache, Apache Spark and Spark are trademarks of the Apache Software Foundation"""
b'Frontend Web Developer',b'Workforce Logiq',"b'94041, Mountain View, California, United States'","b'Job Title: Frontend Web Developer \nLocation: Mountain View, CA 94041\nDuration: 3 Months with possible extension or conversion\n\n*Need someone local or open to relocate and who is available to work on W2.\n\nSummary:\nThis is a special opportunity to join a team whose mission is to power quantitative decision making by generating actionable insights. We are very passionate about solving real world problems in a production environment and care deeply about the customer experience. We are constantly taking on the big challenges and drive innovation at a breakneck speed, all the while deeply rooted into what makes our product great.  \n What you will be doing:\nBuild an internal facing web portal service at Pure according to technical specs.\nTake an existing design, CSS assets and lever off this to build the portal \nPortal will need to communicate to the backend over REST api. \nGive demos and resolve all bugs. \nWrite well-structured and maintainable code\n\nWhat you\xe2\x80\x99ll need to bring to this role:\n 3-5 years of experience with web application development.  \nTrack record of building previous web applications and delivery on schedule. \nStrong CSS, Javascript, React or Angular skills'"
b'Web Developer',b'NEC Corporation',"b'Palo Alto, CA, US'","b""Location: Palo Alto, CA\n\nWith more than 117 years of technology innovation, a global team of 100,000, and 64,000+ technology patents, NEC is in the business of providing solutions that focus on safety, security, operational efficiency - enabling people to live brighter, more enriched lives. We call this orchestrating a brighter world.\n\nSummary\n\nProvide programming and troubleshooting support for Marketing-related web activities. Must be able to design, define, evaluate and implement a range of third-party and proprietary web-based & hardware accelerator applications as well as maintain, revise and upgrade propriety web-based & hardware accelerator legacy applications and workflows. Conceptual knowledge and practical experience in the phases of web programming, maintenance, security, and development essential.\n\nAble to collaborate with others, deliver results in a timely manner and explain best practices and concepts in a way that builds consensus and wins alliances.\n\nEssential Duties And Responsibilities\n45% Analyze, evaluate, develop, test and deploy new and existing web-based & hardware accelerator applications.\nProvides detailed analysis to ensure applications meet key requirements.\nDesign software applications, modules and/or approaches and required enhancements for operational efficiencies.\nCodes, reviews, prepare prototypes to demonstrate effectiveness.\nAnalyzes, recommends, validates and implements software application rebuilds and upgrades.\n20% Interpret web-based marketing needs, assess requirements and identify solutions to standard and non-standard requests to establish and maintain a positive NEC brand image with customers, prospects, media and analysts, employees and the general public.\nCollaborates internally/externally to determine web-based requirements and identify best practices to achieve key objectives and outcomes.\nExplains issues and works to build understanding and consensus.\n20% Maintains and enhances technology expertise, keeping current with evolving systems analysis, programming and database technology.\n10% Produces program, system and user documentation for all systems created within the department.\n5% Provides on-call support for customers 24x7.\n\nPrerequisites\nEducation: Bachelor's degree in business, computer science or equivalent work experience.\nExperience:\n2+ years of experience in Web Development.\n2+ years experience developing .net, PHP or other programming applications.\n2+ years of experience with Microsoft SQL.\nFamiliar with CMS tools such as Autonomy Teamsite.\nHTML5, CCS3, JavaScript, XML, Web Services, API.\nMicrosoft SQL stored procedures, views, indexes.\nFamiliarity with SAP.\n\n\nSpecialized Knowledge And Skills\nLanguage Skills: Excellent communication skills and a demonstrated ability to effectively work with and support customers.\nMathematical Skills: Must be skilled in basic math.\nReasoning Skills: Must be able to work with limited oversight. Must be self-motivated with strong attention to detail.\nComputer and/or Technical Skills: Possesses in-depth working knowledge of programming and systems analysis procedures. Is fluent in the relevant programming languages and environments. Proficient in all aspects of the software development lifecycle (including analysis, design, development, testing, implementation, and support).\n\nWork Environment and Physical Demands\nGeneral Work Environment: Professional office environment.\nNoise: Moderate.\nStanding/Lifting: None.\nVisual: Must be able to read small text accurately.\nStress: Medium. Must be able to work independently with limited guidance.\nTravel: Moderate.\nSupervisory Responsibility, if any: This position has no supervisory responsibilities.\n\n\nAbout Nec Corporation Of America\n\nHeadquartered in Irving, Texas, NEC is a leading provider of innovative IT, biometrics, network, and communications products and solutions for service carriers and Fortune 1000 and SMB businesses across multiple vertical industries, including healthcare, government, education, and hospitality. NEC delivers one of the industry's broadest portfolios of technology solutions and professional services, including unified communications, wireless, voice and data, managed services, server and storage infrastructure, optical network systems, microwave radio communications, and biometric security. NEC is a wholly owned subsidiary of NEC Corporation, a global technology leader with a presence in over 44 countries and more than $37.5 billion in revenue. For more information, please visit www.necam.com.\n\nNEC Corporation of America and its subsidiaries is committed to the maximum utilization of all human resources and the goal of Equal Employment Opportunity/Affirmative Action. We provide equal opportunities to all employees and applicants for employment without regard to race, color, religion, national origin, sex, sexual orientation, age, marital status, disability, genetic characteristics, height, weight, arrest record pertaining to misdemeanors or status as a Vietnam era or special disabled veteran, or any other class protected by applicable federal, state or local laws.\n\nEOE-Minorities/Females/Protected Veterans/Individuals with Disabilities."""
b'Web Production Developer',b'Apple',"b'Cupertino, CA, US'","b'Summary\n\nApple Retail is seeking an experienced web production developer to join the Apple Digital Content Management team.\n\nYou are smart, self-directed, and a problem-solver. You thrive under pressure and deadlines while being at ease dealing with ambiguity and rapidly changing requirements. You have ultimate respect for pixel perfect UI implementation.\n\nKey Qualifications\n\nMinimum 3 years of experience in developing front-end code for large-scale websites\nSolid understanding of cross-browser, cross-platform and cross-device compatibility standards and behaviors\nStrong HTML and CSS skills. Experience in JavaScript, Node, DevOps and scripting languages (Ruby, PHP, Python, etc) is a plus\nExperience with versions control systems, specifically Git\nKnowledgeable and eager to implement current web design and development trends including HTML5, CSS3\nMust be a quick study, our team uses some proprietary technologies beyond HTML & CSS\nExperience and proficiency working with Photoshop and Sketch\nExhibit a high degree of ownership and accountability\nUnderstanding of challenges behind localization of large-scale sites and its impact on web development\nStrong teamwork and communication skills\nGreat attention to detail\nPassion for creating a great user experience and interaction\nUnderstanding of performance, web analytics, accessibility, SEO techniques\nDescription\n\nTransform Photoshop mock-ups from our Design teams into HTML layouts styled with CSS to build merchandising and product marketing pages for the Apple Online Stores\n\nDeliver front-end code to the publisher teams that integrates easily into the publishing environment\n\nQuickly and expertly address browser compatibility issues\n\nWork efficiently under incredibly tight timelines and meet deadlines without sacrificing quality of product and services\n\nWork with the Engineering partners to establish and support best practices\n\nAdept at working with content management systems and Subversion or similar file management systems\n\nIdentify and drive ways to improve production processes and quality of code deliveries\n\nCreate and maintain documentation of the development processes and workflows\n\nWilling and able to accommodate flexible work schedules during critical business periods'"
b'Web Developer',b'Postmates Inc.',"b'San Francisco, CA, US'","b""Who We Are\n\nPostmates enables anyone to have just about anything on-demand. We pioneered the on-demand space and currently serve 3500+ cities with a fleet of more than 350,000 Postmates and the largest network of merchants in the US. We\xe2\x80\x99re changing the landscape of commerce by making cities our warehouses, providing the delivery infrastructure, and connecting our customers to any product, anywhere, anytime. Postmates isn\xe2\x80\x99t just an app, it\xe2\x80\x99s a way of life and a part of pop culture. We are the O.G. of on-demand and we\xe2\x80\x99ve given people a new superpower \xe2\x80\x94 the ability to Postmate anything from anywhere. We\xe2\x80\x99re building a movement to make Postmates a verb: Postmate it.\n\nWhat We Do\n\nPostmates relies heavily on our engineering team to realize this vision. Building a software platform that is reliable, scales, and stays agile under demanding product needs is a serious technical challenge. Postmates is a three-part balancing act connecting customers, merchants, and couriers in real-time. If any piece is out of whack, the whole system suffers. Working with the Postmates engineering team offers an opportunity with explosive growth, cutting-edge technology, a highly visible charter, and a cool user-focused product vision.\n\nPostmates is looking for a contract Web Developer who would primarily focus on our SEO initiatives. The role would mostly be building static/light on javascript marketing type pages. Since most of our tooling and apps are written in React though, it is important to have some familiarity with React.\nOUR TECHNOLOGIES\nClient: Typescript, React, Redux, Emotion\nServer: Go, Python, Node\nPlatform: AWS, Google\nYOUR RESPONSIBILITIES\nBuild and launch consumer-facing features to millions of customers\nTune and polish features to a high-degree of excellence\nWork closely with the design and product team to iterate on UI/UX\nRelentlessly optimize the web experience of buying with Postmates\nOUR REQUIREMENTS\nMinimum of 2 years of experience working with web technologies and a passion for UX\nMinimum of 2 years of experience working with a modern web framework like React or Angular\nA deep understanding of the fundamentals of the web (REST, JS, HTML, CSS)\nStrong knowledge of algorithms and data structures\nBachelor's degree (or equivalent experience) required\nOUR PREFERRED QUALIFICATIONS\nYou\xe2\x80\x99re a self-starter and strong finisher\nYou\xe2\x80\x99ve worked at or started a small company where you had to wear many hats\nYou write well and communicate clearly\nYou prefer problems over tasks"""
b'Web Developer',b'Epic',"b'San Francisco, CA, US'","b""TL;DR\n\nHigh-impact software development jobs for smart people.\n\nCode that saves lives.\n\nAs a software developer at Epic, you\xe2\x80\x99ll write software that impacts the lives of 75% of Americans and 250 million patients around the world. Working in your own office, surrounded by thousands of high-caliber developers, you\xe2\x80\x99ll use modern development methodologies and employ user-centered design, analytics, and machine learning tools to drive innovation in healthcare. Using leading-edge technologies and languages like JS, TS, and C#, you\xe2\x80\x99ll invent better ways to reduce medical errors, streamline record sharing between hospitals, and provide the quality of care a patient deserves.\n\nWrite software for the most innovative health systems on the planet.\n\nAll the Top 20 health systems in U.S. News and World Report are Epic customers. Our community includes major systems like the Mayo Clinic, Johns Hopkins, Cleveland Clinic, and Kaiser Permanente, as well as leading academic medical centers at the University of Wisconsin, University of Michigan, University of California, University of Texas, The Ohio State University, and many more.\n\nWork in your own office, eat delicious food, and travel the world.\n\nWe don\xe2\x80\x99t believe in cubicles. (Well, we believe they exist, but\xe2\x80\xa6) You will work in an individual office that will heighten your ability to get stuff done. For lunch, visit King\xe2\x80\x99s Cross or Cassiopeia for a wide array of meal options, or go to one of our smaller, themed bistros, featuring wood-rotisserie, pan-Asian, and Latin-inspired cuisine. All meals are restaurant-quality but cost only a few dollars, and they\xe2\x80\x99re prepared by a team comprised of kitchen talent from restaurants around the country. And, after five years here, you\xe2\x80\x99ll earn a four-week sabbatical anywhere in the world. Staff have kayaked in Patagonia, attended a Beyonc\xc3\xa9 concert in Ireland, built a library in Tanzania, and run a marathon in Antarctica.\n\nLive affordably in a city known for its rising tech talent.\n\nEpic is located just outside Madison, Wisconsin the second fastest growing market for tech talent in the United States and home to the state capital and the University of Wisconsin. Madison, a city surrounded by water, has received accolades for being the greenest city in America (NerdWallet), the best city for renters (SmartAsset), fittest city in America (Fitbit), and, for the gamers, is one of a handful of US cities to have a Killer Queen arcade game, located at Madison\xe2\x80\x99s first arcade bar.\n\nMore than just important work.\n\nWe offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity/Affirmative Action (W/M/Vets/Disability) employer. Please see our full non-discrimination statement at https //careers.epic.com/EEO.\n\nRequirements\n\nOpen to relocation to the Madison, WI area (we will bring you here to explore the city for yourself)\nBS/BA or greater in Computer Science, Mathematics, Software Engineering, Computer Engineering, or a related field\nA history of academic excellence or professional success\nEligible to work in the United States without visa sponsorship (persons with appropriate qualifications and eligible for TN status under NAFTA may apply)"""
b'Web Developer',b'eGain Corporation',"b'Sunnyvale, California, United States'","b'The Company: eGain customer engagement solutions deliver digital transformation for leading brands \xe2\x80\x93 powered by virtual assistance, AI, knowledge, and analytics. Our comprehensive suite of applications help clients deliver memorable, digital-first customer experiences in an omnichannel world. To find out more about eGain, visit https://www.egain.com.\n\nWe are currently looking for freelancer Web Developers to work for our Marketing team in Sunnyvale, CA.\n\nPosition: Web Developer\nExpereince: 2 to 4 Years in Web development\nLocation: Sunnyvale, CA\n\nJob description\nThe Web Developer will work on our customer facing user interface development as a part of customer deployment projects. This will involve building most sophisticated experiences for customers using eGain platform.\n\nResponsibilities\nDevelopment of new and existing Web UI application functionality to meet the growing goals of our global customer base\nDesign UI / UX wireframes as well as translate them into code\nBuild reusable code and libraries for future use\nActively develop technical skills around new, upcoming web technologies, driving our products into the future\nDrive best technology and software development practices into the team with passion and enthusiasm\nActively QA with acceptance criteria\nAssist Tech. Support in supporting customer-escalated product issue and queries\n\nRequirements\n2+ year of professional experience in web development using Angular framework\nDemonstrable experience of web development using HTML5, CSS3, and JavaScript, and JavaScript frameworks\nGood understanding of Web Services (e.g., RESTful services), including the ability to programmatically interact with data formats, including XML and JSON\nGood understanding of one of the cloud provider such as AWS, Azure or GCP.\nGood understanding of building responsive web applications.\nExperience of designing well-formed user experiences through modern web technologies\nAbility to write well-structured, testable, easy-to-understand code\nSelf-motivated, professional, enthusiastic, reliable\nAbility to work well in a team, and problem-solve collaboratively\n\n\nTo apply:\nSend your resume and cover letter in MS Word to msitania@egain.com and include the position in the subject line of the email'"
b'Web Application Developer',b'Opener',"b'Palo Alto, California, United States'","b'We are a fast-growing company with a single lofty goal: to bring personal aviation to the general public. Innovating at the leading edge of electric aviation technology, we have developed BlackFly, the world\xe2\x80\x99s first ultralight all-electric fixed-wing VTOL personal aircraft. Join us in ushering in a new age of aviation.\n\nWe are seeking someone with a passion for innovation and technology, who possesses the full-stack programming and user-interface design skills to develop internal and aircraft management tools.\n\nJob Responsibilities\nCreate internal web tools to be utilized throughout the company\nDevelop web applications to communicate with and monitor aircraft\nProgram the full stack using Python/Django and Javascript/node.js/React\nConstruct powerful SQL queries\nDevelop code to communicate with external APIs\nDesign modern user interfaces with Google Material Design\nWrite scripts to perform regular sanity checks and other housekeeping duties\nLearn and apply new technologies\nAssist in setting up and maintaining computer environments and network, as needed\nIncrease the visibility of information, and efficiency and effectiveness of employees\nOther programming and engineering duties, as required\n\nMinimum Qualifications\nUndergraduate or graduate degree in Software Engineering, Computer Science, or a related field\nStrong understanding of Software Engineering and Computer Science fundamentals, especially web development, object-oriented programming, and databases\nProgramming fluency in Python, Javascript, and node.js\nExperience with back end development and SQL commands\nExperience with front end programming, HTML, CSS, and user interface design\nExperience with REST APIs\nComfortable with Linux and script writing\nAble to write in a clear and concise manner\n\nOptional Qualifications\nFamiliarity with Django, Flask, or similar Python-based web framework\nFamiliarity with React, Angular, or similar Javascript-based web framework\nProgramming experience in C/C++\nExperience writing unit tests\nExperience with Git or other version control systems\nContribute to open source projects\nAdvanced Google Sheet or MS Excel skills\nInterest in RC planes, quad copters, or aviation\n\nPersonal Attributes\nThrive in a fast-moving, stimulating, and collaborative team environment\nResourceful, curious, and never satisfied with the status quo\nStrong work ethic, extremely organized, detail-oriented, and able to multitask\nAlways thinking about how to increase efficiency and improve processes\nProactive about solving problems and suggesting solutions\nLove learning and being challenged\nApplicants must be eligible to work in the United States and willing to relocate.'"
b'Web Developer',b'Rippling',"b'San Francisco, CA, US'","b""About Rippling\n\nRippling is the first way for businesses to manage their HR & IT \xe2\x80\x94 from payroll and benefits, to employee computers and apps \xe2\x80\x94 all in one, modern system.\n\nIn just 90-seconds, a company can set up (or disable) an employee's payroll, health insurance, work computer, and third-party apps, like Gmail, Microsoft Office, and Slack. It's the only platform that truly unifies every employee system, and automates all of the administrative work.\n\nRippling is HQ in San Francisco and has raised $60M in Series A funding from top-tier investors, including Kleiner Perkins, Initialized, DFJ, and Y Combinator.\n\nAbout The Role\n\nWe are looking for a Web Developer to join our fast-paced team and take ownership of and set the standard for the front-end code of our website and all digital marketing assets. You must be comfortable working at the intersection of rough mockups and backend APIs, implementing interfaces in a crisp and precise way in both web and mobile. You will need to debug JavaScript, hack CSS, and have full accountability and understanding for how pages/UIs operate in the web and mobile environments.\n\nWhat You'll Do\nWork directly with the marketing team to develop page layouts, templates, dynamic navigations\nDevelop interactive user experiences\nDevelop animation for web and mobile web digital products\n\n\nQualifications\nFluent in JavaScript, HTML/CSS, Web API, and other UI technologies and frameworks\nKnowledge of web hosting principles, server architectures, and web site security\nExperience at a B2B SaaS company working with AdTech or MarTech a plus\nWordpress experience is a plus\nWorking knowledge of fundamental design principles that affect typography, color use, composition, use of space, and presentation of information\nBack-end development experience desired, but not required\nAbility in a design tool for quick mockups (preferably Photoshop, Illustrator, Sketch) a plus\n\n\nBenefits\nMedical, Dental, Vision, FSA, HSA, Commuter, Life and Disability Benefits\nUncapped PTO\nMeeting-light culture\nOnsite meals\nCompetitive compensation (salary, equity)\n\n\nRippling is an equal opportunity employer."""
b'Web Developer (Contract Position)',b'Five9',"b'San Ramon, CA, US'","b'Web Developer (Contract Position)\n\nFive9 is a 250 million dollar leader in cloud based contact center solutions and one of the Bay Area\xe2\x80\x99s fastest growing companies. Since 2001, Five9 has led the cloud revolution in contact centers, helping organizations transition from legacy premise-based solutions to the cloud. Five9 provides businesses with cloud contact center software that is reliable, secure, compliant and scalable, which is designed to create exceptional customer experiences, increase agent productivity and deliver tangible business results.\n\nThe Five9 Digital Marketing team is looking for a contract Web Developer (mid-level) to join us in shaping the future Five9.com and taking our digital presence to another level.\n\nThe Web Producer is responsible for the development, production, and maintenance of Five9.com webpages. In collaboration with the Marketing team, the Web Producer will support the strategic plan and development of the Five9.com website, and contribute to the day-to-day production of content for the website.\n\nThis position is not remote and will require someone to be in our San Francisco office. This is a 3 month contract.\n\nWhat your day-to-day responsibilities look like:\n\nBuild out web pages and landing pages while coordinating with the marketing team for images, copy, creative, and content page attributes.\nExecute QA (quality assurance) and QC (quality control) of webpages to ensure the content is coherent and accurate.\nReview content edits and requests from stakeholders in a timely fashion, and publish as appropriate.\nWork with a highly collaborative, engaged, and effective group.\nHelp explore innovative, relevant, and highly effective digital experiences and solutions for site enhancements to improve the customer experience.\n\nWhat are the skills we\xe2\x80\x99re looking for?\n\n5+ years related experience developing semantically correct HTML, CSS, and JavaScript.\nExperience in creating landing pages, content web pages.\nStrong interpersonal and communication skills.\nFamiliarity with website best practices in web development to protect secure information.\nFamiliarity in responsive design for mobile-compatible websites and tools.\nStrong writing and editing skills.\nMust be a self-starter, highly motivated, awesome organizational skills, with the ability to turn on a dime, think through problems to come up with innovative solutions and deliver against very tight deadlines while keeping a keen eye on detail and accuracy. Energetic, resourceful, driven, creative.\nA plus, familiarity with content management systems (CMS) like Crownpeak.\nA plus, you have worked closely and have a general understanding of information architecture, user experience, interaction design, visual design initiatives.\nDegree in Design, Art, CS or proven equivalent.\n\nWhat\xe2\x80\x99s the team like?\n\nSmall but mighty! We\xe2\x80\x99re a collaborative, thoughtful, and experienced digital marketing team within a fast paced culture. Always learning, communicating, and having fun along the way.'"
