title,company,location,job description
b'Sr. Web Developer',b'Symetra',"b'Bellevue, WA, US'","b'Symetra is seeking a top notch Sr. Web Developer to join our team!\n\nAbout The Role\n\nDid you know that Insurance industry is highly vulnerable to future disruption? You have an opportunity to join a well-funded startup that is looking to go after a new market in this industry. Come, join us and be part of the disruption and help us imagine and define this new product. It is a green field opportunity where you get to innovate on the business, user experience as well as on the technology front. If you are a software engineer at heart and is passionate about delivering exceptional software, let\xe2\x80\x99s talk!\n\nResponsibilities\nBuild, test and operate customer facing website using modern front-end frameworks\nTranslate designs and wireframes into high-quality code\nParticipate in design and code reviews\nEnable user analytics, logging, monitoring, instrumentation for all services\nWrite unit tests, integration tests, and perform/analyze performance tests\nCollaborate with various team members and stakeholders on requirements definition and feature design and development\nTake part in agile ceremonies to estimate and execute programming projects\nWhat We Offer You\n\nWe don\xe2\x80\x99t take a \xe2\x80\x9cone-size-fits-all\xe2\x80\x9d approach when it comes to our employees. Our programs are designed to make your life better\xe2\x80\x94both at work and at home.\nFlexible work and telecommute arrangements\nWellness program offering employees a variety of resources designed to assist you in reaching and maintaining your optimum health\nPaid time away options to accommodate your needs and life\xe2\x80\x99s events, including vacation (our favorite), illness, caring for a family member, volunteering, the birth or adoption of a child, the loss of a family member and more\nOngoing learning and skills development through our college tuition assistance, professional education certification programs and more\nPlan for your future with our 401(k) plan and take advantage of immediate vesting and company matching up to 6%\nGive back to your community and double your impact through our company matching and/or participate in our company-wide week of service each June\nWant more details? Check out our Symetra Benefits Overview'"
b'Web Software Developer (C++)',b'Teleion',"b'1000 Dexter Ave N Suite 520 , Seattle, WA 98109, US'","b'Summary:\nThis position will be responsible for the coding, design and critical business frontend development.  This individual must have a proven record of solving case studies and creating algorithms that can be utilized in search engine creation.\n\nBasic Qualifications\n\n-Strong problem solving skills.\n-Strong C++ coding skills.\n-Passion for building scalable, global, complex systems to solve problems with proven ability to deliver high quality software.\n-Solid understanding of Object-Oriented design, algorithms and concepts.\n-Innovative and creative with Web technologies to build high performing websites and web services.\n-Demonstrated proficiency with HTML, JavaScript, CSS.\n\nPreferred Qualifications\n\n-BS or MS in Computer Science or in a relevant Engineering discipline.\n-1-2 years of industry experience.\n-Strong analytical thinker who knows how to pick the right tool for the job knowledge of professional software engineering practices & best practices for the full software development life cycle, including\nAgile methodologies, coding standards, code reviews, source control management, build processes, testing, and operations.\n-Ability to communicate clearly and concisely with technical and non-technical customers in order to understand ambiguous problems and articulate technical designs and solutions to complex problem.'"
b'Web Developer',b'Epic',"b'Seattle, WA, US'","b""TL;DR\n\nHigh-impact software development jobs for smart people.\n\nCode that saves lives.\n\nAs a software developer at Epic, you\xe2\x80\x99ll write software that impacts the lives of 75% of Americans and 250 million patients around the world. Working in your own office, surrounded by thousands of high-caliber developers, you\xe2\x80\x99ll use modern development methodologies and employ user-centered design, analytics, and machine learning tools to drive innovation in healthcare. Using leading-edge technologies and languages like JS, TS, and C#, you\xe2\x80\x99ll invent better ways to reduce medical errors, streamline record sharing between hospitals, and provide the quality of care a patient deserves.\n\nWrite software for the most innovative health systems on the planet.\n\nAll the Top 20 health systems in U.S. News and World Report are Epic customers. Our community includes major systems like the Mayo Clinic, Johns Hopkins, Cleveland Clinic, and Kaiser Permanente, as well as leading academic medical centers at the University of Wisconsin, University of Michigan, University of California, University of Texas, The Ohio State University, and many more.\n\nWork in your own office, eat delicious food, and travel the world.\n\nWe don\xe2\x80\x99t believe in cubicles. (Well, we believe they exist, but\xe2\x80\xa6) You will work in an individual office that will heighten your ability to get stuff done. For lunch, visit King\xe2\x80\x99s Cross or Cassiopeia for a wide array of meal options, or go to one of our smaller, themed bistros, featuring wood-rotisserie, pan-Asian, and Latin-inspired cuisine. All meals are restaurant-quality but cost only a few dollars, and they\xe2\x80\x99re prepared by a team comprised of kitchen talent from restaurants around the country. And, after five years here, you\xe2\x80\x99ll earn a four-week sabbatical anywhere in the world. Staff have kayaked in Patagonia, attended a Beyonc\xc3\xa9 concert in Ireland, built a library in Tanzania, and run a marathon in Antarctica.\n\nLive affordably in a city known for its rising tech talent.\n\nEpic is located just outside Madison, Wisconsin the second fastest growing market for tech talent in the United States and home to the state capital and the University of Wisconsin. Madison, a city surrounded by water, has received accolades for being the greenest city in America (NerdWallet), the best city for renters (SmartAsset), fittest city in America (Fitbit), and, for the gamers, is one of a handful of US cities to have a Killer Queen arcade game, located at Madison\xe2\x80\x99s first arcade bar.\n\nMore than just important work.\n\nWe offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity/Affirmative Action (W/M/Vets/Disability) employer. Please see our full non-discrimination statement at https //careers.epic.com/EEO.\n\nRequirements\n\nOpen to relocation to the Madison, WI area (we will bring you here to explore the city for yourself)\nBS/BA or greater in Computer Science, Mathematics, Software Engineering, Computer Engineering, or a related field\nA history of academic excellence or professional success\nEligible to work in the United States without visa sponsorship (persons with appropriate qualifications and eligible for TN status under NAFTA may apply)"""
b'Web Developer',b'NRC Health',"b'Seattle, WA, US'","b'Description\n\nAt NRC Health, we promise to help our customers bring human understanding to healthcare for their patients and communities. Our associates are at the heart of delivering that promise, so we promise that same human understanding to each other. Come where culture is everything.\n\nAs An Associate, You\n\nInnovate with us to move healthcare forward.\n\nGive back to the community with volunteer time off.\n\nFit your role and do what you love.\n\nGrow and develop along a career path designed by you.\n\nSupport one another \xe2\x80\x93 no one says, \xe2\x80\x9cThat\xe2\x80\x99s not my job.\xe2\x80\x9d\n\nPlay hard at beer:30 and team outings \xe2\x80\x93 we have a lot to celebrate.\n\nLet life happen with 4+ weeks time off, a flexible work environment, and dress for your day attire.\n\nLive healthy with a comprehensive healthcare plan and wellness program.\n\nWho we want\nAre you passionate about building elegant web applications?\nDo you enjoy interacting with business stakeholders and product owners to solve pressing real-world problems?\nDo you love designing beautiful user interfaces with HTML and CSS?\nAre you proficient in building well-designed and tested code in Java S crip t?\nDo you thrive in a collaborate environment where all team members are empowered to design and deliver solutions to end-users?\nWhat you will do\n\nAs a Software Engineer focusing on Web Development , you will be responsible for working with stakeholders and the development team to define, build and deliver software solutions. You have a strong understanding of UI design and have deep expertise in web development . You are highly collaborative with a strong independent drive to see solutions through to implementation. Additionally, you\xe2\x80\x99re a strong communicator that works effectively with non-technical business partners to inform product and business solutions.\n\nWhat you need\n4 + years\xe2\x80\x99 experience working on a professional development team\nExperience working in a collaborative environment using agile methodology\nExperience working with relational databases such as MySQL and Microsoft SQL Server\nExperience working effectively with non-technical business partners to inform product and business decisions\nStrong understanding of UI, cross-browser compatibility and general web functions and standards\nDeep expertise and hands on experience building web applications using H T ML, CSS, JavaScript , ES5, ES6 , and RESTful APIs\nExperience with one or more client-side JavaScript UI frameworks such as Ember .js , Angular, React, or Vue (Ember.js preferred)\nDeep functional knowledge and hands on experience designing and utilizing web API technologies like REST, GraphQL, or web sockets\nStrong grasp of web security principles\nExperience with back-end languages and technologies such as Node.js , Java , or C#\nW ould be nice\nFamiliarity with AWS technologies such as S3, EC2, ECS, RDS, Lambda, and Route53 is preferred\nExperience designing and using APIs built in Node.js with Express or Koa is a plus\nExposure to web-based analytics tracking with technologies like Google Analytics or Intercom is a plus\nFamiliarity with containerized applications using technologies like Docker is a plus\nHave Purpose. Think B oldly. Feel C onnected . Be U nderstood.'"
b'CONTRACT - Web Developer',b'Nintendo',"b'Redmond, WA, US'","b'Nintendo of America Inc.\n\nThe worldwide pioneer in the creation of interactive entertainment, Nintendo Co., Ltd., of Kyoto, Japan, manufactures and markets hardware and software for its Nintendo Switch\xe2\x84\xa2 system and the Nintendo 3DS\xe2\x84\xa2 family of portable systems. Since 1983, when it launched the Nintendo Entertainment System\xe2\x84\xa2, Nintendo has sold more than 4.7 billion video games and more than 740 million hardware units globally, including Nintendo Switch and the Nintendo 3DS family of systems, as well as the Game Boy\xe2\x84\xa2, Game Boy Advance, Nintendo DS\xe2\x84\xa2 family of systems, Super NES\xe2\x84\xa2, Nintendo 64\xe2\x84\xa2, Nintendo GameCube\xe2\x84\xa2, Wii\xe2\x84\xa2 and Wii U\xe2\x84\xa2 systems. It has also created industry icons that have become well-known, household names, such as Mario, Donkey Kong, Metroid, Zelda and Pok\xc3\xa9mon. A wholly owned subsidiary, Nintendo of America Inc., based in Redmond, Wash., serves as headquarters for Nintendo\xe2\x80\x99s operations in the Americas. For more information about Nintendo, please visit the company\xe2\x80\x99s website at http://www.nintendo.com.\n\nThis is a CONTRACT position\n\nDescription Of Duties\nParticipates in all phases of the development life cycle, focusing on coding, testing, and debugging.\nWrite secure code and architect applications\nWorks on the maintenance or enhancement of existing applications\nResearches, evaluates and analyzes technical and design requirements\nParticipates in cross functional discussions and effectively communicates information, both written and verbally to members of the project team\nMaintains up-to-date knowledge of related tools, trends and developments\nWorks with team members to establish consistent development and documentation guidelines\nDemonstrates good judgment in selecting methods and techniques for obtaining solutions.\nThoroughly Documents all code changes through appropriate change control\nProvides support and troubleshooting of prior developed technology solutions.\nParticipate in design brainstorming sessions, technical design reviews, formal code reviews, Site Q/A, and functional walkthroughs\nEnsures work is completed in such a way to comply with established JSox and other internal controls.\n\nSummary Or Requirements\nMinimum four years\xe2\x80\x99 experience using Java required\nKnowledge with HTML5, JavaScript, JSON, AJAX, CSS3 and mobile support\nAbility to patch identified security vulnerabilities\nAbility to identify and quickly fix browser and desktop/mobile compatibility issues\nExperience with building single page applications\nFamiliarity with integrated development environments and version control systems such as SVN and GitHub, required\nExcellent verbal and written communication skills required\nProficiency in SOAP- or REST-based web services, XML, JavaScript a plus\nStrong understanding of site performance, web analytics, and SEO techniques\nProficient and comfortable working on multi-tier applications\nMinimum five years\xe2\x80\x99 experience on scalable, high-volume, internet-facing websites\xe2\x80\x94preferably at the enterprise level\nStrong API development skills\nExperience in Agile software development such as Scrum is helpful, Jira experience a plus\nExcellent technical troubleshooting skills\nExpertise in interaction design, usability, and information architecture required\nBachelor of Science degree in Computer Science, Computer Engineering, Electrical Engineering, Information Technology, Information Systems, Industrial Engineering, or related field with equivalent relevant experience.\n\nThis is a CONTRACT position\n\nWe are an equal opportunity employer of individuals with disabilities and protected veterans....valuing diversity\xe2\x80\xa6celebrating strengths.'"
b'Web Developer',b'Aquent',"b'Bellevue, Washington, United States'","b'*With the news of COVID19 spreading, Aquent is committed to ensuring the safety and well being of our employees. This includes providing technology to support video interviews, resources and support for employees to work from home successfully, and fully covered healthcare for eligible employees.*\n\n*No C2C\n\nJob Description \nImplements technically sophisticated online tool related to client side and/or server-side scripting.\nMay oversee an entire project or web site.\n\nSkills:\n2 plus years JavaScript, Node.JS, C#, experience required.\nMust have demonstrated knowledge of current scripting and object modeling technology.\nShould have demonstrated knowledge of Azure and knowledge of XML/Json.\nMust have strong attention to detail and be able to work as a team player.\nAbility to meet deadlines in a fast-paced environment required. Strong communication skills, along with experience in graphics, layout and design required.\nKnowledge of .NET and Azure preferred.\nKnowledge of foreign languages like Japanese, Chinese, French, etc is preferred.\n\nWhy work with AQUENT? Check out our awesome benefits: https://aquent.com/find-work/talent-benefits\n\nAquent is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics.'"
b'Web Developer',"b'Anveta, Inc'","b'Bothell, Washington, United States'","b'Hi\nHope you are doing well.\n I currently have a opening. If you are interested, please revert with an updated resume. If this isn\xe2\x80\x99t the right match for you, I apologize and feel free to forward it to any of your friends who might be interested.\n\nSystem engineer ---12+Months---------Bothell WA\n\nTitle: Web Developer with Sharepoint\nDuration: 12+Months\nLocation: Bothell WA\n\nResponsibilities:\n\xe2\x80\xa2 Using markup languages like HTML to create user-friendly web pages.\n\xe2\x80\xa2 Maintain and improve website.\n\xe2\x80\xa2 Optimize applications for maximum speed.\n\xe2\x80\xa2 Design mobile-based features.\n\xe2\x80\xa2 Collaborate with back-end developers and web designers to improve usability.\n\xe2\x80\xa2 Get feedback from, and build solutions for, users and customers.\n\xe2\x80\xa2 Write functional requirement documents and guides.\n\xe2\x80\xa2 Create quality mockups and prototypes.\n\xe2\x80\xa2 Help back-end developers with coding and troubleshooting.\n\xe2\x80\xa2 Ensure high quality graphic standards and brand consistency.\n\xe2\x80\xa2 Stay up-to-date on emerging technologies.\n\nExperience:\n\n\xe2\x80\xa2 At least 7 year relevant experience required.\n\xe2\x80\xa2 Proven work experience as a Front-end developer.\n\xe2\x80\xa2 Hands on experience with markup languages.\n\xe2\x80\xa2 Experience with JavaScript, CSS and jQuery.\n\xe2\x80\xa2 Familiarity with browser testing and debugging.\n\xe2\x80\xa2 In-depth understanding of the entire web development process (design, development and deployment)Understanding of layout aesthetics.\n\xe2\x80\xa2 Knowledge of SEO principles.\n\xe2\x80\xa2 Familiarity with software like Adobe Suite, Photoshop and content management systems.\n\xe2\x80\xa2 SharePoint Online development experience (SharePoint Framework), Master page, Page layout, focus on customizing modern sites using SharePoint Framework toolchain.\n\xe2\x80\xa2 Basic Experience with NPM, Gulp, Webpack and Node.js.\n\xe2\x80\xa2 Implement SharePoint Online forms and workflows using Power Apps and Flow, Outsystems.\n\xe2\x80\xa2 Proficient with the JavaScript Libraries and framework ReactJS and NodeJS, TypeScript.\n\xe2\x80\xa2 Understanding of SharePoint List Rest APIs, SharePoint Online PowerShell.\n\xe2\x80\xa2 Azure API, Function App development experience using Asp.net Core (C#).\n\xe2\x80\xa2 Coding experience in C#, .NET, JavaScript, jQuery.\n\xe2\x80\xa2 Strong knowledge of software delivery methodologies using Agile/Scrum.\n\xe2\x80\xa2 Basic knowledge of Git, CI/CD.\n\xe2\x80\xa2 Experience in OutSystems, UiPath, PowerApps, Power Automate, Power BI.\n\nSkills:\n\xe2\x80\xa2 An ability to perform well in a fast-paced environment.\n\xe2\x80\xa2 Excellent analytical and multitasking skills.\n\nQualification:\n\xe2\x80\xa2 BSc degree in Computer Science or relevant field.'"
b'WEB DEVELOPER',b'UW Medicine',"b'Seattle, WA, US'","b'As a UW employee, you have a unique opportunity to change lives on our campuses, in our state and around the world. UW employees offer their boundless energy, creative problem solving skills and dedication to build stronger minds and a healthier world.\n\nUW faculty and staff also enjoy outstanding benefits, professional growth opportunities and unique resources in an environment noted for diversity, intellectual excitement, artistic pursuits and natural beauty. All of which has allowed the UW to be nationally recognized as a \xe2\x80\x9cGreat College to Work For\xe2\x80\x9d for six consecutive years.\n\nThe Department of Medicine has an outstanding opportunity for a full-time Web Developer. Our web team is looking for a highly skilled individual to help us grow and maintain our web framework. We\xe2\x80\x99re looking for a passionate and driven individual who is excited to take on the many new challenges we will face as we continue to grow our services. We value collaboration, open communication, and the ability to work independently as appropriate.\n\nPosition Purpose\n\nTo provide web support to the Department of Medicine including 13 sub-specialty divisions.\n\nPosition Complexities\n\nThis position requires a high level of technical expertise, as well as excellent communication skills. The position makes highly complex and technical information understandable for diverse audiences.\n\nPosition Dimensions & Impact To The University\n\nThe Department of Medicine web framework centralizes web services for the largest department at the University of Washington, easing the technical burden for organizational units, increasing usability for website visitors and content editors, connecting more effectively with target audiences and building a cohesive web presence.\n\nDuties & Responsibilities\n\nDevelopment\nDesign and develop websites and web applications that meet the needs of our clients.\nDevelop and design new features as necessary.\nRevise user interface and web site features based on user feedback.\nVerify that our websites comply with current operational procedures and UW policies, including security, privacy and accessibility.\nProvide routine website and server upgrades and maintenance.\nMaintain thorough documentation of all programs and procedures.\nContribute to web strategy discussions, offer solutions, and perform other tasks related to our dynamic and collaborative approach to web development.\n\nUser support\nGuide units on content generation and information architecture.\nRespond to support requests from units and provide appropriate and timely solutions.\nProvide training to content contributors on using our customized Drupal framework and following best practices for authoring web content.\nLead meetings and communicate with client units to determine design and functionality requirements.\n\nAs a UW employee, you will enjoy generous benefits and work/life programs. For detailed information on Benefits for this position, click here.\n\nREQUIREMENTS:\nBachelor\xe2\x80\x99s degree in Computer Science, Information Technology, or related field, and three years of progressively responsible web developer and/or lead programmer experience in an IT environment. Experience using HTML5, CSS3, JavaScript, JSON on a LAMP stack (Linux, Apache, MySQL, PHP).\n\nAdditional Requirements\n\nExcellent written and verbal communication and exceptional decision-making skills.\nOutstanding interpersonal skills, including team ethic and relationship building.\nDevelopment experience with Drupal 7 and/or Drupal 8, including site administration, and back-end development.\nDemonstrated expertise in building web sites or web-based applications and management of Apache web servers.\nAbility to work both independently and collaboratively, and to respond appropriately to deadline pressures.\n\nEquivalent education/experience will substitute for all minimum qualifications except when there are legal requirements, such as a license/certification/registration.\n\nDESIRED\nExperience with any of the following; Git, SASS/LESS, RESTful web services.\nDemonstrated expertise or education in organizing and writing content for the web, and ability to coach content editors.\nDemonstrated expertise or education in user interface design, interaction design, and/or information design.\nExperience with graphic design for the web, including familiarity with graphics software such as Photoshop and Illustrator.\nKnowledge of accessibility issues for users with disabilities; familiarity with accessibility standards and best practices; experience testing for accessibility; and demonstrated ability to design content/applications with accessibility considerations.\nExperience working in higher education or a large research institution.\n\nCONDITIONS OF EMPLOYMENT\nThis position requires an individual who possesses excellent judgment and works well under pressure while juggling competing priorities. This individual needs to be extremely focused, well organized and flexible with regard to work hours and the ability to accommodate the workload to meet deadlines. This position requires demonstrated superior written, verbal and interpersonal communication skills, including the ability to communicate complex, technical information in an easy to understand way. The individual must be self-motivated and able to work independently as well as collaboratively.\n\nApplication Process\n\nThe application process for UW positions may include completion of a variety of online assessments to obtain additional information that will be used in the evaluation process. These assessments may include Workforce Authorization, Cover Letter and/or others. Any assessments that you need to complete will appear on your screen as soon as you select \xe2\x80\x9cApply to this position\xe2\x80\x9d. Once you begin an assessment, it must be completed at that time; if you do not complete the assessment you will be prompted to do so the next time you access your \xe2\x80\x9cMy Jobs\xe2\x80\x9d page. If you select to take it later, it will appear on your ""My Jobs"" page to take when you are ready. Please note that your application will not be reviewed, and you will not be considered for this position until all required assessments have been completed.'"
b'Web Developer Seattle',b'Humio',"b'Seattle, WA, US'","b""Web developer Seattle\n\nHumio is pioneering the new generation approach to Log Management and system observability through an Index-free logging architecture; providing users real time monitoring and queries into their logs.\n\nA website is the front door to a company and an exceptional developer is the secret weapon for marketing success. The quality of Humio's digital marketing experience has a direct impact on our bottom line. The high-quality web developer will quickly move from ideation to execution on any digital campaign, site improvements, page expansions and external system integrations in days/weeks, not months. The primary function of this role will be to help our senior developer to build, implement and evolve various sites and associated services. This role will be focused largely on Humio's corporate site but will also spend significant time to help build, extend and maintain our integrations hub, documentation platform, support site, and more.\n\nIdeal Candidate Will Be\nindependent,\ntremendously proactive and driven to meet deadlines, and very communicative.\nThey will also have experience in advanced Javascript/Typescript, JAMStack and GatsbyJS.\n\nNice to haves\n\nAdobe XD or Figma\nInteractive Graphics in JS and SVG\nVector Graphics Skills\nExperience managing documentation and support sites\nExperience working closely with marketing and sales\nWeb Design\nSEO and Lead Flow\n\nMeet Humio!\n\nHumio is a paradigm shift, changing the way people think about log management software. At the core of this paradigm shift is our people. Since we feel it's so important to inspire, support, grow, and enable one another, we've chosen a diverse group of smart, creative, talented, compassionate, and fun people to work with. The work is challenging but also allows for great flexibility to prioritise off-work commitments, and we wouldn't have it any other way. If you see yourself as a great match with us and the job, we would love nothing more than for you to join us!\n\nNot Engaging Agents."""
b'Web Designer/Developer (Remote)',b'24 Seven Talent',b'Greater Seattle Area',"b'Our Marketing/Advertising Client is hiring a Web Designer/Developer! This will be a fully-remote position, that can start immediately. \n\nWeb Designer/Developer\nRemote\n$DOE\n\nYou must be up to date on all of the latest trends in web design and willing to take risks with design. The websites you will be working on will not only run smoothly, but will also be visually appealing. We are not interested in creating your run-of-the-mill or templated website.'"
b'WEB DEVELOPER',b'University of Washington',"b'Seattle, WA, US'","b'As a UW employee, you have a unique opportunity to change lives on our campuses, in our state and around the world. UW employees offer their boundless energy, creative problem solving skills and dedication to build stronger minds and a healthier world.\n\nUW faculty and staff also enjoy outstanding benefits, professional growth opportunities and unique resources in an environment noted for diversity, intellectual excitement, artistic pursuits and natural beauty. All of which has allowed the UW to be nationally recognized as a \xe2\x80\x9cGreat College to Work For\xe2\x80\x9d for five consecutive years.\n\nUW Information Technology is the central IT organization for the University of Washington, providing critical technology support to all three campuses, UW medical centers and global research operations. UW-IT collaborates with University partners to advance teaching, learning, innovation and discovery at the UW.\n\nThe Enterprise Administrative Applications unit (EAA) within UW-IT provides a wide range of technologies in support of core enterprise applications for the University. These comprise technical design, development, implementation, integration, vendor management, change management, and related activities. The University Services team within EAA provides consistent and reliable enterprise class applications for UW Facilities, Environmental Health & Safety, and other UW departments and units. The team also provides support for various vendor-provided applications, including data integrations, configuration, and application upgrades.\n\nUW-IT has an outstanding full time opportunity for a Web Developer.\n\nThe Web Developer works within a small team of engineers and is responsible for collaboration with the team, other units within UW-IT, and business partners; for application design, development, testing, and maintenance activities; and for support and integration of vendor solutions, including version upgrade tasks.\n\nThe focus of this position is technical development, maintenance, and support for a suite of enterprise business applications and related integrations that enable the business functions of multiple departments, affecting the entire campus community. The position is crosscutting, requiring collaboration with internal teams as well as external groups to ensure that applications and integrations are well designed, robust, reliable, and fit for purpose.\n\nRequirements\nBachelor\xe2\x80\x99s Degree in Computer Science, Information Management or equivalent\nMinimum four years\xe2\x80\x99 experience creating complex web applications using C#/ASP.NET MVC, Entity Framework, LINQ, Web Service API, JSON\nDemonstrated knowledge and skills utilizing enterprise-wide relational databases (MS SQL Server, Oracle, etc.) including query design and optimization, stored procedure development, and troubleshooting\nFront end-technologies JavaScript, AJAX, jQuery, Bootstrap, HTML5, CSS\nObject-oriented design, modeling, development, and support of object / relational database systems and systems documentation\nAbility to communicate clearly, in writing and orally, to both technical and non-technical audiences\nAn effective facilitator, team player and collaborator\nAbility to quickly learn and apply new technologies and skills\nDemonstrated ability to work independently with minimal supervision\nDemonstrated excellent written/oral communication skills, technical documentation skills, user liaison skills, and personal interaction abilities\n\nEquivalent education/experience will substitute for all minimum qualifications except when there are legal requirements, such as a license/certification/registration.\n\nDESIRED:\nDemonstrated experience with web portal development and integration\nExperience with cloud hosting providers, such as Microsoft Azure or AWS\nDemonstrated experience with agile programming and agile design\nDemonstrated ability to develop creative solutions for business and research needs\nDemonstrated experience in problem solving and issue resolution within business and technical contexts\nDemonstrated knowledge and skills in service-oriented architecture (SOA) and processes\nExperience with responsive design\nExperience with single page application development with AngularJS or similar technologies\nFamiliarity with information security, code management, and data management best practices\nExperience with Jira, SharePoint, or other enterprise tools for managing work and tracking deliverables\nExperience in a major research university setting\n\nConditions Of Employment\n\nOpen office environment.\n\nThis is an essential position and is required to report to work remotely when UW suspends operations.\n\nApplication Process\n\nThe application process for UW positions may include completion of a variety of online assessments to obtain additional information that will be used in the evaluation process. These assessments may include Work Authorization, Cover Letter and/or others. Any assessments that you need to complete will appear on your screen as soon as you select \xe2\x80\x9cApply to this position\xe2\x80\x9d. Once you begin an assessment, it must be completed at that time; if you do not complete the assessment you will be prompted to do so the next time you access your \xe2\x80\x9cMy Jobs\xe2\x80\x9d page. If you select to take it later, it will appear on your ""My Jobs"" page to take when you are ready. Please note that your application will not be reviewed, and you will not be considered for this position until all required assessments have been completed.'"
