year,state,employer,salary_median,rate_year,rate_state,rate_employer,rate
2014,MD,tata consultancy,66900,2014,MD,tata consultancy,0.9345468146116445
2015,IL,accenture l,88139,2015,IL,accenture l,0.9562308335656537
2019,WA,amazoncom,135000,2019,WA,amazoncom,0.9612575420768498
2019,CA,google,135000,2019,CA,google,0.9627240143369176
2018,WA,amazon fulfillment,127400,2018,WA,amazon fulfillment,0.990495867768595
2017,WA,amazon,128000,2017,WA,amazon,0.9899255365746824
2017,NJ,tech mahindra,94828,2017,NJ,tech mahindra,0.9151414309484193
2016,IL,accenture l,91541,2016,IL,accenture l,0.9788247750132345
2015,NC,ibm india private,68016,2015,NC,ibm india private,0.9710884353741497
2019,WA,micro,134000,2019,WA,micro,0.9399117971334069
2019,CA,facebook,160000,2019,CA,facebook,0.9745060548119822
2017,WA,micro,120776,2017,WA,micro,0.9878950907868191
2014,NC,ibm india private,67371,2014,NC,ibm india private,0.9635193133047211
2016,NC,ibm india private,69514,2016,NC,ibm india private,0.9092755585646581
2015,NJ,tech mahindra,79747,2015,NJ,tech mahindra,0.9645953757225434
2015,CA,hcl,67829,2015,CA,hcl,0.9827844311377245
2018,WA,micro,130000,2018,WA,micro,0.9897476340694006
2016,WA,amazon,120600,2016,WA,amazon,0.9919935948759008
2016,NJ,tech mahindra,87298,2016,NJ,tech mahindra,0.8650568181818182
2019,NC,ibm,83699,2019,NC,ibm,0.7419150285351934
2019,CA,apple,164674,2019,CA,apple,0.9760479041916168
2016,WA,micro,121100,2016,WA,micro,0.990409764603313
2017,TX,google,100000,2017,TX,google,0.9899817850637522
2017,AZ,intel,82924,2017,AZ,intel,0.9962121212121212
2016,CA,hcl,66830,2016,CA,hcl,0.9581005586592178
2015,WA,micro,118291,2015,WA,micro,0.9877551020408163
2017,IL,accenture l,94750,2017,IL,accenture l,0.8975563909774437
2017,NC,ibm india private,74825,2017,NC,ibm india private,0.8377192982456141
2015,WA,amazon,115000,2015,WA,amazon,0.9874739039665971
2019,NJ,tech mahindra,99736,2019,NJ,tech mahindra,0.6274247491638796
2014,CA,hcl,69742,2014,CA,hcl,0.9464646464646465
2014,NJ,larsen  toubro,69984,2014,NJ,larsen  toubro,0.9849624060150376
2016,CA,intel,107477,2016,CA,intel,0.9955947136563876
2014,TX,tech mahindra,78707,2014,TX,tech mahindra,0.9220512820512821
2014,WA,micro,118378,2014,WA,micro,0.9933554817275747
2018,AZ,intel,74277,2018,AZ,intel,0.9898190045248869
2017,CA,hcl,87048,2017,CA,hcl,0.9540983606557377
2016,TX,google,135000,2016,TX,google,0.9931506849315068
2014,WA,amazon,109400,2014,WA,amazon,0.9965277777777778
2013,WA,amazon,105000,2013,WA,amazon,0.9988331388564761
2015,TX,google,122000,2015,TX,google,0.9917550058892816
2013,CA,qualcomm,83075,2013,CA,qualcomm,0.9962358845671268
2012,CA,intel,92626,2012,CA,intel,0.9936386768447837
2019,IL,capgemini,77200,2019,IL,capgemini,0.5427974947807933
2013,CA,intel,94700,2013,CA,intel,1.0
2014,NJ,tech mahindra,64189,2014,NJ,tech mahindra,0.9308252427184466
2012,WA,amazon,100000,2012,WA,amazon,0.9972972972972973
2018,CA,google,138000,2018,CA,google,0.9917920656634747
2014,CA,intel,98590,2014,CA,intel,0.993103448275862
2014,CA,igate,75000,2014,CA,igate,0.9361979166666666
2018,NJ,ernst  youngl,94827,2018,NJ,ernst  youngl,0.8840937114673243
2018,CA,apple,146619,2018,CA,apple,0.9817927170868347
2019,CA,cisco,132184,2019,CA,cisco,0.9348710990502035
2017,CA,apple,142938,2017,CA,apple,0.9853372434017595
2018,CA,facebook,150000,2018,CA,facebook,0.9895988112927192
2019,IL,accenture l,80912,2019,IL,accenture l,0.5764499121265377
2016,NY,capgemini,76300,2016,NY,capgemini,0.9938271604938271
2016,CA,apple,142376,2016,CA,apple,0.9921752738654147
2015,CA,intel,103132,2015,CA,intel,0.9951845906902087
2012,CA,qualcomm,83075,2012,CA,qualcomm,1.0
2018,NJ,tech mahindra,92768,2018,NJ,tech mahindra,0.7429667519181585
2015,NJ,larsen  toubro,68148,2015,NJ,larsen  toubro,0.9875886524822695
2019,CA,qualcomm,86320,2019,CA,qualcomm,0.9593639575971732
2019,CA,oracle,153171,2019,CA,oracle,0.903010033444816
2015,CA,apple,130000,2015,CA,apple,0.9850746268656716
2016,NJ,larsen  toubro,68556,2016,NJ,larsen  toubro,0.9558823529411765
2017,CA,facebook,131603,2017,CA,facebook,1.0
2019,NJ,ernst  youngl,140000,2019,NJ,ernst  youngl,0.8233333333333334
2019,CA,uber,110802,2019,CA,uber,0.9314285714285714
2014,CA,apple,131269,2014,CA,apple,0.9979338842975206
2017,CA,cisco,123628,2017,CA,cisco,0.9896907216494846
2017,NJ,ernst  youngl,114026,2017,NJ,ernst  youngl,0.9755102040816327
2015,NJ,mindtree,60000,2015,NJ,mindtree,0.9753086419753086
2019,AR,walmart,80000,2019,AR,walmart,0.9647302904564315
2014,NJ,mindtree,76211,2014,NJ,mindtree,0.9828326180257511
2015,CA,oracle,115253,2015,CA,oracle,0.9954233409610984
2014,CA,ust,84926,2014,CA,ust,0.9704545454545455
2015,CA,facebook,144431,2015,CA,facebook,1.0
2019,WA,amazon,131580,2019,WA,amazon,0.9523809523809523
2012,CA,oracle,100000,2012,CA,oracle,1.0
