skill,salary
Flask,84000
Flask,80000
Flask,158000
.NET,60320
.NET,67122
.NET,150000
.NET,60320
.NET,126500
.NET,95000
.NET,175000
.NET,180000
.NET,180000
.NET,75000
.NET,75000
.NET,75000
.NET,75000
.NET,90000
.NET,93517
.NET,93517
.NET,105165
.NET,105165
.NET,95120
.NET,98000
.NET,96000
.NET,101120
.NET,90189
.NET,64938
.NET,74318
.NET,110520
.NET,90106
.NET,90106
.NET,94598
.NET,115000
.NET,86720
.NET,96000
.NET,90189
.NET,85925
.NET,70000
.NET,75000
.NET,88000
.NET,60986
.NET,68411
.NET,75000
.NET,75504
.NET,75816
.NET,75816
.NET,80517
.NET,80704
.NET,84698
.NET,87173
.NET,90000
.NET,90000
.NET,96366
.NET,100000
.NET,120000
.NET,85000
.NET,95000
.NET,70000
.NET,78560
.NET,78560
.NET,116000
.NET,116000
.NET,140000
.NET,75080
.NET,76000
.NET,110000
.NET,90000
.NET,95000
.NET,58000
.NET,59560
.NET,60500
.NET,76000
.NET,77960
.NET,88480
.NET,90000
.NET,90000
.NET,94280
.NET,102000
.NET,106000
.NET,113960
.NET,113960
.NET,114000
.NET,118720
.NET,120000
.NET,120000
.NET,122000
.NET,146000
.NET,147440
.NET,160000
.NET,82200
.NET,96000
.NET,140000
.NET,81540
.NET,89940
.NET,105260
.NET,105260
.NET,106000
.NET,140000
.NET,152000
.NET,175000
.NET,176000
.NET,176000
.NET,128000
.NET,110000
.NET,67040
.NET,67040
.NET,67040
.NET,71300
.NET,76700
.NET,81900
.NET,85500
.NET,85500
.NET,86720
.NET,87000
.NET,87000
.NET,87000
.NET,88080
.NET,88500
.NET,89600
.NET,90000
.NET,90000
.NET,90000
.NET,92660
.NET,94000
.NET,94000
.NET,94000
.NET,94000
.NET,96000
.NET,96000
.NET,100000
.NET,100000
.NET,105760
.NET,106000
.NET,106000
.NET,106000
.NET,106000
.NET,106000
.NET,108000
.NET,108960
.NET,110000
.NET,114000
.NET,115700
.NET,116000
.NET,116000
.NET,116000
.NET,118260
.NET,120000
.NET,120000
.NET,130000
.NET,130000
.NET,136000
.NET,136000
.NET,140000
.NET,140000
.NET,64660
.NET,140000
.NET,140000
.NET,78560
.NET,76000
.NET,76000
.NET,91360
.NET,95000
.NET,86000
.NET,100000
.NET,100000
.NET,110000
.NET,140000
.NET,140000
.NET,106000
.NET,76000
.NET,77600
.NET,80160
.NET,84000
.NET,84000
.NET,84000
.NET,84000
.NET,84160
.NET,84320
.NET,84320
.NET,86000
.NET,86720
.NET,86720
.NET,86720
.NET,87000
.NET,89100
.NET,90000
.NET,90000
.NET,90000
.NET,92000
.NET,92660
.NET,94000
.NET,95000
.NET,96000
.NET,96160
.NET,97000
.NET,100000
.NET,100000
.NET,106000
.NET,111840
.NET,112000
.NET,112000
.NET,120000
.NET,120000
.NET,120000
.NET,120000
.NET,122000
.NET,128000
.NET,128000
.NET,128000
.NET,140000
.NET,140000
.NET,146520
.NET,146520
.NET,148000
.NET,152000
.NET,160000
.NET,160000
.NET,164000
.NET,110000
.NET,140000
.NET,88000
.NET,88000
.NET,91960
.NET,140000
.NET,140000
.NET,76000
.NET,84000
.NET,103100
.NET,106000
.NET,122000
.NET,80000
.NET,80980
.NET,84120
.NET,85000
.NET,90000
.NET,90000
.NET,90000
.NET,92000
.NET,100000
.NET,104000
.NET,104000
.NET,106000
.NET,108960
.NET,110000
.NET,114000
.NET,114520
.NET,120000
.NET,120000
.NET,120000
.NET,120000
.NET,128000
.NET,132000
.NET,138000
.NET,72100
.NET,72100
.NET,78000
.NET,82000
.NET,84000
.NET,90000
.NET,90000
.NET,93340
.NET,94000
.NET,99400
.NET,100000
.NET,104000
.NET,106000
.NET,106000
.NET,110000
.NET,110000
.NET,110000
.NET,116000
.NET,116000
.NET,118000
.NET,126660
.NET,128000
.NET,134000
.NET,140000
.NET,140000
.NET,150000
.NET,160000
.NET,160000
.NET,60000
.NET,64000
.NET,72000
.NET,74000
.NET,91340
.NET,92000
.NET,93960
.NET,97000
.NET,100000
.NET,100000
.NET,105000
.NET,60000
.NET,60020
.NET,61940
.NET,62500
.NET,64000
.NET,65360
.NET,68260
.NET,69320
.NET,70000
.NET,70000
.NET,70000
.NET,71080
.NET,72000
.NET,74000
.NET,75000
.NET,75380
.NET,76000
.NET,76920
.NET,78000
.NET,79920
.NET,80000
.NET,80000
.NET,84860
.NET,86540
.NET,86540
.NET,88000
.NET,90000
.NET,90000
.NET,91000
.NET,94000
.NET,94000
.NET,94000
.NET,94000
.NET,96000
.NET,96000
.NET,96000
.NET,96000
.NET,97600
.NET,100000
.NET,100000
.NET,100000
.NET,100000
.NET,100000
.NET,100680
.NET,102000
.NET,104000
.NET,104000
.NET,104000
.NET,106000
.NET,106460
.NET,110000
.NET,110000
.NET,110000
.NET,112900
.NET,115000
.NET,115400
.NET,116000
.NET,116000
.NET,118000
.NET,118000
.NET,118000
.NET,120000
.NET,120000
.NET,120000
.NET,120000
.NET,128000
.NET,129320
.NET,130000
.NET,130000
.NET,134320
.NET,140000
.NET,140000
.NET,140000
.NET,146000
.NET,160000
.NET,78000
.NET,80000
.NET,80000
.NET,94560
.NET,96000
.NET,96000
.NET,100000
.NET,102000
.NET,105000
.NET,107700
.NET,110000
.NET,110000
.NET,112000
.NET,120000
.NET,124160
.NET,126740
.NET,130000
.NET,62000
.NET,70820
.NET,73100
.NET,96500
.NET,52520
.NET,56780
.NET,57000
.NET,57360
.NET,57360
.NET,57360
.NET,57360
.NET,57360
.NET,60000
.NET,60000
.NET,60000
.NET,60500
.NET,63000
.NET,68000
.NET,69400
.NET,70000
.NET,71520
.NET,76000
.NET,78000
.NET,80000
.NET,80000
.NET,82000
.NET,84000
.NET,86000
.NET,86000
.NET,86100
.NET,90000
.NET,96000
.NET,96000
.NET,98840
.NET,100000
.NET,112000
.NET,114000
.NET,119780
.NET,123000
.NET,131000
.NET,67300
.NET,130000
.NET,75000
.NET,75000
.NET,75000
.NET,75000
.NET,94000
.NET,100000
.NET,104000
.NET,109780
.NET,114000
.NET,149600
.NET,160000
.NET,122000
.NET,122000
.NET,91420
.NET,50000
.NET,64000
.NET,67080
.NET,70000
.NET,70000
.NET,70000
.NET,74000
.NET,80000
.NET,82000
.NET,84000
.NET,84000
.NET,86000
.NET,90560
.NET,90560
.NET,92000
.NET,92000
.NET,94000
.NET,94000
.NET,96200
.NET,98440
.NET,99960
.NET,100000
.NET,102000
.NET,102000
.NET,102000
.NET,102000
.NET,104000
.NET,104000
.NET,106000
.NET,106000
.NET,108200
.NET,110000
.NET,112000
.NET,115380
.NET,116000
.NET,70000
.NET,70000
.NET,70000
.NET,80000
.NET,110000
.NET,59000
.NET,64000
.NET,74000
.NET,76400
.NET,76440
.NET,80000
.NET,90000
.NET,92000
.NET,92000
.NET,94280
.NET,98000
.NET,98000
.NET,100000
.NET,100000
.NET,100000
.NET,104000
.NET,116000
.NET,116000
.NET,120000
.NET,129320
.NET,130000
.NET,146000
.NET,147440
.NET,153400
.NET,191140
.NET,109780
.NET,120460
.NET,122000
.NET,140000
.NET,150000
.NET,160000
.NET,122000
.NET,100000
.NET,118720
.NET,60000
.NET,90000
.NET,105000
.NET,124000
.NET,94000
.NET,61040
.NET,61360
.NET,61360
.NET,63700
.NET,66180
.NET,69000
.NET,69080
.NET,74000
.NET,74000
.NET,76000
.NET,76000
.NET,83260
.NET,86000
.NET,88460
.NET,90560
.NET,94000
.NET,96160
.NET,104000
.NET,106000
.NET,106000
.NET,106000
.NET,110000
.NET,110000
.NET,110000
.NET,112000
.NET,120000
.NET,120000
.NET,210000
.NET,66000
.NET,101012
.NET,122480
.NET,128200
.NET,150510
.NET,119744
.NET,132000
.NET,135000
.NET,113920
.NET,84500
.NET,84500
.NET,84739
.NET,85000
.NET,85700
.NET,88733
.NET,88733
.NET,88733
.NET,88733
.NET,92000
.NET,92000
.NET,92556
.NET,93000
.NET,93000
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,93038
.NET,94000
.NET,94470
.NET,97080
.NET,97080
.NET,98070
.NET,98400
.NET,98500
.NET,101250
.NET,102000
.NET,102150
.NET,103400
.NET,103400
.NET,103500
.NET,103500
.NET,103932
.NET,104000
.NET,104500
.NET,104500
.NET,104500
.NET,104500
.NET,104500
.NET,104500
.NET,104500
.NET,104900
.NET,105000
.NET,105000
.NET,105000
.NET,105000
.NET,105000
.NET,105000
.NET,105000
.NET,105000
.NET,105000
.NET,105000
.NET,105000
.NET,105000
.NET,105000
.NET,105500
.NET,105500
.NET,105500
.NET,105500
.NET,105500
.NET,105500
.NET,106000
.NET,106000
.NET,106000
.NET,106000
.NET,106000
.NET,106000
.NET,106000
.NET,106000
.NET,106000
.NET,106101
.NET,106101
.NET,106101
.NET,106200
.NET,106200
.NET,106400
.NET,106400
.NET,106500
.NET,106500
.NET,106500
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107000
.NET,107500
.NET,107500
.NET,107700
.NET,107700
.NET,107700
.NET,108000
.NET,108000
.NET,108000
.NET,108000
.NET,108000
.NET,108000
.NET,108000
.NET,108000
.NET,108800
.NET,108860
.NET,109100
.NET,109500
.NET,109900
.NET,109979
.NET,110000
.NET,110000
.NET,110000
.NET,110000
.NET,110000
.NET,110000
.NET,110000
.NET,110000
.NET,110000
.NET,110000
.NET,110000
.NET,110000
.NET,110000
.NET,110000
.NET,110100
.NET,110500
.NET,110864
.NET,110864
.NET,110864
.NET,110864
.NET,110864
.NET,110864
.NET,111000
.NET,111400
.NET,111800
.NET,111806
.NET,112000
