skill,salary
AWS,110000
AWS,123556
AWS,83000
AWS,80000
AWS,65000
AWS,79600
AWS,79000
AWS,95000
AWS,110000
AWS,96000
AWS,60000
AWS,60480
AWS,61000
AWS,73000
AWS,74000
AWS,76800
AWS,76800
AWS,85000
AWS,85000
AWS,86688
AWS,87000
AWS,88000
AWS,93000
AWS,95000
AWS,99000
AWS,99840
AWS,110000
AWS,110000
AWS,110000
AWS,112000
AWS,112000
AWS,112000
AWS,104832
AWS,100000
AWS,80000
AWS,96000
AWS,104000
AWS,110000
AWS,90040
AWS,48027
AWS,53331
AWS,55744
AWS,61194
AWS,63086
AWS,64979
AWS,64979
AWS,66706
AWS,66706
AWS,66706
AWS,66706
AWS,70429
AWS,74360
AWS,76648
AWS,76648
AWS,77771
AWS,80163
AWS,80163
AWS,80163
AWS,87526
AWS,88296
AWS,88296
AWS,93642
AWS,93642
AWS,100000
AWS,81432
AWS,53331
AWS,62982
AWS,64230
AWS,72093
AWS,73445
AWS,73445
AWS,80163
AWS,93267
AWS,60000
AWS,60000
AWS,67163
AWS,70000
AWS,75000
AWS,75000
AWS,90000
AWS,90000
AWS,90000
AWS,90000
AWS,90000
AWS,90000
AWS,94800
AWS,95000
AWS,102816
AWS,104000
AWS,110000
AWS,150000
AWS,129000
AWS,129000
AWS,127000
AWS,75000
AWS,62000
AWS,62000
AWS,62000
AWS,70000
AWS,74000
AWS,76000
AWS,76000
AWS,80000
AWS,83463
AWS,90000
AWS,75000
AWS,54475
AWS,60000
AWS,60000
AWS,100000
AWS,74000
AWS,120000
AWS,60000
AWS,65000
AWS,65000
AWS,65000
AWS,65000
AWS,65000
AWS,65000
AWS,65000
AWS,70000
AWS,70000
AWS,72000
AWS,72000
AWS,74000
AWS,75000
AWS,75000
AWS,75000
AWS,80000
AWS,80000
AWS,80000
AWS,80000
AWS,82000
AWS,85000
AWS,85000
AWS,90000
AWS,75000
AWS,84000
AWS,84000
AWS,90000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,51000
AWS,52000
AWS,59000
AWS,60000
AWS,60000
AWS,60000
AWS,60000
AWS,60000
AWS,60000
AWS,60000
AWS,60000
AWS,65000
AWS,65000
AWS,65000
AWS,65000
AWS,66000
AWS,66000
AWS,66000
AWS,66000
AWS,66000
AWS,66000
AWS,66000
AWS,66000
AWS,66000
AWS,66000
AWS,66000
AWS,66000
AWS,66000
AWS,66000
AWS,70000
AWS,70000
AWS,70000
AWS,70000
AWS,70000
AWS,70000
AWS,70000
AWS,70000
AWS,70000
AWS,70000
AWS,70000
AWS,72000
AWS,72000
AWS,72000
AWS,73000
AWS,75000
AWS,75000
AWS,75000
AWS,75000
AWS,75000
AWS,75000
AWS,75000
AWS,75000
AWS,75000
AWS,75000
AWS,75000
AWS,77700
AWS,80000
AWS,80000
AWS,80000
AWS,80000
AWS,80000
AWS,80500
AWS,81000
AWS,81000
AWS,81000
AWS,82000
AWS,82000
AWS,82000
AWS,83000
AWS,84000
AWS,84000
AWS,85000
AWS,85000
AWS,85000
AWS,85000
AWS,85000
AWS,85000
AWS,85000
AWS,85000
AWS,85000
AWS,85000
AWS,87000
AWS,87000
AWS,87000
AWS,88000
AWS,88000
AWS,88704
AWS,88704
AWS,90000
AWS,90000
AWS,90000
AWS,90000
AWS,90000
AWS,90000
AWS,90000
AWS,90000
AWS,90000
AWS,90000
AWS,90000
AWS,90000
AWS,90000
AWS,90000
AWS,90000
AWS,92000
AWS,92000
AWS,93000
AWS,93000
AWS,95000
AWS,95000
AWS,95000
AWS,95000
AWS,95000
AWS,95000
AWS,95000
AWS,96000
AWS,96700
AWS,100000
AWS,100000
AWS,100800
AWS,102000
AWS,104000
AWS,105000
AWS,105000
