skill,salary
HBase,88733
HBase,90604
HBase,90959
HBase,90959
HBase,113000
HBase,113000
HBase,113000
HBase,117268
HBase,120000
HBase,120000
HBase,125000
HBase,128820
HBase,131124
HBase,133640
HBase,109000
HBase,161939
HBase,137500
HBase,125000
HBase,159214
HBase,88691
HBase,100000
HBase,100000
HBase,100000
HBase,100000
HBase,100000
HBase,100000
HBase,105000
HBase,105000
HBase,110000
HBase,110000
HBase,110000
HBase,120000
HBase,120000
HBase,120000
HBase,123120
HBase,130000
HBase,130000
HBase,80850
HBase,89260
HBase,90002
HBase,80000
HBase,82000
HBase,87000
HBase,87000
HBase,90000
HBase,95000
HBase,98177
HBase,100000
HBase,100000
HBase,100000
HBase,100000
HBase,100000
HBase,100000
HBase,100000
HBase,100000
HBase,103000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,106000
HBase,107000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,115000
HBase,115000
HBase,115000
HBase,115000
HBase,116600
HBase,118000
HBase,120000
HBase,120000
HBase,125000
HBase,128271
HBase,84184
HBase,100000
HBase,105000
HBase,105000
HBase,105000
HBase,106000
HBase,108160
HBase,108160
HBase,111300
HBase,83000
HBase,97275
HBase,100000
HBase,103040
HBase,106000
HBase,106605
HBase,108150
HBase,109368
HBase,109970
HBase,112270
HBase,114790
HBase,120000
HBase,120000
HBase,121900
HBase,125000
HBase,126000
HBase,126000
HBase,126000
HBase,127293
HBase,130000
HBase,130478
HBase,145000
HBase,145000
HBase,98850
HBase,106000
HBase,106591
HBase,120000
HBase,121581
HBase,124000
HBase,125400
HBase,128038
HBase,101091
HBase,147000
HBase,147000
HBase,65229
HBase,71802
HBase,71802
HBase,75000
HBase,85000
HBase,85000
HBase,85000
HBase,88254
HBase,88254
HBase,90000
HBase,100000
HBase,100000
HBase,100000
HBase,100000
HBase,100000
HBase,105000
HBase,105000
HBase,109762
HBase,110000
HBase,115142
HBase,120000
HBase,120000
HBase,125000
HBase,130000
HBase,130000
HBase,130000
HBase,135000
HBase,140000
HBase,140000
HBase,140000
HBase,140000
HBase,160000
HBase,165360
HBase,180000
HBase,90000
HBase,90000
HBase,90000
HBase,95000
HBase,95000
HBase,105000
HBase,105000
HBase,81182
HBase,85000
HBase,85000
HBase,85000
HBase,86002
HBase,87000
HBase,87000
HBase,87000
HBase,87000
HBase,88254
HBase,94649
HBase,95000
HBase,95000
HBase,100000
HBase,100000
HBase,100000
HBase,100000
HBase,100000
HBase,100000
HBase,100000
HBase,100000
HBase,100176
HBase,102000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,105000
HBase,105473
HBase,106000
HBase,106030
HBase,107100
HBase,108255
HBase,109762
HBase,109762
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
HBase,110000
